Simulation:  trappist1e_1barN2_0.4barCO2_aq
Description:        TRAPPIST-1e, 1 bar N2, 0.4 bar CO2
Description: HEMISPHERE MEAN profile, longitude ****
Description: mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
Description: pressure are total pressure (i.e  P_dry_air + P_h2o)
       surf press        surf temp      surf albedo        mw_dryair
     1405.0765381      291.8516846        0.1459557       32.5756416
lev           height(m)        press(mb)          temp(K)       N2 (kg/kg)      CO2 (kg/kg)      H2O (kg/kg)   liq_cld (g m-2)  ice_cld (g m-2)    reff_liq (µm)   reff_ice (µm)
  0       45271.5351562        0.9559475      179.1300507    6.1408246E-01    3.8591340E-01    4.0859645E-06    0.0000000E+00    1.2029600E-03           14.000            6.591
  1       43891.7695312        1.2447951      178.1339417    6.1408257E-01    3.8591346E-01    3.9560978E-06    0.0000000E+00    1.9706297E-03           14.000            6.303
  2       42541.6015625        1.6128501      178.1450043    6.1408263E-01    3.8591349E-01    3.8778230E-06    0.0000000E+00    4.3911301E-03           14.000            6.327
  3       41211.3828125        2.0793252      179.6843567    6.1408257E-01    3.8591346E-01    3.9638044E-06    0.0000000E+00    6.8770163E-03           14.000            6.589
  4       39893.3476562        2.6674249      181.9103699    6.1408246E-01    3.8591337E-01    4.1878116E-06    0.0000000E+00    7.9900045E-03           14.000            7.147
  5       38585.4804688        3.4048753      184.2094574    6.1408228E-01    3.8591325E-01    4.4848002E-06    0.0000000E+00    7.5600664E-03           14.000            7.938
  6       37289.0742188        4.3245749      186.2908020    6.1408210E-01    3.8591316E-01    4.7367257E-06    0.0000000E+00    6.8244343E-03           14.000            8.812
  7       36006.8359375        5.4653997      187.9798431    6.1408198E-01    3.8591310E-01    4.8913957E-06    0.0000000E+00    6.6159400E-03           14.000            9.612
  8       34741.7968750        6.8728499      189.3182678    6.1408192E-01    3.8591307E-01    4.9797763E-06    0.0000000E+00    7.1095028E-03           14.000           10.294
  9       33495.8632812        8.5997248      190.5626221    6.1408186E-01    3.8591304E-01    5.0630779E-06    0.0000000E+00    8.1141070E-03           14.000           10.971
 10       32268.7617188       10.7070494      192.0653534    6.1408186E-01    3.8591298E-01    5.1795000E-06    0.0000000E+00    8.7269628E-03           14.000           11.868
 11       31058.6523438       13.2647495      193.9949951    6.1408174E-01    3.8591293E-01    5.3431145E-06    0.0000000E+00    8.8354796E-03           14.000           13.151
 12       29864.0097656       16.3517513      196.2004089    6.1408162E-01    3.8591287E-01    5.5478190E-06    0.0000000E+00    8.7131504E-03           14.000           14.803
 13       28684.6308594       20.0567513      198.4325409    6.1408150E-01    3.8591281E-01    5.6816079E-06    0.0000000E+00    7.4065225E-03           14.000           16.679
 14       27521.3378906       24.4789982      200.5563965    6.1408150E-01    3.8591281E-01    5.6419362E-06    0.0000000E+00    4.5760926E-03           14.000           18.649
