results/api85_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Molecular abundance profile: TRAPPIST-1 e - CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e Transit Planet
5.000000000e+00 -1.32697e-05 -1.32712e-05  1.46375e-09
5.002083333e+00 -1.48569e-05 -1.48577e-05  8.64913e-10
5.004167535e+00 -1.48715e-05 -1.48728e-05  1.31559e-09
5.006252605e+00 -1.66774e-05 -1.66785e-05  1.07221e-09
5.008338543e+00 -1.58771e-05 -1.58783e-05  1.14891e-09
5.010425351e+00 -1.52505e-05 -1.52516e-05  1.07596e-09
5.012513028e+00 -1.51909e-05 -1.51921e-05  1.22388e-09
5.014601575e+00 -1.50751e-05 -1.50764e-05  1.34509e-09
5.016690992e+00 -1.43464e-05 -1.43477e-05  1.27791e-09
5.018781280e+00 -1.49603e-05 -1.49617e-05  1.42371e-09
5.020872439e+00 -1.39336e-05 -1.39348e-05  1.19684e-09
5.022964469e+00 -1.47013e-05 -1.47028e-05  1.46707e-09
5.025057371e+00 -1.47920e-05 -1.47931e-05  1.02420e-09
5.027151145e+00 -1.39463e-05 -1.39478e-05  1.49113e-09
5.029245792e+00 -1.40147e-05 -1.40157e-05  1.01109e-09
5.031341311e+00 -1.49676e-05 -1.49691e-05  1.50383e-09
5.033437703e+00 -1.52508e-05 -1.52519e-05  1.05588e-09
5.035534969e+00 -1.48758e-05 -1.48773e-05  1.52346e-09
5.037633108e+00 -1.54422e-05 -1.54433e-05  1.10856e-09
5.039732122e+00 -1.45192e-05 -1.45207e-05  1.51696e-09
5.041832010e+00 -1.43837e-05 -1.43847e-05  1.09191e-09
5.043932774e+00 -1.45850e-05 -1.45865e-05  1.54327e-09
5.046034412e+00 -1.48079e-05 -1.48089e-05  9.83193e-10
5.048136927e+00 -1.32490e-05 -1.32506e-05  1.58252e-09
5.050240317e+00 -1.56353e-05 -1.56360e-05  6.77592e-10
5.052344584e+00 -1.51506e-05 -1.51521e-05  1.52177e-09
5.054449727e+00 -1.47713e-05 -1.47720e-05  7.36401e-10
5.056555748e+00 -1.36689e-05 -1.36704e-05  1.51420e-09
5.058662646e+00 -1.50476e-05 -1.50485e-05  8.82639e-10
5.060770422e+00 -1.38887e-05 -1.38903e-05  1.57240e-09
5.062879077e+00 -1.36920e-05 -1.36928e-05  8.63295e-10
5.064988610e+00 -1.41854e-05 -1.41869e-05  1.50304e-09
5.067099022e+00 -1.34994e-05 -1.35001e-05  7.42708e-10
5.069210313e+00 -1.46292e-05 -1.46307e-05  1.50170e-09
5.071322484e+00 -1.41163e-05 -1.41169e-05  5.32281e-10
5.073435535e+00 -1.47077e-05 -1.47092e-05  1.47805e-09
5.075549466e+00 -1.45227e-05 -1.45230e-05  3.31399e-10
5.077664279e+00 -1.41424e-05 -1.41438e-05  1.42266e-09
5.079779972e+00 -1.33064e-05 -1.33068e-05  4.09612e-10
5.081896547e+00 -1.42585e-05 -1.42599e-05  1.39499e-09
5.084014004e+00 -1.30876e-05 -1.30881e-05  4.67041e-10
5.086132343e+00 -1.40319e-05 -1.40332e-05  1.28607e-09
5.088251565e+00 -1.38873e-05 -1.38877e-05  4.87717e-10
5.090371670e+00 -1.48620e-05 -1.48632e-05  1.21851e-09
5.092492658e+00 -1.28281e-05 -1.28285e-05  4.05626e-10
5.094614530e+00 -1.30890e-05 -1.30902e-05  1.20175e-09
5.096737286e+00 -1.33930e-05 -1.33933e-05  2.83991e-10
