results/api86_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Molecular abundance profile: TRAPPIST-1 e - CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e Transit Planet
5.000000000e+00 -1.32704e-05 -1.32718e-05  1.34929e-09
5.002083333e+00 -1.48595e-05 -1.48599e-05  4.81510e-10
5.004167535e+00 -1.48743e-05 -1.48752e-05  9.07391e-10
5.006252605e+00 -1.66782e-05 -1.66791e-05  9.71103e-10
5.008338543e+00 -1.58779e-05 -1.58789e-05  1.04791e-09
5.010425351e+00 -1.52509e-05 -1.52518e-05  9.45352e-10
5.012513028e+00 -1.51916e-05 -1.51926e-05  1.00169e-09
5.014601575e+00 -1.50785e-05 -1.50795e-05  9.31077e-10
5.016690992e+00 -1.43560e-05 -1.43565e-05  4.70047e-10
5.018781280e+00 -1.49782e-05 -1.49785e-05  2.98750e-10
5.020872439e+00 -1.39414e-05 -1.39417e-05  3.10415e-10
5.022964469e+00 -1.47070e-05 -1.47078e-05  7.76205e-10
5.025057371e+00 -1.47927e-05 -1.47934e-05  7.09778e-10
5.027151145e+00 -1.39513e-05 -1.39522e-05  8.46582e-10
5.029245792e+00 -1.40206e-05 -1.40209e-05  2.87218e-10
5.031341311e+00 -1.49750e-05 -1.49758e-05  8.44712e-10
5.033437703e+00 -1.52513e-05 -1.52522e-05  8.65392e-10
5.035534969e+00 -1.48784e-05 -1.48797e-05  1.33781e-09
5.037633108e+00 -1.54424e-05 -1.54434e-05  1.02313e-09
5.039732122e+00 -1.45210e-05 -1.45223e-05  1.39006e-09
5.041832010e+00 -1.43839e-05 -1.43850e-05  1.03529e-09
5.043932774e+00 -1.45871e-05 -1.45886e-05  1.52469e-09
5.046034412e+00 -1.48081e-05 -1.48091e-05  9.34166e-10
5.048136927e+00 -1.32550e-05 -1.32563e-05  1.27494e-09
5.050240317e+00 -1.56354e-05 -1.56361e-05  6.55654e-10
5.052344584e+00 -1.51515e-05 -1.51531e-05  1.52246e-09
5.054449727e+00 -1.47713e-05 -1.47720e-05  7.10821e-10
5.056555748e+00 -1.36700e-05 -1.36713e-05  1.37468e-09
5.058662646e+00 -1.50479e-05 -1.50487e-05  7.81042e-10
5.060770422e+00 -1.38984e-05 -1.38993e-05  8.85494e-10
5.062879077e+00 -1.36921e-05 -1.36929e-05  8.04453e-10
5.064988610e+00 -1.41860e-05 -1.41874e-05  1.43604e-09
5.067099022e+00 -1.34995e-05 -1.35002e-05  7.06254e-10
5.069210313e+00 -1.46298e-05 -1.46312e-05  1.40195e-09
5.071322484e+00 -1.41164e-05 -1.41169e-05  5.05558e-10
5.073435535e+00 -1.47083e-05 -1.47096e-05  1.30551e-09
5.075549466e+00 -1.45227e-05 -1.45230e-05  3.17215e-10
5.077664279e+00 -1.41434e-05 -1.41444e-05  1.01742e-09
5.079779972e+00 -1.33065e-05 -1.33069e-05  3.29179e-10
5.081896547e+00 -1.42686e-05 -1.42690e-05  4.08869e-10
5.084014004e+00 -1.30880e-05 -1.30883e-05  2.86088e-10
5.086132343e+00 -1.40427e-05 -1.40431e-05  3.72223e-10
5.088251565e+00 -1.38874e-05 -1.38878e-05  4.00672e-10
5.090371670e+00 -1.48625e-05 -1.48634e-05  9.54173e-10
5.092492658e+00 -1.28282e-05 -1.28285e-05  3.75809e-10
5.094614530e+00 -1.30892e-05 -1.30903e-05  1.02040e-09
5.096737286e+00 -1.33931e-05 -1.33933e-05  2.65919e-10
5.098860926e+00 -1.44001e-05 -1.44005e-05  3.78044e-10
5.100985452e+00 -1.40250e-05 -1.40251e-05  1.55389e-10
5.103110862e+00 -1.48602e-05 -1.48612e-05  9.42286e-10
5.105237159e+00 -1.34782e-05 -1.34784e-05  2.34884e-10
5.107364341e+00 -1.34313e-05 -1.34322e-05  8.81279e-10
5.109492409e+00 -1.32590e-05 -1.32593e-05  3.09933e-10
5.111621364e+00 -1.23801e-05 -1.23808e-05  6.46166e-10
5.113751207e+00 -1.37611e-05 -1.37614e-05  3.09685e-10
5.115881936e+00 -1.30373e-05 -1.30378e-05  5.22197e-10
5.118013554e+00 -1.42492e-05 -1.42496e-05  3.93237e-10
5.120146060e+00 -1.32903e-05 -1.32914e-05  1.09632e-09
5.122279454e+00 -1.33171e-05 -1.33175e-05  3.63724e-10
5.124413737e+00 -1.38995e-05 -1.39003e-05  7.84751e-10
5.126548909e+00 -1.32428e-05 -1.32431e-05  3.49498e-10
5.128684971e+00 -1.23816e-05 -1.23828e-05  1.23078e-09
5.130821923e+00 -1.29116e-05 -1.29121e-05  4.70265e-10
5.132959766e+00 -1.21569e-05 -1.21580e-05  1.17967e-09
5.135098499e+00 -1.36046e-05 -1.36052e-05  6.18368e-10
5.137238123e+00 -1.37059e-05 -1.37063e-05  4.21162e-10
5.139378639e+00 -1.32535e-05 -1.32539e-05  4.17017e-10
5.141520047e+00 -1.27210e-05 -1.27215e-05  5.14749e-10
5.143662347e+00 -1.30296e-05 -1.30301e-05  5.25526e-10
5.145805540e+00 -1.17586e-05 -1.17591e-05  4.74252e-10
5.147949625e+00 -1.20617e-05 -1.20619e-05  1.44959e-10
5.150094604e+00 -1.26168e-05 -1.26172e-05  3.50856e-10
5.152240477e+00 -1.33666e-05 -1.33670e-05  3.86684e-10
5.154387244e+00 -1.38484e-05 -1.38491e-05  6.75457e-10
5.156534905e+00 -1.35079e-05 -1.35082e-05  3.30702e-10
5.158683462e+00 -1.31106e-05 -1.31112e-05  5.73074e-10
5.160832913e+00 -1.23579e-05 -1.23581e-05  2.72367e-10
5.162983260e+00 -1.21032e-05 -1.21035e-05  3.01380e-10
5.165134503e+00 -1.24941e-05 -1.24943e-05  1.35372e-10
5.167286642e+00 -1.25820e-05 -1.25821e-05  9.22102e-11
5.169439679e+00 -1.22716e-05 -1.22716e-05  4.19031e-11
5.171593612e+00 -1.27001e-05 -1.27001e-05  3.08343e-11
5.173748442e+00 -1.20548e-05 -1.20548e-05  1.71372e-11
5.175904171e+00 -1.24606e-05 -1.24607e-05  7.81843e-11
5.178060798e+00 -1.31719e-05 -1.31721e-05  2.11005e-10
5.180218323e+00 -1.25056e-05 -1.25061e-05  4.28919e-10
5.182376747e+00 -1.21044e-05 -1.21047e-05  2.38823e-10
5.184536071e+00 -1.32841e-05 -1.32845e-05  4.13824e-10
5.186696294e+00 -1.21128e-05 -1.21130e-05  1.63591e-10
5.188857418e+00 -1.22818e-05 -1.22821e-05  3.13929e-10
5.191019442e+00 -1.34243e-05 -1.34244e-05  1.08796e-10
5.193182366e+00 -1.28488e-05 -1.28491e-05  2.50071e-10
5.195346192e+00 -1.17729e-05 -1.17729e-05  7.49906e-11
5.197510920e+00 -1.20446e-05 -1.20448e-05  1.98127e-10
5.199676550e+00 -1.15419e-05 -1.15419e-05  5.27937e-11
5.201843081e+00 -1.17700e-05 -1.17701e-05  1.30478e-10
5.204010516e+00 -1.20054e-05 -1.20054e-05  3.94322e-11
5.206178854e+00 -1.23787e-05 -1.23788e-05  1.62157e-10
5.208348095e+00 -1.28430e-05 -1.28430e-05  4.85366e-11
5.210518240e+00 -1.24508e-05 -1.24510e-05  1.16217e-10
5.212689289e+00 -1.16790e-05 -1.16791e-05  3.91500e-11
5.214861243e+00 -1.16304e-05 -1.16305e-05  5.71033e-11
5.217034102e+00 -1.29864e-05 -1.29865e-05  7.58986e-11
5.219207866e+00 -1.20112e-05 -1.20113e-05  1.20383e-10
5.221382536e+00 -1.15359e-05 -1.15360e-05  1.01647e-10
5.223558112e+00 -1.17509e-05 -1.17510e-05  1.01680e-10
5.225734595e+00 -1.19667e-05 -1.19668e-05  1.32642e-10
5.227911984e+00 -1.16732e-05 -1.16733e-05  8.21786e-11
5.230090281e+00 -1.19919e-05 -1.19920e-05  1.66336e-10
