Simulation:            t3300_s1650_p19.5724
Description: t#### -- effective temperature of star (K)
Description: s#### -- stellar flux at planet (W m-2)
Description: p#### -- orbital-rotational period (Earth days)
Description:         stable, 365 day average
Description: TERMINATOR MEAN vertical profile
Description: volume mixing ratios (mol/mol) relative to the moist air mass (i.e dry air mass + water vapor mass)
Description: pressure are total pressure (i.e  P_dry_air + P_h2o)
  surf press (mb)    surf temp (K)      surf albedo        mw_dryair
     1008.4204102      266.4519043        0.0000000       28.0058994
lev           height(m)        press(mb)          temp(K)       N2 (kg/kg)      CO2 (kg/kg)      H2O (kg/kg)   liq_cld (g m-2)  ice_cld (g m-2)    reff_liq (µm)   reff_ice (µm)
  0       47088.7031250        0.9559475      202.8407593    9.9964261E-01    0.0000000E+00    3.5738660E-04    0.0000000E+00    0.0000000E+00           14.000           20.971
  1       45536.6640625        1.2447951      199.1738739    9.9966669E-01    0.0000000E+00    3.3328662E-04    0.0000000E+00    8.5580745E-05           14.000           17.135
  2       44038.2617188        1.6128501      196.3756256    9.9971849E-01    0.0000000E+00    2.8153666E-04    0.0000000E+00    8.4604661E-04           14.000           14.680
  3       42581.2773438        2.0793252      195.6813202    9.9977487E-01    0.0000000E+00    2.2515304E-04    0.0000000E+00    2.1858700E-03           14.000           14.195
  4       41152.9257812        2.6674249      196.2733765    9.9979919E-01    0.0000000E+00    2.0082302E-04    0.0000000E+00    3.6368920E-03           14.000           14.726
  5       39747.1289062        3.4048753      197.3321991    9.9981135E-01    0.0000000E+00    1.8865663E-04    0.0000000E+00    4.8434827E-03           14.000           15.674
  6       38361.3046875        4.3245749      198.7613068    9.9981320E-01    0.0000000E+00    1.8677626E-04    0.0000000E+00    5.3737508E-03           14.000           16.976
  7       36993.5781250        5.4653997      200.4676056    9.9980754E-01    0.0000000E+00    1.9246311E-04    0.0000000E+00    5.8941585E-03           14.000           18.550
  8       35642.7148438        6.8728499      202.4042969    9.9979758E-01    0.0000000E+00    2.0244387E-04    0.0000000E+00    6.5658772E-03           14.000           20.366
  9       34307.9570312        8.5997248      204.5226898    9.9978119E-01    0.0000000E+00    2.1881600E-04    0.0000000E+00    7.3951487E-03           14.000           22.380
 10       32988.5468750       10.7070494      206.8580475    9.9975491E-01    0.0000000E+00    2.4507081E-04    0.0000000E+00    8.1843650E-03           14.000           24.627
 11       31683.0175781       13.2647495      209.6154938    9.9970746E-01    0.0000000E+00    2.9251631E-04    0.0000000E+00    1.2276900E-02           14.000           27.174
 12       30388.9609375       16.3517513      213.0100555    9.9962610E-01    0.0000000E+00    3.7390654E-04    0.0000000E+00    3.1459544E-02           14.000           29.914
 13       29103.0859375       20.0567513      217.1895905    9.9949622E-01    0.0000000E+00    5.0378998E-04    1.6750189E-05    8.9170329E-02           14.000           32.749
 14       27822.7519531       24.4789982      221.8561859    9.9931061E-01    0.0000000E+00    6.8936334E-04    6.1723479E-04    1.9455013E-01           14.000           35.617
 15       26547.7558594       29.7279987      226.5666199    9.9908119E-01    0.0000000E+00    9.1880385E-04    5.6056101E-03    3.3884695E-01           14.000           38.658
 16       25280.2363281       35.9232483      230.9726105    9.9885637E-01    0.0000000E+00    1.1436486E-03    3.3112992E-02    4.2836359E-01           14.000           42.061
 17       24023.3476562       43.1937485      235.0196228    9.9865437E-01    0.0000000E+00    1.3456262E-03    9.7975627E-02    4.4483423E-01           14.000           46.283
 18       22779.7285156       51.6775017      238.8834229    9.9844366E-01    0.0000000E+00    1.5563521E-03    1.7162016E-01    3.8389587E-01           14.000           52.420
 19       21551.4609375       61.5204964      242.5492554    9.9822104E-01    0.0000000E+00    1.7789348E-03    2.3914801E-01    3.0584720E-01           14.000           61.243
 20       20340.8046875       72.8745041      245.9478302    9.9798310E-01    0.0000000E+00    2.0169280E-03    3.0025357E-01    2.4252379E-01           14.000           72.462
 21       19164.9648438       85.7205276      249.0546722    9.9774885E-01    0.0000000E+00    2.2511375E-03    3.3585191E-01    1.6925040E-01           14.000           85.320
 22       17983.0039062      100.7160110      251.9290314    9.9748254E-01    0.0000000E+00    2.5174702E-03    3.4541768E-01    1.2307948E-01           14.000           98.811
 23       16770.5527344      118.6139221      254.6296844    9.9721169E-01    0.0000000E+00    2.7882813E-03    3.8579875E-01    1.1151125E-01           14.000          112.554
 24       15546.9423828      139.6698761      257.1054993    9.9690980E-01    0.0000000E+00    3.0902035E-03    4.3419862E-01    9.9058703E-02           14.000          126.013
 25       14313.2363281      164.4411469      259.2956238    9.9656343E-01    0.0000000E+00    3.4365458E-03    5.3907984E-01    9.2936464E-02           14.000          138.677
 26       13070.6806641      193.5832367      261.1927490    9.9615276E-01    0.0000000E+00    3.8472661E-03    8.7705481E-01    1.0132419E-01           14.000          150.251
