results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: ExoEarth like Gatlin b - CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq ExoEarth-like-Gatlin-b Transit Planet
2.500000000e+00 -2.15723e-03 -2.15723e-03  1.71774e-19
2.501562500e+00 -2.15774e-03 -2.15774e-03  8.43989e-20
2.503125977e+00 -2.14264e-03 -2.14264e-03  1.22400e-17
2.504690430e+00 -2.13868e-03 -2.13868e-03  4.59098e-19
2.506255862e+00 -2.13966e-03 -2.13966e-03  2.99354e-18
2.507822272e+00 -2.10970e-03 -2.10970e-03  3.10018e-19
2.509389661e+00 -2.12280e-03 -2.12280e-03  5.83373e-19
2.510958029e+00 -2.08767e-03 -2.08767e-03  1.44835e-17
2.512527378e+00 -2.08561e-03 -2.08561e-03  2.54653e-18
2.514097708e+00 -2.08736e-03 -2.08736e-03  6.18061e-19
2.515669019e+00 -2.08643e-03 -2.08643e-03  2.83894e-18
2.517241312e+00 -2.07180e-03 -2.07180e-03  3.54897e-17
2.518814588e+00 -2.07186e-03 -2.07186e-03  0.00000e+00
2.520388847e+00 -2.07176e-03 -2.07176e-03  4.71104e-18
2.521964090e+00 -2.06413e-03 -2.06413e-03  1.49547e-18
2.523540317e+00 -2.05406e-03 -2.05406e-03  1.74046e-17
2.525117530e+00 -2.05111e-03 -2.05111e-03  2.98706e-18
2.526695728e+00 -2.03480e-03 -2.03480e-03  1.05497e-17
2.528274913e+00 -2.03899e-03 -2.03899e-03  1.00428e-18
2.529855085e+00 -2.02952e-03 -2.02952e-03  3.50528e-17
2.531436245e+00 -2.03131e-03 -2.03131e-03  4.82635e-17
2.533018392e+00 -2.01450e-03 -2.01450e-03  2.20825e-17
2.534601529e+00 -2.02137e-03 -2.02137e-03  7.79211e-18
2.536185655e+00 -2.00600e-03 -2.00600e-03  4.83331e-17
2.537770771e+00 -1.99669e-03 -1.99669e-03  2.80356e-18
2.539356877e+00 -1.98311e-03 -1.98311e-03  9.33261e-18
2.540943975e+00 -1.91811e-03 -1.91811e-03  1.33094e-17
2.542532065e+00 -1.85112e-03 -1.85112e-03  9.34882e-17
2.544121148e+00 -1.96926e-03 -1.96926e-03  2.02905e-17
2.545711224e+00 -1.96700e-03 -1.96700e-03  4.14191e-17
2.547302293e+00 -1.93567e-03 -1.93567e-03  8.85263e-17
2.548894357e+00 -1.93327e-03 -1.93327e-03  3.69405e-17
