# ------------------------------------------------------------------------
# Noise and sensitivity radiance spectrum
# NASA-GSFC Planetary Spectrum Generator (PSG) (Villanueva et al. 2015)
# Background sky sources include: CMB, Zodiacal dust (emitted and reflected), and Cirrus
# Synthesized on Sun Jun 10 15:35:49 2018
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Radiance unit: Contrast [radiance ratio w.r.t. parent star]
# Wave/freq Total Source Detector Telescope Background
6.000000000e-01  5.05111e-04  5.03227e-04  4.35829e-05 1.70563e-104  1.46644e-07
6.008571429e-01  5.11034e-04  5.09083e-04  4.46033e-05 2.45402e-104  1.50314e-07
6.017155102e-01  5.07458e-04  5.05543e-04  4.40387e-05 3.40296e-104  1.48571e-07
6.025751038e-01  5.08686e-04  5.06752e-04  4.43128e-05 4.80574e-104  1.49624e-07
6.034359254e-01  5.00274e-04  4.98428e-04  4.29303e-05 6.53119e-104  1.45080e-07
6.042979767e-01  4.95269e-04  4.93473e-04  4.21410e-05 8.98918e-104  1.42534e-07
6.051612595e-01  4.94210e-04  4.92420e-04  4.20213e-05 1.25620e-103  1.42250e-07
6.060257756e-01  4.94934e-04  4.93132e-04  4.22031e-05 1.76726e-103  1.42985e-07
6.068915267e-01  4.95605e-04  4.93790e-04  4.23763e-05 2.48447e-103  1.43693e-07
6.077585146e-01  4.92897e-04  4.91107e-04  4.19768e-05 3.44402e-103  1.42457e-07
6.086267411e-01  4.93935e-04  4.92128e-04  4.22118e-05 4.84425e-103  1.43374e-07
6.094962078e-01  4.93139e-04  4.91335e-04  4.21361e-05 6.76041e-103  1.43235e-07
6.103669167e-01  4.95514e-04  4.93679e-04  4.25998e-05 9.55091e-103  1.44931e-07
6.112388694e-01  4.90657e-04  4.88871e-04  4.18336e-05 1.31000e-102  1.42440e-07
6.121120678e-01  4.92854e-04  4.91039e-04  4.22658e-05 1.84772e-102  1.44029e-07
6.129865136e-01  4.95227e-04  4.93380e-04  4.27307e-05 2.60663e-102  1.45732e-07
6.138622086e-01  4.97288e-04  4.95413e-04  4.31452e-05 3.67077e-102  1.47265e-07
6.147391547e-01  4.93513e-04  4.91675e-04  4.25573e-05 5.04749e-102  1.45374e-07
6.156173535e-01  4.88787e-04  4.86995e-04  4.18107e-05 6.90970e-102  1.42938e-07
6.164968068e-01  5.00421e-04  4.98494e-04  4.38710e-05 1.00975e-101  1.50101e-07
6.173775165e-01  4.91389e-04  4.89559e-04  4.23728e-05 1.35762e-101  1.45090e-07
6.182594844e-01  4.78400e-04  4.76705e-04  4.02344e-05 1.79366e-101  1.37877e-07
6.191427123e-01  4.83782e-04  4.82025e-04  4.11961e-05 2.55414e-101  1.41283e-07
6.200272018e-01  4.76438e-04  4.74754e-04  4.00198e-05 3.44907e-101  1.37356e-07
6.209129550e-01  4.70752e-04  4.69123e-04  3.91319e-05 4.68589e-101  1.34413e-07
6.217999735e-01  4.80852e-04  4.79112e-04  4.08744e-05 6.79737e-101  1.40507e-07
6.226882592e-01  4.73656e-04  4.71987e-04  3.97244e-05 9.17003e-101  1.36659e-07
6.235778138e-01  4.81388e-04  4.79632e-04  4.10802e-05 1.31573e-100  1.41431e-07
6.244686393e-01  4.81757e-04  4.79992e-04  4.12007e-05 1.83001e-100  1.41954e-07
6.253607373e-01  4.78633e-04  4.76897e-04  4.07292e-05 2.50764e-100  1.40435e-07
6.262541098e-01  4.75898e-04  4.74186e-04  4.03251e-05 3.43987e-100  1.39147e-07
6.271487585e-01  4.66558e-04  4.64940e-04  3.88231e-05 4.58628e-100  1.34065e-07
6.280446853e-01  4.65669e-04  4.64056e-04  3.87309e-05 6.33329e-100  1.33846e-07
6.289418920e-01  4.61845e-04  4.60267e-04  3.81554e-05 8.63230e-100  1.31955e-07
6.298403804e-01  4.63101e-04  4.61504e-04  3.84157e-05  1.20192e-99  1.32953e-07
6.307401524e-01  4.65444e-04  4.63819e-04  3.88575e-05  1.68049e-99  1.34581e-07
6.316412098e-01  4.72599e-04  4.70893e-04  4.01091e-05  2.39659e-99  1.39017e-07
6.325435544e-01  4.61604e-04  4.60009e-04  3.83310e-05  3.16295e-99  1.32951e-07
6.334471880e-01  4.63132e-04  4.61517e-04  3.86379e-05  4.40093e-99  1.34112e-07
6.343521126e-01  4.60206e-04  4.58617e-04  3.82083e-05  6.00450e-99  1.32717e-07
6.352583299e-01  4.58849e-04  4.57270e-04  3.80384e-05  8.24382e-99  1.32221e-07
6.361658418e-01  4.62005e-04  4.60389e-04  3.86141e-05  1.15356e-98  1.34318e-07
6.370746501e-01  4.54687e-04  4.53141e-04  3.74615e-05  1.54193e-98  1.30401e-07
6.379847568e-01  4.51312e-04  4.49796e-04  3.69630e-05  2.09524e-98  1.28757e-07
6.388961636e-01  4.50294e-04  4.48784e-04  3.68494e-05  2.87531e-98  1.28451e-07
6.398088724e-01  4.60201e-04  4.58585e-04  3.85316e-05  4.13675e-98  1.34408e-07
6.407228850e-01  4.48911e-04  4.47406e-04  3.67282e-05  5.42288e-98  1.28206e-07
6.416382034e-01  4.53314e-04  4.51760e-04  3.75001e-05  7.61120e-98  1.30991e-07
6.425548294e-01  4.50476e-04  4.48947e-04  3.70875e-05  1.03428e-97  1.29638e-07
6.434727649e-01  4.48418e-04  4.46905e-04  3.68034e-05  1.40959e-97  1.28733e-07
6.443920117e-01  4.48473e-04  4.46955e-04  3.68642e-05  1.93823e-97  1.29033e-07
6.453125717e-01  4.47077e-04  4.45569e-04  3.66882e-05  2.64683e-97  1.28504e-07
6.462344468e-01  4.50221e-04  4.48677e-04  3.72549e-05  3.68624e-97  1.30577e-07
6.471576389e-01  4.44099e-04  4.42612e-04  3.63065e-05  4.92478e-97  1.27337e-07
