# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: ExoEarth like Gatlin b - CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq ExoEarth-like-Gatlin-b Transit Planet
5.000000000e+00 -4.80122e-05 -4.80122e-05  2.57659e-14
5.002083333e+00 -4.71776e-05 -4.71776e-05  1.32426e-13
5.004167535e+00 -4.92038e-05 -4.92038e-05  2.66701e-14
5.006252605e+00 -4.82331e-05 -4.82331e-05  5.77105e-18
5.008338543e+00 -4.81621e-05 -4.81621e-05  5.26228e-17
5.010425351e+00 -4.81624e-05 -4.81624e-05  2.04648e-17
5.012513028e+00 -4.72578e-05 -4.72578e-05  1.04230e-17
5.014601575e+00 -4.73785e-05 -4.73785e-05  1.08439e-17
5.016690992e+00 -4.83485e-05 -4.83485e-05  1.03823e-13
5.018781280e+00 -4.73928e-05 -4.73928e-05  2.08714e-13
5.020872439e+00 -4.72479e-05 -4.72479e-05  6.64057e-13
5.022964469e+00 -4.69838e-05 -4.69838e-05  0.00000e+00
5.025057371e+00 -4.79309e-05 -4.79309e-05  2.74571e-16
5.027151145e+00 -4.66091e-05 -4.66091e-05  7.78735e-17
5.029245792e+00 -4.75758e-05 -4.75758e-05  1.87836e-13
5.031341311e+00 -4.65008e-05 -4.65008e-05  3.84225e-14
5.033437703e+00 -4.68499e-05 -4.68499e-05  9.39091e-16
5.035534969e+00 -4.66684e-05 -4.66684e-05  6.72299e-16
5.037633108e+00 -4.73022e-05 -4.73022e-05  8.61794e-18
5.039732122e+00 -4.64589e-05 -4.64589e-05  1.15160e-15
5.041832010e+00 -4.61550e-05 -4.61550e-05  0.00000e+00
5.043932774e+00 -4.62522e-05 -4.62522e-05  1.35829e-15
5.046034412e+00 -4.69082e-05 -4.69082e-05  1.08041e-16
5.048136927e+00 -4.58658e-05 -4.58658e-05  4.31316e-15
5.050240317e+00 -4.66890e-05 -4.66890e-05  2.60130e-17
5.052344584e+00 -4.57909e-05 -4.57909e-05  1.27186e-17
5.054449727e+00 -4.42022e-05 -4.42022e-05  5.23143e-18
5.056555748e+00 -4.61280e-05 -4.61280e-05  6.09076e-16
5.058662646e+00 -4.51805e-05 -4.51805e-05  8.03207e-17
5.060770422e+00 -4.62181e-05 -4.62181e-05  5.43454e-14
5.062879077e+00 -4.62581e-05 -4.62581e-05  5.58789e-16
5.064988610e+00 -4.49006e-05 -4.49006e-05  2.29678e-18
5.067099022e+00 -4.35818e-05 -4.35818e-05  1.21720e-18
5.069210313e+00 -4.60948e-05 -4.60948e-05  9.98821e-18
5.071322484e+00 -4.48776e-05 -4.48776e-05  7.25798e-19
5.073435535e+00 -4.55636e-05 -4.55636e-05  3.12789e-18
5.075549466e+00 -4.45276e-05 -4.45276e-05  6.73705e-17
5.077664279e+00 -4.43078e-05 -4.43078e-05  8.24757e-17
5.079779972e+00 -4.39070e-05 -4.39070e-05  1.07365e-16
5.081896547e+00 -4.49605e-05 -4.49605e-05  4.75037e-13
5.084014004e+00 -4.40219e-05 -4.40219e-05  5.15931e-14
5.086132343e+00 -4.43378e-05 -4.43378e-05  3.07597e-13
5.088251565e+00 -4.39931e-05 -4.39931e-05  3.43033e-15
5.090371670e+00 -4.43963e-05 -4.43963e-05  1.62704e-16
5.092492658e+00 -4.30954e-05 -4.30954e-05  0.00000e+00
5.094614530e+00 -4.35933e-05 -4.35933e-05  5.62052e-18
5.096737286e+00 -4.38233e-05 -4.38233e-05  6.63104e-16
5.098860926e+00 -4.34449e-05 -4.34449e-05  1.75107e-13
5.100985452e+00 -4.34874e-05 -4.34874e-05  1.53721e-15
5.103110862e+00 -4.33875e-05 -4.33875e-05  2.15558e-15
5.105237159e+00 -4.25279e-05 -4.25279e-05  4.59856e-16
5.107364341e+00 -4.31885e-05 -4.31885e-05  1.42099e-15
5.109492409e+00 -4.27286e-05 -4.27286e-05  3.07535e-15
5.111621364e+00 -4.36914e-05 -4.36914e-05  7.90129e-14
5.113751207e+00 -4.27815e-05 -4.27815e-05  2.02799e-15
5.115881936e+00 -4.34977e-05 -4.34977e-05  1.96576e-13
5.118013554e+00 -4.22424e-05 -4.22424e-05  0.00000e+00
5.120146060e+00 -4.12380e-05 -4.12380e-05  6.10150e-18
5.122279454e+00 -4.30816e-05 -4.30816e-05  1.59877e-17
5.124413737e+00 -4.21986e-05 -4.21986e-05  1.00700e-17
5.126548909e+00 -4.28991e-05 -4.28991e-05  8.25348e-15
5.128684971e+00 -4.25340e-05 -4.25340e-05  1.64366e-15
5.130821923e+00 -4.18554e-05 -4.18554e-05  2.49696e-15
5.132959766e+00 -4.07727e-05 -4.07727e-05  4.28264e-16
5.135098499e+00 -4.21171e-05 -4.21171e-05  5.23299e-17
5.137238123e+00 -4.18934e-05 -4.18934e-05  4.97759e-13
5.139378639e+00 -4.24795e-05 -4.24795e-05  8.44670e-15
5.141520047e+00 -4.20500e-05 -4.20500e-05  4.63718e-13
5.143662347e+00 -4.09116e-05 -4.09116e-05  0.00000e+00
5.145805540e+00 -4.00596e-05 -4.00596e-05  3.00956e-16
5.147949625e+00 -4.20034e-05 -4.20034e-05  1.67572e-12
5.150094604e+00 -4.14126e-05 -4.14126e-05  0.00000e+00
5.152240477e+00 -4.15783e-05 -4.15783e-05  6.53410e-16
5.154387244e+00 -4.13485e-05 -4.13485e-05  6.20966e-16
5.156534905e+00 -4.10865e-05 -4.10865e-05  1.44728e-15
5.158683462e+00 -4.00898e-05 -4.00898e-05  1.64915e-15
5.160832913e+00 -4.04997e-05 -4.04997e-05  2.05541e-15
5.162983260e+00 -4.08790e-05 -4.08790e-05  3.97256e-15
5.165134503e+00 -4.10017e-05 -4.10017e-05  9.39618e-17
5.167286642e+00 -4.02251e-05 -4.02251e-05  6.69828e-17
5.169439679e+00 -4.09317e-05 -4.09317e-05  6.74104e-18
5.171593612e+00 -4.01157e-05 -4.01157e-05  3.49087e-17
5.173748442e+00 -3.99824e-05 -3.99824e-05  8.43780e-14
5.175904171e+00 -4.05270e-05 -4.05270e-05  1.87261e-15
5.178060798e+00 -4.03520e-05 -4.03520e-05  2.37366e-16
5.180218323e+00 -4.00665e-05 -4.00665e-05  1.78462e-17
5.182376747e+00 -4.01979e-05 -4.01979e-05  7.40503e-18
5.184536071e+00 -3.92324e-05 -3.92324e-05  6.47134e-18
5.186696294e+00 -3.95592e-05 -3.95592e-05  2.42570e-16
5.188857418e+00 -3.88663e-05 -3.88663e-05  5.51808e-17
5.191019442e+00 -4.01272e-05 -4.01272e-05  2.28614e-15
5.193182366e+00 -3.93745e-05 -3.93745e-05  0.00000e+00
5.195346192e+00 -3.98171e-05 -3.98171e-05  6.68137e-15
5.197510920e+00 -3.92680e-05 -3.92680e-05  0.00000e+00
5.199676550e+00 -3.78449e-05 -3.78449e-05  9.41239e-13
5.201843081e+00 -3.95923e-05 -3.95923e-05  4.62749e-13
5.204010516e+00 -3.82159e-05 -3.82159e-05  7.05817e-15
5.206178854e+00 -3.94485e-05 -3.94485e-05  2.73773e-16
5.208348095e+00 -3.90702e-05 -3.90702e-05  4.00597e-15
5.210518240e+00 -3.89254e-05 -3.89254e-05  9.71528e-16
5.212689289e+00 -3.69090e-05 -3.69090e-05  1.67619e-12
5.214861243e+00 -3.88474e-05 -3.88474e-05  1.12884e-13
5.217034102e+00 -3.79161e-05 -3.79161e-05  6.93326e-16
5.219207866e+00 -3.89902e-05 -3.89902e-05  6.35229e-17
5.221382536e+00 -3.85292e-05 -3.85292e-05  3.15313e-16
5.223558112e+00 -3.80611e-05 -3.80611e-05  1.46345e-15
5.225734595e+00 -3.72631e-05 -3.72631e-05  7.80521e-15
5.227911984e+00 -3.80300e-05 -3.80300e-05  3.15777e-15
5.230090281e+00 -3.80434e-05 -3.80434e-05  3.66950e-15
5.232269485e+00 -3.76772e-05 -3.76772e-05  7.32976e-16
5.234449597e+00 -3.79800e-05 -3.79800e-05  6.86981e-13
5.236630618e+00 -3.72643e-05 -3.72643e-05  1.21909e-13
5.238812547e+00 -3.69085e-05 -3.69085e-05  2.42525e-16
5.240995386e+00 -3.73858e-05 -3.73858e-05  5.91605e-13
5.243179134e+00 -3.75296e-05 -3.75296e-05  1.18204e-14
5.245363792e+00 -3.74680e-05 -3.74680e-05  3.18210e-17
