# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e - CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e Transit Planet
5.000000000e+00 -1.48572e-05 -1.48572e-05  1.59826e-11
5.002083333e+00 -1.49116e-05 -1.49116e-05  1.67049e-11
5.004167535e+00 -1.57408e-05 -1.57408e-05  1.22851e-11
5.006252605e+00 -1.63579e-05 -1.63579e-05  1.23278e-11
5.008338543e+00 -1.58012e-05 -1.58012e-05  1.32277e-11
5.010425351e+00 -1.56996e-05 -1.56997e-05  1.33582e-11
5.012513028e+00 -1.43055e-05 -1.43055e-05  1.21738e-11
5.014601575e+00 -1.52212e-05 -1.52212e-05  1.17346e-11
5.016690992e+00 -1.52214e-05 -1.52214e-05  1.50711e-11
5.018781280e+00 -1.42451e-05 -1.42452e-05  1.82732e-11
5.020872439e+00 -1.43222e-05 -1.43222e-05  2.20189e-11
5.022964469e+00 -1.52734e-05 -1.52734e-05  9.52667e-12
5.025057371e+00 -1.41148e-05 -1.41148e-05  1.21738e-11
5.027151145e+00 -1.41916e-05 -1.41916e-05  1.09098e-11
5.029245792e+00 -1.44595e-05 -1.44595e-05  1.65826e-11
5.031341311e+00 -1.54643e-05 -1.54643e-05  1.18077e-11
5.033437703e+00 -1.47416e-05 -1.47416e-05  1.31150e-11
5.035534969e+00 -1.55447e-05 -1.55447e-05  1.05600e-11
5.037633108e+00 -1.57485e-05 -1.57486e-05  1.34463e-11
5.039732122e+00 -1.36042e-05 -1.36042e-05  1.04440e-11
5.041832010e+00 -1.51770e-05 -1.51770e-05  1.38249e-11
5.043932774e+00 -1.42915e-05 -1.42915e-05  1.05129e-11
5.046034412e+00 -1.46751e-05 -1.46751e-05  1.45094e-11
5.048136927e+00 -1.39054e-05 -1.39054e-05  1.02650e-11
5.050240317e+00 -1.54001e-05 -1.54001e-05  1.36461e-11
5.052344584e+00 -1.54653e-05 -1.54653e-05  1.12208e-11
5.054449727e+00 -1.44177e-05 -1.44178e-05  1.47131e-11
5.056555748e+00 -1.46405e-05 -1.46406e-05  1.14134e-11
5.058662646e+00 -1.41855e-05 -1.41855e-05  1.61773e-11
5.060770422e+00 -1.44015e-05 -1.44015e-05  1.23616e-11
5.062879077e+00 -1.38799e-05 -1.38799e-05  1.70199e-11
5.064988610e+00 -1.40848e-05 -1.40848e-05  1.08766e-11
5.067099022e+00 -1.38408e-05 -1.38408e-05  1.83105e-11
5.069210313e+00 -1.48568e-05 -1.48568e-05  1.05607e-11
5.071322484e+00 -1.45216e-05 -1.45216e-05  2.02251e-11
5.073435535e+00 -1.47788e-05 -1.47788e-05  1.02724e-11
5.075549466e+00 -1.41482e-05 -1.41482e-05  1.79948e-11
5.077664279e+00 -1.38316e-05 -1.38317e-05  1.31880e-11
5.079779972e+00 -1.37495e-05 -1.37495e-05  2.07567e-11
5.081896547e+00 -1.37157e-05 -1.37157e-05  2.31741e-11
5.084014004e+00 -1.41297e-05 -1.41297e-05  2.44068e-11
5.086132343e+00 -1.38505e-05 -1.38505e-05  1.99957e-11
5.088251565e+00 -1.41228e-05 -1.41228e-05  2.47013e-11
5.090371670e+00 -1.41140e-05 -1.41140e-05  1.30548e-11
5.092492658e+00 -1.27910e-05 -1.27910e-05  2.67883e-11
5.094614530e+00 -1.34008e-05 -1.34008e-05  1.25408e-11
5.096737286e+00 -1.45170e-05 -1.45170e-05  2.85642e-11
5.098860926e+00 -1.40549e-05 -1.40549e-05  1.73388e-11
5.100985452e+00 -1.46578e-05 -1.46578e-05  2.40096e-11
5.103110862e+00 -1.41649e-05 -1.41649e-05  1.71086e-11
5.105237159e+00 -1.32468e-05 -1.32469e-05  2.56387e-11
5.107364341e+00 -1.34683e-05 -1.34683e-05  1.76777e-11
5.109492409e+00 -1.29331e-05 -1.29331e-05  2.72872e-11
5.111621364e+00 -1.30877e-05 -1.30877e-05  1.79726e-11
5.113751207e+00 -1.32949e-05 -1.32949e-05  2.90471e-11
5.115881936e+00 -1.39505e-05 -1.39505e-05  2.01536e-11
5.118013554e+00 -1.38315e-05 -1.38315e-05  2.90687e-11
5.120146060e+00 -1.34592e-05 -1.34592e-05  1.32145e-11
5.122279454e+00 -1.37968e-05 -1.37968e-05  3.04418e-11
5.124413737e+00 -1.29975e-05 -1.29975e-05  1.48384e-11
5.126548909e+00 -1.36570e-05 -1.36570e-05  2.22539e-11
5.128684971e+00 -1.26369e-05 -1.26369e-05  1.56069e-11
5.130821923e+00 -1.25525e-05 -1.25525e-05  2.06791e-11
5.132959766e+00 -1.29296e-05 -1.29296e-05  1.44324e-11
5.135098499e+00 -1.37305e-05 -1.37306e-05  1.81771e-11
5.137238123e+00 -1.33193e-05 -1.33193e-05  2.38827e-11
5.139378639e+00 -1.26559e-05 -1.26559e-05  2.11975e-11
5.141520047e+00 -1.34018e-05 -1.34018e-05  2.00408e-11
5.143662347e+00 -1.30542e-05 -1.30542e-05  2.13592e-11
5.145805540e+00 -1.16560e-05 -1.16560e-05  1.63158e-11
5.147949625e+00 -1.25111e-05 -1.25112e-05  4.42040e-11
5.150094604e+00 -1.25811e-05 -1.25811e-05  1.84534e-11
5.152240477e+00 -1.41457e-05 -1.41457e-05  2.61233e-11
5.154387244e+00 -1.39868e-05 -1.39869e-05  2.46667e-11
5.156534905e+00 -1.32388e-05 -1.32388e-05  2.69719e-11
5.158683462e+00 -1.28461e-05 -1.28461e-05  2.74081e-11
5.160832913e+00 -1.18729e-05 -1.18729e-05  3.06272e-11
5.162983260e+00 -1.29269e-05 -1.29270e-05  3.37999e-11
5.165134503e+00 -1.22550e-05 -1.22551e-05  3.96822e-11
5.167286642e+00 -1.24311e-05 -1.24311e-05  4.48739e-11
5.169439679e+00 -1.22301e-05 -1.22302e-05  3.95709e-11
5.171593612e+00 -1.30955e-05 -1.30955e-05  3.17682e-11
5.173748442e+00 -1.19773e-05 -1.19773e-05  1.72017e-11
5.175904171e+00 -1.27710e-05 -1.27711e-05  4.54860e-11
5.178060798e+00 -1.32968e-05 -1.32969e-05  4.12024e-11
5.180218323e+00 -1.22468e-05 -1.22468e-05  3.09248e-11
5.182376747e+00 -1.26776e-05 -1.26776e-05  3.77012e-11
5.184536071e+00 -1.21392e-05 -1.21392e-05  3.10121e-11
5.186696294e+00 -1.25252e-05 -1.25253e-05  3.98871e-11
5.188857418e+00 -1.32248e-05 -1.32249e-05  3.45864e-11
5.191019442e+00 -1.32294e-05 -1.32294e-05  4.17879e-11
5.193182366e+00 -1.25374e-05 -1.25374e-05  3.86547e-11
5.195346192e+00 -1.18444e-05 -1.18444e-05  4.28059e-11
5.197510920e+00 -1.18023e-05 -1.18024e-05  4.25663e-11
5.199676550e+00 -1.18317e-05 -1.18317e-05  4.31577e-11
5.201843081e+00 -1.12760e-05 -1.12761e-05  4.96393e-11
5.204010516e+00 -1.28829e-05 -1.28830e-05  4.47219e-11
5.206178854e+00 -1.22861e-05 -1.22861e-05  4.70585e-11
5.208348095e+00 -1.32807e-05 -1.32807e-05  4.38643e-11
5.210518240e+00 -1.12835e-05 -1.12835e-05  4.81318e-11
5.212689289e+00 -1.16991e-05 -1.16991e-05  4.05155e-11
5.214861243e+00 -1.25689e-05 -1.25690e-05  4.50826e-11
5.217034102e+00 -1.24126e-05 -1.24127e-05  4.30895e-11
5.219207866e+00 -1.24475e-05 -1.24476e-05  4.86836e-11
5.221382536e+00 -1.16280e-05 -1.16280e-05  4.37690e-11
5.223558112e+00 -1.17174e-05 -1.17174e-05  4.90401e-11
5.225734595e+00 -1.16638e-05 -1.16639e-05  4.35056e-11
5.227911984e+00 -1.21158e-05 -1.21158e-05  4.88205e-11
5.230090281e+00 -1.22090e-05 -1.22091e-05  4.49819e-11
5.232269485e+00 -1.16814e-05 -1.16814e-05  4.57814e-11
5.234449597e+00 -1.20790e-05 -1.20791e-05  4.83810e-11
5.236630618e+00 -1.22576e-05 -1.22576e-05  4.69678e-11
