results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e Transit Planet
5.000000000e+00 -2.91902e-05 -2.91902e-05  7.90551e-11
5.004166667e+00 -3.02487e-05 -3.02488e-05  9.98337e-11
5.008336806e+00 -2.99667e-05 -2.99667e-05  6.83213e-11
5.012510420e+00 -2.89741e-05 -2.89741e-05  6.38872e-11
5.016687512e+00 -2.82706e-05 -2.82708e-05  1.43212e-10
5.020868085e+00 -2.74366e-05 -2.74368e-05  2.30809e-10
5.025052141e+00 -2.78031e-05 -2.78032e-05  7.14300e-11
5.029239685e+00 -2.76615e-05 -2.76616e-05  1.40495e-10
5.033430718e+00 -2.90350e-05 -2.90351e-05  7.17370e-11
5.037625243e+00 -2.87777e-05 -2.87778e-05  6.10012e-11
5.041823264e+00 -2.78492e-05 -2.78493e-05  6.09119e-11
5.046024784e+00 -2.70063e-05 -2.70064e-05  6.17405e-11
5.050229804e+00 -2.94809e-05 -2.94809e-05  6.39901e-11
5.054438329e+00 -2.73419e-05 -2.73420e-05  6.79502e-11
5.058650361e+00 -2.78350e-05 -2.78351e-05  9.52972e-11
5.062865903e+00 -2.67070e-05 -2.67071e-05  7.36950e-11
5.067084958e+00 -2.71760e-05 -2.71761e-05  7.70177e-11
5.071307529e+00 -2.77491e-05 -2.77492e-05  8.20743e-11
5.075533619e+00 -2.75820e-05 -2.75821e-05  8.50932e-11
5.079763230e+00 -2.64104e-05 -2.64106e-05  1.32904e-10
5.083996366e+00 -2.61103e-05 -2.61105e-05  2.51577e-10
5.088233030e+00 -2.74284e-05 -2.74286e-05  1.28941e-10
5.092473224e+00 -2.49187e-05 -2.49188e-05  1.08029e-10
5.096716951e+00 -2.67474e-05 -2.67476e-05  1.19050e-10
5.100964216e+00 -2.75490e-05 -2.75492e-05  1.50267e-10
5.105215019e+00 -2.57839e-05 -2.57840e-05  1.18759e-10
5.109469365e+00 -2.46474e-05 -2.46475e-05  1.32554e-10
5.113727256e+00 -2.57583e-05 -2.57585e-05  1.94106e-10
5.117988695e+00 -2.64712e-05 -2.64713e-05  1.18477e-10
5.122253686e+00 -2.60027e-05 -2.60029e-05  1.12949e-10
5.126522231e+00 -2.46477e-05 -2.46478e-05  1.04314e-10
5.130794333e+00 -2.40202e-05 -2.40203e-05  9.64184e-11
5.135069995e+00 -2.62679e-05 -2.62680e-05  1.15537e-10
