results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e
5.000000000e+00  6.19074e-10
5.004166667e+00  6.34144e-10
5.008336806e+00  6.22025e-10
5.012510420e+00  6.18555e-10
5.016687512e+00  6.05468e-10
5.020868085e+00  5.84058e-10
5.025052141e+00  6.02448e-10
5.029239685e+00  6.04900e-10
5.033430718e+00  6.22442e-10
5.037625243e+00  6.17746e-10
5.041823264e+00  6.00322e-10
5.046024784e+00  5.91061e-10
5.050229804e+00  6.21610e-10
5.054438329e+00  5.94443e-10
5.058650361e+00  5.89857e-10
5.062865903e+00  5.76311e-10
5.067084958e+00  5.75680e-10
5.071307529e+00  5.83595e-10
5.075533619e+00  5.79745e-10
5.079763230e+00  5.53423e-10
5.083996366e+00  5.21717e-10
5.088233030e+00  5.47174e-10
5.092473224e+00  5.11649e-10
5.096716951e+00  5.27519e-10
5.100964216e+00  5.42683e-10
5.105215019e+00  5.06235e-10
5.109469365e+00  4.89671e-10
5.113727256e+00  4.98651e-10
5.117988695e+00  5.15993e-10
5.122253686e+00  5.10407e-10
5.126522231e+00  5.07880e-10
5.130794333e+00  5.10741e-10
5.135069995e+00  5.54962e-10
5.139349220e+00  5.30201e-10
5.143632011e+00  5.14975e-10
5.147918371e+00  4.85731e-10
5.152208303e+00  5.14272e-10
5.156501809e+00  4.80465e-10
5.160798894e+00  4.26569e-10
5.165099560e+00  3.51066e-10
5.169403810e+00  1.73463e-10
5.173711646e+00  6.23699e-11
5.178023073e+00  3.94615e-10
5.182338092e+00  4.12457e-10
5.186656707e+00  3.83900e-10
5.190978921e+00  3.70817e-10
5.195304737e+00  3.33569e-10
5.199634157e+00  3.17977e-10
5.203967186e+00  3.23951e-10
5.208303825e+00  2.91098e-10
5.212644078e+00  1.86271e-10
5.216987948e+00  2.87124e-10
5.221335438e+00  2.94703e-10
5.225686551e+00  2.97284e-10
5.230041290e+00  2.90105e-10
5.234399658e+00  2.99301e-10
5.238761657e+00  3.10206e-10
5.243127292e+00  3.20460e-10
5.247496565e+00  3.28014e-10
5.251869479e+00  3.39686e-10
5.256246036e+00  2.89997e-10
5.260626241e+00  3.68035e-10
5.265010097e+00  3.89720e-10
5.269397605e+00  3.36453e-10
5.273788770e+00  3.54181e-10
5.278183594e+00  4.07188e-10
5.282582080e+00  4.12847e-10
5.286984232e+00  4.34550e-10
5.291390052e+00  4.10481e-10
5.295799544e+00  4.27191e-10
5.300212710e+00  4.36838e-10
5.304629554e+00  4.30806e-10
5.309050079e+00  4.27584e-10
5.313474287e+00  4.28188e-10
5.317902182e+00  4.06603e-10
5.322333767e+00  4.22301e-10
5.326769045e+00  4.49375e-10
5.331208020e+00  4.39531e-10
5.335650693e+00  4.36117e-10
5.340097069e+00  4.36088e-10
5.344547149e+00  4.50187e-10
5.349000939e+00  4.32595e-10
5.353458440e+00  4.45952e-10
5.357919655e+00  4.72518e-10
5.362384588e+00  4.34338e-10
5.366853242e+00  4.34641e-10
5.371325619e+00  4.43988e-10
5.375801724e+00  4.49207e-10
5.380281559e+00  4.45553e-10
5.384765127e+00  4.39242e-10
5.389252431e+00  4.30369e-10
5.393743475e+00  4.43033e-10
5.398238261e+00  4.56494e-10
5.402736793e+00  4.34556e-10
5.407239074e+00  4.32359e-10
5.411745106e+00  4.51927e-10
5.416254894e+00  4.56115e-10
5.420768440e+00  4.01805e-10
5.425285747e+00  4.61039e-10
5.429806818e+00  4.27626e-10
5.434331657e+00  4.35349e-10
5.438860267e+00  4.36638e-10
5.443392650e+00  4.52199e-10
5.447928811e+00  4.43121e-10
5.452468752e+00  4.35931e-10
5.457012475e+00  4.36697e-10
5.461559986e+00  4.62479e-10
5.466111286e+00  3.99519e-10
5.470666379e+00  4.65104e-10
5.475225267e+00  4.55684e-10
5.479787955e+00  4.24589e-10
5.484354445e+00  4.34184e-10
5.488924740e+00  4.32812e-10
5.493498844e+00  4.21251e-10
5.498076760e+00  4.19793e-10
5.502658491e+00  4.21714e-10
5.507244039e+00  4.24520e-10
5.511833409e+00  4.09814e-10
5.516426604e+00  4.26063e-10
5.521023626e+00  4.24011e-10
5.525624479e+00  4.33796e-10
5.530229166e+00  4.21446e-10
5.534837690e+00  4.13153e-10
5.539450055e+00  4.24130e-10
5.544066264e+00  4.07659e-10
5.548686319e+00  4.37542e-10
5.553310224e+00  4.42014e-10
5.557937983e+00  4.28878e-10
5.562569598e+00  4.25797e-10
5.567205072e+00  4.40058e-10
5.571844410e+00  4.40307e-10
5.576487613e+00  4.13925e-10
5.581134686e+00  4.64391e-10
5.585785632e+00  4.29663e-10
5.590440453e+00  4.22454e-10
5.595099154e+00  4.21952e-10
5.599761736e+00  4.26162e-10
5.604428205e+00  4.32125e-10
5.609098561e+00  4.11650e-10
5.613772810e+00  4.15002e-10
5.618450954e+00  4.43608e-10
5.623132997e+00  4.18923e-10
5.627818941e+00  4.25158e-10
5.632508790e+00  4.47388e-10
5.637202547e+00  4.79079e-10
5.641900216e+00  4.08198e-10
5.646601800e+00  4.13944e-10
5.651307301e+00  4.36160e-10
5.656016724e+00  4.38674e-10
5.660730071e+00  4.15812e-10
5.665447346e+00  4.05391e-10
5.670168552e+00  4.32587e-10
5.674893693e+00  4.32011e-10
5.679622771e+00  4.42899e-10
5.684355790e+00  4.19366e-10
5.689092753e+00  4.48297e-10
5.693833664e+00  4.32394e-10
5.698578525e+00  4.07880e-10
5.703327340e+00  4.41781e-10
5.708080113e+00  4.43557e-10
5.712836847e+00  4.49955e-10
5.717597544e+00  4.37909e-10
5.722362209e+00  4.55784e-10
5.727130844e+00  4.57882e-10
5.731903453e+00  4.51434e-10
