# Simulation:  trappist1e_1barN2_0.4barCO2_aqua
# TRAPPIST-1 e, 0.71% N2, 0.29% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.4117119           #296.6041082         #0.0000000           #32.5714286          #0.0000000           
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       27199.8060023           0.0009559         178.2019684           0.7142826       2.8571302E-01       0.0000000E+00       4.4285989E-06       0.0000000E+00       2.6511678E-09              14.000               6.390
    1       26415.0184987           0.0012448         178.7394935           0.7142828       2.8571312E-01       0.0000000E+00       4.0733469E-06       0.0000000E+00       1.2373096E-08              14.000               6.576
    2       25642.0295630           0.0016128         180.0842388           0.7142830       2.8571320E-01       0.0000000E+00       3.8004830E-06       0.0000000E+00       1.4478288E-08              14.000               6.947
    3       24877.3968746           0.0020793         181.9610802           0.7142830       2.8571321E-01       0.0000000E+00       3.7822886E-06       0.0000000E+00       1.3350423E-08              14.000               7.484
    4       24118.8265192           0.0026674         184.1213125           0.7142828       2.8571312E-01       0.0000000E+00       4.0805573E-06       0.0000000E+00       1.1528862E-08              14.000               8.216
    5       23365.3169568           0.0034049         186.2998115           0.7142824       2.8571295E-01       0.0000000E+00       4.6665020E-06       0.0000000E+00       1.0063334E-08              14.000               9.110
    6       22617.2551786           0.0043246         188.2879490           0.7142819       2.8571277E-01       0.0000000E+00       5.3116063E-06       0.0000000E+00       8.7935524E-09              14.000              10.050
    7       21875.7783136           0.0054654         189.9195907           0.7142815       2.8571262E-01       0.0000000E+00       5.8411005E-06       0.0000000E+00       8.4151900E-09              14.000              10.890
    8       21142.5572673           0.0068729         191.2175555           0.7142812       2.8571250E-01       0.0000000E+00       6.2648855E-06       0.0000000E+00       9.4152857E-09              14.000              11.590
    9       20419.1678180           0.0085997         192.4104882           0.7142809       2.8571237E-01       0.0000000E+00       6.6984730E-06       0.0000000E+00       1.1344832E-08              14.000              12.268
