# Simulation:  trappist1e_1barN2_0.4barCO2_aqua
# TRAPPIST-1 e, 0.71% N2, 0.29% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.4113707           #296.7629302         #0.0000000           #32.5714286          #330.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       27147.3882574           0.0009559         177.1162945           0.7142826       2.8571302E-01       0.0000000E+00       4.4165559E-06       0.0000000E+00       3.9161202E-09              14.000               6.260
    1       26366.6009454           0.0012448         177.5411710           0.7142828       2.8571314E-01       0.0000000E+00       4.0230462E-06       0.0000000E+00       1.8027421E-08              14.000               6.405
    2       25597.7274102           0.0016128         178.8624088           0.7142831       2.8571322E-01       0.0000000E+00       3.7249663E-06       0.0000000E+00       2.0135657E-08              14.000               6.709
    3       24837.1187297           0.0020793         180.7456451           0.7142831       2.8571323E-01       0.0000000E+00       3.6784979E-06       0.0000000E+00       1.7769129E-08              14.000               7.154
    4       24082.5025057           0.0026674         182.9362836           0.7142829       2.8571316E-01       0.0000000E+00       3.9424861E-06       0.0000000E+00       1.4777184E-08              14.000               7.785
    5       23332.8427559           0.0034049         185.1941799           0.7142825       2.8571300E-01       0.0000000E+00       4.4933250E-06       0.0000000E+00       1.2480920E-08              14.000               8.613
    6       22588.3518187           0.0043246         187.3404124           0.7142821       2.8571282E-01       0.0000000E+00       5.1149010E-06       0.0000000E+00       1.0684268E-08              14.000               9.552
    7       21849.8917118           0.0054654         189.2004224           0.7142817       2.8571268E-01       0.0000000E+00       5.6269334E-06       0.0000000E+00       1.0095253E-08              14.000              10.470
    8       21118.9130061           0.0068729         190.7496202           0.7142814       2.8571256E-01       0.0000000E+00       6.0328574E-06       0.0000000E+00       1.1000726E-08              14.000              11.296
    9       20396.9619894           0.0085997         192.1476363           0.7142811       2.8571244E-01       0.0000000E+00       6.4451846E-06       0.0000000E+00       1.2790552E-08              14.000              12.096
   10       19684.9178627           0.0107070         193.6324310           0.7142807       2.8571229E-01       0.0000000E+00       6.9819273E-06       0.0000000E+00       1.4093135E-08              14.000              13.027
   11       18982.6608015           0.0132648         195.3083710           0.7142802       2.8571209E-01       0.0000000E+00       7.6750499E-06       0.0000000E+00       1.4029235E-08              14.000              14.192
   12       18289.7691543           0.0163518         197.0854185           0.7142797       2.8571188E-01       0.0000000E+00       8.4320620E-06       0.0000000E+00       1.2775920E-08              14.000              15.551
   13       17606.3018374           0.0200568         198.8182501           0.7142792       2.8571167E-01       0.0000000E+00       9.1668654E-06       0.0000000E+00       1.0642280E-08              14.000              16.993
   14       16932.6821640           0.0244790         200.4684148           0.7142787       2.8571147E-01       0.0000000E+00       9.8586299E-06       0.0000000E+00       8.0998711E-09              14.000              18.464
   15       16269.4739389           0.0297280         202.1322906           0.7142783       2.8571131E-01       0.0000000E+00       1.0424325E-05       0.0000000E+00       5.3687523E-09              14.000              20.042
   16       15617.0418919           0.0359233         203.8949941           0.7142780       2.8571120E-01       0.0000000E+00       1.0806924E-05       0.0000000E+00       4.7779764E-09              14.000              21.814
   17       14975.4801499           0.0431938         205.7351619           0.7142777       2.8571109E-01       0.0000000E+00       1.1170760E-05       5.0550089E-32       8.3886719E-09              14.000              23.680
   18       14344.8777495           0.0516775         207.6521204           0.7142773       2.8571092E-01       0.0000000E+00       1.1784232E-05       5.6855618E-30       1.9288126E-08              14.000              25.457
   19       13725.0696022           0.0615205         209.7549369           0.7142764       2.8571057E-01       0.0000000E+00       1.3014822E-05       4.8362243E-29       3.4441676E-08              14.000              27.188
   20       13115.6648973           0.0728745         212.2555602           0.7142747       2.8570988E-01       0.0000000E+00       1.5428734E-05       4.8912448E-28       4.7507144E-08              14.000              29.177
   21       12515.9424556           0.0887524         215.8390936           0.7142705       2.8570822E-01       0.0000000E+00       2.1247122E-05       2.2845371E-25       6.2174994E-08              14.000              31.866
   22       11717.5222433           0.1103467         220.5026001           0.7142609       2.8570437E-01       0.0000000E+00       3.4698431E-05       1.6281782E-21       1.2218238E-07              14.000              34.802
   23       10926.8734937           0.1360078         225.7546432           0.7142393       2.8569572E-01       0.0000000E+00       6.4987949E-05       1.4613618E-10       2.2310483E-07              14.000              38.237
   24       10152.0119312           0.1661967         231.3268932           0.7141955       2.8567820E-01       0.0000000E+00       1.2630065E-04       1.4344183E-08       4.2111093E-07              14.000              43.180
   25        9385.7295057           0.2017124         236.9262960           0.7141112       2.8564449E-01       0.0000000E+00       2.4435542E-04       2.3166240E-07       9.6231945E-07              14.000              52.394
