# Simulation:  trappist1e_1barN2_0.4barCO2_aqua
# TRAPPIST-1 e, 0.71% N2, 0.29% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.4112790           #298.4030899         #0.0000000           #32.5714286          #50.0000000          
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       27313.3478323           0.0009559         180.5435577           0.7142825       2.8571302E-01       0.0000000E+00       4.4384748E-06       0.0000000E+00       1.0242167E-09              14.000               6.846
    1       26518.1463358           0.0012448         180.7919386           0.7142827       2.8571310E-01       0.0000000E+00       4.1573564E-06       0.0000000E+00       6.6325562E-09              14.000               6.962
    2       25736.4715744           0.0016128         181.8823161           0.7142829       2.8571315E-01       0.0000000E+00       3.9612344E-06       0.0000000E+00       9.3314921E-09              14.000               7.337
    3       24964.5008453           0.0020793         183.7103708           0.7142828       2.8571313E-01       0.0000000E+00       4.0385164E-06       0.0000000E+00       9.6260889E-09              14.000               7.984
    4       24198.9305616           0.0026674         185.8409493           0.7142826       2.8571302E-01       0.0000000E+00       4.4193916E-06       0.0000000E+00       8.9794491E-09              14.000               8.865
    5       23438.7188201           0.0034049         187.8839806           0.7142821       2.8571284E-01       0.0000000E+00       5.0689326E-06       0.0000000E+00       8.6849957E-09              14.000               9.848
    6       22684.7126025           0.0043246         189.5930386           0.7142816       2.8571264E-01       0.0000000E+00       5.7437382E-06       3.3339053E-39       8.4525299E-09              14.000              10.756
    7       21938.6125770           0.0054654         190.8560983           0.7142812       2.8571248E-01       0.0000000E+00       6.3065065E-06       1.0655597E-33       9.0696293E-09              14.000              11.457
    8       21202.3671639           0.0068729         191.7902857           0.7142809       2.8571235E-01       0.0000000E+00       6.7856849E-06       1.9230364E-30       1.1113810E-08              14.000              11.970
    9       20477.4111771           0.0085997         192.7260493           0.7142805       2.8571220E-01       0.0000000E+00       7.2991140E-06       3.4865465E-30       1.4305831E-08              14.000              12.499
   10       19763.8651418           0.0107070         193.9926625           0.7142800       2.8571201E-01       0.0000000E+00       7.9575571E-06       1.9936088E-31       1.7033316E-08              14.000              13.300
   11       19060.5998392           0.0132648         195.6303076           0.7142795       2.8571179E-01       0.0000000E+00       8.7502055E-06       0.0000000E+00       1.7966133E-08              14.000              14.463
   12       18366.5366254           0.0163518         197.4068931           0.7142789       2.8571156E-01       0.0000000E+00       9.5266716E-06       0.0000000E+00       1.8175995E-08              14.000              15.857
   13       17681.6732083           0.0200568         199.0468278           0.7142784       2.8571138E-01       0.0000000E+00       1.0176223E-05       0.0000000E+00       1.6861599E-08              14.000              17.242
   14       17006.8175789           0.0244790         200.4119501           0.7142781       2.8571123E-01       0.0000000E+00       1.0702643E-05       4.6576642E-32       1.2849742E-08              14.000              18.451
   15       16343.1745255           0.0297280         201.5315289           0.7142778       2.8571112E-01       0.0000000E+00       1.1080096E-05       7.7484806E-24       1.1238464E-08              14.000              19.509
   16       15691.8471781           0.0359233         202.5241985           0.7142776       2.8571105E-01       0.0000000E+00       1.1318068E-05       2.8822686E-23       1.9965253E-08              14.000              20.540
   17       15053.4383805           0.0431938         203.6304843           0.7142774       2.8571096E-01       0.0000000E+00       1.1655184E-05       9.5659495E-23       4.7412570E-08              14.000              21.686
   18       14427.7467165           0.0516775         205.1673784           0.7142768       2.8571071E-01       0.0000000E+00       1.2515923E-05       2.9263081E-26       9.1082045E-08              14.000              23.117
   19       13813.7722783           0.0615205         207.3188903           0.7142755       2.8571020E-01       0.0000000E+00       1.4294069E-05       3.6244747E-26       1.3780378E-07              14.000              25.008
   20       13210.2204065           0.0728745         210.0789235           0.7142730       2.8570919E-01       0.0000000E+00       1.7851268E-05       1.2897187E-25       2.0100609E-07              14.000              27.437
   21       12615.7963947           0.0887486         214.1874797           0.7142658       2.8570634E-01       0.0000000E+00       2.7820998E-05       2.0081974E-24       3.6620974E-07              14.000              30.791
   22       11822.9376498           0.1103347         219.8270004           0.7142470       2.8569879E-01       0.0000000E+00       5.4246259E-05       2.5608759E-11       7.6021937E-07              14.000              34.402
   23       11034.4998940           0.1359860         226.3554036           0.7142041       2.8568164E-01       0.0000000E+00       1.1425975E-04       2.1491603E-08       1.2506337E-06              14.000              38.599
   24       10257.9713011           0.1661635         233.1546905           0.7141273       2.8565096E-01       0.0000000E+00       2.2170290E-04       4.5436962E-07       1.9879229E-06              14.000              44.886
   25        9486.7994724           0.2016658         239.7830164           0.7140010       2.8560047E-01       0.0000000E+00       3.9850003E-04       2.0885180E-06       2.7679034E-06              14.000              57.074
   26        8717.2211544           0.2434323         246.0159920           0.7137929       2.8551735E-01       0.0000000E+00       6.8973318E-04       4.5364860E-06       2.3228092E-06              14.000              78.127
   27        7947.0231696           0.2925685         251.9391347           0.7134489       2.8538010E-01       0.0000000E+00       1.1710179E-03       8.2414023E-06       1.8701274E-06              14.000             105.041
   28        7174.2821719           0.3503748         257.9977275           0.7129279       2.8517262E-01       0.0000000E+00       1.8994391E-03       1.1135033E-05       1.2296300E-06              14.000             137.631
   29        6396.2765739           0.4183807         264.6238522           0.7122215       2.8489191E-01       0.0000000E+00       2.8866197E-03       1.0895865E-05       8.1239087E-07              14.000             179.205
   30        5609.4612741           0.4983862         271.9300019           0.7112727       2.8451615E-01       0.0000000E+00       4.2111170E-03       9.1857190E-06       4.5784952E-07              14.000             215.544
   31        4810.4142393           0.5925086         279.6570993           0.7099964       2.8401285E-01       0.0000000E+00       5.9907023E-03       7.3646422E-06       1.3866185E-07              14.000             232.972
   32        3996.7995871           0.7032387         287.4457876           0.7083804       2.8337909E-01       0.0000000E+00       8.2405493E-03       5.8497717E-06       7.1674227E-09              14.000             241.413
   33        3167.4741908           0.8335069         294.8517532           0.7063170       2.8257562E-01       0.0000000E+00       1.1107348E-02       3.8052642E-06       4.3620082E-26              14.000             245.279
   34        2322.7182912           0.9727469         300.8100206           0.7042463       2.8177559E-01       0.0000000E+00       1.3978123E-02       3.0709162E-06       2.0254832E-28              14.000             245.803
   35        1596.1823703           1.1042254         304.3671736           0.7031606       2.8135866E-01       0.0000000E+00       1.5480694E-02       2.6168936E-06       4.9915848E-32              14.000             245.805
   36        1002.6500359           1.2191479         305.1249892           0.7029699       2.8128557E-01       0.0000000E+00       1.5744548E-02       2.6166804E-06       7.9490882E-34              14.000             245.805
   37         549.8711565           1.3095255         303.5567336           0.7028004       2.8122069E-01       0.0000000E+00       1.5978905E-02       4.1136335E-06       4.9766264E-30              14.000             245.804
   38         241.9189565           1.3686884         301.0317592           0.7014332       2.8069876E-01       0.0000000E+00       1.7867997E-02       1.1494622E-05       2.4038345E-28              14.000             245.804
   39          79.2740184           1.4002445         299.5854089           0.7007299       2.8043129E-01       0.0000000E+00       1.8838839E-02       9.6531203E-06       7.7052323E-28              14.000             245.803
