# Simulation:  trappist1e_1barN2_0.4barCO2_aqua
# TRAPPIST-1 e, 0.71% N2, 0.29% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.4105226           #298.8206142         #0.0754647           #32.5714286          #180.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       27045.0032684           0.0009559         175.5036222           0.7142826       2.8571303E-01       0.0000000E+00       4.3919366E-06       0.0000000E+00       6.9019072E-09              14.000               6.181
    1       26272.4292817           0.0012448         175.4060478           0.7142829       2.8571316E-01       0.0000000E+00       3.9358193E-06       0.0000000E+00       3.6061409E-08              14.000               6.193
    2       25513.7066271           0.0016128         176.4480378           0.7142831       2.8571325E-01       0.0000000E+00       3.6196967E-06       0.0000000E+00       4.0398275E-08              14.000               6.314
    3       24764.0758061           0.0020793         178.2972297           0.7142832       2.8571327E-01       0.0000000E+00       3.5631968E-06       0.0000000E+00       3.5794953E-08              14.000               6.561
    4       24020.3241361           0.0026674         180.5846047           0.7142830       2.8571320E-01       0.0000000E+00       3.7860042E-06       0.0000000E+00       2.8968349E-08              14.000               7.011
    5       23280.9112570           0.0034049         183.0295606           0.7142827       2.8571306E-01       0.0000000E+00       4.2794214E-06       0.0000000E+00       2.3839271E-08              14.000               7.723
    6       22545.6777201           0.0043246         185.4937919           0.7142822       2.8571289E-01       0.0000000E+00       4.8745343E-06       0.0000000E+00       1.9922424E-08              14.000               8.665
    7       21814.9709517           0.0054654         187.7982788           0.7142819       2.8571274E-01       0.0000000E+00       5.3995777E-06       0.0000000E+00       1.8434796E-08              14.000               9.726
    8       21089.7925757           0.0068729         189.8249645           0.7142815       2.8571262E-01       0.0000000E+00       5.8425983E-06       0.0000000E+00       1.9412380E-08              14.000              10.784
    9       20371.6232027           0.0085997         191.5928101           0.7142812       2.8571249E-01       0.0000000E+00       6.2996171E-06       0.0000000E+00       2.2665740E-08              14.000              11.793
   10       19661.8010453           0.0107070         193.2456724           0.7142808       2.8571232E-01       0.0000000E+00       6.8686458E-06       0.0000000E+00       2.6183979E-08              14.000              12.821
   11       18960.9856097           0.0132648         194.9072283           0.7142803       2.8571212E-01       0.0000000E+00       7.5775351E-06       0.0000000E+00       2.6482485E-08              14.000              13.946
   12       18269.4279165           0.0163518         196.5991065           0.7142798       2.8571190E-01       0.0000000E+00       8.3437241E-06       0.0000000E+00       2.2775039E-08              14.000              15.194
   13       17587.4454436           0.0200568         198.2872129           0.7142792       2.8571169E-01       0.0000000E+00       9.0833250E-06       0.0000000E+00       1.7492325E-08              14.000              16.546
   14       16915.3277520           0.0244790         199.9519879           0.7142787       2.8571150E-01       0.0000000E+00       9.7632910E-06       0.0000000E+00       1.1003788E-08              14.000              17.989
   15       16253.4168829           0.0297280         201.6712893           0.7142783       2.8571134E-01       0.0000000E+00       1.0319827E-05       0.0000000E+00       6.5790757E-09              14.000              19.593
   16       15601.8537520           0.0359233         203.5456677           0.7142781       2.8571122E-01       0.0000000E+00       1.0719150E-05       0.0000000E+00       3.9616380E-09              14.000              21.457
   17       14960.4730785           0.0431938         205.6163940           0.7142778       2.8571112E-01       0.0000000E+00       1.1080660E-05       0.0000000E+00       4.6708751E-09              14.000              23.568
   18       14329.0469559           0.0516775         207.9029830           0.7142774       2.8571097E-01       0.0000000E+00       1.1618761E-05       0.0000000E+00       5.6776557E-09              14.000              25.755
