results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e
5.000000000e+00  5.16919e-10
5.002083333e+00  5.09245e-10
5.004167535e+00  5.52545e-10
5.006252605e+00  5.64827e-10
5.008338543e+00  5.49487e-10
5.010425351e+00  5.36379e-10
5.012513028e+00  5.13339e-10
5.014601575e+00  5.34580e-10
5.016690992e+00  5.23620e-10
5.018781280e+00  4.92703e-10
5.020872439e+00  4.73714e-10
5.022964469e+00  5.48177e-10
5.025057371e+00  5.06071e-10
5.027151145e+00  5.13231e-10
5.029245792e+00  5.02954e-10
5.031341311e+00  5.41331e-10
5.033437703e+00  5.23419e-10
5.035534969e+00  5.56417e-10
5.037633108e+00  5.39286e-10
5.039732122e+00  5.05982e-10
5.041832010e+00  5.21179e-10
5.043932774e+00  5.19368e-10
5.046034412e+00  5.05976e-10
5.048136927e+00  5.08483e-10
5.050240317e+00  5.30453e-10
5.052344584e+00  5.45914e-10
5.054449727e+00  5.07684e-10
5.056555748e+00  5.21553e-10
5.058662646e+00  4.88340e-10
5.060770422e+00  5.12861e-10
5.062879077e+00  4.72651e-10
5.064988610e+00  5.08307e-10
5.067099022e+00  4.65174e-10
5.069210313e+00  5.36728e-10
5.071322484e+00  4.76124e-10
5.073435535e+00  5.40477e-10
5.075549466e+00  4.78508e-10
5.077664279e+00  4.95557e-10
5.079779972e+00  4.49436e-10
5.081896547e+00  4.60597e-10
5.084014004e+00  4.42150e-10
5.086132343e+00  4.80267e-10
5.088251565e+00  4.34839e-10
5.090371670e+00  5.04714e-10
5.092492658e+00  3.87888e-10
5.094614530e+00  4.90272e-10
5.096737286e+00  4.14014e-10
5.098860926e+00  5.10724e-10
5.100985452e+00  4.53357e-10
5.103110862e+00  4.89932e-10
5.105237159e+00  4.08076e-10
5.107364341e+00  4.63172e-10
5.109492409e+00  3.86970e-10
5.111621364e+00  4.58084e-10
5.113751207e+00  3.86282e-10
5.115881936e+00  4.83301e-10
5.118013554e+00  3.97578e-10
5.120146060e+00  4.95279e-10
5.122279454e+00  3.89508e-10
5.124413737e+00  4.77860e-10
5.126548909e+00  4.32094e-10
5.128684971e+00  4.51321e-10
5.130821923e+00  4.13874e-10
5.132959766e+00  4.63001e-10
5.135098499e+00  4.59363e-10
5.137238123e+00  4.49531e-10
5.139378639e+00  4.44835e-10
5.141520047e+00  4.58471e-10
5.143662347e+00  4.30605e-10
5.145805540e+00  4.30541e-10
5.147949625e+00  3.26461e-10
5.150094604e+00  4.67081e-10
5.152240477e+00  4.34195e-10
5.154387244e+00  4.38094e-10
5.156534905e+00  4.18228e-10
5.158683462e+00  4.07652e-10
5.160832913e+00  3.59458e-10
5.162983260e+00  3.84332e-10
5.165134503e+00  2.99552e-10
5.167286642e+00  2.71294e-10
5.169439679e+00  1.19788e-10
5.171593612e+00  5.34846e-11
5.173748442e+00  1.90009e-11
5.175904171e+00  2.27333e-10
5.178060798e+00  3.61388e-10
5.180218323e+00  4.08359e-10
5.182376747e+00  3.23089e-10
5.184536071e+00  3.96318e-10
5.186696294e+00  2.80856e-10
5.188857418e+00  4.18200e-10
5.191019442e+00  2.54220e-10
5.193182366e+00  3.96360e-10
5.195346192e+00  2.01860e-10
5.197510920e+00  3.72860e-10
5.199676550e+00  1.70816e-10
5.201843081e+00  3.46070e-10
5.204010516e+00  2.42743e-10
5.206178854e+00  3.06611e-10
5.208348095e+00  2.29297e-10
5.210518240e+00  2.56575e-10
5.212689289e+00  1.26212e-10
5.214861243e+00  1.82072e-10
5.217034102e+00  2.05715e-10
5.219207866e+00  3.11402e-10
5.221382536e+00  2.09868e-10
5.223558112e+00  2.92125e-10
5.225734595e+00  2.20765e-10
5.227911984e+00  2.89442e-10
5.230090281e+00  2.84722e-10
5.232269485e+00  1.91703e-10
5.234449597e+00  3.11129e-10
5.236630618e+00  2.03144e-10
5.238812547e+00  3.35754e-10
5.240995386e+00  1.84618e-10
5.243179134e+00  3.63948e-10
5.245363792e+00  1.82668e-10
5.247549360e+00  3.92964e-10
5.249735839e+00  1.93133e-10
5.251923229e+00  3.76887e-10
5.254111531e+00  1.82090e-10
5.256300744e+00  2.47374e-10
5.258490869e+00  3.08192e-10
5.260681907e+00  2.96006e-10
5.262873858e+00  3.61895e-10
5.265066722e+00  2.86268e-10
5.267260500e+00  3.48975e-10
5.269455191e+00  2.41298e-10
5.271650798e+00  2.65096e-10
5.273847319e+00  2.89224e-10
5.276044755e+00  3.44958e-10
5.278243107e+00  2.89628e-10
5.280442375e+00  3.77782e-10
5.282642560e+00  3.40216e-10
5.284843661e+00  3.28467e-10
5.287045679e+00  3.72514e-10
5.289248615e+00  3.52548e-10
5.291452468e+00  3.18605e-10
5.293657240e+00  3.15393e-10
5.295862930e+00  3.70208e-10
5.298069540e+00  3.14986e-10
5.300277069e+00  3.95066e-10
5.302485518e+00  3.63420e-10
5.304694887e+00  3.74798e-10
5.306905176e+00  3.23780e-10
5.309116387e+00  3.75082e-10
5.311328519e+00  3.45592e-10
5.313541572e+00  3.76195e-10
5.315755548e+00  3.25789e-10
5.317970446e+00  3.58647e-10
5.320186267e+00  3.27388e-10
5.322403011e+00  3.49716e-10
5.324620679e+00  3.75226e-10
5.326839271e+00  3.70837e-10
5.329058787e+00  3.54987e-10
5.331279229e+00  3.70852e-10
5.333500595e+00  3.68579e-10
5.335722887e+00  3.59884e-10
5.337946105e+00  3.68345e-10
5.340170249e+00  3.41918e-10
5.342395320e+00  3.65178e-10
5.344621318e+00  3.40395e-10
5.346848244e+00  3.71421e-10
5.349076097e+00  2.69239e-10
5.351304879e+00  3.38831e-10
5.353534589e+00  2.75974e-10
5.355765228e+00  3.96996e-10
5.357996797e+00  3.23552e-10
5.360229296e+00  3.87207e-10
5.362462725e+00  3.38208e-10
5.364697084e+00  3.46679e-10
5.366932375e+00  3.39090e-10
5.369168597e+00  3.66621e-10
5.371405750e+00  3.48623e-10
5.373643836e+00  3.73678e-10
5.375882854e+00  3.51575e-10
5.378122805e+00  3.50468e-10
5.380363690e+00  3.36409e-10
5.382605508e+00  3.79919e-10
5.384848260e+00  3.47124e-10
5.387091947e+00  3.58753e-10
5.389336569e+00  3.28214e-10
5.391582126e+00  3.41719e-10
5.393828618e+00  3.54369e-10
5.396076047e+00  3.81698e-10
5.398324412e+00  3.65623e-10
5.400573714e+00  3.59345e-10
5.402823953e+00  3.40080e-10
5.405075129e+00  3.47448e-10
5.407327244e+00  3.39578e-10
5.409580297e+00  3.37140e-10
5.411834289e+00  3.07227e-10
5.414089220e+00  3.67883e-10
5.416345090e+00  3.37942e-10
5.418601901e+00  3.31121e-10
5.420859652e+00  2.60908e-10
5.423118343e+00  2.60757e-10
5.425377976e+00  3.30608e-10
5.427638550e+00  3.23953e-10
5.429900066e+00  3.24303e-10
5.432162524e+00  3.39597e-10
5.434425925e+00  3.46873e-10
5.436690269e+00  3.21431e-10
5.438955557e+00  3.49020e-10
5.441221789e+00  3.60496e-10
5.443488964e+00  2.99263e-10
5.445757085e+00  3.41685e-10
5.448026150e+00  3.39870e-10
5.450296161e+00  3.38575e-10
5.452567118e+00  3.33132e-10
5.454839021e+00  3.23628e-10
5.457111870e+00  3.46137e-10
5.459385667e+00  3.25813e-10
5.461660411e+00  3.41007e-10
5.463936103e+00  2.27886e-10
5.466212743e+00  3.20643e-10
5.468490331e+00  2.78719e-10
5.470768869e+00  3.53067e-10
5.473048356e+00  3.44012e-10
5.475328793e+00  3.31669e-10
5.477610180e+00  2.67087e-10
5.479892518e+00  3.10821e-10
5.482175806e+00  3.27895e-10
5.484460046e+00  3.29604e-10
5.486745238e+00  3.07812e-10
5.489031382e+00  3.39398e-10
5.491318478e+00  3.30755e-10
5.493606527e+00  3.12052e-10
5.495895530e+00  3.33922e-10
5.498185487e+00  3.31375e-10
5.500476397e+00  3.23885e-10
5.502768262e+00  3.10310e-10
5.505061082e+00  3.27262e-10
5.507354858e+00  3.29548e-10
5.509649589e+00  3.13585e-10
5.511945276e+00  3.13225e-10
5.514241920e+00  3.25651e-10
5.516539521e+00  3.13427e-10
5.518838079e+00  3.00482e-10
5.521137595e+00  3.11310e-10
5.523438069e+00  2.42399e-10
5.525739502e+00  3.15295e-10
5.528041893e+00  3.08944e-10
5.530345244e+00  3.06409e-10
5.532649554e+00  3.01719e-10
5.534954825e+00  3.12940e-10
5.537261056e+00  3.19181e-10
5.539568248e+00  3.02404e-10
5.541876402e+00  3.04371e-10
5.544185517e+00  3.09068e-10
5.546495594e+00  3.01838e-10
5.548806634e+00  2.82261e-10
5.551118637e+00  2.82391e-10
5.553431603e+00  3.21457e-10
5.555745533e+00  2.64227e-10
5.558060427e+00  2.90903e-10
5.560376285e+00  3.07896e-10
5.562693109e+00  3.08335e-10
5.565010897e+00  2.92118e-10
5.567329652e+00  2.71708e-10
5.569649373e+00  2.87413e-10
5.571970060e+00  3.07418e-10
5.574291714e+00  3.04275e-10
5.576614336e+00  2.95090e-10
5.578937925e+00  1.59278e-10
5.581262482e+00  3.24680e-10
5.583588008e+00  2.75872e-10
5.585914503e+00  2.86045e-10
5.588241968e+00  2.93570e-10
5.590570402e+00  2.99087e-10
5.592899806e+00  2.98666e-10
5.595230181e+00  3.14249e-10
5.597561527e+00  3.06893e-10
5.599893844e+00  2.95724e-10
5.602227134e+00  2.67654e-10
5.604561395e+00  3.06653e-10
5.606896629e+00  2.91152e-10
5.609232836e+00  2.99314e-10
5.611570016e+00  2.88915e-10
5.613908170e+00  2.85080e-10
5.616247299e+00  2.36293e-10
5.618587402e+00  2.86158e-10
5.620928480e+00  2.79424e-10
5.623270533e+00  2.78172e-10
5.625613563e+00  2.80606e-10
5.627957568e+00  2.99233e-10
5.630302551e+00  2.85800e-10
5.632648510e+00  2.51341e-10
5.634995447e+00  3.04849e-10
5.637343362e+00  2.96658e-10
5.639692255e+00  2.28581e-10
5.642042127e+00  2.45734e-10
5.644392977e+00  2.23235e-10
5.646744808e+00  2.53763e-10
5.649097618e+00  2.76956e-10
5.651451409e+00  2.82437e-10
5.653806180e+00  2.88407e-10
5.656161933e+00  2.33578e-10
5.658518667e+00  2.94675e-10
5.660876383e+00  2.83046e-10
5.663235082e+00  2.75886e-10
5.665594763e+00  2.80789e-10
5.667955427e+00  2.65702e-10
5.670317075e+00  2.82684e-10
5.672679708e+00  2.84778e-10
5.675043324e+00  2.17607e-10
5.677407925e+00  2.72838e-10
5.679773512e+00  2.77165e-10
5.682140084e+00  2.72196e-10
5.684507643e+00  2.68571e-10
5.686876188e+00  2.69966e-10
5.689245719e+00  2.74550e-10
5.691616238e+00  2.33519e-10
5.693987745e+00  2.81037e-10
5.696360240e+00  2.68571e-10
5.698733724e+00  2.72747e-10
5.701108196e+00  2.79659e-10
5.703483658e+00  2.84187e-10
5.705860109e+00  2.77554e-10
5.708237551e+00  2.65304e-10
5.710615983e+00  2.06740e-10
5.712995407e+00  2.75652e-10
5.715375821e+00  2.56134e-10
5.717757228e+00  2.49660e-10
5.720139627e+00  2.29847e-10
5.722523018e+00  2.59137e-10
5.724907403e+00  2.54842e-10
5.727292781e+00  2.52723e-10
5.729679153e+00  2.71868e-10
5.732066519e+00  2.57300e-10
5.734454880e+00  2.44411e-10
5.736844236e+00  2.45503e-10
5.739234588e+00  2.69153e-10
5.741625936e+00  2.73916e-10
5.744018280e+00  2.70164e-10
5.746411621e+00  2.47560e-10
5.748805959e+00  1.79233e-10
5.751201295e+00  2.99448e-10
5.753597629e+00  2.64958e-10
5.755994961e+00  2.67474e-10
5.758393293e+00  2.74710e-10
5.760792623e+00  2.77899e-10
5.763192953e+00  2.36972e-10
5.765594284e+00  1.58914e-10
5.767996615e+00  2.16261e-10
5.770399947e+00  2.50772e-10
5.772804280e+00  2.67885e-10
5.775209615e+00  2.68354e-10
5.777615952e+00  2.61076e-10
5.780023292e+00  2.13989e-10
5.782431635e+00  2.48440e-10
5.784840982e+00  2.55164e-10
5.787251332e+00  2.58040e-10
5.789662687e+00  2.61799e-10
5.792075046e+00  2.54410e-10
5.794488411e+00  2.48352e-10
5.796902781e+00  2.52741e-10
5.799318157e+00  2.54864e-10
5.801734540e+00  2.49119e-10
5.804151929e+00  2.62178e-10
5.806570326e+00  2.56871e-10
5.808989730e+00  2.60821e-10
5.811410143e+00  2.63859e-10
5.813831564e+00  2.60859e-10
5.816253993e+00  2.57570e-10
5.818677433e+00  1.82998e-10
5.821101881e+00  2.26465e-10
5.823527341e+00  1.95372e-10
5.825953810e+00  2.69461e-10
5.828381291e+00  2.56114e-10
5.830809783e+00  2.00167e-10
5.833239287e+00  2.54764e-10
5.835669804e+00  2.37337e-10
