# Simulation:  trappist1e_1barN2_0.4barCO2_aqua
# TRAPPIST-1 e, 0.71% N2, 0.29% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.4113548           #297.1565991         #0.0009047           #32.5714286          #170.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       27263.4013550           0.0009559         178.1680602           0.7142825       2.8571302E-01       0.0000000E+00       4.4387901E-06       0.0000000E+00       1.8500259E-09              14.000               6.350
    1       26478.5219507           0.0012448         178.7654774           0.7142828       2.8571311E-01       0.0000000E+00       4.1185610E-06       0.0000000E+00       1.0884577E-08              14.000               6.546
    2       25705.2931189           0.0016128         180.2257739           0.7142829       2.8571317E-01       0.0000000E+00       3.8972515E-06       0.0000000E+00       1.4042285E-08              14.000               6.935
    3       24940.0019877           0.0020793         182.2146299           0.7142829       2.8571316E-01       0.0000000E+00       3.9494468E-06       0.0000000E+00       1.3631411E-08              14.000               7.490
    4       24180.3091270           0.0026674         184.4938468           0.7142826       2.8571305E-01       0.0000000E+00       4.3214681E-06       0.0000000E+00       1.1757710E-08              14.000               8.257
    5       23425.1680214           0.0034049         186.7984192           0.7142822       2.8571286E-01       0.0000000E+00       4.9867887E-06       0.0000000E+00       9.8054851E-09              14.000               9.219
    6       22674.9563811           0.0043246         188.9038103           0.7142816       2.8571266E-01       0.0000000E+00       5.6975305E-06       0.0000000E+00       8.0323781E-09              14.000              10.249
    7       21930.8790959           0.0054654         190.6141377           0.7142812       2.8571250E-01       0.0000000E+00       6.2636307E-06       0.0000000E+00       7.1407934E-09              14.000              11.177
    8       21194.7863852           0.0068729         191.9304689           0.7142809       2.8571237E-01       0.0000000E+00       6.6954940E-06       0.0000000E+00       7.3094075E-09              14.000              11.936
    9       20468.5121975           0.0085997         193.0806692           0.7142806       2.8571225E-01       0.0000000E+00       7.1144990E-06       0.0000000E+00       8.1871343E-09              14.000              12.634
