# Simulation:  trappist1e_1barN2_0.4barCO2_aqua
# TRAPPIST-1 e, 0.71% N2, 0.29% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.4071374           #306.1543822         #0.0596134           #32.5714286          #70.0000000          
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       27251.7424895           0.0009559         178.2622373           0.7142826       2.8571302E-01       0.0000000E+00       4.4147098E-06       0.0000000E+00       2.0096307E-09              14.000               6.502
    1       26463.2932285           0.0012448         177.9675874           0.7142828       2.8571312E-01       0.0000000E+00       4.0689018E-06       0.0000000E+00       1.5561330E-08              14.000               6.455
    2       25690.3085167           0.0016128         178.9205145           0.7142830       2.8571319E-01       0.0000000E+00       3.8267416E-06       0.0000000E+00       2.0787147E-08              14.000               6.652
    3       24927.4652032           0.0020793         180.8245866           0.7142830       2.8571319E-01       0.0000000E+00       3.8421763E-06       0.0000000E+00       2.0355236E-08              14.000               7.082
    4       24170.6295603           0.0026674         183.1148853           0.7142827       2.8571310E-01       0.0000000E+00       4.1577513E-06       0.0000000E+00       1.8153133E-08              14.000               7.749
    5       23418.3839765           0.0034049         185.4272429           0.7142823       2.8571292E-01       0.0000000E+00       4.7858746E-06       0.0000000E+00       1.6509527E-08              14.000               8.613
    6       22671.2292200           0.0043246         187.6008871           0.7142818       2.8571271E-01       0.0000000E+00       5.5181645E-06       0.0000000E+00       1.5276121E-08              14.000               9.587
    7       21930.3697393           0.0054654         189.5168477           0.7142813       2.8571253E-01       0.0000000E+00       6.1463995E-06       0.0000000E+00       1.5372745E-08              14.000              10.566
    8       21197.3393289           0.0068729         191.1323503           0.7142810       2.8571239E-01       0.0000000E+00       6.6489579E-06       0.0000000E+00       1.6499728E-08              14.000              11.472
    9       20473.6482847           0.0085997         192.5517004           0.7142806       2.8571225E-01       0.0000000E+00       7.1319349E-06       0.0000000E+00       1.8311140E-08              14.000              12.327
   10       19760.1056445           0.0107070         193.9787303           0.7142802       2.8571208E-01       0.0000000E+00       7.7137115E-06       0.0000000E+00       1.9640606E-08              14.000              13.255
   11       19056.5172880           0.0132648         195.5318989           0.7142797       2.8571188E-01       0.0000000E+00       8.4192988E-06       0.0000000E+00       1.8773328E-08              14.000              14.353
   12       18362.4003342           0.0163518         197.1645980           0.7142792       2.8571167E-01       0.0000000E+00       9.1685396E-06       0.0000000E+00       1.6038446E-08              14.000              15.614
   13       17677.8231248           0.0200568         198.7697492           0.7142787       2.8571147E-01       0.0000000E+00       9.8582352E-06       8.4352143E-39       1.2256353E-08              14.000              16.956
   14       17003.2731221           0.0244790         200.2556224           0.7142782       2.8571130E-01       0.0000000E+00       1.0451093E-05       4.1088580E-27       9.1418874E-09              14.000              18.278
   15       16339.6278922           0.0297280         201.5039082           0.7142779       2.8571117E-01       0.0000000E+00       1.0915795E-05       7.6546999E-26       9.7459248E-09              14.000              19.455
   16       15688.1408161           0.0359233         202.5904438           0.7142777       2.8571107E-01       0.0000000E+00       1.1266322E-05       3.2166652E-28       2.7147286E-08              14.000              20.570
   17       15049.6756962           0.0431938         203.8405449           0.7142773       2.8571094E-01       0.0000000E+00       1.1720103E-05       3.1684545E-27       7.4715074E-08              14.000              21.883
   18       14424.0235393           0.0516775         205.5627635           0.7142767       2.8571069E-01       0.0000000E+00       1.2580760E-05       1.5880685E-26       1.2220557E-07              14.000              23.571
   19       13810.0321061           0.0615205         207.6706398           0.7142755       2.8571021E-01       0.0000000E+00       1.4261651E-05       9.6552516E-26       1.6528535E-07              14.000              25.494
   20       13206.6614475           0.0728745         210.1982178           0.7142731       2.8570926E-01       0.0000000E+00       1.7605538E-05       3.9919701E-24       2.2173180E-07              14.000              27.719
   21       12612.7869960           0.0887181         213.9704512           0.7142675       2.8570701E-01       0.0000000E+00       2.5453774E-05       3.8651699E-25       2.9628349E-07              14.000              30.768
   22       11823.3943452           0.1102376         219.0518938           0.7142552       2.8570207E-01       0.0000000E+00       4.2757359E-05       6.4015106E-10       4.2242686E-07              14.000              33.891
   23       11039.2271723           0.1358108         224.9106062           0.7142286       2.8569143E-01       0.0000000E+00       7.9999971E-05       3.1082366E-08       5.3596130E-07              14.000              37.444
   24       10268.0798513           0.1658962         231.2797951           0.7141768       2.8567071E-01       0.0000000E+00       1.5252741E-04       2.7372723E-07       6.4855654E-07              14.000              42.506
   25        9502.6493830           0.2012903         237.8538096           0.7140822       2.8563291E-01       0.0000000E+00       2.8488567E-04       8.7244875E-07       8.4771230E-07              14.000              52.496
   26        8738.1703992           0.2429295         244.4261762           0.7139089       2.8556366E-01       0.0000000E+00       5.2745677E-04       2.0159528E-06       1.3020982E-06              14.000              71.866
   27        7971.5122548           0.2919158         250.9917272           0.7135998       2.8544027E-01       0.0000000E+00       9.5996762E-04       4.1377194E-06       1.8408796E-06              14.000              99.424
   28        7200.2637151           0.3495458         257.6733180           0.7130919       2.8523787E-01       0.0000000E+00       1.6702336E-03       7.3029127E-06       1.8019390E-06              14.000             134.265
   29        6422.1034177           0.4173444         264.7460028           0.7123681       2.8495010E-01       0.0000000E+00       2.6818310E-03       8.3859783E-06       1.0005381E-06              14.000             178.233
   30        5634.1678152           0.4971060         272.3094440           0.7114536       2.8458767E-01       0.0000000E+00       3.9587768E-03       6.9646079E-06       3.7419907E-07              14.000             218.334
   31        4833.5478029           0.5909413         280.1649945           0.7102589       2.8411616E-01       0.0000000E+00       5.6249045E-03       5.7565388E-06       8.1560894E-08              14.000             237.063
