# Simulation:  trappist1e_1barN2_0.4barCO2_aqua
# TRAPPIST-1 e, 0.71% N2, 0.29% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.4099585           #300.0829652         #0.0741048           #32.5714286          #180.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       27304.1240268           0.0009559         179.3490788           0.7142826       2.8571302E-01       0.0000000E+00       4.4293342E-06       0.0000000E+00       2.2767161E-09              14.000               6.785
    1       26514.6221858           0.0012448         179.1123882           0.7142828       2.8571310E-01       0.0000000E+00       4.1476034E-06       0.0000000E+00       1.6033991E-08              14.000               6.765
    2       25739.8676754           0.0016128         180.0455872           0.7142828       2.8571314E-01       0.0000000E+00       4.0101497E-06       0.0000000E+00       2.1020577E-08              14.000               6.975
    3       24974.9528426           0.0020793         181.9787059           0.7142827       2.8571309E-01       0.0000000E+00       4.1749124E-06       0.0000000E+00       2.0019268E-08              14.000               7.469
    4       24215.8442090           0.0026674         184.3231703           0.7142824       2.8571297E-01       0.0000000E+00       4.6039509E-06       0.0000000E+00       1.6225847E-08              14.000               8.239
    5       23461.1235821           0.0034049         186.6475707           0.7142819       2.8571278E-01       0.0000000E+00       5.2742959E-06       0.0000000E+00       1.3270414E-08              14.000               9.192
    6       22711.3564237           0.0043246         188.7334731           0.7142815       2.8571258E-01       0.0000000E+00       5.9574126E-06       0.0000000E+00       1.1169470E-08              14.000              10.192
    7       21967.8877350           0.0054654         190.4553287           0.7142811       2.8571242E-01       0.0000000E+00       6.5272965E-06       0.0000000E+00       1.0746679E-08              14.000              11.113
    8       21232.4492271           0.0068729         191.8454834           0.7142807       2.8571228E-01       0.0000000E+00       7.0061876E-06       0.0000000E+00       1.1997266E-08              14.000              11.920
    9       20506.6355760           0.0085997         193.1152207           0.7142804       2.8571214E-01       0.0000000E+00       7.5049264E-06       0.0000000E+00       1.4643733E-08              14.000              12.712
   10       19791.1731192           0.0107070         194.5223113           0.7142799       2.8571197E-01       0.0000000E+00       8.1202458E-06       0.0000000E+00       1.7001513E-08              14.000              13.665
   11       19085.7278864           0.0132648         196.1257991           0.7142794       2.8571176E-01       0.0000000E+00       8.8500216E-06       0.0000000E+00       1.7009735E-08              14.000              14.849
   12       18389.8465360           0.0163518         197.7655896           0.7142789       2.8571155E-01       0.0000000E+00       9.5697113E-06       0.0000000E+00       1.5409038E-08              14.000              16.162
   13       17703.8176508           0.0200568         199.2353730           0.7142784       2.8571138E-01       0.0000000E+00       1.0170102E-05       0.0000000E+00       1.2583665E-08              14.000              17.410
   14       17028.4860595           0.0244790         200.4110411           0.7142781       2.8571124E-01       0.0000000E+00       1.0658554E-05       0.0000000E+00       8.9530536E-09              14.000              18.446
   15       16365.0555642           0.0297280         201.3314828           0.7142778       2.8571113E-01       0.0000000E+00       1.1031875E-05       1.4115389E-33       9.1405163E-09              14.000              19.309
   16       15714.5902862           0.0359233         202.1656546           0.7142777       2.8571106E-01       0.0000000E+00       1.1288126E-05       3.4953105E-30       1.9649069E-08              14.000              20.173
   17       15077.5580902           0.0431938         203.2570768           0.7142774       2.8571096E-01       0.0000000E+00       1.1652715E-05       2.6401223E-28       4.8688212E-08              14.000              21.318
   18       14453.3771803           0.0516775         204.9617814           0.7142768       2.8571070E-01       0.0000000E+00       1.2545961E-05       2.8027829E-27       8.0779704E-08              14.000              22.979
   19       13840.4080433           0.0615205         207.1006337           0.7142755       2.8571019E-01       0.0000000E+00       1.4349807E-05       2.4254680E-26       1.0732106E-07              14.000              24.933
   20       13237.6917097           0.0728745         209.6207523           0.7142727       2.8570909E-01       0.0000000E+00       1.8169801E-05       8.7247724E-26       1.6678079E-07              14.000              27.195
   21       12644.5571527           0.0887427         213.4444625           0.7142647       2.8570590E-01       0.0000000E+00       2.9362861E-05       1.3563104E-25       3.5771874E-07              14.000              30.370
   22       11854.7576566           0.1103159         218.8996831           0.7142436       2.8569743E-01       0.0000000E+00       5.9000306E-05       1.5469039E-13       8.4735781E-07              14.000              33.802
   23       11069.8479463           0.1359520         225.3816822           0.7141955       2.8567819E-01       0.0000000E+00       1.2634553E-04       1.3310722E-08       1.4585125E-06              14.000              37.773
   24       10296.6606519           0.1661117         232.2897430           0.7141094       2.8564378E-01       0.0000000E+00       2.4684375E-04       4.6061092E-07       2.3562919E-06              14.000              43.605
   25        9528.0394518           0.2015929         239.2155935           0.7139662       2.8558655E-01       0.0000000E+00       4.4725851E-04       2.2595503E-06       3.2538119E-06              14.000              55.348
   26        8759.6655809           0.2433348         245.8779220           0.7137328       2.8549334E-01       0.0000000E+00       7.7390438E-04       4.5417518E-06       2.5496064E-06              14.000              76.826
   27        7989.0613457           0.2924419         252.2610882           0.7133564       2.8534324E-01       0.0000000E+00       1.3003522E-03       7.7202397E-06       2.0132171E-06              14.000             105.173
   28        7214.4287979           0.3502139         258.7060978           0.7127880       2.8511695E-01       0.0000000E+00       2.0950527E-03       9.9143106E-06       1.4509671E-06              14.000             140.043
   29        6433.4236623           0.4181797         265.6101707           0.7120192       2.8481169E-01       0.0000000E+00       3.1690790E-03       9.3224896E-06       8.2103292E-07              14.000             184.120
   30        5642.9237507           0.4981378         273.1127606           0.7110231       2.8441753E-01       0.0000000E+00       4.5593390E-03       7.2178559E-06       3.1970846E-07              14.000             221.613
   31        4839.7569402           0.5922045         281.0122879           0.7096966       2.8389496E-01       0.0000000E+00       6.4084308E-03       5.6393814E-06       6.3141417E-08              14.000             237.912
   32        4021.6255844           0.7028691         288.9811807           0.7079862       2.8322511E-01       0.0000000E+00       8.7886674E-03       4.3121054E-06       1.4989727E-09              14.000             243.749
   33        3187.3862944           0.8330602         296.5172089           0.7058123       2.8238002E-01       0.0000000E+00       1.1807721E-02       2.7366020E-06       8.2391217E-27              14.000             245.636
   34        2337.4814452           0.9722178         302.5806433           0.7037528       2.8158586E-01       0.0000000E+00       1.4661336E-02       2.1819419E-06       3.2735411E-29              14.000             245.802
   35        1606.4110315           1.1036186         306.2619253           0.7027757       2.8121122E-01       0.0000000E+00       1.6013100E-02       1.6622990E-06       5.5374385E-33              14.000             245.807
   36        1009.0441421           1.2184731         307.1937149           0.7026284       2.8115489E-01       0.0000000E+00       1.6216680E-02       1.6812445E-06       1.0907567E-35              14.000             245.805
   37         553.2615428           1.3087972         305.8144436           0.7021436       2.8096960E-01       0.0000000E+00       1.6886841E-02       2.3255882E-06       1.3191775E-30              14.000             245.804
   38         243.2163133           1.3679252         303.2203055           0.7002570       2.8025185E-01       0.0000000E+00       1.9491172E-02       7.9263821E-06       1.9517172E-28              14.000             245.809
   39          79.6151749           1.3994629         301.4764933           0.6993883       2.7992305E-01       0.0000000E+00       2.0688657E-02       8.4141367E-06       6.5972277E-28              14.000             245.801
