results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e Transit Planet
5.000000000e+00 -1.47904e-05 -1.47905e-05  3.07409e-11
5.002083333e+00 -1.48551e-05 -1.48551e-05  4.94825e-11
5.004167535e+00 -1.56864e-05 -1.56865e-05  2.97715e-11
5.006252605e+00 -1.63016e-05 -1.63016e-05  2.53951e-11
5.008338543e+00 -1.57413e-05 -1.57414e-05  2.56329e-11
5.010425351e+00 -1.56411e-05 -1.56412e-05  2.69862e-11
5.012513028e+00 -1.42550e-05 -1.42550e-05  2.50801e-11
5.014601575e+00 -1.51695e-05 -1.51695e-05  2.65855e-11
5.016690992e+00 -1.51673e-05 -1.51673e-05  5.07366e-11
5.018781280e+00 -1.41952e-05 -1.41953e-05  7.87443e-11
5.020872439e+00 -1.42691e-05 -1.42692e-05  8.10149e-11
5.022964469e+00 -1.52228e-05 -1.52228e-05  2.35303e-11
5.025057371e+00 -1.40663e-05 -1.40663e-05  2.82772e-11
5.027151145e+00 -1.41462e-05 -1.41462e-05  3.11989e-11
5.029245792e+00 -1.44084e-05 -1.44085e-05  6.00866e-11
5.031341311e+00 -1.54136e-05 -1.54137e-05  3.36414e-11
5.033437703e+00 -1.46894e-05 -1.46894e-05  2.82561e-11
5.035534969e+00 -1.54949e-05 -1.54949e-05  2.15686e-11
5.037633108e+00 -1.56927e-05 -1.56927e-05  2.70717e-11
5.039732122e+00 -1.35610e-05 -1.35610e-05  2.13122e-11
5.041832010e+00 -1.51236e-05 -1.51237e-05  2.79230e-11
5.043932774e+00 -1.42461e-05 -1.42461e-05  2.01737e-11
5.046034412e+00 -1.46234e-05 -1.46234e-05  2.99943e-11
5.048136927e+00 -1.38619e-05 -1.38620e-05  2.28747e-11
