# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2015)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Synthesized on Thu May 31 23:19:35 2018
# Molecular abundance atmprofile: TRAPPIST-1 e - CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Aerosols considered: WaterIce,Cloud
# Aerosols sources: CRISM_Wolff[reff=2.0um 0.31-99.57um],White_GSFC[reff=1.0um 0.10-1000000.00um]
# Aerosols opacities: 1,1
# Aerosols opacity units: scl,scl
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Wave/freq Total N2 CO2 H2O WaterIce Cloud CIA
5.000000000e+00  0.00000  1.00000  0.27178  0.04034  0.00000  0.00000  0.88139
5.002083333e+00  0.00000  1.00000  0.29402  0.00688  0.00000  0.00000  0.97930
5.004167535e+00  0.00000  1.00000  0.30936  0.00463  0.00000  0.00000  0.99964
5.006252605e+00  0.00000  1.00000  0.34415  0.05105  0.00000  0.00000  0.99932
5.008338543e+00  0.00000  1.00000  0.22796  0.05503  0.00000  0.00000  0.99964
5.010425351e+00  0.00000  1.00000  0.25218  0.03104  0.00000  0.00000  0.99958
5.012513028e+00  0.00000  1.00000  0.24326  0.00615  0.00000  0.00000  0.99965
5.014601575e+00  0.00000  1.00000  0.44065 -0.00003  0.00000  0.00000  0.99962
5.016690992e+00 -0.00000  1.00000  0.26606 -0.00001  0.00000  0.00000  0.99950
5.018781280e+00 -0.00000  1.00000  0.48948 -0.00000  0.00000  0.00000  0.99940
5.020872439e+00 -0.00000  1.00000  0.24316 -0.00000  0.00000  0.00000  0.99938
5.022964469e+00  0.00000  1.00000  0.52842  0.00000  0.00000  0.00000  0.99913
5.025057371e+00  0.00000  1.00000  0.31650  0.00000  0.00000  0.00000  0.99966
5.027151145e+00  0.00000  1.00000  0.54077  0.00000  0.00000  0.00000  0.99962
5.029245792e+00  0.00000  1.00000  0.28214  0.00000  0.00000  0.00000  0.99972
