# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2015)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Synthesized on Thu May 31 23:19:24 2018
# Molecular abundance atmprofile: TRAPPIST-1 e - CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Aerosols considered: WaterIce,Cloud
# Aerosols sources: CRISM_Wolff[reff=2.0um 0.31-99.57um],White_GSFC[reff=1.0um 0.10-1000000.00um]
# Aerosols opacities: 1,1
# Aerosols opacity units: scl,scl
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Wave/freq Total N2 CO2 H2O WaterIce Cloud CIA
5.000000000e+00  0.00000  1.00000  0.27041  0.04372  0.00000  0.00000  0.88107
5.002083333e+00  0.00000  1.00000  0.29279  0.00746  0.00000  0.00000  0.97924
5.004167535e+00  0.00000  1.00000  0.30774  0.00540  0.00000  0.00000  0.99964
5.006252605e+00  0.00000  1.00000  0.34275  0.05620  0.00000  0.00000  0.99931
5.008338543e+00  0.00000  1.00000  0.22675  0.06041  0.00000  0.00000  0.99964
5.010425351e+00  0.00000  1.00000  0.25065  0.03453  0.00000  0.00000  0.99958
5.012513028e+00  0.00000  1.00000  0.24127  0.00715  0.00000  0.00000  0.99965
5.014601575e+00  0.00000  1.00000  0.43890 -0.00001  0.00000  0.00000  0.99962
5.016690992e+00 -0.00000  1.00000  0.26397 -0.00002  0.00000  0.00000  0.99950
5.018781280e+00 -0.00000  1.00000  0.48759 -0.00000  0.00000  0.00000  0.99940
5.020872439e+00 -0.00000  1.00000  0.24114 -0.00000  0.00000  0.00000  0.99937
5.022964469e+00  0.00000  1.00000  0.52642  0.00000  0.00000  0.00000  0.99913
5.025057371e+00  0.00000  1.00000  0.31429  0.00000  0.00000  0.00000  0.99966
5.027151145e+00  0.00000  1.00000  0.53893  0.00000  0.00000  0.00000  0.99961
5.029245792e+00  0.00000  1.00000  0.27990  0.00000  0.00000  0.00000  0.99972
5.031341311e+00  0.00000  1.00000  0.55032  0.00001  0.00000  0.00000  0.99968
5.033437703e+00  0.00000  1.00000  0.22481  0.00410  0.00000  0.00000  0.99975
5.035534969e+00  0.00000  1.00000  0.57275  0.04027  0.00000  0.00000  0.99982
5.037633108e+00  0.00000  1.00000  0.17445  0.11401  0.00000  0.00000  0.99979
5.039732122e+00  0.00000  1.00000  0.58689  0.11782  0.00000  0.00000  0.99988
5.041832010e+00  0.00000  1.00000  0.13118  0.25483  0.00000  0.00000  0.99972
5.043932774e+00  0.00000  1.00000  0.60254  0.21234  0.00000  0.00000  0.99957
5.046034412e+00  0.00000  1.00000  0.11303  0.20953  0.00000  0.00000  0.99976
5.048136927e+00  0.00000  1.00000  0.58824  0.07915  0.00000  0.00000  0.99989
5.050240317e+00  0.00000  1.00000  0.22669  0.37715  0.00000  0.00000  0.99964
5.052344584e+00  0.00000  1.00000  0.42917  0.41847  0.00000  0.00000  0.99985
5.054449727e+00  0.00000  1.00000  0.17438  0.42577  0.00000  0.00000  0.99985
5.056555748e+00  0.00000  1.00000  0.41713  0.21765  0.00000  0.00000  0.99995
5.058662646e+00  0.00000  1.00000  0.11628  0.09246  0.00000  0.00000  0.99980
5.060770422e+00  0.00000  1.00000  0.42893  0.02180  0.00000  0.00000  0.99991
5.062879077e+00  0.00000  1.00000  0.05644  0.20126  0.00000  0.00000  0.99978
5.064988610e+00  0.00000  1.00000  0.35069  0.31305  0.00000  0.00000  0.99968
5.067099022e+00  0.00000  1.00000  0.03414  0.31788  0.00000  0.00000  0.99995
5.069210313e+00  0.00000  1.00000  0.29921  0.22397  0.00000  0.00000  0.99999
5.071322484e+00  0.00000  1.00000  0.02617  0.16901  0.00000  0.00000  1.00000
5.073435535e+00  0.00000  1.00000  0.23433  0.07612  0.00000  0.00000  0.99998
5.075549466e+00  0.00000  1.00000  0.05627  0.01611  0.00000  0.00000  0.99979
5.077664279e+00  0.00000  1.00000  0.13883  0.00282  0.00000  0.00000  0.99989
5.079779972e+00  0.00000  1.00000  0.03658  0.00002  0.00000  0.00000  0.99991
5.081896547e+00  0.00000  1.00000  0.12489  0.00000  0.00000  0.00000  0.99977
5.084014004e+00  0.00000  1.00000  0.01591  0.00000  0.00000  0.00000  0.99959
5.086132343e+00  0.00000  1.00000  0.09997  0.00000  0.00000  0.00000  0.99973
5.088251565e+00  0.00000  1.00000  0.00428  0.00001  0.00000  0.00000  0.99986
5.090371670e+00  0.00000  1.00000  0.08349  0.00191  0.00000  0.00000  0.99988
5.092492658e+00  0.00000  1.00000 -0.00238  0.01488  0.00000  0.00000  1.00001
5.094614530e+00  0.00000  1.00000  0.07051  0.02016  0.00000  0.00000  1.00000
5.096737286e+00 -0.00000  1.00000 -0.00532  0.00164  0.00000  0.00000  1.00000
5.098860926e+00 -0.00000  1.00000  0.06346 -0.00080  0.00000  0.00000  0.99986
5.100985452e+00  0.00000  1.00000  0.00709  0.00564  0.00000  0.00000  0.99993
5.103110862e+00  0.00000  1.00000  0.04048  0.03780  0.00000  0.00000  0.99984
5.105237159e+00  0.00000  1.00000  0.01230  0.07630  0.00000  0.00000  0.99997
5.107364341e+00  0.00000  1.00000  0.03550  0.02085  0.00000  0.00000  1.00000
5.109492409e+00  0.00000  1.00000  0.00685  0.00238  0.00000  0.00000  1.00000
5.111621364e+00  0.00000  1.00000  0.04364  0.00008  0.00000  0.00000  1.00000
5.113751207e+00  0.00000  1.00000  0.00290  0.00000  0.00000  0.00000  0.99985
5.115881936e+00  0.00000  1.00000  0.07024  0.00000  0.00000  0.00000  1.00000
5.118013554e+00  0.00000  1.00000 -0.00146  0.00528  0.00000  0.00000  1.00000
5.120146060e+00  0.00000  1.00000  0.11991  0.04827  0.00000  0.00000  1.00000
5.122279454e+00 -0.00000  1.00000 -0.01457  0.07693  0.00000  0.00000  1.00000
5.124413737e+00  0.00000  1.00000  0.02874  0.04327  0.00000  0.00000  1.00000
5.126548909e+00  0.00000  1.00000  0.08146  0.01583  0.00000  0.00000  1.00000
5.128684971e+00  0.00000  1.00000  0.23403  0.00612  0.00000  0.00000  1.00000
5.130821923e+00  0.00000  1.00000  0.17804  0.00164  0.00000  0.00000  1.00000
5.132959766e+00  0.00000  1.00000  0.37309  0.00066  0.00000  0.00000  1.00000
5.135098499e+00  0.00000  1.00000  0.21196  0.00006  0.00000  0.00000  0.99999
5.137238123e+00  0.00000  1.00000  0.45725  0.00000  0.00000  0.00000  1.00000
5.139378639e+00  0.00000  1.00000  0.18788  0.00000  0.00000  0.00000  1.00000
5.141520047e+00  0.00000  1.00000  0.40857  0.00000  0.00000  0.00000  0.99998
5.143662347e+00  0.00000  1.00000  0.05932  0.00000  0.00000  0.00000  0.99996
5.145805540e+00 -0.00000  1.00000  0.27674 -0.00000  0.00000  0.00000  0.99982
5.147949625e+00 -0.00000  1.00000 -0.00912 -0.00000  0.00000  0.00000  0.99994
5.150094604e+00  0.00000  1.00000  0.13309  0.00000  0.00000  0.00000  0.99937
5.152240477e+00  0.00000  1.00000  0.01760  0.00000  0.00000  0.00000  0.99999
5.154387244e+00  0.00000  1.00000  0.02219  0.00001  0.00000  0.00000  0.99996
5.156534905e+00  0.00000  1.00000  0.00849  0.00006  0.00000  0.00000  0.99999
5.158683462e+00  0.00000  1.00000  0.00421  0.00144  0.00000  0.00000  0.99996
5.160832913e+00  0.00000  1.00000  0.00058  0.00287  0.00000  0.00000  0.99995
5.162983260e+00  0.00000  1.00000  0.00002  0.01063  0.00000  0.00000  0.99996
5.165134503e+00  0.00000  1.00000  0.00000  0.03255  0.00000  0.00000  1.00000
5.167286642e+00 -0.00000  1.00000 -0.00000  0.02201  0.00000  0.00000  1.00000
5.169439679e+00 -0.00000  1.00000 -0.00000  0.01264  0.00000  0.00000  1.00000
5.171593612e+00 -0.00000  1.00000 -0.00000 -0.00072  0.00000  0.00000  1.00000
5.173748442e+00 -0.00000  1.00000 -0.00000 -0.00010  0.00000  0.00000  1.00000
5.175904171e+00  0.00000  1.00000  0.00000  0.00080  0.00000  0.00000  1.00000
5.178060798e+00  0.00000  1.00000  0.00000  0.02471  0.00000  0.00000  1.00000
5.180218323e+00  0.00000  1.00000  0.00019  0.03491  0.00000  0.00000  1.00000
5.182376747e+00  0.00000  1.00000  0.00005  0.03082  0.00000  0.00000  1.00000
5.184536071e+00  0.00000  1.00000  0.00026  0.02027  0.00000  0.00000  0.99996
5.186696294e+00  0.00000  1.00000  0.00003  0.00498  0.00000  0.00000  0.99999
5.188857418e+00  0.00000  1.00000  0.00003  0.00173  0.00000  0.00000  1.00000
5.191019442e+00  0.00000  1.00000  0.00000  0.00014  0.00000  0.00000  0.99997
5.193182366e+00  0.00000  1.00000  0.00000  0.00001  0.00000  0.00000  1.00000
5.195346192e+00 -0.00000  1.00000 -0.00000 -0.00000  0.00000  0.00000  1.00000
5.197510920e+00 -0.00000  1.00000  0.00000 -0.00000  0.00000  0.00000  0.99968
5.199676550e+00 -0.00000  1.00000 -0.00000 -0.00000  0.00000  0.00000  0.99989
5.201843081e+00 -0.00000  1.00000  0.00000 -0.00000  0.00000  0.00000  0.99983
5.204010516e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00000  0.99959
5.206178854e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00000  0.99984
5.208348095e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00000  0.99980
5.210518240e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00000  0.99958
5.212689289e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00000  0.99901
5.214861243e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00000  0.99855
5.217034102e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00000  0.99986
5.219207866e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00000  0.99996
5.221382536e+00  0.00000  1.00000 -0.00000  0.00000  0.00000  0.00000  1.00000
5.223558112e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00000  0.99984
5.225734595e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00000  1.00002
5.227911984e+00  0.00000  1.00000  0.00000  0.00001  0.00000  0.00000  0.99998
5.230090281e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00000  0.99992
5.232269485e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00000  0.99998
5.234449597e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00000  0.99986
5.236630618e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00000  0.99988
5.238812547e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00000  0.99990
5.240995386e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00000  0.99991
5.243179134e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00000  1.00000
5.245363792e+00 -0.00000  1.00000 -0.00000  0.00000  0.00000  0.00000  0.99999
5.247549360e+00  0.00000  1.00000  0.00000  0.00001  0.00000  0.00000  0.99999
5.249735839e+00 -0.00000  1.00000 -0.00000 -0.00000  0.00000  0.00000  0.99985
5.251923229e+00  0.00000  1.00000  0.00000 -0.00000  0.00000  0.00000  0.99994
5.254111531e+00  0.00000  1.00000 -0.00000  0.00017  0.00000  0.00000  0.99997
5.256300744e+00  0.00000  1.00000  0.00000  0.00022  0.00000  0.00000  0.99982
5.258490869e+00  0.00000  1.00000  0.00000  0.00059  0.00000  0.00000  0.99989
5.260681907e+00  0.00000  1.00000  0.00000  0.00786  0.00000  0.00000  0.99993
5.262873858e+00  0.00000  1.00000  0.00000  0.01104  0.00000  0.00000  0.99999
5.265066722e+00  0.00000  1.00000  0.00000  0.00658  0.00000  0.00000  1.00000
5.267260500e+00  0.00000  1.00000  0.00000  0.00126  0.00000  0.00000  0.99992
5.269455191e+00  0.00000  1.00000  0.00000  0.00006  0.00000  0.00000  0.99995
5.271650798e+00 -0.00000  1.00000  0.00000 -0.00000  0.00000  0.00000  0.99998
5.273847319e+00 -0.00000  1.00000  0.00000 -0.00000  0.00000  0.00000  0.99992
5.276044755e+00 -0.00000  1.00000  0.00069 -0.00000  0.00000  0.00000  0.99995
5.278243107e+00  0.00000  1.00000 -0.00008  0.00000  0.00000  0.00000  0.99943
5.280442375e+00  0.00000  1.00000  0.00378  0.00000  0.00000  0.00000  0.99992
5.282642560e+00  0.00000  1.00000  0.00441  0.00000  0.00000  0.00000  0.99994
5.284843661e+00  0.00000  1.00000  0.00212  0.00000  0.00000  0.00000  0.99999
5.287045679e+00  0.00000  1.00000  0.01271  0.00000  0.00000  0.00000  0.99989
5.289248615e+00  0.00000  1.00000  0.00327  0.00000  0.00000  0.00000  0.99956
5.291452468e+00  0.00000  1.00000  0.01973  0.00000  0.00000  0.00000  0.99958
5.293657240e+00  0.00000  1.00000  0.00167  0.00000  0.00000  0.00000  0.99930
5.295862930e+00  0.00000  1.00000  0.02848  0.00000  0.00000  0.00000  0.99982
5.298069540e+00  0.00000  1.00000 -0.00050  0.00000  0.00000  0.00000  1.00000
5.300277069e+00  0.00000  1.00000  0.02950  0.00000  0.00000  0.00000  1.00000
5.302485518e+00  0.00000  1.00000  0.00039  0.00000  0.00000  0.00000  1.00000
5.304694887e+00 -0.00000  1.00000  0.03930 -0.00000  0.00000  0.00000  1.00000
5.306905176e+00 -0.00000  1.00000  0.00598 -0.00000  0.00000  0.00000  0.99995
5.309116387e+00  0.00000  1.00000  0.02735  0.00000  0.00000  0.00000  1.00000
5.311328519e+00  0.00000  1.00000  0.01662  0.00030  0.00000  0.00000  0.99999
5.313541572e+00  0.00000  1.00000  0.03311  0.00188  0.00000  0.00000  1.00000
5.315755548e+00  0.00000  1.00000  0.00569  0.00287  0.00000  0.00000  1.00000
5.317970446e+00  0.00000  1.00000  0.01865  0.00222  0.00000  0.00000  0.99999
5.320186267e+00  0.00000  1.00000  0.05371  0.00014  0.00000  0.00000  0.99991
5.322403011e+00  0.00000  1.00000  0.04706  0.00087  0.00000  0.00000  0.99982
5.324620679e+00  0.00000  1.00000  0.05826  0.00171  0.00000  0.00000  0.99998
5.326839271e+00  0.00000  1.00000  0.04385  0.00037  0.00000  0.00000  0.99997
5.329058787e+00 -0.00000  1.00000  0.06716 -0.00004  0.00000  0.00000  1.00000
5.331279229e+00  0.00000  1.00000  0.03414  0.00010  0.00000  0.00000  0.99999
5.333500595e+00  0.00000  1.00000  0.06276  0.00004  0.00000  0.00000  0.99987
