results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e Transit Planet
5.000000000e+00 -1.47953e-05 -1.47953e-05  1.44866e-11
5.002083333e+00 -1.48598e-05 -1.48598e-05  2.06675e-11
5.004167535e+00 -1.56918e-05 -1.56918e-05  1.37508e-11
5.006252605e+00 -1.63072e-05 -1.63072e-05  1.29041e-11
5.008338543e+00 -1.57461e-05 -1.57461e-05  1.29777e-11
5.010425351e+00 -1.56460e-05 -1.56460e-05  1.34603e-11
5.012513028e+00 -1.42598e-05 -1.42598e-05  1.25142e-11
5.014601575e+00 -1.51748e-05 -1.51748e-05  1.26426e-11
5.016690992e+00 -1.51722e-05 -1.51723e-05  1.98549e-11
5.018781280e+00 -1.42000e-05 -1.42001e-05  2.99368e-11
5.020872439e+00 -1.42736e-05 -1.42737e-05  3.32016e-11
5.022964469e+00 -1.52282e-05 -1.52282e-05  9.55971e-12
5.025057371e+00 -1.40711e-05 -1.40711e-05  1.30363e-11
5.027151145e+00 -1.41513e-05 -1.41513e-05  1.29140e-11
5.029245792e+00 -1.44132e-05 -1.44132e-05  2.38439e-11
5.031341311e+00 -1.54191e-05 -1.54191e-05  1.44690e-11
5.033437703e+00 -1.46942e-05 -1.46942e-05  1.35848e-11
5.035534969e+00 -1.55005e-05 -1.55005e-05  1.15419e-11
5.037633108e+00 -1.56978e-05 -1.56979e-05  1.36391e-11
5.039732122e+00 -1.35660e-05 -1.35660e-05  1.15113e-11
5.041832010e+00 -1.51287e-05 -1.51287e-05  1.39896e-11
5.043932774e+00 -1.42513e-05 -1.42513e-05  1.14410e-11
5.046034412e+00 -1.46283e-05 -1.46283e-05  1.46921e-11
5.048136927e+00 -1.38671e-05 -1.38671e-05  1.17686e-11
5.050240317e+00 -1.53516e-05 -1.53517e-05  1.39327e-11
5.052344584e+00 -1.54213e-05 -1.54213e-05  1.19402e-11
5.054449727e+00 -1.43716e-05 -1.43716e-05  1.49597e-11
5.056555748e+00 -1.45991e-05 -1.45991e-05  1.22871e-11
5.058662646e+00 -1.41384e-05 -1.41385e-05  1.64776e-11
5.060770422e+00 -1.43614e-05 -1.43614e-05  1.56165e-11
5.062879077e+00 -1.38329e-05 -1.38329e-05  1.71788e-11
5.064988610e+00 -1.40459e-05 -1.40460e-05  1.17040e-11
5.067099022e+00 -1.37934e-05 -1.37934e-05  1.84006e-11
5.069210313e+00 -1.48166e-05 -1.48166e-05  1.14076e-11
5.071322484e+00 -1.44703e-05 -1.44704e-05  2.00860e-11
5.073435535e+00 -1.47393e-05 -1.47393e-05  1.11235e-11
5.075549466e+00 -1.41001e-05 -1.41001e-05  1.79337e-11
5.077664279e+00 -1.37910e-05 -1.37910e-05  1.39392e-11
5.079779972e+00 -1.36998e-05 -1.36998e-05  2.10606e-11
5.081896547e+00 -1.36708e-05 -1.36709e-05  3.32637e-11
5.084014004e+00 -1.40760e-05 -1.40760e-05  2.73122e-11
5.086132343e+00 -1.38067e-05 -1.38067e-05  2.83528e-11
5.088251565e+00 -1.40677e-05 -1.40677e-05  2.41328e-11
5.090371670e+00 -1.40722e-05 -1.40722e-05  1.33913e-11
5.092492658e+00 -1.27388e-05 -1.27388e-05  2.54989e-11
5.094614530e+00 -1.33612e-05 -1.33613e-05  1.25842e-11
5.096737286e+00 -1.44558e-05 -1.44559e-05  2.71838e-11
5.098860926e+00 -1.40109e-05 -1.40109e-05  2.40112e-11
5.100985452e+00 -1.46010e-05 -1.46010e-05  2.30548e-11
5.103110862e+00 -1.41174e-05 -1.41174e-05  1.64162e-11
5.105237159e+00 -1.31941e-05 -1.31942e-05  2.41573e-11
5.107364341e+00 -1.34225e-05 -1.34225e-05  1.73200e-11
5.109492409e+00 -1.28800e-05 -1.28800e-05  2.57572e-11
5.111621364e+00 -1.30437e-05 -1.30438e-05  2.00088e-11
5.113751207e+00 -1.32386e-05 -1.32386e-05  2.79754e-11
5.115881936e+00 -1.39043e-05 -1.39044e-05  2.63626e-11
5.118013554e+00 -1.37725e-05 -1.37725e-05  2.63224e-11
5.120146060e+00 -1.34193e-05 -1.34193e-05  1.30265e-11
5.122279454e+00 -1.37364e-05 -1.37365e-05  2.79797e-11
5.124413737e+00 -1.29537e-05 -1.29537e-05  1.44111e-11
5.126548909e+00 -1.36067e-05 -1.36067e-05  2.13262e-11
5.128684971e+00 -1.25982e-05 -1.25982e-05  1.59496e-11
5.130821923e+00 -1.25088e-05 -1.25088e-05  2.02140e-11
5.132959766e+00 -1.28922e-05 -1.28922e-05  1.50744e-11
5.135098499e+00 -1.36859e-05 -1.36859e-05  1.86387e-11
5.137238123e+00 -1.32770e-05 -1.32770e-05  3.43593e-11
5.139378639e+00 -1.26151e-05 -1.26151e-05  2.80612e-11
5.141520047e+00 -1.33607e-05 -1.33608e-05  2.75404e-11
5.143662347e+00 -1.30070e-05 -1.30070e-05  2.08670e-11
5.145805540e+00 -1.16219e-05 -1.16219e-05  2.15777e-11
