results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e
5.000000000e+00  2.60475e-10
5.002083333e+00  2.62872e-10
5.004167535e+00  2.79206e-10
5.006252605e+00  2.81484e-10
5.008338543e+00  2.65162e-10
5.010425351e+00  2.61577e-10
5.012513028e+00  2.56837e-10
5.014601575e+00  2.71057e-10
5.016690992e+00  2.74872e-10
5.018781280e+00  2.81498e-10
5.020872439e+00  2.64755e-10
5.022964469e+00  2.80618e-10
5.025057371e+00  2.57550e-10
5.027151145e+00  2.71051e-10
5.029245792e+00  2.73593e-10
5.031341311e+00  2.82697e-10
5.033437703e+00  2.60692e-10
5.035534969e+00  2.84859e-10
5.037633108e+00  2.65631e-10
5.039732122e+00  2.61735e-10
5.041832010e+00  2.58153e-10
5.043932774e+00  2.67096e-10
5.046034412e+00  2.51542e-10
5.048136927e+00  2.65058e-10
5.050240317e+00  2.63671e-10
5.052344584e+00  2.78301e-10
5.054449727e+00  2.52906e-10
5.056555748e+00  2.67697e-10
5.058662646e+00  2.43442e-10
5.060770422e+00  2.72232e-10
5.062879077e+00  2.36141e-10
5.064988610e+00  2.62707e-10
5.067099022e+00  2.32190e-10
5.069210313e+00  2.77021e-10
5.071322484e+00  2.34141e-10
5.073435535e+00  2.79521e-10
5.075549466e+00  2.39262e-10
5.077664279e+00  2.56220e-10
5.079779972e+00  2.27746e-10
5.081896547e+00  2.61548e-10
5.084014004e+00  2.32468e-10
5.086132343e+00  2.71637e-10
5.088251565e+00  2.14727e-10
5.090371670e+00  2.59630e-10
5.092492658e+00  1.92941e-10
5.094614530e+00  2.52534e-10
5.096737286e+00  1.98256e-10
5.098860926e+00  2.82380e-10
5.100985452e+00  2.22492e-10
5.103110862e+00  2.46687e-10
5.105237159e+00  2.02738e-10
5.107364341e+00  2.36617e-10
5.109492409e+00  1.94124e-10
5.111621364e+00  2.43802e-10
5.113751207e+00  1.94450e-10
5.115881936e+00  2.65806e-10
5.118013554e+00  1.91284e-10
5.120146060e+00  2.55352e-10
5.122279454e+00  1.86973e-10
5.124413737e+00  2.40808e-10
5.126548909e+00  2.18575e-10
5.128684971e+00  2.37017e-10
5.130821923e+00  2.14780e-10
5.132959766e+00  2.43947e-10
5.135098499e+00  2.40621e-10
5.137238123e+00  2.67021e-10
5.139378639e+00  2.60581e-10
5.141520047e+00  2.65372e-10
5.143662347e+00  2.24580e-10
5.145805540e+00  2.59095e-10
5.147949625e+00  2.10124e-10
5.150094604e+00  2.90370e-10
5.152240477e+00  2.20177e-10
5.154387244e+00  2.20789e-10
5.156534905e+00  2.09128e-10
5.158683462e+00  2.05487e-10
5.160832913e+00  1.83293e-10
5.162983260e+00  1.92376e-10
5.165134503e+00  1.58093e-10
5.167286642e+00  1.51278e-10
5.169439679e+00  8.47767e-11
5.171593612e+00  4.82758e-11
5.173748442e+00  1.93022e-11
5.175904171e+00  1.33191e-10
5.178060798e+00  1.76619e-10
5.180218323e+00  2.01247e-10
5.182376747e+00  1.66006e-10
5.184536071e+00  1.97209e-10
5.186696294e+00  1.50401e-10
5.188857418e+00  2.01709e-10
5.191019442e+00  1.38165e-10
5.193182366e+00  1.95398e-10
5.195346192e+00  1.23537e-10
5.197510920e+00  2.00093e-10
5.199676550e+00  1.17879e-10
5.201843081e+00  2.22437e-10
5.204010516e+00  1.42527e-10
5.206178854e+00  1.69348e-10
5.208348095e+00  1.35211e-10
5.210518240e+00  1.58062e-10
5.212689289e+00  9.09432e-11
5.214861243e+00  1.20664e-10
5.217034102e+00  1.26112e-10
5.219207866e+00  1.75039e-10
5.221382536e+00  1.29369e-10
5.223558112e+00  1.70822e-10
5.225734595e+00  1.33585e-10
5.227911984e+00  1.66870e-10
5.230090281e+00  1.61621e-10
5.232269485e+00  1.25080e-10
5.234449597e+00  1.92759e-10
5.236630618e+00  1.34039e-10
5.238812547e+00  1.95858e-10
5.240995386e+00  1.30268e-10
5.243179134e+00  2.06660e-10
5.245363792e+00  1.26387e-10
5.247549360e+00  2.09639e-10
5.249735839e+00  1.28075e-10
5.251923229e+00  2.35806e-10
5.254111531e+00  1.20918e-10
5.256300744e+00  1.47518e-10
5.258490869e+00  1.78007e-10
5.260681907e+00  1.71752e-10
5.262873858e+00  1.99314e-10
5.265066722e+00  1.68234e-10
5.267260500e+00  1.95166e-10
5.269455191e+00  1.54348e-10
5.271650798e+00  1.55186e-10
5.273847319e+00  1.75083e-10
5.276044755e+00  2.51681e-10
5.278243107e+00  1.89109e-10
5.280442375e+00  2.23925e-10
5.282642560e+00  2.04386e-10
5.284843661e+00  1.94565e-10
5.287045679e+00  2.20876e-10
5.289248615e+00  2.18612e-10
5.291452468e+00  2.32525e-10
5.293657240e+00  2.30747e-10
5.295862930e+00  2.29124e-10
5.298069540e+00  1.90999e-10
5.300277069e+00  2.22700e-10
5.302485518e+00  2.09364e-10
5.304694887e+00  2.38075e-10
5.306905176e+00  2.34633e-10
5.309116387e+00  2.06630e-10
5.311328519e+00  1.99906e-10
5.313541572e+00  2.11515e-10
5.315755548e+00  1.87013e-10
5.317970446e+00  2.04375e-10
5.320186267e+00  2.01586e-10
5.322403011e+00  2.01673e-10
5.324620679e+00  2.09423e-10
5.326839271e+00  2.11460e-10
5.329058787e+00  2.14956e-10
5.331279229e+00  2.08993e-10
5.333500595e+00  2.09069e-10
5.335722887e+00  2.09297e-10
5.337946105e+00  2.14995e-10
5.340170249e+00  2.05841e-10
5.342395320e+00  2.27716e-10
5.344621318e+00  2.45381e-10
5.346848244e+00  2.84217e-10
5.349076097e+00  2.27743e-10
5.351304879e+00  2.97942e-10
5.353534589e+00  2.27708e-10
5.355765228e+00  3.03392e-10
5.357996797e+00  2.64053e-10
5.360229296e+00  2.64786e-10
5.362462725e+00  2.10196e-10
5.364697084e+00  2.19641e-10
5.366932375e+00  2.11894e-10
5.369168597e+00  2.18402e-10
5.371405750e+00  2.28934e-10
5.373643836e+00  2.32132e-10
5.375882854e+00  2.26586e-10
5.378122805e+00  2.24506e-10
5.380363690e+00  2.54080e-10
5.382605508e+00  2.30540e-10
5.384848260e+00  2.10679e-10
5.387091947e+00  2.33696e-10
5.389336569e+00  2.01117e-10
5.391582126e+00  2.06583e-10
5.393828618e+00  2.18113e-10
5.396076047e+00  2.29050e-10
5.398324412e+00  2.44158e-10
5.400573714e+00  2.21300e-10
5.402823953e+00  2.13413e-10
5.405075129e+00  2.18106e-10
5.407327244e+00  2.23932e-10
5.409580297e+00  2.51514e-10
5.411834289e+00  2.81702e-10
5.414089220e+00  2.77963e-10
5.416345090e+00  2.56775e-10
5.418601901e+00  3.06655e-10
5.420859652e+00  2.41610e-10
5.423118343e+00  2.43062e-10
5.425377976e+00  2.95578e-10
5.427638550e+00  2.82956e-10
5.429900066e+00  2.46145e-10
5.432162524e+00  2.32741e-10
5.434425925e+00  2.31049e-10
5.436690269e+00  2.30362e-10
5.438955557e+00  2.35029e-10
5.441221789e+00  2.57946e-10
5.443488964e+00  2.92007e-10
5.445757085e+00  2.57293e-10
5.448026150e+00  2.33832e-10
5.450296161e+00  2.52045e-10
5.452567118e+00  2.29931e-10
5.454839021e+00  2.44631e-10
5.457111870e+00  2.48845e-10
5.459385667e+00  2.65965e-10
5.461660411e+00  3.14500e-10
5.463936103e+00  2.20771e-10
5.466212743e+00  3.07868e-10
5.468490331e+00  2.76830e-10
5.470768869e+00  2.87890e-10
5.473048356e+00  2.66433e-10
5.475328793e+00  2.84153e-10
5.477610180e+00  2.62832e-10
5.479892518e+00  3.02449e-10
5.482175806e+00  2.77930e-10
5.484460046e+00  2.50007e-10
5.486745238e+00  2.61531e-10
5.489031382e+00  2.55318e-10
5.491318478e+00  2.33191e-10
5.493606527e+00  2.09340e-10
5.495895530e+00  2.14672e-10
5.498185487e+00  2.14172e-10
5.500476397e+00  2.31335e-10
5.502768262e+00  2.36595e-10
5.505061082e+00  2.28650e-10
5.507354858e+00  2.23598e-10
5.509649589e+00  2.12953e-10
5.511945276e+00  2.11273e-10
5.514241920e+00  2.24329e-10
5.516539521e+00  2.57299e-10
5.518838079e+00  2.91810e-10
5.521137595e+00  2.98837e-10
5.523438069e+00  2.67270e-10
5.525739502e+00  2.89736e-10
5.528041893e+00  2.48731e-10
5.530345244e+00  2.65693e-10
5.532649554e+00  2.64368e-10
5.534954825e+00  2.30189e-10
5.537261056e+00  2.32913e-10
5.539568248e+00  2.82218e-10
5.541876402e+00  2.28433e-10
5.544185517e+00  2.30786e-10
5.546495594e+00  2.77100e-10
5.548806634e+00  3.04880e-10
5.551118637e+00  2.94852e-10
5.553431603e+00  2.97015e-10
5.555745533e+00  2.79603e-10
5.558060427e+00  3.17005e-10
5.560376285e+00  2.93512e-10
5.562693109e+00  2.66783e-10
5.565010897e+00  2.91577e-10
5.567329652e+00  3.02123e-10
5.569649373e+00  3.10066e-10
5.571970060e+00  3.07121e-10
5.574291714e+00  3.23426e-10
5.576614336e+00  3.30559e-10
5.578937925e+00  1.73076e-10
5.581262482e+00  3.75816e-10
5.583588008e+00  3.13222e-10
5.585914503e+00  3.13445e-10
5.588241968e+00  2.71884e-10
5.590570402e+00  2.81457e-10
5.592899806e+00  2.58302e-10
5.595230181e+00  2.45118e-10
5.597561527e+00  2.44233e-10
5.599893844e+00  2.59963e-10
5.602227134e+00  3.07725e-10
5.604561395e+00  2.94010e-10
5.606896629e+00  2.82034e-10
5.609232836e+00  2.53956e-10
5.611570016e+00  2.90982e-10
5.613908170e+00  3.21394e-10
5.616247299e+00  2.78134e-10
5.618587402e+00  3.01963e-10
5.620928480e+00  3.13706e-10
5.623270533e+00  2.80562e-10
5.625613563e+00  2.65986e-10
5.627957568e+00  2.83217e-10
5.630302551e+00  3.31385e-10
5.632648510e+00  3.03550e-10
5.634995447e+00  3.38929e-10
5.637343362e+00  3.54060e-10
5.639692255e+00  2.61924e-10
5.642042127e+00  2.83533e-10
5.644392977e+00  2.63671e-10
5.646744808e+00  3.04152e-10
5.649097618e+00  3.36821e-10
5.651451409e+00  3.19359e-10
5.653806180e+00  3.43383e-10
5.656161933e+00  2.79961e-10
5.658518667e+00  3.28098e-10
5.660876383e+00  2.72405e-10
5.663235082e+00  2.56633e-10
5.665594763e+00  2.77242e-10
5.667955427e+00  2.88986e-10
5.670317075e+00  3.04240e-10
5.672679708e+00  3.44340e-10
5.675043324e+00  2.67452e-10
5.677407925e+00  3.42681e-10
5.679773512e+00  3.30000e-10
5.682140084e+00  2.91757e-10
5.684507643e+00  2.83465e-10
5.686876188e+00  3.33898e-10
5.689245719e+00  3.20787e-10
5.691616238e+00  3.00687e-10
5.693987745e+00  3.59817e-10
5.696360240e+00  2.94355e-10
5.698733724e+00  2.78074e-10
5.701108196e+00  2.95809e-10
5.703483658e+00  3.14083e-10
5.705860109e+00  3.40678e-10
5.708237551e+00  3.48039e-10
5.710615983e+00  2.53663e-10
5.712995407e+00  3.72525e-10
5.715375821e+00  3.38374e-10
5.717757228e+00  3.24526e-10
5.720139627e+00  3.15059e-10
5.722523018e+00  3.55424e-10
5.724907403e+00  3.30542e-10
5.727292781e+00  3.39972e-10
5.729679153e+00  3.35459e-10
5.732066519e+00  3.48813e-10
5.734454880e+00  3.34606e-10
5.736844236e+00  3.30405e-10
5.739234588e+00  3.51306e-10
5.741625936e+00  3.46172e-10
5.744018280e+00  3.70450e-10
5.746411621e+00  3.18755e-10
5.748805959e+00  2.13268e-10
5.751201295e+00  4.10477e-10
5.753597629e+00  3.56919e-10
5.755994961e+00  3.62451e-10
5.758393293e+00  3.67526e-10
5.760792623e+00  3.82227e-10
5.763192953e+00  3.15931e-10
5.765594284e+00  1.97878e-10
5.767996615e+00  2.81425e-10
