# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Synthesized on Thu Oct 11 16:03:51 2018
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Aerosols considered: Cloud,WaterIce
# Aerosols sources: White_GSFC[reff=1.0um 0.10-1000000.00um],CRISM_Wolff[reff=2.0um 0.31-99.57um]
# Aerosols opacities: 1,1
# Aerosols opacity units: scl,scl
# Aerosols sizes: 10,107.809
# Aerosols size units: um,um
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Wave/freq Total N2 CO2 H2O Cloud WaterIce CIA
5.000000000e+00  0.00000  1.00000  0.42428  0.07602  0.00011  0.07985  0.99980
5.004166667e+00  0.00000  1.00000  0.51565  0.02640  0.00011  0.08039  0.99979
5.008336806e+00  0.00000  1.00000  0.47127  0.07002  0.00011  0.08094  0.99988
5.012510420e+00  0.00000  1.00000  0.50018  0.01126  0.00011  0.08150  0.99987
5.016687512e+00 -0.00000  1.00000  0.57402 -0.00041  0.00011  0.08206  0.99982
5.020868085e+00 -0.00000  1.00000  0.57526 -0.00000  0.00011  0.08262  0.99974
5.025052141e+00  0.00000  1.00000  0.62690  0.00000  0.00011  0.08319  0.99985
5.029239685e+00  0.00000  1.00000  0.58839  0.00000  0.00011  0.08376  0.99989
5.033430718e+00  0.00000  1.00000  0.57119  0.00717  0.00011  0.08434  0.99989
5.037625243e+00  0.00000  1.00000  0.54536  0.08980  0.00011  0.08492  0.99995
5.041823264e+00  0.00000  1.00000  0.52573  0.22677  0.00011  0.08551  0.99991
5.046024784e+00  0.00000  1.00000  0.51778  0.19729  0.00011  0.08610  0.99991
5.050229804e+00  0.00000  1.00000  0.54034  0.34275  0.00011  0.08669  0.99989
5.054438329e+00  0.00000  1.00000  0.46356  0.36595  0.00011  0.08729  0.99996
5.058650361e+00  0.00000  1.00000  0.44679  0.13037  0.00011  0.08788  0.99995
5.062865903e+00  0.00000  1.00000  0.40053  0.19710  0.00011  0.08843  0.99993
5.067084958e+00  0.00000  1.00000  0.34314  0.33598  0.00011  0.08898  0.99995
5.071307529e+00  0.00000  1.00000  0.32273  0.17725  0.00011  0.08954  1.00000
5.075533619e+00  0.00000  1.00000  0.31201  0.02958  0.00011  0.09010  0.99995
5.079763230e+00  0.00000  1.00000  0.23961  0.00234  0.00011  0.09066  0.99994
5.083996366e+00  0.00000  1.00000  0.19693  0.00000  0.00011  0.09123  0.99992
5.088233030e+00  0.00000  1.00000  0.17796  0.00016  0.00011  0.09180  0.99992
5.092473224e+00  0.00000  1.00000  0.15906  0.01902  0.00011  0.09238  0.99998
5.096716951e+00  0.00000  1.00000  0.15336  0.00758  0.00011  0.09296  0.99998
5.100964216e+00  0.00000  1.00000  0.17015  0.00863  0.00011  0.09355  0.99997
5.105215019e+00  0.00000  1.00000  0.12842  0.06901  0.00011  0.09414  0.99998
5.109469365e+00  0.00000  1.00000  0.13612  0.00466  0.00011  0.09473  1.00000
5.113727256e+00  0.00000  1.00000  0.17172  0.00001  0.00011  0.09533  0.99997
5.117988695e+00  0.00000  1.00000  0.17630  0.01419  0.00011  0.09593  1.00000
5.122253686e+00  0.00000  1.00000  0.15211  0.08947  0.00011  0.09654  1.00000
5.126522231e+00  0.00000  1.00000  0.29227  0.02195  0.00011  0.09715  1.00000
5.130794333e+00  0.00000  1.00000  0.43822  0.00330  0.00011  0.09777  1.00000
5.135069995e+00  0.00000  1.00000  0.52652  0.00019  0.00011  0.09839  1.00000
5.139349220e+00  0.00000  1.00000  0.53694  0.00000  0.00011  0.09901  1.00000
5.143632011e+00  0.00000  1.00000  0.42831  0.00000  0.00011  0.09964  0.99999
5.147918371e+00 -0.00000  1.00000  0.28910 -0.00000  0.00011  0.10027  0.99989
5.152208303e+00  0.00000  1.00000  0.20405  0.00000  0.00011  0.10091  0.99998
5.156501809e+00  0.00000  1.00000  0.09503  0.00044  0.00011  0.10153  0.99999
5.160798894e+00  0.00000  1.00000  0.02010  0.00326  0.00011  0.10215  0.99998
5.165099560e+00  0.00000  1.00000  0.00071  0.03298  0.00011  0.10276  1.00000
5.169403810e+00 -0.00000  1.00000 -0.00001  0.01599  0.00011  0.10338  1.00000
5.173711646e+00 -0.00000  1.00000 -0.00000 -0.00109  0.00011  0.10401  1.00000
5.178023073e+00  0.00000  1.00000  0.00558  0.02880  0.00011  0.10463  1.00000
5.182338092e+00  0.00000  1.00000  0.01925  0.03893  0.00011  0.10527  0.99999
5.186656707e+00  0.00000  1.00000  0.01612  0.01039  0.00011  0.10590  0.99999
5.190978921e+00  0.00000  1.00000  0.00640  0.00066  0.00011  0.10654  0.99999
5.195304737e+00 -0.00000  1.00000  0.00161 -0.00001  0.00011  0.10719  0.99998
5.199634157e+00 -0.00000  1.00000  0.00026 -0.00000  0.00011  0.10784  0.99991
5.203967186e+00  0.00000  1.00000  0.00007  0.00000  0.00011  0.10849  0.99991
5.208303825e+00  0.00000  1.00000  0.00001  0.00000  0.00011  0.10915  0.99990
5.212644078e+00  0.00000  1.00000  0.00000  0.00000  0.00011  0.10982  0.99964
5.216987948e+00  0.00000  1.00000  0.00001  0.00000  0.00011  0.11048  0.99985
5.221335438e+00  0.00000  1.00000  0.00000  0.00000  0.00011  0.11116  1.00000
5.225686551e+00  0.00000  1.00000  0.00001  0.00002  0.00011  0.11183  0.99998
5.230041290e+00  0.00000  1.00000  0.00001  0.00000  0.00011  0.11252  0.99998
5.234399658e+00  0.00000  1.00000  0.00001  0.00000  0.00011  0.11320  0.99996
5.238761657e+00  0.00000  1.00000  0.00002  0.00000  0.00011  0.11389  0.99996
5.243127292e+00  0.00000  1.00000  0.00003  0.00000  0.00011  0.11459  1.00000
5.247496565e+00  0.00000  1.00000  0.00001  0.00003  0.00011  0.11529  0.99999
5.251869479e+00 -0.00000  1.00000  0.00019  0.00001  0.00011  0.11600  0.99997
5.256246036e+00  0.00000  1.00000  0.00011  0.00055  0.00011  0.11668  0.99995
5.260626241e+00  0.00000  1.00000  0.00070  0.00978  0.00011  0.11731  0.99998
5.265010097e+00  0.00000  1.00000  0.00151  0.00953  0.00011  0.11795  1.00000
5.269397605e+00  0.00000  1.00000  0.00097  0.00072  0.00011  0.11859  0.99997
5.273788770e+00 -0.00000  1.00000  0.00765 -0.00001  0.00011  0.11924  0.99998
5.278183594e+00 -0.00000  1.00000  0.02547 -0.00000  0.00011  0.11990  0.99989
5.282582080e+00  0.00000  1.00000  0.04669  0.00000  0.00011  0.12055  0.99998
5.286984232e+00  0.00000  1.00000  0.06113  0.00000  0.00011  0.12122  0.99997
5.291390052e+00  0.00000  1.00000  0.06929  0.00000  0.00011  0.12188  0.99977
5.295799544e+00  0.00000  1.00000  0.07914  0.00000  0.00011  0.12255  0.99993
5.300212710e+00  0.00000  1.00000  0.08719  0.00000  0.00011  0.12323  1.00000
5.304629554e+00 -0.00000  1.00000  0.10718 -0.00000  0.00011  0.12390  1.00000
5.309050079e+00  0.00000  1.00000  0.09528  0.00003  0.00011  0.12459  0.99999
5.313474287e+00  0.00000  1.00000  0.10156  0.00358  0.00011  0.12528  1.00000
5.317902182e+00  0.00000  1.00000  0.07049  0.00330  0.00011  0.12597  0.99999
5.322333767e+00  0.00000  1.00000  0.19595  0.00194  0.00011  0.12666  0.99996
5.326769045e+00  0.00000  1.00000  0.21085  0.00106  0.00011  0.12736  0.99999
5.331208020e+00  0.00000  1.00000  0.20297  0.00015  0.00011  0.12807  1.00000
5.335650693e+00  0.00000  1.00000  0.21028  0.00002  0.00010  0.12878  0.99998
5.340097069e+00 -0.00000  1.00000  0.30449 -0.00000  0.00010  0.12949  0.99998
5.344547149e+00  0.00000  1.00000  0.31183  0.00000  0.00010  0.13021  0.99988
5.349000939e+00  0.00000  1.00000  0.33222  0.00000  0.00010  0.13093  0.99947
5.353458440e+00  0.00000  1.00000  0.35042  0.00000  0.00010  0.13166  0.99958
5.357919655e+00  0.00000  1.00000  0.34889  0.00000  0.00010  0.13234  0.99981
5.362384588e+00  0.00000  1.00000  0.34277  0.00000  0.00010  0.13296  0.99999
5.366853242e+00  0.00000  1.00000  0.40155  0.00000  0.00010  0.13360  0.99989
5.371325619e+00  0.00000  1.00000  0.38369  0.00000  0.00010  0.13423  0.99994
5.375801724e+00  0.00000  1.00000  0.39862  0.00000  0.00010  0.13488  0.99987
5.380281559e+00 -0.00000  1.00000  0.41615 -0.00000  0.00010  0.13552  0.99988
5.384765127e+00  0.00000  1.00000  0.45235  0.00002  0.00010  0.13617  0.99984
5.389252431e+00  0.00000  1.00000  0.48799  0.00019  0.00010  0.13682  0.99978
5.393743475e+00  0.00000  1.00000  0.58200  0.00008  0.00010  0.13747  0.99962
5.398238261e+00  0.00000  1.00000  0.57984  0.00001  0.00010  0.13813  0.99936
5.402736793e+00  0.00000  1.00000  0.61215  0.00000  0.00010  0.13880  0.99894
5.407239074e+00 -0.00000  1.00000  0.64371 -0.00000  0.00010  0.13946  0.99970
5.411745106e+00 -0.00000  1.00000  0.67438 -0.00000  0.00010  0.14013  1.00001
5.416254894e+00 -0.00000  1.00000  0.70832 -0.00000  0.00010  0.14080  1.00000
5.420768440e+00 -0.00000  1.00000  0.76789 -0.00000  0.00010  0.14148  1.00000
5.425285747e+00  0.00000  1.00000  0.77578  0.00000  0.00010  0.14216  1.00000
5.429806818e+00  0.00000  1.00000  0.80532  0.00000  0.00010  0.14285  1.00000
5.434331657e+00  0.00000  1.00000  0.83483  0.00000  0.00010  0.14354  1.00000
5.438860267e+00 -0.00000  1.00000  0.85647 -0.00000  0.00010  0.14423  1.00000
5.443392650e+00 -0.00000  1.00000  0.88262 -0.00000  0.00010  0.14493  1.00000
5.447928811e+00  0.00000  1.00000  0.90822  0.00000  0.00010  0.14563  1.00000
5.452468752e+00  0.00000  1.00000  0.92009  0.00000  0.00010  0.14633  1.00000
5.457012475e+00  0.00000  1.00000  0.93126  0.00000  0.00010  0.14704  1.00000
5.461559986e+00 -0.00000  1.00000  0.93841 -0.00000  0.00010  0.14767  1.00000
5.466111286e+00 -0.00000  1.00000  0.94698 -0.00000  0.00010  0.14825  1.00000
5.470666379e+00  0.00000  1.00000  0.95323  0.00000  0.00010  0.14884  1.00000
5.475225267e+00  0.00000  1.00000  0.94036  0.00000  0.00010  0.14943  1.00000
5.479787955e+00  0.00000  1.00000  0.95918  0.00000  0.00010  0.15002  1.00000
5.484354445e+00  0.00000  1.00000  0.95718  0.00000  0.00010  0.15061  1.00000
5.488924740e+00  0.00000  1.00000  0.95875  0.00000  0.00010  0.15121  1.00000
5.493498844e+00  0.00000  1.00000  0.96170  0.00000  0.00010  0.15181  1.00000
5.498076760e+00  0.00000  1.00000  0.96142  0.00000  0.00010  0.15241  1.00000
5.502658491e+00  0.00000  1.00000  0.96693  0.00000  0.00010  0.15301  1.00000
5.507244039e+00  0.00000  1.00000  0.97087  0.00000  0.00010  0.15362  1.00000
5.511833409e+00  0.00000  1.00000  0.97446  0.00000  0.00010  0.15423  1.00000
5.516426604e+00  0.00000  1.00000  0.97581  0.00000  0.00010  0.15484  1.00000
5.521023626e+00 -0.00000  1.00000  0.98029 -0.00000  0.00010  0.15546  1.00000
5.525624479e+00  0.00000  1.00000  0.98280  0.00000  0.00010  0.15608  1.00000
5.530229166e+00  0.00000  1.00000  0.98531  0.00000  0.00010  0.15670  1.00000
5.534837690e+00  0.00000  1.00000  0.98565  0.00000  0.00010  0.15733  1.00000
5.539450055e+00  0.00000  1.00000  0.98762  0.00000  0.00010  0.15796  1.00000
5.544066264e+00  0.00000  1.00000  0.98988  0.00000  0.00010  0.15859  1.00000
5.548686319e+00 -0.00000  1.00000  0.99200 -0.00000  0.00010  0.15922  1.00000
5.553310224e+00 -0.00000  1.00000  0.99379 -0.00000  0.00010  0.15986  1.00000
5.557937983e+00  0.00000  1.00000  0.99533  0.00000  0.00010  0.16050  1.00000
5.562569598e+00  0.00000  1.00000  0.99585  0.00000  0.00010  0.16114  1.00000
5.567205072e+00  0.00000  1.00000  0.99412  0.00000  0.00010  0.16163  1.00000
5.571844410e+00  0.00000  1.00000  0.98644  0.00000  0.00010  0.16205  1.00000
5.576487613e+00 -0.00000  1.00000  0.98443 -0.00000  0.00010  0.16247  1.00000
5.581134686e+00 -0.00000  1.00000  0.99945 -0.00000  0.00010  0.16289  1.00000
5.585785632e+00  0.00000  1.00000  0.99879  0.00000  0.00010  0.16331  1.00000
5.590440453e+00  0.00000  1.00000  0.99886  0.00000  0.00010  0.16373  1.00000
5.595099154e+00  0.00000  1.00000  0.99907  0.00000  0.00010  0.16415  1.00000
