# Simulation:  trappist1e_1barN2_0.4barCO2_aqua
# TRAPPIST-1 e, 0.71% N2, 0.29% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.4059727           #308.5589149         #0.0000000           #32.5714286          #235.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       27184.0616643           0.0009559         178.8445157           0.7142826       2.8571303E-01       0.0000000E+00       4.4034965E-06       0.0000000E+00       2.5468781E-09              14.000               6.715
    1       26396.7508569           0.0012448         178.2421238           0.7142828       2.8571314E-01       0.0000000E+00       4.0254970E-06       0.0000000E+00       1.8026511E-08              14.000               6.578
    2       25624.6295764           0.0016128         178.8915955           0.7142830       2.8571322E-01       0.0000000E+00       3.7391237E-06       0.0000000E+00       2.3010699E-08              14.000               6.715
    3       24862.8411130           0.0020793         180.6221203           0.7142831       2.8571323E-01       0.0000000E+00       3.6955223E-06       0.0000000E+00       2.2466207E-08              14.000               7.124
    4       24107.5000031           0.0026674         182.7616761           0.7142829       2.8571316E-01       0.0000000E+00       3.9467853E-06       0.0000000E+00       2.0894995E-08              14.000               7.764
    5       23357.2635200           0.0034049         184.8878527           0.7142825       2.8571300E-01       0.0000000E+00       4.5100992E-06       0.0000000E+00       2.0448631E-08              14.000               8.550
    6       22612.6178816           0.0043246         186.8519695           0.7142820       2.8571280E-01       0.0000000E+00       5.1951492E-06       0.0000000E+00       2.0768696E-08              14.000               9.389
    7       21874.6872121           0.0054654         188.5952436           0.7142816       2.8571263E-01       0.0000000E+00       5.8106731E-06       0.0000000E+00       2.2712644E-08              14.000              10.215
    8       21144.8526370           0.0068729         190.1230104           0.7142812       2.8571248E-01       0.0000000E+00       6.3367600E-06       1.5544218E-35       2.6246607E-08              14.000              10.996
    9       20424.3908908           0.0085997         191.5572573           0.7142808       2.8571232E-01       0.0000000E+00       6.8749715E-06       0.0000000E+00       3.0950220E-08              14.000              11.787
