# Simulation:  trappist1e_1barN2_0.4barCO2_aqua
# TRAPPIST-1 e, 0.71% N2, 0.29% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.4089488           #302.8418026         #0.0000000           #32.5714286          #95.0000000          
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       27378.1355076           0.0009559         182.7712373           0.7142826       2.8571302E-01       0.0000000E+00       4.4285403E-06       0.0000000E+00       3.9771796E-10              14.000               7.456
    1       26575.0766267           0.0012448         182.2176957           0.7142827       2.8571309E-01       0.0000000E+00       4.1985704E-06       0.0000000E+00       4.2458336E-09              14.000               7.317
    2       25788.1969618           0.0016128         182.7785892           0.7142828       2.8571312E-01       0.0000000E+00       4.0626304E-06       0.0000000E+00       7.4759440E-09              14.000               7.559
    3       25012.8358113           0.0020793         184.5240850           0.7142827       2.8571308E-01       0.0000000E+00       4.2177816E-06       0.0000000E+00       8.4748971E-09              14.000               8.224
    4       24244.3043805           0.0026674         186.6585705           0.7142824       2.8571295E-01       0.0000000E+00       4.6653640E-06       0.0000000E+00       8.3373964E-09              14.000               9.181
    5       23481.2268543           0.0034049         188.6092016           0.7142819       2.8571275E-01       0.0000000E+00       5.3680955E-06       0.0000000E+00       8.8183244E-09              14.000              10.192
    6       22724.6954284           0.0043246         190.0980019           0.7142814       2.8571255E-01       0.0000000E+00       6.0596038E-06       4.4331966E-38       9.8994084E-09              14.000              11.033
    7       21976.7900097           0.0054654         191.0926730           0.7142810       2.8571239E-01       0.0000000E+00       6.6378643E-06       1.4440014E-32       1.2182290E-08              14.000              11.605
    8       21239.6176803           0.0068729         191.8053439           0.7142806       2.8571224E-01       0.0000000E+00       7.1513296E-06       6.6443254E-29       1.6007983E-08              14.000              11.994
    9       20514.5024253           0.0085997         192.6468978           0.7142802       2.8571208E-01       0.0000000E+00       7.7248063E-06       4.5969267E-29       2.1089091E-08              14.000              12.468
   10       19801.2200792           0.0107070         193.9608021           0.7142797       2.8571187E-01       0.0000000E+00       8.4445628E-06       9.3007240E-31       2.4798099E-08              14.000              13.305
   11       19098.2335690           0.0132648         195.7239630           0.7142791       2.8571164E-01       0.0000000E+00       9.2672531E-06       0.0000000E+00       2.4401645E-08              14.000              14.573
   12       18404.1948913           0.0163518         197.6067801           0.7142786       2.8571142E-01       0.0000000E+00       1.0023337E-05       0.0000000E+00       2.2597355E-08              14.000              16.069
   13       17719.0779252           0.0200568         199.2688333           0.7142781       2.8571126E-01       0.0000000E+00       1.0594536E-05       5.3702358E-41       1.8963946E-08              14.000              17.481
   14       17043.8452261           0.0244790         200.5089046           0.7142779       2.8571114E-01       0.0000000E+00       1.0993198E-05       2.2393050E-27       1.4102688E-08              14.000              18.571
   15       16380.0541856           0.0297280         201.2848126           0.7142777       2.8571108E-01       0.0000000E+00       1.1230607E-05       2.7699413E-23       1.6881140E-08              14.000              19.304
   16       15729.3835547           0.0359233         201.7933463           0.7142776       2.8571103E-01       0.0000000E+00       1.1387009E-05       1.6518281E-22       4.3052418E-08              14.000              19.874
   17       15092.8664331           0.0431938         202.5229465           0.7142773       2.8571092E-01       0.0000000E+00       1.1776393E-05       1.7305072E-22       1.1388462E-07              14.000              20.654
   18       14470.1351177           0.0516775         203.8620386           0.7142765       2.8571062E-01       0.0000000E+00       1.2834533E-05       1.5280306E-25       2.3331686E-07              14.000              21.914
   19       13859.7039005           0.0615205         205.8911635           0.7142750       2.8570998E-01       0.0000000E+00       1.5059805E-05       2.8689992E-25       4.0519175E-07              14.000              23.747
   20       13259.8146018           0.0728745         208.6110994           0.7142715       2.8570861E-01       0.0000000E+00       1.9860405E-05       1.0025217E-23       6.6664877E-07              14.000              26.239
   21       12668.8028308           0.0887320         212.9263930           0.7142614       2.8570456E-01       0.0000000E+00       3.4027490E-05       2.6709294E-24       1.1757653E-06              14.000              29.946
   22       11880.6527166           0.1102820         219.0696122           0.7142337       2.8569349E-01       0.0000000E+00       7.2784536E-05       4.8862471E-10       2.0972781E-06              14.000              33.922
   23       11095.1146028           0.1358908         226.1889811           0.7141709       2.8566838E-01       0.0000000E+00       1.6068240E-04       1.2643782E-07       3.1260329E-06              14.000              38.385
   24       10319.6641344           0.1660183         233.4898065           0.7140604       2.8562421E-01       0.0000000E+00       3.1537970E-04       1.6371425E-06       4.6160351E-06              14.000              45.036
   25        9548.0371646           0.2014617         240.5512056           0.7138887       2.8555559E-01       0.0000000E+00       5.5573028E-04       5.7744515E-06       5.4416315E-06              14.000              58.167
   26        8776.6741602           0.2431591         247.1764160           0.7136257       2.8545061E-01       0.0000000E+00       9.2371046E-04       1.1246068E-05       3.8807784E-06              14.000              81.083
   27        8003.4625718           0.2922138         253.4467040           0.7132017       2.8528159E-01       0.0000000E+00       1.5167397E-03       1.6722514E-05       2.3197073E-06              14.000             110.499
   28        7226.6547442           0.3499243         259.7247178           0.7125828       2.8503538E-01       0.0000000E+00       2.3818247E-03       1.8047601E-05       1.0529943E-06              14.000             145.903
   29        6444.0171762           0.4178176         266.4754943           0.7117729       2.8471410E-01       0.0000000E+00       3.5129641E-03       1.3901157E-05       4.5303862E-07              14.000             189.961
   30        5652.4085227           0.4976905         273.8906579           0.7107079       2.8429309E-01       0.0000000E+00       4.9990598E-03       9.0017131E-06       2.0113741E-07              14.000             224.907
   31        4848.4865663           0.5916569         281.7655845           0.7091993       2.8369974E-01       0.0000000E+00       7.1009701E-03       6.3630282E-06       5.0190319E-08              14.000             238.547
   32        4029.7780014           0.7022035         289.7789706           0.7072155       2.8292472E-01       0.0000000E+00       9.8597546E-03       4.9531091E-06       2.0121592E-09              14.000             243.677
   33        3194.9733453           0.8322558         297.4571919           0.7047025       2.8195131E-01       0.0000000E+00       1.3346198E-02       3.2667092E-06       1.2246664E-26              14.000             245.594
   34        2344.1963407           0.9712651         303.6855831           0.7022555       2.8101235E-01       0.0000000E+00       1.6732117E-02       2.6313839E-06       4.8004593E-29              14.000             245.804
   35        1612.0138196           1.1025258         307.5112768           0.7010584       2.8055614E-01       0.0000000E+00       1.8385419E-02       2.1957518E-06       1.1944416E-32              14.000             245.805
   36        1013.3962908           1.2172578         308.5053086           0.7009128       2.8050077E-01       0.0000000E+00       1.8586441E-02       1.9872605E-06       5.9446930E-33              14.000             245.805
   37         556.3201034           1.3074856         307.0863981           0.7001566       2.8021379E-01       0.0000000E+00       1.9629625E-02       3.1023513E-06       3.6159724E-30              14.000             245.804
   38         245.0783030           1.3665506         304.9289897           0.6976298       2.7926070E-01       0.0000000E+00       2.3109541E-02       9.2700558E-06       1.5361051E-28              14.000             245.805
   39          80.3850177           1.3980553         303.8925624           0.6965450       2.7885427E-01       0.0000000E+00       2.4600738E-02       6.9508474E-06       6.8085764E-28              14.000             245.803
