# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Synthesized on Wed Feb 13 19:10:52 2019
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Aerosols considered: Cloud,WaterIce
# Aerosols sources: White_GSFC[reff=1.0um 0.10-1000000.00um],CRISM_Wolff[reff=2.0um 0.31-99.57um]
# Aerosols opacities: 1,1
# Aerosols opacity units: scl,scl
# Aerosols sizes: 10,91.398
# Aerosols size units: um,um
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Wave/freq Total N2 CO2 H2O Cloud WaterIce CIA
5.000000000e+00  0.00000  1.00000  0.47222  0.04822  0.00000  0.02744  0.99983
5.002083333e+00  0.00000  1.00000  0.47213  0.00823  0.00000  0.02757  0.99980
5.004167535e+00  0.00000  1.00000  0.53097  0.00785  0.00000  0.02770  0.99987
5.006252605e+00  0.00000  1.00000  0.52584  0.06783  0.00000  0.02784  0.99976
5.008338543e+00  0.00000  1.00000  0.43849  0.06657  0.00000  0.02797  0.99987
5.010425351e+00  0.00000  1.00000  0.45445  0.03673  0.00000  0.02811  0.99985
5.012513028e+00  0.00000  1.00000  0.47308  0.00770  0.00000  0.02825  0.99987
5.014601575e+00  0.00000  1.00000  0.60988  0.00005  0.00000  0.02839  0.99986
5.016690992e+00 -0.00000  1.00000  0.49207 -0.00002  0.00000  0.02852  0.99982
5.018781280e+00 -0.00000  1.00000  0.65975 -0.00000  0.00000  0.02866  0.99978
5.020872439e+00 -0.00000  1.00000  0.46080 -0.00000  0.00000  0.02880  0.99978
5.022964469e+00  0.00000  1.00000  0.70652  0.00000  0.00000  0.02894  0.99969
5.025057371e+00  0.00000  1.00000  0.51299  0.00000  0.00000  0.02909  0.99988
5.027151145e+00  0.00000  1.00000  0.72435  0.00000  0.00000  0.02923  0.99986
5.029245792e+00  0.00000  1.00000  0.46864  0.00000  0.00000  0.02937  0.99990
5.031341311e+00  0.00000  1.00000  0.72831  0.00001  0.00000  0.02951  0.99989
5.033437703e+00  0.00000  1.00000  0.41259  0.00423  0.00000  0.02966  0.99991
5.035534969e+00  0.00000  1.00000  0.75549  0.04325  0.00000  0.02980  0.99993
5.037633108e+00  0.00000  1.00000  0.35594  0.11851  0.00000  0.02995  0.99993
5.039732122e+00  0.00000  1.00000  0.77427  0.12134  0.00000  0.03010  0.99996
5.041832010e+00  0.00000  1.00000  0.29467  0.26271  0.00000  0.03024  0.99990
5.043932774e+00  0.00000  1.00000  0.78765  0.21186  0.00000  0.03039  0.99985
5.046034412e+00  0.00000  1.00000  0.25298  0.17990  0.00000  0.03054  0.99992
5.048136927e+00  0.00000  1.00000  0.78776  0.06487  0.00000  0.03069  0.99996
5.050240317e+00  0.00000  1.00000  0.39572  0.38775  0.00000  0.03084  0.99987
5.052344584e+00  0.00000  1.00000  0.63743  0.41962  0.00000  0.03100  0.99994
5.054449727e+00  0.00000  1.00000  0.32808  0.43617  0.00000  0.03115  0.99995
5.056555748e+00  0.00000  1.00000  0.62519  0.23135  0.00000  0.03130  0.99998
5.058662646e+00  0.00000  1.00000  0.25647  0.10817  0.00000  0.03144  0.99993
5.060770422e+00  0.00000  1.00000  0.64897  0.02714  0.00000  0.03158  0.99997
5.062879077e+00  0.00000  1.00000  0.17904  0.21281  0.00000  0.03172  0.99992
5.064988610e+00  0.00000  1.00000  0.60448  0.32478  0.00000  0.03187  0.99988
5.067099022e+00  0.00000  1.00000  0.13535  0.33478  0.00000  0.03201  0.99998
5.069210313e+00  0.00000  1.00000  0.56758  0.22606  0.00000  0.03215  1.00000
5.071322484e+00  0.00000  1.00000  0.11139  0.18291  0.00000  0.03229  1.00000
5.073435535e+00  0.00000  1.00000  0.50492  0.08443  0.00000  0.03244  0.99999
5.075549466e+00  0.00000  1.00000  0.18855  0.01726  0.00000  0.03258  0.99992
5.077664279e+00  0.00000  1.00000  0.36736  0.00302  0.00000  0.03273  0.99996
5.079779972e+00  0.00000  1.00000  0.12794  0.00003  0.00000  0.03287  0.99997
5.081896547e+00  0.00000  1.00000  0.35422  0.00000  0.00000  0.03302  0.99992
5.084014004e+00  0.00000  1.00000  0.07493  0.00000  0.00000  0.03317  0.99985
5.086132343e+00  0.00000  1.00000  0.33671  0.00000  0.00000  0.03331  0.99990
5.088251565e+00  0.00000  1.00000  0.04752  0.00001  0.00000  0.03346  0.99995
5.090371670e+00  0.00000  1.00000  0.31816  0.00250  0.00000  0.03361  0.99996
5.092492658e+00  0.00000  1.00000  0.02189  0.01813  0.00000  0.03376  1.00000
5.094614530e+00  0.00000  1.00000  0.30920  0.02399  0.00000  0.03391  1.00000
5.096737286e+00 -0.00000  1.00000  0.00924  0.00250  0.00000  0.03406  1.00000
5.098860926e+00 -0.00000  1.00000  0.29629 -0.00104  0.00000  0.03422  0.99995
5.100985452e+00  0.00000  1.00000  0.07110  0.00716  0.00000  0.03437  0.99997
5.103110862e+00  0.00000  1.00000  0.20749  0.04348  0.00000  0.03452  0.99994
5.105237159e+00  0.00000  1.00000  0.08497  0.08094  0.00000  0.03468  0.99999
5.107364341e+00  0.00000  1.00000  0.19861  0.01996  0.00000  0.03483  1.00000
5.109492409e+00  0.00000  1.00000  0.06125  0.00200  0.00000  0.03499  1.00000
5.111621364e+00  0.00000  1.00000  0.24000  0.00007  0.00000  0.03515  1.00000
5.113751207e+00  0.00000  1.00000  0.04084  0.00000  0.00000  0.03531  0.99995
5.115881936e+00  0.00000  1.00000  0.30399  0.00000  0.00000  0.03546  1.00000
5.118013554e+00  0.00000  1.00000  0.03074  0.00651  0.00000  0.03562  1.00000
