# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e
5.000000000e+00  1.03392e-10
5.002083333e+00  1.63990e-10
5.004167535e+00  1.21424e-10
5.006252605e+00  7.96270e-11
5.008338543e+00  7.47864e-11
5.010425351e+00  7.84480e-11
5.012513028e+00  8.83466e-11
5.014601575e+00  1.16094e-10
5.016690992e+00  1.82237e-10
5.018781280e+00  2.01916e-10
5.020872439e+00  1.96046e-10
5.022964469e+00  1.58981e-10
5.025057371e+00  1.29686e-10
5.027151145e+00  1.55221e-10
5.029245792e+00  1.87381e-10
5.031341311e+00  1.57540e-10
5.033437703e+00  1.02050e-10
5.035534969e+00  8.41008e-11
5.037633108e+00  6.78412e-11
5.039732122e+00  8.36247e-11
5.041832010e+00  5.99469e-11
5.043932774e+00  7.27706e-11
5.046034412e+00  6.44240e-11
5.048136927e+00  9.26220e-11
5.050240317e+00  5.87578e-11
5.052344584e+00  5.67519e-11
5.054449727e+00  5.50258e-11
5.056555748e+00  7.22084e-11
5.058662646e+00  9.03349e-11
5.060770422e+00  1.35497e-10
5.062879077e+00  6.59487e-11
5.064988610e+00  5.77862e-11
5.067099022e+00  5.71190e-11
5.069210313e+00  6.27554e-11
5.071322484e+00  6.46985e-11
5.073435535e+00  7.25170e-11
5.075549466e+00  9.21376e-11
5.077664279e+00  1.17717e-10
5.079779972e+00  1.57623e-10
5.081896547e+00  1.97878e-10
5.084014004e+00  2.10616e-10
5.086132343e+00  2.03873e-10
5.088251565e+00  1.46108e-10
5.090371670e+00  1.06111e-10
5.092492658e+00  8.52400e-11
5.094614530e+00  8.50165e-11
5.096737286e+00  1.14116e-10
5.098860926e+00  2.06159e-10
5.100985452e+00  1.26300e-10
5.103110862e+00  1.00738e-10
5.105237159e+00  7.58840e-11
5.107364341e+00  1.13903e-10
5.109492409e+00  1.22027e-10
5.111621364e+00  1.71924e-10
5.113751207e+00  1.78769e-10
5.115881936e+00  1.93746e-10
5.118013554e+00  1.01609e-10
5.120146060e+00  7.80667e-11
5.122279454e+00  7.66485e-11
5.124413737e+00  9.00711e-11
5.126548909e+00  1.17585e-10
5.128684971e+00  1.21333e-10
5.130821923e+00  1.25520e-10
5.132959766e+00  1.23710e-10
5.135098499e+00  1.63397e-10
5.137238123e+00  2.11237e-10
5.139378639e+00  2.24863e-10
5.141520047e+00  2.08484e-10
5.143662347e+00  1.95546e-10
5.145805540e+00  2.24323e-10
5.147949625e+00  1.84423e-10
5.150094604e+00  2.48348e-10
5.152240477e+00  1.92168e-10
5.154387244e+00  1.61692e-10
5.156534905e+00  1.47442e-10
5.158683462e+00  1.23537e-10
5.160832913e+00  1.24762e-10
5.162983260e+00  1.22045e-10
5.165134503e+00  8.70237e-11
5.167286642e+00  9.33529e-11
5.169439679e+00  9.35365e-11
5.171593612e+00  1.49663e-10
5.173748442e+00  2.05617e-10
5.175904171e+00  1.52212e-10
5.178060798e+00  9.31446e-11
5.180218323e+00  8.70480e-11
5.182376747e+00  8.86418e-11
5.184536071e+00  9.26523e-11
5.186696294e+00  1.19039e-10
5.188857418e+00  1.20517e-10
5.191019442e+00  1.44488e-10
5.193182366e+00  1.53099e-10
5.195346192e+00  1.97337e-10
5.197510920e+00  2.21522e-10
5.199676550e+00  2.25077e-10
5.201843081e+00  2.42286e-10
5.204010516e+00  2.26216e-10
5.206178854e+00  2.13119e-10
5.208348095e+00  2.21761e-10
5.210518240e+00  2.38358e-10
5.212689289e+00  2.10666e-10
5.214861243e+00  2.48193e-10
5.217034102e+00  2.35817e-10
5.219207866e+00  2.07509e-10
5.221382536e+00  1.89447e-10
5.223558112e+00  1.81147e-10
5.225734595e+00  1.73967e-10
5.227911984e+00  1.60427e-10
5.230090281e+00  1.86920e-10
5.232269485e+00  2.08821e-10
