# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e Transit Planet
5.000000000e+00 -1.49363e-05 -1.49365e-05  2.03901e-10
5.002083333e+00 -1.50033e-05 -1.50036e-05  2.92688e-10
5.004167535e+00 -1.58420e-05 -1.58423e-05  2.59591e-10
5.006252605e+00 -1.64622e-05 -1.64623e-05  1.47589e-10
5.008338543e+00 -1.58932e-05 -1.58934e-05  1.32472e-10
5.010425351e+00 -1.57925e-05 -1.57927e-05  1.49359e-10
5.012513028e+00 -1.43950e-05 -1.43952e-05  1.93379e-10
5.014601575e+00 -1.53194e-05 -1.53197e-05  2.80167e-10
5.016690992e+00 -1.53192e-05 -1.53195e-05  3.29744e-10
5.018781280e+00 -1.43403e-05 -1.43405e-05  2.72537e-10
5.020872439e+00 -1.44156e-05 -1.44158e-05  2.62127e-10
5.022964469e+00 -1.53728e-05 -1.53731e-05  3.81108e-10
5.025057371e+00 -1.42049e-05 -1.42052e-05  3.19491e-10
5.027151145e+00 -1.42876e-05 -1.42880e-05  3.48920e-10
5.029245792e+00 -1.45533e-05 -1.45536e-05  3.11610e-10
5.031341311e+00 -1.55678e-05 -1.55681e-05  3.35909e-10
5.033437703e+00 -1.48329e-05 -1.48332e-05  2.28751e-10
5.035534969e+00 -1.56494e-05 -1.56495e-05  1.61031e-10
5.037633108e+00 -1.58458e-05 -1.58460e-05  1.05689e-10
5.039732122e+00 -1.36964e-05 -1.36965e-05  1.54600e-10
5.041832010e+00 -1.52717e-05 -1.52718e-05  7.71901e-11
5.043932774e+00 -1.43878e-05 -1.43879e-05  1.15077e-10
5.046034412e+00 -1.47661e-05 -1.47662e-05  9.24561e-11
5.048136927e+00 -1.40009e-05 -1.40011e-05  1.72766e-10
5.050240317e+00 -1.54966e-05 -1.54966e-05  6.76612e-11
5.052344584e+00 -1.55688e-05 -1.55688e-05  5.86064e-11
5.054449727e+00 -1.45068e-05 -1.45068e-05  5.60657e-11
5.056555748e+00 -1.47388e-05 -1.47389e-05  1.14486e-10
5.058662646e+00 -1.42703e-05 -1.42705e-05  1.81705e-10
5.060770422e+00 -1.45012e-05 -1.45015e-05  2.59996e-10
5.062879077e+00 -1.39614e-05 -1.39615e-05  1.01929e-10
5.064988610e+00 -1.41808e-05 -1.41809e-05  7.09227e-11
5.067099022e+00 -1.39210e-05 -1.39210e-05  6.86211e-11
5.069210313e+00 -1.49594e-05 -1.49595e-05  8.52523e-11
5.071322484e+00 -1.46034e-05 -1.46035e-05  9.49836e-11
5.073435535e+00 -1.48818e-05 -1.48819e-05  1.24855e-10
5.075549466e+00 -1.42312e-05 -1.42314e-05  1.97972e-10
5.077664279e+00 -1.39226e-05 -1.39229e-05  2.81367e-10
5.079779972e+00 -1.38259e-05 -1.38263e-05  3.61815e-10
5.081896547e+00 -1.38053e-05 -1.38056e-05  3.01259e-10
5.084014004e+00 -1.42057e-05 -1.42061e-05  3.54086e-10
5.086132343e+00 -1.39422e-05 -1.39425e-05  3.24685e-10
5.088251565e+00 -1.41945e-05 -1.41948e-05  3.49361e-10
5.090371670e+00 -1.42070e-05 -1.42073e-05  2.47716e-10
5.092492658e+00 -1.28516e-05 -1.28518e-05  1.82257e-10
5.094614530e+00 -1.34899e-05 -1.34901e-05  1.77695e-10
5.096737286e+00 -1.45823e-05 -1.45826e-05  2.61985e-10
5.098860926e+00 -1.41497e-05 -1.41501e-05  3.58582e-10
5.100985452e+00 -1.47332e-05 -1.47335e-05  2.79310e-10
5.103110862e+00 -1.42508e-05 -1.42510e-05  2.05928e-10
5.105237159e+00 -1.33116e-05 -1.33117e-05  1.37754e-10
5.107364341e+00 -1.35487e-05 -1.35489e-05  2.39235e-10
5.109492409e+00 -1.29938e-05 -1.29941e-05  2.76205e-10
5.111621364e+00 -1.31689e-05 -1.31693e-05  3.50622e-10
5.113751207e+00 -1.33543e-05 -1.33547e-05  3.81092e-10
5.115881936e+00 -1.40395e-05 -1.40399e-05  3.45034e-10
5.118013554e+00 -1.38917e-05 -1.38919e-05  2.41273e-10
5.120146060e+00 -1.35483e-05 -1.35485e-05  1.47721e-10
5.122279454e+00 -1.38543e-05 -1.38545e-05  1.38951e-10
5.124413737e+00 -1.30767e-05 -1.30769e-05  1.87538e-10
5.126548909e+00 -1.37303e-05 -1.37306e-05  2.45866e-10
5.128684971e+00 -1.27173e-05 -1.27176e-05  2.68744e-10
5.130821923e+00 -1.26224e-05 -1.26227e-05  2.85837e-10
5.132959766e+00 -1.30141e-05 -1.30144e-05  2.95993e-10
5.135098499e+00 -1.38118e-05 -1.38121e-05  3.78163e-10
5.137238123e+00 -1.34079e-05 -1.34083e-05  3.18646e-10
5.139378639e+00 -1.27351e-05 -1.27354e-05  3.56481e-10
5.141520047e+00 -1.34917e-05 -1.34920e-05  3.52942e-10
5.143662347e+00 -1.31248e-05 -1.31252e-05  4.17677e-10
5.145805540e+00 -1.17340e-05 -1.17344e-05  3.81896e-10
5.147949625e+00 -1.25791e-05 -1.25793e-05  1.84482e-10
5.150094604e+00 -1.26640e-05 -1.26644e-05  3.58660e-10
5.152240477e+00 -1.42150e-05 -1.42155e-05  4.10389e-10
5.154387244e+00 -1.40555e-05 -1.40559e-05  3.72130e-10
5.156534905e+00 -1.33034e-05 -1.33038e-05  3.44124e-10
5.158683462e+00 -1.29100e-05 -1.29103e-05  2.86227e-10
5.160832913e+00 -1.19228e-05 -1.19231e-05  2.79926e-10
5.162983260e+00 -1.29844e-05 -1.29847e-05  2.63207e-10
5.165134503e+00 -1.22938e-05 -1.22940e-05  1.78529e-10
5.167286642e+00 -1.24688e-05 -1.24690e-05  1.97329e-10
5.169439679e+00 -1.22435e-05 -1.22437e-05  2.03762e-10
5.171593612e+00 -1.30924e-05 -1.30927e-05  3.49336e-10
5.173748442e+00 -1.19328e-05 -1.19332e-05  3.76982e-10
5.175904171e+00 -1.28009e-05 -1.28013e-05  3.43940e-10
5.178060798e+00 -1.33471e-05 -1.33473e-05  1.92883e-10
5.180218323e+00 -1.23057e-05 -1.23059e-05  1.76692e-10
5.182376747e+00 -1.27224e-05 -1.27226e-05  1.81854e-10
5.184536071e+00 -1.21963e-05 -1.21965e-05  1.97276e-10
5.186696294e+00 -1.25628e-05 -1.25631e-05  2.69878e-10
5.188857418e+00 -1.32847e-05 -1.32850e-05  2.80282e-10
5.191019442e+00 -1.32628e-05 -1.32631e-05  3.35639e-10
5.193182366e+00 -1.25927e-05 -1.25931e-05  3.72316e-10
5.195346192e+00 -1.18701e-05 -1.18705e-05  4.29877e-10
5.197510920e+00 -1.18546e-05 -1.18550e-05  4.25238e-10
5.199676550e+00 -1.18624e-05 -1.18626e-05  2.61055e-10
5.201843081e+00 -1.13304e-05 -1.13307e-05  3.07094e-10
5.204010516e+00 -1.29169e-05 -1.29173e-05  4.19295e-10
5.206178854e+00 -1.23289e-05 -1.23293e-05  4.35283e-10
5.208348095e+00 -1.33114e-05 -1.33119e-05  4.26857e-10
5.210518240e+00 -1.13179e-05 -1.13183e-05  4.08842e-10
5.212689289e+00 -1.17209e-05 -1.17211e-05  2.65668e-10
5.214861243e+00 -1.25893e-05 -1.25896e-05  3.20458e-10
5.217034102e+00 -1.24323e-05 -1.24327e-05  4.19417e-10
5.219207866e+00 -1.24943e-05 -1.24948e-05  4.44765e-10
5.221382536e+00 -1.16526e-05 -1.16530e-05  4.31530e-10
5.223558112e+00 -1.17603e-05 -1.17607e-05  4.14312e-10
5.225734595e+00 -1.16901e-05 -1.16905e-05  3.94781e-10
5.227911984e+00 -1.21580e-05 -1.21584e-05  3.82276e-10
5.230090281e+00 -1.22467e-05 -1.22471e-05  4.21748e-10
5.232269485e+00 -1.17053e-05 -1.17058e-05  4.42586e-10
5.234449597e+00 -1.21297e-05 -1.21301e-05  3.47016e-10
5.236630618e+00 -1.22876e-05 -1.22880e-05  3.72757e-10
5.238812547e+00 -1.13850e-05 -1.13854e-05  4.37012e-10
5.240995386e+00 -1.06047e-05 -1.06050e-05  3.24161e-10
5.243179134e+00 -1.18492e-05 -1.18496e-05  4.43545e-10
5.245363792e+00 -1.08701e-05 -1.08706e-05  4.14184e-10
5.247549360e+00 -1.23720e-05 -1.23724e-05  3.86302e-10
5.249735839e+00 -1.22928e-05 -1.22933e-05  4.28256e-10
5.251923229e+00 -1.12858e-05 -1.12862e-05  3.65544e-10
5.254111531e+00 -1.14995e-05 -1.14999e-05  3.82231e-10
5.256300744e+00 -1.17162e-05 -1.17165e-05  3.59750e-10
5.258490869e+00 -1.14255e-05 -1.14258e-05  3.57524e-10
5.260681907e+00 -1.23962e-05 -1.23964e-05  2.61890e-10
5.262873858e+00 -1.19779e-05 -1.19782e-05  2.38971e-10
5.265066722e+00 -1.21025e-05 -1.21028e-05  2.61750e-10
5.267260500e+00 -1.11685e-05 -1.11689e-05  3.14144e-10
5.269455191e+00 -1.04509e-05 -1.04513e-05  4.07731e-10
5.271650798e+00 -1.18489e-05 -1.18494e-05  4.32717e-10
5.273847319e+00 -1.17309e-05 -1.17314e-05  4.64459e-10
5.276044755e+00 -1.05065e-05 -1.05068e-05  2.99472e-10
5.278243107e+00 -1.07738e-05 -1.07742e-05  4.16252e-10
5.280442375e+00 -1.07343e-05 -1.07347e-05  4.63463e-10
5.282642560e+00 -1.07482e-05 -1.07487e-05  4.59574e-10
5.284843661e+00 -1.14103e-05 -1.14107e-05  4.67357e-10
