results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e
5.000000000e+00  4.64639e-10
5.002083333e+00  4.59607e-10
5.004167535e+00  4.89618e-10
5.006252605e+00  5.06488e-10
5.008338543e+00  4.96822e-10
5.010425351e+00  4.86430e-10
5.012513028e+00  4.57599e-10
5.014601575e+00  4.73946e-10
5.016690992e+00  4.64170e-10
5.018781280e+00  4.30285e-10
5.020872439e+00  4.21269e-10
5.022964469e+00  4.81374e-10
5.025057371e+00  4.49287e-10
5.027151145e+00  4.47649e-10
5.029245792e+00  4.44381e-10
5.031341311e+00  4.72775e-10
5.033437703e+00  4.69144e-10
5.035534969e+00  4.85054e-10
5.037633108e+00  4.84814e-10
5.039732122e+00  4.40013e-10
5.041832010e+00  4.68138e-10
5.043932774e+00  4.52837e-10
5.046034412e+00  4.57725e-10
5.048136927e+00  4.39673e-10
5.050240317e+00  4.75999e-10
5.052344584e+00  4.77664e-10
5.054449727e+00  4.59323e-10
5.056555748e+00  4.56491e-10
5.058662646e+00  4.48486e-10
5.060770422e+00  4.43055e-10
5.062879077e+00  4.38713e-10
5.064988610e+00  4.40975e-10
5.067099022e+00  4.38415e-10
5.069210313e+00  4.62683e-10
5.071322484e+00  4.57704e-10
5.073435535e+00  4.62432e-10
5.075549466e+00  4.45710e-10
5.077664279e+00  4.36016e-10
5.079779972e+00  4.31832e-10
5.081896547e+00  4.10078e-10
5.084014004e+00  4.36876e-10
5.086132343e+00  4.21705e-10
5.088251565e+00  4.41620e-10
5.090371670e+00  4.38563e-10
5.092492658e+00  4.07578e-10
5.094614530e+00  4.21059e-10
5.096737286e+00  4.51570e-10
5.098860926e+00  4.30719e-10
5.100985452e+00  4.53525e-10
5.103110862e+00  4.40415e-10
5.105237159e+00  4.21518e-10
5.107364341e+00  4.18817e-10
5.109492409e+00  4.08516e-10
5.111621364e+00  4.04591e-10
5.113751207e+00  4.18198e-10
5.115881936e+00  4.22522e-10
5.118013554e+00  4.33687e-10
5.120146060e+00  4.24214e-10
5.122279454e+00  4.29694e-10
5.124413737e+00  4.10800e-10
5.126548909e+00  4.18608e-10
5.128684971e+00  4.00719e-10
5.130821923e+00  3.96486e-10
5.132959766e+00  4.08188e-10
5.135098499e+00  4.24915e-10
5.137238123e+00  3.93028e-10
5.139378639e+00  3.98130e-10
5.141520047e+00  3.98369e-10
5.143662347e+00  4.07890e-10
5.145805540e+00  3.71927e-10
5.147949625e+00  3.18847e-10
5.150094604e+00  4.01622e-10
5.152240477e+00  4.33822e-10
5.154387244e+00  4.32801e-10
5.156534905e+00  4.16396e-10
5.158683462e+00  3.99710e-10
5.160832913e+00  3.81750e-10
5.162983260e+00  3.97316e-10
5.165134503e+00  3.87193e-10
5.167286642e+00  3.87859e-10
5.169439679e+00  3.85557e-10
5.171593612e+00  4.03066e-10
5.173748442e+00  3.71336e-10
5.175904171e+00  3.95759e-10
5.178060798e+00  4.07707e-10
5.180218323e+00  3.91108e-10
5.182376747e+00  3.92049e-10
5.184536071e+00  3.85035e-10
5.186696294e+00  3.93648e-10
5.188857418e+00  4.10698e-10
5.191019442e+00  4.10247e-10
5.193182366e+00  3.92580e-10
5.195346192e+00  3.71910e-10
5.197510920e+00  3.69767e-10
5.199676550e+00  3.32241e-10
5.201843081e+00  3.40101e-10
5.204010516e+00  3.90870e-10
5.206178854e+00  3.91425e-10
5.208348095e+00  3.98344e-10
5.210518240e+00  3.64474e-10
5.212689289e+00  3.13606e-10
5.214861243e+00  3.74857e-10
5.217034102e+00  3.87635e-10
5.219207866e+00  3.86233e-10
5.221382536e+00  3.66797e-10
5.223558112e+00  3.66099e-10
5.225734595e+00  3.65236e-10
5.227911984e+00  3.77904e-10
5.230090281e+00  3.78077e-10
5.232269485e+00  3.70143e-10
5.234449597e+00  3.51042e-10
5.236630618e+00  3.70086e-10
5.238812547e+00  3.55529e-10
5.240995386e+00  3.20241e-10
5.243179134e+00  3.60750e-10
5.245363792e+00  3.48639e-10
5.247549360e+00  3.80174e-10
5.249735839e+00  3.79507e-10
5.251923229e+00  3.35693e-10
5.254111531e+00  3.61006e-10
5.256300744e+00  3.62508e-10
5.258490869e+00  3.62644e-10
5.260681907e+00  3.78684e-10
5.262873858e+00  3.75677e-10
5.265066722e+00  3.72077e-10
5.267260500e+00  3.49430e-10
5.269455191e+00  3.34711e-10
5.271650798e+00  3.63696e-10
5.273847319e+00  3.62357e-10
5.276044755e+00  3.01264e-10
5.278243107e+00  3.36835e-10
5.280442375e+00  3.34258e-10
5.282642560e+00  3.38625e-10
5.284843661e+00  3.49850e-10
5.287045679e+00  3.49312e-10
5.289248615e+00  3.59551e-10
5.291452468e+00  3.00563e-10
5.293657240e+00  3.26499e-10
5.295862930e+00  3.40086e-10
5.298069540e+00  3.40492e-10
5.300277069e+00  3.63309e-10
5.302485518e+00  3.68008e-10
5.304694887e+00  3.40036e-10
5.306905176e+00  3.15772e-10
5.309116387e+00  3.44600e-10
5.311328519e+00  3.28065e-10
5.313541572e+00  3.47052e-10
5.315755548e+00  3.51997e-10
5.317970446e+00  3.36342e-10
5.320186267e+00  3.16198e-10
5.322403011e+00  3.20089e-10
5.324620679e+00  3.56711e-10
5.326839271e+00  3.35803e-10
5.329058787e+00  3.32450e-10
5.331279229e+00  3.37805e-10
5.333500595e+00  3.47515e-10
5.335722887e+00  3.26088e-10
5.337946105e+00  3.36381e-10
5.340170249e+00  3.27744e-10
5.342395320e+00  3.26299e-10
5.344621318e+00  3.15939e-10
5.346848244e+00  3.27184e-10
5.349076097e+00  2.41734e-10
5.351304879e+00  2.94439e-10
5.353534589e+00  2.47417e-10
5.355765228e+00  3.45349e-10
5.357996797e+00  2.92033e-10
5.360229296e+00  3.35419e-10
5.362462725e+00  3.22076e-10
5.364697084e+00  3.03928e-10
5.366932375e+00  3.08112e-10
5.369168597e+00  3.23834e-10
5.371405750e+00  3.16237e-10
5.373643836e+00  3.26984e-10
5.375882854e+00  3.18916e-10
5.378122805e+00  3.06007e-10
5.380363690e+00  3.02586e-10
5.382605508e+00  3.28960e-10
5.384848260e+00  3.15443e-10
5.387091947e+00  3.07571e-10
5.389336569e+00  2.97806e-10
5.391582126e+00  2.96571e-10
5.393828618e+00  3.13879e-10
5.396076047e+00  3.31956e-10
5.398324412e+00  3.20526e-10
5.400573714e+00  3.11373e-10
5.402823953e+00  3.01158e-10
5.405075129e+00  3.00475e-10
5.407327244e+00  3.00078e-10
5.409580297e+00  2.89692e-10
5.411834289e+00  2.70713e-10
5.414089220e+00  3.16186e-10
5.416345090e+00  2.95896e-10
5.418601901e+00  2.82348e-10
5.420859652e+00  2.28808e-10
5.423118343e+00  2.29000e-10
5.425377976e+00  2.84296e-10
5.427638550e+00  2.77658e-10
5.429900066e+00  2.80044e-10
5.432162524e+00  2.93986e-10
5.434425925e+00  3.00107e-10
5.436690269e+00  2.76575e-10
5.438955557e+00  3.01881e-10
5.441221789e+00  3.11583e-10
5.443488964e+00  2.56140e-10
5.445757085e+00  2.93878e-10
5.448026150e+00  2.93418e-10
5.450296161e+00  2.90029e-10
5.452567118e+00  2.87470e-10
5.454839021e+00  2.78260e-10
5.457111870e+00  2.98683e-10
5.459385667e+00  2.80937e-10
5.461660411e+00  2.92767e-10
5.463936103e+00  2.01121e-10
5.466212743e+00  2.77146e-10
5.468490331e+00  2.40198e-10
5.470768869e+00  3.03454e-10
5.473048356e+00  2.96774e-10
5.475328793e+00  2.85363e-10
5.477610180e+00  2.30662e-10
5.479892518e+00  2.67926e-10
5.482175806e+00  2.82479e-10
5.484460046e+00  2.84437e-10
5.486745238e+00  2.64506e-10
5.489031382e+00  2.90194e-10
5.491318478e+00  2.85459e-10
5.493606527e+00  2.69699e-10
5.495895530e+00  2.88946e-10
5.498185487e+00  2.86694e-10
5.500476397e+00  2.79662e-10
5.502768262e+00  2.66890e-10
5.505061082e+00  2.81810e-10
5.507354858e+00  2.84850e-10
5.509649589e+00  2.71238e-10
5.511945276e+00  2.70926e-10
5.514241920e+00  2.81594e-10
5.516539521e+00  2.70092e-10
5.518838079e+00  2.57168e-10
5.521137595e+00  2.67204e-10
5.523438069e+00  2.09273e-10
5.525739502e+00  2.70587e-10
5.528041893e+00  2.66094e-10
5.530345244e+00  2.63641e-10
5.532649554e+00  2.59649e-10
5.534954825e+00  2.70410e-10
5.537261056e+00  2.75620e-10
5.539568248e+00  2.59017e-10
5.541876402e+00  2.62985e-10
5.544185517e+00  2.67127e-10
5.546495594e+00  2.59463e-10
5.548806634e+00  2.41613e-10
5.551118637e+00  2.40573e-10
5.553431603e+00  2.76621e-10
5.555745533e+00  2.27525e-10
5.558060427e+00  2.48618e-10
5.560376285e+00  2.64149e-10
5.562693109e+00  2.65737e-10
5.565010897e+00  2.49591e-10
5.567329652e+00  2.29760e-10
5.569649373e+00  2.43941e-10
5.571970060e+00  2.63938e-10
5.574291714e+00  2.60298e-10
5.576614336e+00  2.51881e-10
5.578937925e+00  1.39345e-10
5.581262482e+00  2.75350e-10
5.583588008e+00  2.35273e-10
5.585914503e+00  2.43654e-10
5.588241968e+00  2.52608e-10
5.590570402e+00  2.56039e-10
5.592899806e+00  2.56836e-10
5.595230181e+00  2.71678e-10
5.597561527e+00  2.65195e-10
5.599893844e+00  2.54969e-10
5.602227134e+00  2.28659e-10
5.604561395e+00  2.63800e-10
5.606896629e+00  2.46672e-10
5.609232836e+00  2.58748e-10
5.611570016e+00  2.47284e-10
5.613908170e+00  2.42580e-10
5.616247299e+00  2.01769e-10
5.618587402e+00  2.45532e-10
5.620928480e+00  2.37497e-10
5.623270533e+00  2.38702e-10
5.625613563e+00  2.41626e-10
5.627957568e+00  2.57632e-10
5.630302551e+00  2.43770e-10
5.632648510e+00  2.14374e-10
5.634995447e+00  2.60753e-10
5.637343362e+00  2.52044e-10
5.639692255e+00  1.95533e-10
5.642042127e+00  2.10396e-10
5.644392977e+00  1.90737e-10
5.646744808e+00  2.14893e-10
5.649097618e+00  2.34815e-10
5.651451409e+00  2.41871e-10
5.653806180e+00  2.45530e-10
5.656161933e+00  1.98181e-10
5.658518667e+00  2.51693e-10
5.660876383e+00  2.43804e-10
5.663235082e+00  2.38533e-10
5.665594763e+00  2.41635e-10
5.667955427e+00  2.27337e-10
5.670317075e+00  2.42781e-10
5.672679708e+00  2.41351e-10
5.675043324e+00  1.85744e-10
5.677407925e+00  2.29206e-10
5.679773512e+00  2.36769e-10
5.682140084e+00  2.34318e-10
5.684507643e+00  2.31439e-10
5.686876188e+00  2.29125e-10
5.689245719e+00  2.34874e-10
5.691616238e+00  1.98555e-10
5.693987745e+00  2.37922e-10
5.696360240e+00  2.31127e-10
5.698733724e+00  2.35414e-10
5.701108196e+00  2.39795e-10
5.703483658e+00  2.43826e-10
5.705860109e+00  2.35917e-10
5.708237551e+00  2.24248e-10
5.710615983e+00  1.76318e-10
5.712995407e+00  2.32088e-10
5.715375821e+00  2.17052e-10
5.717757228e+00  2.10607e-10
5.720139627e+00  1.93363e-10
5.722523018e+00  2.16965e-10
5.724907403e+00  2.15167e-10
5.727292781e+00  2.13230e-10
5.729679153e+00  2.32337e-10
5.732066519e+00  2.16448e-10
5.734454880e+00  2.05255e-10
5.736844236e+00  2.06547e-10
5.739234588e+00  2.29313e-10
5.741625936e+00  2.34113e-10
5.744018280e+00  2.27721e-10
5.746411621e+00  2.08147e-10
5.748805959e+00  1.51800e-10
5.751201295e+00  2.52287e-10
5.753597629e+00  2.23624e-10
5.755994961e+00  2.27010e-10
5.758393293e+00  2.33446e-10
5.760792623e+00  2.33576e-10
5.763192953e+00  1.99099e-10
5.765594284e+00  1.35558e-10
5.767996615e+00  1.81977e-10
5.770399947e+00  2.11417e-10
5.772804280e+00  2.23168e-10
5.775209615e+00  2.28410e-10
5.777615952e+00  2.22046e-10
5.780023292e+00  1.77017e-10
5.782431635e+00  2.09677e-10
5.784840982e+00  2.19346e-10
5.787251332e+00  2.22862e-10
5.789662687e+00  2.24506e-10
5.792075046e+00  2.15541e-10
5.794488411e+00  2.14921e-10
5.796902781e+00  2.18720e-10
5.799318157e+00  2.19207e-10
5.801734540e+00  2.09489e-10
5.804151929e+00  2.24034e-10
5.806570326e+00  2.21610e-10
5.808989730e+00  2.20592e-10
5.811410143e+00  2.25963e-10
5.813831564e+00  2.21145e-10
5.816253993e+00  2.15447e-10
5.818677433e+00  1.53863e-10
5.821101881e+00  1.89999e-10
5.823527341e+00  1.64224e-10
5.825953810e+00  2.24808e-10
5.828381291e+00  2.11132e-10
5.830809783e+00  1.67849e-10
5.833239287e+00  2.11101e-10
5.835669804e+00  1.98254e-10
5.838101333e+00  2.20198e-10
5.840533875e+00  2.08996e-10
5.842967431e+00  2.12393e-10
5.845402001e+00  2.10478e-10
5.847837585e+00  1.99044e-10
5.850274184e+00  2.09231e-10
5.852711798e+00  2.10540e-10
5.855150428e+00  2.16791e-10
5.857590074e+00  2.04995e-10
5.860030736e+00  1.57352e-10
5.862472416e+00  2.16670e-10
5.864915113e+00  2.18685e-10
5.867358827e+00  1.68099e-10
5.869803560e+00  2.13546e-10
5.872249312e+00  2.08523e-10
5.874696082e+00  2.10304e-10
5.877143872e+00  1.90901e-10
5.879592682e+00  1.22032e-10
5.882042513e+00  1.16167e-10
5.884493364e+00  1.86085e-10
5.886945236e+00  2.08338e-10
5.889398130e+00  2.14429e-10
5.891852046e+00  1.93537e-10
5.894306984e+00  2.18810e-10
5.896762945e+00  1.03990e-10
5.899219930e+00  1.76764e-10
5.901677938e+00  2.00494e-10
5.904136970e+00  2.06322e-10
5.906597028e+00  2.11631e-10
5.909058110e+00  2.05533e-10
5.911520217e+00  2.08391e-10
5.913983351e+00  2.17953e-10
5.916447510e+00  1.87197e-10
5.918912697e+00  2.14837e-10
5.921378910e+00  2.08663e-10
5.923846152e+00  1.93205e-10
5.926314421e+00  2.23441e-10
5.928783719e+00  2.12425e-10
5.931254045e+00  2.12122e-10
5.933725401e+00  1.59739e-10
5.936197787e+00  1.50935e-10
5.938671202e+00  1.66568e-10
5.941145649e+00  1.61294e-10
5.943621126e+00  2.08911e-10
5.946097635e+00  2.09420e-10
5.948575175e+00  2.02273e-10
5.951053748e+00  1.94953e-10
5.953533354e+00  1.95454e-10
5.956013993e+00  2.13404e-10
5.958495666e+00  2.09707e-10
5.960978372e+00  2.04027e-10
5.963462113e+00  2.10684e-10
5.965946889e+00  2.09571e-10
5.968432700e+00  1.28976e-10
5.970919547e+00  1.92306e-10
5.973407430e+00  2.17279e-10
5.975896350e+00  2.03811e-10
5.978386307e+00  2.04236e-10
5.980877301e+00  2.15017e-10
5.983369333e+00  1.52717e-10
5.985862404e+00  2.17359e-10
5.988356513e+00  1.88587e-10
5.990851662e+00  1.56632e-10
5.993347850e+00  1.82396e-10
5.995845078e+00  2.06543e-10
5.998343347e+00  2.08367e-10
6.000842657e+00  2.14095e-10
6.003343008e+00  2.09372e-10
6.005844401e+00  2.04178e-10
6.008346836e+00  2.09322e-10
6.010850314e+00  2.10703e-10
6.013354835e+00  1.57044e-10
6.015860399e+00  1.96601e-10
6.018367008e+00  2.01448e-10
6.020874661e+00  2.06597e-10
6.023383358e+00  2.00702e-10
6.025893102e+00  2.07241e-10
6.028403890e+00  2.04259e-10
6.030915725e+00  2.02636e-10
6.033428607e+00  1.95086e-10
6.035942535e+00  2.04923e-10
6.038457511e+00  2.04330e-10
6.040973535e+00  2.00723e-10
6.043490608e+00  1.63819e-10
6.046008729e+00  1.93263e-10
6.048527899e+00  1.22295e-10
6.051048119e+00  1.15536e-10
6.053569389e+00  1.80158e-10
6.056091710e+00  2.04035e-10
6.058615081e+00  2.07123e-10
6.061139504e+00  2.05090e-10
6.063664979e+00  2.10758e-10
6.066191506e+00  1.67618e-10
6.068719086e+00  2.01631e-10
6.071247719e+00  1.72028e-10
6.073777405e+00  2.02612e-10
6.076308146e+00  1.25673e-10
6.078839941e+00  2.08856e-10
6.081372791e+00  2.08591e-10
6.083906696e+00  2.06948e-10
6.086441657e+00  2.05975e-10
6.088977675e+00  1.97059e-10
6.091514749e+00  2.04566e-10
6.094052880e+00  2.06725e-10
6.096592069e+00  1.96446e-10
6.099132315e+00  2.03424e-10
6.101673621e+00  2.00163e-10
6.104215985e+00  2.01594e-10
6.106759408e+00  1.58502e-10
6.109303891e+00  2.05858e-10
6.111849434e+00  1.79502e-10
6.114396038e+00  1.44454e-10
6.116943703e+00  1.57773e-10
6.119492430e+00  2.02625e-10
6.122042218e+00  2.03533e-10
6.124593069e+00  2.02849e-10
6.127144983e+00  2.06393e-10
6.129697960e+00  2.10466e-10
6.132252001e+00  2.03121e-10
6.134807106e+00  2.05855e-10
6.137363275e+00  2.09368e-10
6.139920510e+00  2.07421e-10
6.142478810e+00  1.69218e-10
6.145038177e+00  1.95650e-10
6.147598609e+00  2.04217e-10
6.150160109e+00  1.99348e-10
6.152722675e+00  2.03475e-10
6.155286310e+00  2.04991e-10
6.157851012e+00  1.92317e-10
6.160416784e+00  1.60578e-10
6.162983624e+00  1.99385e-10
6.165551534e+00  2.09453e-10
6.168120514e+00  2.00887e-10
6.170690564e+00  1.95165e-10
6.173261685e+00  2.01185e-10
6.175833877e+00  2.00147e-10
6.178407141e+00  2.06744e-10
6.180981478e+00  2.08783e-10
6.183556887e+00  1.79291e-10
6.186133369e+00  1.32856e-10
6.188710924e+00  2.07933e-10
6.191289554e+00  2.05806e-10
6.193869258e+00  2.05130e-10
6.196450037e+00  2.02488e-10
6.199031891e+00  1.96772e-10
6.201614821e+00  2.00020e-10
6.204198827e+00  2.02701e-10
6.206783910e+00  1.99921e-10
6.209370070e+00  2.00258e-10
6.211957307e+00  1.91505e-10
6.214545623e+00  2.02661e-10
6.217135017e+00  1.97014e-10
6.219725490e+00  1.96022e-10
6.222317042e+00  1.92265e-10
6.224909674e+00  2.02304e-10
6.227503386e+00  1.99781e-10
6.230098180e+00  2.02454e-10
6.232694054e+00  2.00939e-10
6.235291010e+00  1.95346e-10
6.237889048e+00  2.00447e-10
6.240488168e+00  1.94726e-10
6.243088371e+00  1.95680e-10
6.245689658e+00  1.91488e-10
6.248292029e+00  1.96472e-10
6.250895484e+00  1.95957e-10
6.253500024e+00  1.98362e-10
6.256105649e+00  1.97986e-10
6.258712359e+00  1.98953e-10
6.261320156e+00  1.94309e-10
6.263929040e+00  1.92222e-10
6.266539010e+00  1.96164e-10
6.269150068e+00  1.97843e-10
6.271762214e+00  1.90155e-10
6.274375448e+00  1.98970e-10
6.276989771e+00  1.98195e-10
6.279605184e+00  1.96159e-10
6.282221686e+00  1.96136e-10
6.284839278e+00  2.00429e-10
6.287457961e+00  1.98685e-10
6.290077735e+00  1.96222e-10
6.292698601e+00  1.94051e-10
6.295320559e+00  1.95819e-10
6.297943609e+00  1.97111e-10
6.300567752e+00  1.92925e-10
6.303192989e+00  1.96890e-10
6.305819319e+00  1.99707e-10
6.308446744e+00  1.94007e-10
6.311075263e+00  1.95887e-10
6.313704878e+00  1.95011e-10
6.316335588e+00  1.93388e-10
6.318967395e+00  1.96418e-10
6.321600298e+00  1.95976e-10
6.324234298e+00  1.97014e-10
6.326869396e+00  1.94941e-10
6.329505591e+00  1.98089e-10
6.332142885e+00  1.99512e-10
6.334781278e+00  1.99540e-10
6.337420770e+00  2.03316e-10
6.340061362e+00  2.07860e-10
6.342703055e+00  1.81853e-10
6.345345848e+00  1.39002e-10
6.347989742e+00  2.14224e-10
6.350634737e+00  2.01452e-10
6.353280835e+00  1.94087e-10
6.355928036e+00  1.93724e-10
6.358576339e+00  1.98927e-10
6.361225746e+00  2.00677e-10
6.363876256e+00  2.02625e-10
6.366527872e+00  2.06830e-10
6.369180591e+00  1.64413e-10
6.371834417e+00  1.99238e-10
6.374489348e+00  1.87121e-10
6.377145385e+00  1.99254e-10
6.379802529e+00  1.94448e-10
6.382460780e+00  1.94013e-10
6.385120139e+00  1.96633e-10
6.387780605e+00  1.99629e-10
6.390442181e+00  1.71287e-10
6.393104865e+00  2.05130e-10
6.395768658e+00  2.02931e-10
6.398433562e+00  2.01680e-10
6.401099576e+00  2.01793e-10
6.403766701e+00  2.05556e-10
6.406434937e+00  2.09495e-10
6.409104285e+00  1.42595e-10
6.411774745e+00  1.70558e-10
6.414446318e+00  2.01853e-10
6.417119004e+00  1.23357e-10
6.419792803e+00  1.58283e-10
6.422467717e+00  1.97768e-10
6.425143745e+00  2.10111e-10
6.427820888e+00  2.05540e-10
6.430499147e+00  2.06061e-10
6.433178522e+00  1.71710e-10
6.435859013e+00  2.04506e-10
6.438540621e+00  2.00858e-10
6.441223346e+00  1.95027e-10
6.443907189e+00  1.95845e-10
6.446592150e+00  1.94986e-10
6.449278231e+00  1.98919e-10
6.451965430e+00  1.96091e-10
6.454653749e+00  1.95782e-10
6.457343188e+00  1.92581e-10
6.460033747e+00  1.92682e-10
6.462725428e+00  1.91341e-10
6.465418230e+00  1.94670e-10
6.468112155e+00  1.95744e-10
6.470807201e+00  1.79795e-10
6.473503371e+00  2.01194e-10
6.476200664e+00  1.96501e-10
6.478899081e+00  1.93037e-10
6.481598622e+00  2.06379e-10
6.484299288e+00  1.45674e-10
6.487001080e+00  1.95816e-10
6.489703997e+00  2.03801e-10
6.492408040e+00  1.62737e-10
6.495113210e+00  1.88212e-10
