# Simulation:  ..\ModelFiles\t3700_s1500_p44.3355
# TRAPPIST-1 e, 1.00% N2, 0.00% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#0.9956266           #272.1994425         #0.1881517           #28.0000000          #320.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       63006.1712022           0.0009559         192.2584669           0.9999780       0.0000000E+00       0.0000000E+00       2.1957375E-05       0.0000000E+00       2.7050453E-18              14.000              11.744
    1       60924.5827532           0.0012448         191.3014744           0.9999782       0.0000000E+00       0.0000000E+00       2.1826406E-05       0.0000000E+00       2.7714845E-10              14.000              11.266
    2       58894.0497023           0.0016128         190.1579149           0.9999780       0.0000000E+00       0.0000000E+00       2.1950140E-05       0.0000000E+00       1.6765446E-09              14.000              10.613
    3       56913.6880272           0.0020793         189.2022914           0.9999778       0.0000000E+00       0.0000000E+00       2.2231899E-05       0.0000000E+00       1.1790616E-08              14.000              10.050
    4       54979.0421165           0.0026674         188.6793660           0.9999775       0.0000000E+00       0.0000000E+00       2.2526257E-05       0.0000000E+00       3.7457722E-08              14.000               9.789
    5       53085.7457789           0.0034049         188.5754787           0.9999772       0.0000000E+00       0.0000000E+00       2.2781449E-05       0.0000000E+00       6.9875214E-08              14.000               9.735
    6       51229.3174731           0.0043246         189.0182443           0.9999768       0.0000000E+00       0.0000000E+00       2.3151604E-05       0.0000000E+00       1.1347558E-07              14.000               9.938
    7       49405.9403662           0.0054654         189.7116985           0.9999760       0.0000000E+00       0.0000000E+00       2.3969506E-05       0.0000000E+00       1.6305565E-07              14.000              10.300
    8       47613.1392618           0.0068729         190.7366085           0.9999745       0.0000000E+00       0.0000000E+00       2.5486410E-05       0.0000000E+00       2.2972466E-07              14.000              10.873
    9       45848.4529140           0.0085997         192.0479595           0.9999719       0.0000000E+00       0.0000000E+00       2.8123329E-05       0.0000000E+00       3.1915215E-07              14.000              11.665
   10       44109.5710525           0.0107070         193.6248601           0.9999674       0.0000000E+00       0.0000000E+00       3.2636611E-05       0.0000000E+00       4.6959092E-07              14.000              12.699
   11       42393.7229684           0.0132648         195.6556205           0.9999582       0.0000000E+00       0.0000000E+00       4.1787856E-05       0.0000000E+00       7.4174752E-07              14.000              14.172
   12       40696.4691454           0.0163518         198.5228211           0.9999393       0.0000000E+00       0.0000000E+00       6.0749135E-05       3.3130380E-34       1.2282980E-06              14.000              16.550
   13       39011.8988541           0.0200568         202.2798410           0.9999032       0.0000000E+00       0.0000000E+00       9.6847837E-05       3.1042474E-27       2.0006831E-06              14.000              20.242
   14       37335.1235961           0.0244790         206.6809831           0.9998402       0.0000000E+00       0.0000000E+00       1.5977134E-04       8.9765394E-26       3.1091512E-06              14.000              24.952
   15       35663.2705839           0.0297280         211.6432408           0.9997277       0.0000000E+00       0.0000000E+00       2.7230848E-04       1.6897766E-25       4.7765953E-06              14.000              29.286
   16       33994.7144897           0.0359233         217.0595119           0.9995228       0.0000000E+00       0.0000000E+00       4.7720984E-04       3.2326510E-25       6.9902962E-06              14.000              32.685
   17       32329.9829087           0.0431938         222.4530477           0.9992151       0.0000000E+00       0.0000000E+00       7.8491523E-04       1.3009969E-11       8.9118342E-06              14.000              35.751
   18       30672.4305936           0.0516775         227.4280168           0.9988326       0.0000000E+00       0.0000000E+00       1.1674472E-03       3.5206237E-08       1.0289377E-05              14.000              38.889
   19       29026.8021553           0.0615205         231.9507452           0.9984076       0.0000000E+00       0.0000000E+00       1.5924006E-03       8.8592804E-07       1.2712254E-05              14.000              42.357
   20       27398.1620271           0.0728745         235.9648667           0.9980183       0.0000000E+00       0.0000000E+00       1.9817018E-03       3.2070065E-06       1.5378617E-05              14.000              46.615
   21       25822.5312361           0.0856336         239.1831779           0.9977720       0.0000000E+00       0.0000000E+00       2.2280099E-03       4.9749638E-06       1.3970980E-05              14.000              51.692
   22       24245.0107629           0.1004399         241.7960413           0.9976492       0.0000000E+00       0.0000000E+00       2.3508061E-03       5.1796993E-06       1.0258038E-05              14.000              57.572
   23       22625.0424484           0.1181153         244.1137318           0.9975671       0.0000000E+00       0.0000000E+00       2.4329086E-03       4.8460514E-06       7.0881635E-06              14.000              64.246
   24       20989.4803693           0.1389094         246.2572794           0.9974861       0.0000000E+00       0.0000000E+00       2.5139186E-03       4.6880773E-06       5.1407955E-06              14.000              72.386
   25       19339.0923630           0.1633727         248.3940185           0.9973733       0.0000000E+00       0.0000000E+00       2.6267344E-03       4.7363240E-06       3.8981221E-06              14.000              81.629
   26       17674.1503207           0.1921524         250.5141229           0.9971915       0.0000000E+00       0.0000000E+00       2.8084941E-03       4.8644259E-06       3.0239833E-06              14.000              91.436
   27       15994.9394452           0.2260103         252.6050515           0.9969177       0.0000000E+00       0.0000000E+00       3.0823426E-03       5.2967686E-06       2.4928682E-06              14.000             101.692
   28       14301.8431940           0.2658424         254.6142620           0.9965788       0.0000000E+00       0.0000000E+00       3.4211879E-03       6.6383666E-06       2.3552614E-06              14.000             112.057
   29       12595.0195729           0.3127027         256.6299050           0.9961805       0.0000000E+00       0.0000000E+00       3.8195096E-03       1.0666286E-05       2.6307865E-06              14.000             122.979
   30       10873.9864716           0.3678314         258.7628998           0.9957614       0.0000000E+00       0.0000000E+00       4.2385900E-03       2.0132220E-05       2.9179773E-06              14.000             135.182
