# Simulation:  ..\ModelFiles\t3700_s1500_p44.3355
# TRAPPIST-1 e, 1.00% N2, 0.00% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#0.9935616           #278.7375555         #0.1460605           #28.0000000          #5.0000000           
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       63011.8213828           0.0009559         193.2584186           0.9999781       0.0000000E+00       0.0000000E+00       2.1946150E-05       0.0000000E+00       2.0752899E-18              14.000              12.406
    1       60925.1452623           0.0012448         191.5765633           0.9999782       0.0000000E+00       0.0000000E+00       2.1824620E-05       0.0000000E+00       2.2816075E-10              14.000              11.464
    2       58894.1955841           0.0016128         189.9803093           0.9999780       0.0000000E+00       0.0000000E+00       2.1984696E-05       0.0000000E+00       8.9066562E-10              14.000              10.490
    3       56915.4461042           0.0020793         188.9198118           0.9999777       0.0000000E+00       0.0000000E+00       2.2319552E-05       0.0000000E+00       1.4042056E-08              14.000               9.885
    4       54982.2864149           0.0026674         188.5536277           0.9999772       0.0000000E+00       0.0000000E+00       2.2813463E-05       0.0000000E+00       4.2579243E-08              14.000               9.716
    5       53089.4295501           0.0034049         188.5984660           0.9999767       0.0000000E+00       0.0000000E+00       2.3314838E-05       0.0000000E+00       7.9099651E-08              14.000               9.730
    6       51232.5553519           0.0043246         189.1225701           0.9999762       0.0000000E+00       0.0000000E+00       2.3813647E-05       0.0000000E+00       1.2061995E-07              14.000               9.976
    7       49408.3803889           0.0054654         189.8560567           0.9999752       0.0000000E+00       0.0000000E+00       2.4751076E-05       0.0000000E+00       1.6159344E-07              14.000              10.362
    8       47614.6431327           0.0068729         190.8937536           0.9999736       0.0000000E+00       0.0000000E+00       2.6433083E-05       0.0000000E+00       2.0848061E-07              14.000              10.950
    9       45848.9590046           0.0085997         192.2243361           0.9999708       0.0000000E+00       0.0000000E+00       2.9165307E-05       0.0000000E+00       2.6990012E-07              14.000              11.766
   10       44108.9095583           0.0107070         193.8820605           0.9999662       0.0000000E+00       0.0000000E+00       3.3776219E-05       0.0000000E+00       3.7734401E-07              14.000              12.871
   11       42391.4167238           0.0132648         195.9538196           0.9999573       0.0000000E+00       0.0000000E+00       4.2691331E-05       0.0000000E+00       6.0183151E-07              14.000              14.396
   12       40692.0841211           0.0163518         198.7526901           0.9999385       0.0000000E+00       0.0000000E+00       6.1522036E-05       1.3502189E-34       1.0598530E-06              14.000              16.750
   13       39005.5412195           0.0200568         202.3958099           0.9999014       0.0000000E+00       0.0000000E+00       9.8597899E-05       2.9348528E-27       1.8347695E-06              14.000              20.358
   14       37327.3451219           0.0244790         206.6777578           0.9998351       0.0000000E+00       0.0000000E+00       1.6492546E-04       7.3332490E-26       2.9595111E-06              14.000              24.928
   15       35654.9238672           0.0297280         211.4189744           0.9997216       0.0000000E+00       0.0000000E+00       2.7843392E-04       1.4974622E-25       4.7093114E-06              14.000              29.095
   16       33986.5258387           0.0359233         216.7278280           0.9995150       0.0000000E+00       0.0000000E+00       4.8499435E-04       3.1731861E-25       7.1637541E-06              14.000              32.492
   17       32322.2637588           0.0431938         222.1374310           0.9991983       0.0000000E+00       0.0000000E+00       8.0174818E-04       1.0356679E-11       9.4901560E-06              14.000              35.569
   18       30665.3900753           0.0516775         227.2003378           0.9987996       0.0000000E+00       0.0000000E+00       1.2004195E-03       3.3102108E-08       1.1409996E-05              14.000              38.732
   19       29020.6205780           0.0615205         231.8012868           0.9983309       0.0000000E+00       0.0000000E+00       1.6691073E-03       1.0205731E-06       1.4863143E-05              14.000              42.216
   20       27392.9530035           0.0728745         235.9355985           0.9978477       0.0000000E+00       0.0000000E+00       2.1523001E-03       4.0960489E-06       1.9398655E-05              14.000              46.575
   21       25818.5964132           0.0856315         239.2059555           0.9974932       0.0000000E+00       0.0000000E+00       2.5068394E-03       6.7912513E-06       1.8786611E-05              14.000              51.778
   22       24242.5417714           0.1004333         241.7975253           0.9972999       0.0000000E+00       0.0000000E+00       2.7000716E-03       7.4522468E-06       1.4514729E-05              14.000              57.625
   23       22623.9195030           0.1181033         244.1033274           0.9971728       0.0000000E+00       0.0000000E+00       2.8272144E-03       7.3370136E-06       1.0590758E-05              14.000              64.233
   24       20989.4203875           0.1388911         246.2898528           0.9970545       0.0000000E+00       0.0000000E+00       2.9454790E-03       7.4671379E-06       8.1065230E-06              14.000              72.573
   25       19339.6966665           0.1633470         248.4604825           0.9969044       0.0000000E+00       0.0000000E+00       3.0955889E-03       7.7499239E-06       6.3400865E-06              14.000              81.935
   26       17675.1085050           0.1921180         250.5863144           0.9967089       0.0000000E+00       0.0000000E+00       3.2910767E-03       7.9587126E-06       4.9244338E-06              14.000              91.785
   27       15996.0716175           0.2259656         252.6587411           0.9964763       0.0000000E+00       0.0000000E+00       3.5236810E-03       8.3335596E-06       3.8879384E-06              14.000             101.964
   28       14303.0399534           0.2657856         254.6307269           0.9962114       0.0000000E+00       0.0000000E+00       3.7885901E-03       9.4034104E-06       3.2821257E-06              14.000             112.142
   29       12596.2661039           0.3126317         256.5764156           0.9959324       0.0000000E+00       0.0000000E+00       4.0675565E-03       1.2824875E-05       3.1244473E-06              14.000             122.679
   30       10875.3817495           0.3677437         258.6204088           0.9956358       0.0000000E+00       0.0000000E+00       4.3642119E-03       2.0878844E-05       3.0307722E-06              14.000             134.346
   31        9139.3958139           0.4325801         260.9194567           0.9952792       0.0000000E+00       0.0000000E+00       4.7207546E-03       3.7411780E-05       2.2825423E-06              14.000             148.224
   32        7387.7216220           0.5088568         263.2752969           0.9949462       0.0000000E+00       0.0000000E+00       5.0538053E-03       5.9503615E-05       5.3185613E-07              14.000             163.456
   33        5619.6459363           0.5985925         265.8297534           0.9946400       0.0000000E+00       0.0000000E+00       5.3599836E-03       7.6663083E-05       3.9488736E-09              14.000             181.341
   34        3987.5944791           0.6945083         268.3925455           0.9943761       0.0000000E+00       0.0000000E+00       5.6239251E-03       8.5006489E-05       4.0233055E-10              14.000             201.058
   35        2633.2379651           0.7850777         269.9096674           0.9941305       0.0000000E+00       0.0000000E+00       5.8694963E-03       1.3206879E-04       3.5538131E-10              14.000             211.751
   36        1571.3864030           0.8642424         270.7654016           0.9937358       0.0000000E+00       0.0000000E+00       6.2641677E-03       5.4462700E-05       1.3277691E-07              14.000             209.631
   37         804.9269246           0.9264992         272.4687680           0.9930914       0.0000000E+00       0.0000000E+00       6.9086120E-03       2.5018665E-05       1.2571637E-06              14.000             211.026
   38         330.6796351           0.9672538         274.9077435           0.9924280       0.0000000E+00       0.0000000E+00       7.5720015E-03       2.1756894E-06       7.4700108E-07              14.000             217.269
   39          82.8297025           0.9891759         276.5392182           0.9922023       0.0000000E+00       0.0000000E+00       7.7977280E-03       2.0678720E-07       2.1369824E-07              14.000             221.287
