# Simulation:  ..\ModelFiles\t3700_s1500_p44.3355
# TRAPPIST-1 e, 1.00% N2, 0.00% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.0030610           #252.1709320         #0.1528114           #28.0000000          #85.0000000          
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       63020.3553296           0.0009559         193.3496370           0.9999781       0.0000000E+00       0.0000000E+00       2.1928731E-05       0.0000000E+00       2.5980773E-19              14.000              12.485
    1       60933.2140820           0.0012448         191.5172086           0.9999782       0.0000000E+00       0.0000000E+00       2.1828562E-05       0.0000000E+00       6.5879041E-11              14.000              11.467
    2       58903.3939681           0.0016128         189.7061602           0.9999780       0.0000000E+00       0.0000000E+00       2.2036401E-05       0.0000000E+00       5.6959676E-10              14.000              10.303
    3       56926.4046232           0.0020793         188.7370523           0.9999775       0.0000000E+00       0.0000000E+00       2.2469720E-05       0.0000000E+00       1.3385365E-08              14.000               9.762
    4       54994.0906877           0.0026674         188.5575399           0.9999768       0.0000000E+00       0.0000000E+00       2.3216363E-05       0.0000000E+00       3.9775571E-08              14.000               9.698
    5       53100.8057678           0.0034049         188.7000537           0.9999761       0.0000000E+00       0.0000000E+00       2.3885745E-05       0.0000000E+00       7.5494140E-08              14.000               9.762
    6       51243.0424852           0.0043246         189.2370940           0.9999755       0.0000000E+00       0.0000000E+00       2.4519462E-05       0.0000000E+00       1.1448159E-07              14.000              10.022
    7       49417.7220737           0.0054654         190.0214946           0.9999745       0.0000000E+00       0.0000000E+00       2.5464464E-05       0.0000000E+00       1.5642431E-07              14.000              10.447
    8       47622.3635493           0.0068729         191.1062366           0.9999728       0.0000000E+00       0.0000000E+00       2.7211267E-05       0.0000000E+00       1.9935497E-07              14.000              11.070
    9       45854.6243356           0.0085997         192.5046902           0.9999701       0.0000000E+00       0.0000000E+00       2.9944346E-05       0.0000000E+00       2.4333513E-07              14.000              11.937
   10       44111.8856958           0.0107070         194.2928819           0.9999656       0.0000000E+00       0.0000000E+00       3.4436467E-05       0.0000000E+00       2.9219587E-07              14.000              13.147
   11       42390.8042722           0.0132648         196.6412266           0.9999576       0.0000000E+00       0.0000000E+00       4.2350837E-05       0.0000000E+00       3.7014858E-07              14.000              14.923
   12       40687.2363427           0.0163518         199.6544305           0.9999430       0.0000000E+00       0.0000000E+00       5.7047381E-05       1.6970084E-37       4.9732949E-07              14.000              17.554
   13       38996.4133632           0.0200568         203.3425827           0.9999173       0.0000000E+00       0.0000000E+00       8.2704236E-05       2.1859887E-29       6.4137035E-07              14.000              21.343
   14       37314.1720557           0.0244790         207.5961093           0.9998737       0.0000000E+00       0.0000000E+00       1.2625985E-04       3.6584519E-27       8.4451958E-07              14.000              25.886
   15       35638.5046683           0.0297280         212.1407529           0.9998060       0.0000000E+00       0.0000000E+00       1.9398498E-04       1.8485284E-26       1.2520047E-06              14.000              29.689
   16       33968.7618213           0.0359233         216.9547371           0.9996929       0.0000000E+00       0.0000000E+00       3.0708575E-04       3.4667973E-26       1.9467731E-06              14.000              32.650
   17       32305.4028665           0.0431938         221.8680633           0.9995261       0.0000000E+00       0.0000000E+00       4.7393734E-04       2.0151448E-24       2.6175265E-06              14.000              35.404
   18       30650.7560747           0.0516775         226.6220021           0.9993289       0.0000000E+00       0.0000000E+00       6.7106076E-04       1.5763320E-09       3.1198800E-06              14.000              38.340
   19       29008.4607200           0.0615205         231.1233926           0.9991041       0.0000000E+00       0.0000000E+00       8.9591227E-04       2.0007444E-07       4.0365729E-06              14.000              41.645
   20       27383.1684334           0.0728745         235.1678330           0.9988478       0.0000000E+00       0.0000000E+00       1.1522347E-03       1.1132966E-06       5.8013111E-06              14.000              45.732
   21       25806.6800128           0.0856688         238.5089475           0.9985967       0.0000000E+00       0.0000000E+00       1.4032602E-03       2.2947071E-06       6.5803112E-06              14.000              50.861
   22       24225.1243338           0.1005516         241.2912827           0.9983813       0.0000000E+00       0.0000000E+00       1.6186517E-03       2.9856532E-06       5.9647275E-06              14.000              56.917
   23       22601.7826710           0.1183170         243.7304721           0.9981965       0.0000000E+00       0.0000000E+00       1.8034869E-03       3.3602047E-06       5.0692207E-06              14.000              63.767
   24       20963.1879648           0.1392170         246.0253067           0.9980144       0.0000000E+00       0.0000000E+00       1.9855666E-03       3.7892967E-06       4.3524882E-06              14.000              72.057
   25       19309.8635335           0.1638049         248.2856034           0.9978334       0.0000000E+00       0.0000000E+00       2.1665530E-03       4.1178477E-06       3.5749968E-06              14.000              81.456
   26       17641.9415220           0.1927311         250.5159552           0.9976696       0.0000000E+00       0.0000000E+00       2.3303931E-03       4.2231668E-06       2.7517967E-06              14.000              91.600
   27       15959.7018895           0.2267614         252.6656024           0.9975153       0.0000000E+00       0.0000000E+00       2.4847201E-03       4.2660756E-06       2.0684899E-06              14.000             102.079
   28       14263.5072435           0.2667964         254.7768651           0.9973443       0.0000000E+00       0.0000000E+00       2.6557330E-03       4.3999191E-06       1.5706542E-06              14.000             112.964
   29       12553.4451370           0.3138953         256.9010060           0.9971601       0.0000000E+00       0.0000000E+00       2.8399012E-03       4.9937221E-06       1.2384716E-06              14.000             124.511
   30       10829.1235649           0.3693048         259.1198214           0.9969760       0.0000000E+00       0.0000000E+00       3.0240033E-03       6.5345177E-06       9.6158249E-07              14.000             137.285
   31        9089.7107216           0.4344912         261.4782518           0.9967824       0.0000000E+00       0.0000000E+00       3.2175531E-03       1.0049098E-05       6.1007878E-07              14.000             151.752
   32        7334.4642081           0.5111796         263.8999657           0.9965538       0.0000000E+00       0.0000000E+00       3.4462125E-03       1.6612042E-05       1.2709948E-07              14.000             167.730
   33        5563.3487833           0.6013996         266.2250671           0.9962172       0.0000000E+00       0.0000000E+00       3.7827687E-03       2.1216052E-05       7.6536004E-09              14.000             184.307
   34        3930.7020773           0.6978331         267.7590941           0.9960531       0.0000000E+00       0.0000000E+00       3.9468891E-03       2.3599856E-05       4.2721297E-09              14.000             196.004
   35        2579.9021752           0.7888913         267.2232378           0.9960132       0.0000000E+00       0.0000000E+00       3.9867803E-03       4.3686579E-05       3.2128658E-08              14.000             192.025
   36        1527.4724504           0.8684833         263.0162692           0.9967530       0.0000000E+00       0.0000000E+00       3.2470308E-03       3.2133119E-05       1.3224720E-06              14.000             162.157
   37         775.0730450           0.9310762         258.6235998           0.9973461       0.0000000E+00       0.0000000E+00       2.6539135E-03       2.2084161E-05       4.1052619E-06              14.000             136.526
   38         314.9239911           0.9720507         255.4903634           0.9974597       0.0000000E+00       0.0000000E+00       2.5403317E-03       6.1377330E-06       5.8033886E-06              14.000             122.363
   39          78.1813563           0.9940879         251.9443106           0.9975260       0.0000000E+00       0.0000000E+00       2.4739905E-03       2.0146104E-06       5.0897861E-06              14.000             115.735
