# Simulation:  ..\ModelFiles\t3700_s1500_p44.3355
# TRAPPIST-1 e, 1.00% N2, 0.00% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.0059565           #241.9459562         #0.2251746           #28.0000000          #180.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       63029.2868250           0.0009559         192.1483733           0.9999780       0.0000000E+00       0.0000000E+00       2.1961133E-05       0.0000000E+00       1.1920757E-18              14.000              11.692
    1       60948.9861526           0.0012448         191.1677502           0.9999782       0.0000000E+00       0.0000000E+00       2.1818811E-05       0.0000000E+00       1.3186242E-10              14.000              11.182
    2       58919.6026019           0.0016128         189.9818821           0.9999781       0.0000000E+00       0.0000000E+00       2.1920288E-05       0.0000000E+00       2.0018648E-09              14.000              10.486
    3       56938.8945093           0.0020793         189.3061953           0.9999777       0.0000000E+00       0.0000000E+00       2.2282713E-05       0.0000000E+00       1.4150728E-08              14.000              10.131
    4       55001.6378548           0.0026674         189.0417673           0.9999771       0.0000000E+00       0.0000000E+00       2.2871823E-05       0.0000000E+00       3.7592684E-08              14.000              10.019
    5       53104.3688940           0.0034049         189.0360058           0.9999766       0.0000000E+00       0.0000000E+00       2.3356544E-05       0.0000000E+00       6.5394655E-08              14.000               9.997
    6       51243.7627297           0.0043246         189.4513425           0.9999762       0.0000000E+00       0.0000000E+00       2.3806484E-05       0.0000000E+00       1.0181991E-07              14.000              10.177
    7       49416.6849950           0.0054654         190.1135442           0.9999755       0.0000000E+00       0.0000000E+00       2.4539350E-05       0.0000000E+00       1.5242415E-07              14.000              10.523
    8       47620.8993879           0.0068729         191.0499421           0.9999740       0.0000000E+00       0.0000000E+00       2.6019240E-05       0.0000000E+00       2.1967451E-07              14.000              11.051
    9       45853.7642439           0.0085997         192.3673195           0.9999714       0.0000000E+00       0.0000000E+00       2.8648678E-05       0.0000000E+00       2.9500633E-07              14.000              11.858
   10       44112.4047206           0.0107070         194.0281730           0.9999671       0.0000000E+00       0.0000000E+00       3.2938777E-05       0.0000000E+00       3.9238177E-07              14.000              12.973
   11       42393.0037287           0.0132648         196.3138877           0.9999587       0.0000000E+00       0.0000000E+00       4.1250830E-05       0.0000000E+00       5.1598595E-07              14.000              14.689
   12       40690.4893176           0.0163518         199.3735624           0.9999436       0.0000000E+00       0.0000000E+00       5.6394508E-05       0.0000000E+00       6.5205400E-07              14.000              17.332
   13       38999.5168914           0.0200568         203.2175689           0.9999184       0.0000000E+00       0.0000000E+00       8.1575364E-05       0.0000000E+00       7.6632151E-07              14.000              21.240
   14       37316.1102388           0.0244790         207.5810620           0.9998767       0.0000000E+00       0.0000000E+00       1.2332624E-04       2.0815803E-40       8.7858407E-07              14.000              25.877
   15       35638.6713406           0.0297280         212.2457234           0.9998042       0.0000000E+00       0.0000000E+00       1.9580723E-04       2.3234238E-31       1.0848311E-06              14.000              29.783
   16       33967.4434505           0.0359233         217.0337896           0.9996842       0.0000000E+00       0.0000000E+00       3.1575134E-04       1.5920909E-37       1.3998509E-06              14.000              32.709
   17       32303.8239883           0.0431938         221.8577441           0.9995195       0.0000000E+00       0.0000000E+00       4.8047020E-04       1.7250941E-21       1.5684157E-06              14.000              35.396
   18       30650.1299325           0.0516775         226.5566348           0.9993328       0.0000000E+00       0.0000000E+00       6.6718424E-04       2.0069267E-12       1.4076401E-06              14.000              38.304
   19       29009.4269524           0.0615205         231.0559426           0.9991531       0.0000000E+00       0.0000000E+00       8.4694253E-04       5.2996021E-09       1.1602989E-06              14.000              41.623
   20       27386.2587069           0.0728745         235.0017136           0.9989823       0.0000000E+00       0.0000000E+00       1.0177045E-03       5.0621311E-08       1.0587983E-06              14.000              45.529
   21       25808.2462108           0.0857020         238.3676411           0.9988301       0.0000000E+00       0.0000000E+00       1.1698866E-03       1.5275908E-07       1.0862412E-06              14.000              50.488
   22       24221.4156180           0.1006571         241.3482256           0.9987122       0.0000000E+00       0.0000000E+00       1.2877792E-03       3.0769562E-07       1.1534478E-06              14.000              56.884
   23       22592.4454922           0.1185075         243.8965381           0.9985990       0.0000000E+00       0.0000000E+00       1.4010129E-03       4.9380545E-07       1.2050310E-06              14.000              64.130
   24       20948.5570325           0.1395076         246.1471079           0.9984676       0.0000000E+00       0.0000000E+00       1.5323783E-03       6.7974815E-07       1.1448209E-06              14.000              72.318
   25       19290.6166863           0.1642132         248.3795480           0.9983344       0.0000000E+00       0.0000000E+00       1.6655919E-03       8.8581109E-07       1.0419492E-06              14.000              81.745
   26       17618.6137558           0.1932780         250.5947488           0.9981773       0.0000000E+00       0.0000000E+00       1.8226964E-03       1.0868937E-06       8.8144566E-07              14.000              91.901
   27       15932.6243901           0.2274712         252.7710165           0.9980149       0.0000000E+00       0.0000000E+00       1.9850783E-03       1.1987185E-06       6.6969045E-07              14.000             102.575
   28       14232.8842437           0.2676978         254.8875016           0.9978187       0.0000000E+00       0.0000000E+00       2.1812817E-03       1.2007180E-06       4.7884400E-07              14.000             113.543
   29       12519.5249859           0.3150222         256.9983905           0.9975437       0.0000000E+00       0.0000000E+00       2.4562710E-03       1.2597132E-06       3.6352154E-07              14.000             125.052
   30       10792.2556433           0.3706969         259.1767570           0.9971553       0.0000000E+00       0.0000000E+00       2.8447316E-03       1.6173927E-06       3.0977978E-07              14.000             137.604
   31        9049.8263823           0.4361954         261.6344452           0.9968036       0.0000000E+00       0.0000000E+00       3.1964027E-03       2.4965162E-06       2.5757641E-07              14.000             152.732
   32        7290.9180970           0.5132510         264.1986553           0.9966049       0.0000000E+00       0.0000000E+00       3.3950884E-03       3.0005597E-06       1.1912767E-07              14.000             169.797
   33        5516.7650518           0.6039028         266.2970769           0.9963340       0.0000000E+00       0.0000000E+00       3.6660057E-03       1.4103884E-05       1.1562311E-07              14.000             184.982
   34        3883.5877484           0.7007981         267.6203754           0.9962007       0.0000000E+00       0.0000000E+00       3.7993139E-03       2.7952672E-05       1.5699922E-08              14.000             195.112
   35        2533.0167785           0.7922922         267.7498066           0.9961477       0.0000000E+00       0.0000000E+00       3.8523092E-03       1.8409190E-05       1.1226125E-08              14.000             196.161
   36        1484.3914403           0.8722652         262.0186403           0.9972990       0.0000000E+00       0.0000000E+00       2.7010454E-03       3.2665359E-05       1.1022320E-06              14.000             155.675
   37         744.6295985           0.9351577         253.3117434           0.9988618       0.0000000E+00       0.0000000E+00       1.1381806E-03       9.8465510E-06       4.0035763E-06              14.000             105.582
   38         300.2547406           0.9763284         246.3003353           0.9993997       0.0000000E+00       0.0000000E+00       6.0025135E-04       7.4928080E-06       7.1752492E-06              14.000              74.564
   39          74.4240588           0.9984683         242.2541822           0.9995209       0.0000000E+00       0.0000000E+00       4.7911909E-04       5.3105105E-06       7.3215839E-06              14.000              66.168
