# Simulation:  C:\Users\dgatl_000\OneDrive\College\Senior_1\Wolf\ModelFiles\trappist1e_0.25barCO2_aqua
# TRAPPIST-1 e, 0.00% N2, 1.00% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#0.2536882           #233.5194204         #0.0000000           #44.0000000          #175.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       31924.9857452           0.0009559         183.3553325          -0.0000000       9.9998792E-01       0.0000000E+00       1.2084303E-05       0.0000000E+00       1.3178677E-08              14.000               7.736
    1       30657.9024885           0.0012448         184.4188006          -0.0000000       9.9998832E-01       0.0000000E+00       1.1683112E-05       0.0000000E+00       1.8128160E-07              14.000               8.326
    2       29403.5759817           0.0016128         186.5819966          -0.0000000       9.9998839E-01       0.0000000E+00       1.1608760E-05       3.6923284E-39       2.8945283E-07              14.000               9.440
    3       28155.7529646           0.0020793         189.5242971          -0.0000000       9.9998785E-01       0.0000000E+00       1.2154544E-05       3.7873456E-37       3.2752405E-07              14.000              11.035
    4       26911.4680867           0.0026674         192.8085460          -0.0000000       9.9998631E-01       0.0000000E+00       1.3688461E-05       2.0554038E-31       3.2871198E-07              14.000              13.066
    5       25670.3805228           0.0034049         196.2267423          -0.0000000       9.9998299E-01       0.0000000E+00       1.7009906E-05       4.8249282E-26       3.3519147E-07              14.000              15.474
    6       24433.2058881           0.0043246         199.6918528          -0.0000000       9.9997652E-01       0.0000000E+00       2.3481383E-05       5.9806866E-23       3.6498913E-07              14.000              18.204
    7       23200.6748596           0.0054654         203.2013504          -0.0000000       9.9996452E-01       0.0000000E+00       3.5482600E-05       1.3226730E-21       4.4074538E-07              14.000              21.266
    8       21973.4552320           0.0068729         206.7139488          -0.0000000       9.9994335E-01       0.0000000E+00       5.6652571E-05       8.2114042E-22       5.6686048E-07              14.000              24.524
    9       20752.3798259           0.0085997         210.1938392          -0.0000000       9.9990827E-01       0.0000000E+00       9.1740170E-05       4.0629713E-21       7.4886808E-07              14.000              27.622
   10       19538.4018882           0.0107070         213.6259926          -0.0000000       9.9985482E-01       0.0000000E+00       1.4520015E-04       1.7466624E-21       1.0297407E-06              14.000              30.210
   11       18332.7436590           0.0132648         216.9648594          -0.0000000       9.9977978E-01       0.0000000E+00       2.2026921E-04       2.0674460E-14       1.4672264E-06              14.000              32.333
   12       17137.1149793           0.0163518         220.1576162          -0.0000001       9.9967927E-01       0.0000000E+00       3.2083040E-04       1.2357422E-10       2.0614536E-06              14.000              34.303
   13       15953.2650964           0.0200568         223.2174067          -0.0000002       9.9954993E-01       0.0000000E+00       4.5026923E-04       6.0525755E-09       2.7251064E-06              14.000              36.391
   14       14782.5907886           0.0244790         226.2019094          -0.0000004       9.9939023E-01       0.0000000E+00       6.1014157E-04       7.1113637E-08       3.3283977E-06              14.000              38.878
   15       13626.2335286           0.0297280         229.1493524          -0.0000006       9.9919793E-01       0.0000000E+00       8.0271177E-04       3.4742771E-07       3.8761570E-06              14.000              42.172
   16       12485.1075803           0.0359233         232.1025901          -0.0000011       9.9896999E-01       0.0000000E+00       1.0310748E-03       8.9675460E-07       4.4147696E-06              14.000              46.865
   17       11359.9388331           0.0431938         235.1020259          -0.0000017       9.9870387E-01       0.0000000E+00       1.2978133E-03       1.6405881E-06       5.1805135E-06              14.000              53.544
   18       10251.3282614           0.0516775         238.1591767          -0.0000026       9.9839645E-01       0.0000000E+00       1.6061257E-03       3.2063997E-06       6.3605960E-06              14.000              62.383
   19        9159.8171010           0.0615205         241.2794758          -0.0000037       9.9807291E-01       0.0000000E+00       1.9308129E-03       5.5746477E-06       6.9964094E-06              14.000              73.161
   20        8086.3778316           0.0728745         244.2743397          -0.0000051       9.9774501E-01       0.0000000E+00       2.2600843E-03       8.8647590E-06       7.8375866E-06              14.000              84.946
   21        7488.1556944           0.0800375         245.9661483          -0.0000057       9.9760651E-01       0.0000000E+00       2.3992326E-03       1.9308347E-05       1.2018227E-05              14.000              92.450
