# Simulation:  C:\Users\dgatl_000\OneDrive - UCB-O365\Senior_1\GatlinPSG\ModelFiles\trappist1e_0.25barCO2_aqua
# TRAPPIST-1 e, 0.00% N2, 1.00% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#0.2535638           #234.3855782         #0.0000000           #44.0000000          #180.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       31959.6983772           0.0009559         183.2815983          -0.0000000       9.9998792E-01       0.0000000E+00       1.2082987E-05       0.0000000E+00       1.4105613E-08              14.000               7.729
    1       30692.6559390           0.0012448         184.3668547          -0.0000000       9.9998831E-01       0.0000000E+00       1.1687271E-05       0.0000000E+00       1.9385051E-07              14.000               8.324
    2       29438.5206567           0.0016128         186.5697174          -0.0000000       9.9998836E-01       0.0000000E+00       1.1640892E-05       2.8363366E-39       3.0476996E-07              14.000               9.450
    3       28190.9730061           0.0020793         189.5471859          -0.0000000       9.9998776E-01       0.0000000E+00       1.2243319E-05       2.9833726E-37       3.4358387E-07              14.000              11.060
    4       26946.9935716           0.0026674         192.8638029          -0.0000000       9.9998614E-01       0.0000000E+00       1.3863393E-05       5.5953351E-31       3.4741494E-07              14.000              13.113
    5       25706.1871598           0.0034049         196.3123687          -0.0000000       9.9998267E-01       0.0000000E+00       1.7331986E-05       3.7129283E-25       3.6089655E-07              14.000              15.547
    6       24469.1986121           0.0043246         199.8016961          -0.0000000       9.9997590E-01       0.0000000E+00       2.4095711E-05       7.7878693E-23       4.0289512E-07              14.000              18.300
    7       23236.6949885           0.0054654         203.3240833          -0.0000000       9.9996329E-01       0.0000000E+00       3.6710484E-05       1.4064114E-21       4.9964431E-07              14.000              21.377
    8       22009.3001173           0.0068729         206.8462441          -0.0000000       9.9994093E-01       0.0000000E+00       5.9071877E-05       1.0221124E-21       6.5858334E-07              14.000              24.645
    9       20787.8241079           0.0085997         210.3440878          -0.0000000       9.9990380E-01       0.0000000E+00       9.6204357E-05       5.1128097E-21       8.8730229E-07              14.000              27.752
   10       19573.2149202           0.0107070         213.8066394          -0.0000000       9.9984725E-01       0.0000000E+00       1.5277341E-04       2.4493769E-21       1.2330349E-06              14.000              30.349
   11       18366.7005425           0.0132648         217.1854566          -0.0000001       9.9976780E-01       0.0000000E+00       2.3225268E-04       6.5308151E-14       1.7499082E-06              14.000              32.489
   12       17170.0023394           0.0163518         220.4253388          -0.0000001       9.9966147E-01       0.0000000E+00       3.3864270E-04       2.9933128E-10       2.4187676E-06              14.000              34.488
   13       15984.8826798           0.0200568         223.5369995          -0.0000002       9.9952508E-01       0.0000000E+00       4.7514732E-04       1.1230414E-08       3.1302000E-06              14.000              36.620
   14       14812.7512220           0.0244790         226.5742071          -0.0000004       9.9935750E-01       0.0000000E+00       6.4291504E-04       1.1105874E-07       3.7366130E-06              14.000              39.176
   15       13654.7622949           0.0297280         229.5742703          -0.0000007       9.9915707E-01       0.0000000E+00       8.4363853E-04       4.7990027E-07       4.2301522E-06              14.000              42.584
   16       12511.8407934           0.0359233         232.5834578          -0.0000012       9.9892081E-01       0.0000000E+00       1.0803568E-03       1.1442850E-06       4.6386129E-06              14.000              47.469
   17       11384.7156501           0.0431938         235.6452418          -0.0000018       9.9864589E-01       0.0000000E+00       1.3559434E-03       1.9556220E-06       5.2107261E-06              14.000              54.443
   18       10273.9880896           0.0516775         238.7663091          -0.0000028       9.9832885E-01       0.0000000E+00       1.6739517E-03       3.5341951E-06       6.2056697E-06              14.000              63.658
   19        9180.2117665           0.0615205         241.9480370          -0.0000040       9.9799468E-01       0.0000000E+00       2.0093463E-03       5.8705608E-06       6.7284533E-06              14.000              74.852
   20        8104.3864704           0.0728745         245.0038770          -0.0000055       9.9765374E-01       0.0000000E+00       2.3517766E-03       9.1413002E-06       7.5264152E-06              14.000              87.081
   21        7504.8665612           0.0800366         246.7397087          -0.0000062       9.9750862E-01       0.0000000E+00       2.4975996E-03       1.9743809E-05       1.1604904E-05              14.000              94.907
   22        7297.1434202           0.0826612         247.2656030          -0.0000065       9.9744846E-01       0.0000000E+00       2.5580714E-03       1.7146772E-05       9.7355586E-06              14.000              97.187
   23        7041.2431736           0.0860055         247.9154329          -0.0000069       9.9737359E-01       0.0000000E+00       2.6333287E-03       1.6877834E-05       8.9361779E-06              14.000             100.065
   24        6751.8364726           0.0899398         248.6645410          -0.0000073       9.9729350E-01       0.0000000E+00       2.7138435E-03       1.6672164E-05       8.2256833E-06              14.000             103.453
   25        6426.1392405           0.0945684         249.4949331          -0.0000078       9.9720721E-01       0.0000000E+00       2.8006136E-03       1.5696952E-05       7.4052961E-06              14.000             107.295
   26        6061.5531795           0.1000137         250.3867307          -0.0000083       9.9711858E-01       0.0000000E+00       2.8897472E-03       1.5113925E-05       6.9594048E-06              14.000             111.506
   27        5655.7819531           0.1064198         251.2977333          -0.0000089       9.9702836E-01       0.0000000E+00       2.9804935E-03       1.5118101E-05       6.7686606E-06              14.000             115.869
   28        5206.9560884           0.1139562         252.1775682          -0.0000094       9.9694325E-01       0.0000000E+00       3.0661218E-03       1.5736564E-05       6.7143772E-06              14.000             120.100
   29        4713.7576809           0.1228224         252.9523533          -0.0000098       9.9687379E-01       0.0000000E+00       3.1360144E-03       1.6508332E-05       6.6466880E-06              14.000             123.764
   30        4175.5637411           0.1332530         253.5116933          -0.0000101       9.9682926E-01       0.0000000E+00       3.1808289E-03       1.6998302E-05       6.4650465E-06              14.000             126.238
   31        3592.6268287           0.1455241         253.7031136          -0.0000101       9.9682731E-01       0.0000000E+00       3.1827842E-03       1.6852778E-05       6.1616604E-06              14.000             126.748
   32        2966.3509682           0.1599604         253.2822994          -0.0000097       9.9689342E-01       0.0000000E+00       3.1162633E-03       1.6042078E-05       5.8714486E-06              14.000             124.070
   33        2299.7718805           0.1769440         251.8925537          -0.0000085       9.9709035E-01       0.0000000E+00       2.9181360E-03       1.4528602E-05       5.7171654E-06              14.000             116.428
   34        1658.6328735           0.1950972         249.4204470          -0.0000062       9.9750527E-01       0.0000000E+00       2.5009673E-03       1.2894764E-05       5.9453735E-06              14.000             103.661
   35        1111.8529728           0.2122386         246.0047309          -0.0000036       9.9810830E-01       0.0000000E+00       1.8952815E-03       1.0806154E-05       6.5836177E-06              14.000              87.788
   36         675.6404048           0.2272215         241.7222417          -0.0000017       9.9870966E-01       0.0000000E+00       1.2920095E-03       8.1546217E-06       7.4113354E-06              14.000              71.623
   37         357.8136941           0.2390044         237.3431202          -0.0000008       9.9913258E-01       0.0000000E+00       8.6817398E-04       6.4709125E-06       9.0803102E-06              14.000              58.904
   38         160.7050309           0.2467177         235.3366451          -0.0000006       9.9920952E-01       0.0000000E+00       7.9110348E-04       9.4272519E-06       1.3413182E-05              14.000              55.509
   39          46.0229707           0.2513477         234.7286671          -0.0000006       9.9921944E-01       0.0000000E+00       7.8116985E-04       1.0535556E-05       1.4035140E-05              14.000              55.237
