# Simulation:  C:\Users\dgatl_000\OneDrive\College\Senior_1\Wolf\ModelFiles\trappist1e_0.5barCO2_aqua
# TRAPPIST-1 e, 0.00% N2, 1.00% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#0.5037163           #261.7704415         #0.1733240           #44.0000000          #180.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       36049.2355018           0.0009559         187.4941739          -0.0000000       9.9998856E-01       0.0000000E+00       1.1436424E-05       0.0000000E+00       5.6366088E-10              14.000               9.463
    1       34753.8051310           0.0012448         187.5424741          -0.0000000       9.9998944E-01       0.0000000E+00       1.0556698E-05       0.0000000E+00       6.5735015E-09              14.000               9.536
    2       33479.9627232           0.0016128         188.3108423          -0.0000000       9.9999006E-01       0.0000000E+00       9.9426588E-06       0.0000000E+00       1.7048906E-08              14.000              10.105
    3       32222.2322541           0.0020793         190.0302150          -0.0000000       9.9999040E-01       0.0000000E+00       9.6032386E-06       0.0000000E+00       3.2361043E-08              14.000              11.253
    4       30976.0720773           0.0026674         192.2861387          -0.0000000       9.9999040E-01       0.0000000E+00       9.5955232E-06       0.0000000E+00       5.5656794E-08              14.000              12.871
    5       29740.0464227           0.0034049         194.6499874          -0.0000000       9.9999011E-01       0.0000000E+00       9.8858803E-06       0.0000000E+00       8.7605807E-08              14.000              14.761
    6       28514.1699045           0.0043246         197.1161741          -0.0000000       9.9998954E-01       0.0000000E+00       1.0458174E-05       0.0000000E+00       1.1580288E-07              14.000              16.740
    7       27297.9791135           0.0054654         199.8193666          -0.0000000       9.9998867E-01       0.0000000E+00       1.1335050E-05       0.0000000E+00       1.1747742E-07              14.000              18.811
    8       26090.7875565           0.0068729         202.7408833          -0.0000000       9.9998749E-01       0.0000000E+00       1.2505317E-05       0.0000000E+00       1.0080021E-07              14.000              21.016
    9       24892.5135696           0.0085997         205.7442857          -0.0000000       9.9998604E-01       0.0000000E+00       1.3964241E-05       2.3538531E-36       1.0466932E-07              14.000              23.338
