# Simulation:  C:\Users\dgatl_000\OneDrive\College\Senior_1\Wolf\ModelFiles\trappist1e_0.9barN2_0.1barH2_aqua
# TRAPPIST-1 e, 1.00% N2, 0.00% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.0044674           #216.4353777         #0.0000000           #28.0000000          #175.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       55309.9512748           0.0009559         177.7809098           0.9999999       0.0000000E+00       0.0000000E+00       9.4306664E-08       0.0000000E+00       0.0000000E+00              14.000               6.119
    1       53399.7420895           0.0012448         174.3437047           0.9999999       0.0000000E+00       0.0000000E+00       1.0189040E-07       0.0000000E+00       0.0000000E+00              14.000               6.103
    2       51540.6737165           0.0016128         174.7449000           0.9999999       0.0000000E+00       0.0000000E+00       1.0434848E-07       0.0000000E+00       0.0000000E+00              14.000               6.117
    3       49709.9750914           0.0020793         175.7417072           0.9999999       0.0000000E+00       0.0000000E+00       1.0489053E-07       0.0000000E+00       0.0000000E+00              14.000               6.135
    4       47900.0631041           0.0026674         177.6397830           0.9999999       0.0000000E+00       0.0000000E+00       1.0503198E-07       0.0000000E+00       0.0000000E+00              14.000               6.185
    5       46110.3060099           0.0034049         178.9724969           0.9999999       0.0000000E+00       0.0000000E+00       1.0513240E-07       0.0000000E+00       0.0000000E+00              14.000               6.241
    6       44344.3993148           0.0043246         180.2374297           0.9999999       0.0000000E+00       0.0000000E+00       1.0525399E-07       0.0000000E+00       0.0000000E+00              14.000               6.446
    7       42607.1118410           0.0054654         180.6944141           0.9999999       0.0000000E+00       0.0000000E+00       1.0549299E-07       0.0000000E+00       0.0000000E+00              14.000               6.533
    8       40901.0189458           0.0068729         181.4187843           0.9999999       0.0000000E+00       0.0000000E+00       1.0590095E-07       0.0000000E+00       0.0000000E+00              14.000               6.619
    9       39227.5470519           0.0085997         181.6824656           0.9999999       0.0000000E+00       0.0000000E+00       1.0658303E-07       0.0000000E+00       0.0000000E+00              14.000               6.683
   10       37588.1451296           0.0107070         182.1157398           0.9999999       0.0000000E+00       0.0000000E+00       1.0775367E-07       0.0000000E+00       0.0000000E+00              14.000               6.768
   11       35984.1071426           0.0132648         182.1990023           0.9999999       0.0000000E+00       0.0000000E+00       1.0995524E-07       0.0000000E+00       1.9486171E-39              14.000               6.800
   12       34415.0827022           0.0163518         182.7550748           0.9999999       0.0000000E+00       0.0000000E+00       1.1407836E-07       0.0000000E+00       8.2927946E-34              14.000               7.020
   13       32880.8933597           0.0200568         182.9420660           0.9999999       0.0000000E+00       0.0000000E+00       1.2486778E-07       0.0000000E+00       4.4972396E-29              14.000               7.187
   14       31382.9379422           0.0244790         183.1057872           0.9999999       0.0000000E+00       0.0000000E+00       1.4487303E-07       0.0000000E+00       1.3463798E-24              14.000               7.265
   15       29923.9225589           0.0297280         182.5965316           0.9999998       0.0000000E+00       0.0000000E+00       1.7097361E-07       0.0000000E+00       1.7254195E-15              14.000               7.087
   16       28508.0082671           0.0359233         181.7089605           0.9999998       0.0000000E+00       0.0000000E+00       2.0037517E-07       0.0000000E+00       1.2649763E-11              14.000               6.845
   17       27139.0415590           0.0431938         180.2392265           0.9999998       0.0000000E+00       0.0000000E+00       2.2749805E-07       0.0000000E+00       1.0852408E-10              14.000               6.729
   18       25817.7283119           0.0516775         179.0235610           0.9999997       0.0000000E+00       0.0000000E+00       2.5356306E-07       0.0000000E+00       1.6661546E-09              14.000               6.697
   19       24531.7888054           0.0615205         180.6349121           0.9999997       0.0000000E+00       0.0000000E+00       3.1114743E-07       0.0000000E+00       4.4949472E-09              14.000               6.919
   20       23266.7427190           0.0728745         183.6685640           0.9999996       0.0000000E+00       0.0000000E+00       4.2583717E-07       0.0000000E+00       8.7801039E-09              14.000               7.722
