# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e
5.000000000e+00  2.03141e-11
5.002083333e+00  3.93253e-11
5.004167535e+00  2.14312e-11
5.006252605e+00  1.54966e-11
5.008338543e+00  1.52621e-11
5.010425351e+00  1.53620e-11
5.012513028e+00  1.56905e-11
5.014601575e+00  1.67702e-11
5.016690992e+00  3.94174e-11
5.018781280e+00  7.02041e-11
5.020872439e+00  7.33900e-11
5.022964469e+00  1.23042e-11
5.025057371e+00  1.75166e-11
5.027151145e+00  2.13323e-11
5.029245792e+00  5.06139e-11
5.031341311e+00  2.46975e-11
5.033437703e+00  1.66023e-11
5.035534969e+00  1.60418e-11
5.037633108e+00  1.56885e-11
5.039732122e+00  1.60775e-11
5.041832010e+00  1.56659e-11
5.043932774e+00  1.59645e-11
5.046034412e+00  1.57565e-11
5.048136927e+00  1.73037e-11
5.050240317e+00  1.58306e-11
5.052344584e+00  1.58062e-11
5.054449727e+00  1.58510e-11
5.056555748e+00  1.62558e-11
5.058662646e+00  1.73882e-11
5.060770422e+00  2.67817e-11
5.062879077e+00  1.64273e-11
5.064988610e+00  1.62222e-11
5.067099022e+00  1.62740e-11
5.069210313e+00  1.63937e-11
5.071322484e+00  1.65241e-11
5.073435535e+00  1.67353e-11
5.075549466e+00  1.72047e-11
5.077664279e+00  1.81138e-11
5.079779972e+00  2.16214e-11
5.081896547e+00  6.60888e-11
5.084014004e+00  4.66855e-11
5.086132343e+00  5.98567e-11
5.088251565e+00  2.05937e-11
5.090371670e+00  1.81486e-11
5.092492658e+00  1.76931e-11
5.094614530e+00  1.77422e-11
5.096737286e+00  1.86865e-11
5.098860926e+00  5.17593e-11
5.100985452e+00  2.04327e-11
5.103110862e+00  1.87602e-11
5.105237159e+00  1.79095e-11
5.107364341e+00  1.92745e-11
5.109492409e+00  1.96652e-11
5.111621364e+00  3.21764e-11
5.113751207e+00  2.76006e-11
5.115881936e+00  5.04410e-11
5.118013554e+00  1.69505e-11
5.120146060e+00  1.83983e-11
5.122279454e+00  1.84457e-11
5.124413737e+00  1.90560e-11
5.126548909e+00  2.06043e-11
5.128684971e+00  2.04624e-11
5.130821923e+00  2.07811e-11
5.132959766e+00  2.06379e-11
5.135098499e+00  2.42869e-11
5.137238123e+00  7.44395e-11
5.139378639e+00  6.26657e-11
5.141520047e+00  5.73431e-11
5.143662347e+00  2.73652e-11
5.145805540e+00  4.99792e-11
5.147949625e+00  1.17205e-10
5.150094604e+00  6.72181e-11
5.152240477e+00  2.87942e-11
5.154387244e+00  2.37095e-11
5.156534905e+00  2.21541e-11
5.158683462e+00  2.11352e-11
5.160832913e+00  2.13204e-11
5.162983260e+00  2.14701e-11
5.165134503e+00  2.02064e-11
5.167286642e+00  2.03541e-11
5.169439679e+00  2.04864e-11
5.171593612e+00  2.31191e-11
5.173748442e+00  4.59014e-11
5.175904171e+00  2.15086e-11
5.178060798e+00  2.08274e-11
5.180218323e+00  2.07886e-11
5.182376747e+00  2.09159e-11
5.184536071e+00  2.11277e-11
5.186696294e+00  2.17998e-11
5.188857418e+00  2.21051e-11
5.191019442e+00  2.32262e-11
5.193182366e+00  2.39173e-11
5.195346192e+00  2.87495e-11
5.197510920e+00  3.93615e-11
5.199676550e+00  1.13592e-10
5.201843081e+00  1.06564e-10
5.204010516e+00  4.43647e-11
5.206178854e+00  3.40426e-11
5.208348095e+00  3.72435e-11
5.210518240e+00  5.31719e-11
5.212689289e+00  9.85190e-11
5.214861243e+00  1.05626e-10
5.217034102e+00  4.83772e-11
5.219207866e+00  3.22168e-11
5.221382536e+00  2.82894e-11
5.223558112e+00  2.78913e-11
5.225734595e+00  2.74749e-11
5.227911984e+00  2.59575e-11
5.230090281e+00  2.83423e-11
5.232269485e+00  3.34485e-11
5.234449597e+00  7.93902e-11
5.236630618e+00  8.13667e-11
5.238812547e+00  4.46278e-11
5.240995386e+00  9.84141e-11
5.243179134e+00  3.85661e-11
5.245363792e+00  2.72141e-11
5.247549360e+00  2.67882e-11
5.249735839e+00  3.99578e-11
5.251923229e+00  8.33524e-11
5.254111531e+00  1.80252e-11
5.256300744e+00  2.67690e-11
5.258490869e+00  3.05222e-11
5.260681907e+00  2.60914e-11
5.262873858e+00  2.50256e-11
5.265066722e+00  2.54205e-11
5.267260500e+00  2.60635e-11
5.269455191e+00  3.00807e-11
5.271650798e+00  2.97150e-11
5.273847319e+00  3.93894e-11
5.276044755e+00  1.09685e-10
5.278243107e+00  7.43061e-11
5.280442375e+00  3.57528e-11
5.282642560e+00  3.41260e-11
5.284843661e+00  3.42980e-11
5.287045679e+00  4.01787e-11
5.289248615e+00  6.49462e-11
5.291452468e+00  1.15747e-10
5.293657240e+00  1.11065e-10
5.295862930e+00  5.24756e-11
5.298069540e+00  3.77017e-11
5.300277069e+00  3.35221e-11
5.302485518e+00  3.55119e-11
5.304694887e+00  5.56919e-11
5.306905176e+00  1.12685e-10
5.309116387e+00  2.17798e-11
5.311328519e+00  3.04476e-11
5.313541572e+00  2.96597e-11
5.315755548e+00  2.95241e-11
5.317970446e+00  2.98507e-11
5.320186267e+00  4.33617e-11
5.322403011e+00  3.11363e-11
5.324620679e+00  3.07640e-11
5.326839271e+00  3.12897e-11
5.329058787e+00  4.80125e-11
5.331279229e+00  3.00122e-11
5.333500595e+00  3.26838e-11
5.335722887e+00  3.40299e-11
5.337946105e+00  3.63674e-11
5.340170249e+00  4.03323e-11
5.342395320e+00  4.84874e-11
5.344621318e+00  9.13238e-11
5.346848244e+00  1.11675e-10
5.349076097e+00  1.24175e-10
5.351304879e+00  1.49920e-10
5.353534589e+00  1.29684e-10
5.355765228e+00  1.17802e-10
5.357996797e+00  1.37740e-10
5.360229296e+00  6.95729e-11
5.362462725e+00  4.22098e-11
5.364697084e+00  4.50408e-11
5.366932375e+00  4.00065e-11
5.369168597e+00  3.78823e-11
5.371405750e+00  5.15467e-11
5.373643836e+00  4.55806e-11
5.375882854e+00  4.90566e-11
5.378122805e+00  4.57808e-11
5.380363690e+00  8.97018e-11
5.382605508e+00  4.06034e-11
5.384848260e+00  3.60182e-11
5.387091947e+00  5.39893e-11
5.389336569e+00  3.47417e-11
5.391582126e+00  3.83246e-11
5.393828618e+00  4.29771e-11
5.396076047e+00  4.12671e-11
5.398324412e+00  6.76958e-11
5.400573714e+00  4.40654e-11
5.402823953e+00  4.28281e-11
