# Simulation:  C:\Users\dgatl_000\OneDrive - UCB-O365\Senior_1\GatlinPSG\ModelFiles\trappist1e_0.9barN2_0.1barH2_aqua
# TRAPPIST-1 e, 1.00% N2, 0.00% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.0045326           #216.8133624         #0.0000000           #28.0000000          #180.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       55309.6248804           0.0009559         177.7849571           0.9999999       0.0000000E+00       0.0000000E+00       9.4308666E-08       0.0000000E+00       0.0000000E+00              14.000               6.119
    1       53399.4314037           0.0012448         174.3379908           0.9999999       0.0000000E+00       0.0000000E+00       1.0189264E-07       0.0000000E+00       0.0000000E+00              14.000               6.103
    2       51540.4260923           0.0016128         174.7353357           0.9999999       0.0000000E+00       0.0000000E+00       1.0434913E-07       0.0000000E+00       0.0000000E+00              14.000               6.117
    3       49709.7947009           0.0020793         175.7338084           0.9999999       0.0000000E+00       0.0000000E+00       1.0489059E-07       0.0000000E+00       0.0000000E+00              14.000               6.135
    4       47899.9454676           0.0026674         177.6319005           0.9999999       0.0000000E+00       0.0000000E+00       1.0503203E-07       0.0000000E+00       0.0000000E+00              14.000               6.186
    5       46110.2449629           0.0034049         178.9677406           0.9999999       0.0000000E+00       0.0000000E+00       1.0513246E-07       0.0000000E+00       0.0000000E+00              14.000               6.240
    6       44344.3757883           0.0043246         180.2351564           0.9999999       0.0000000E+00       0.0000000E+00       1.0525398E-07       0.0000000E+00       0.0000000E+00              14.000               6.444
    7       42607.0898003           0.0054654         180.6979192           0.9999999       0.0000000E+00       0.0000000E+00       1.0549281E-07       0.0000000E+00       0.0000000E+00              14.000               6.532
    8       40900.9704552           0.0068729         181.4234767           0.9999999       0.0000000E+00       0.0000000E+00       1.0590067E-07       0.0000000E+00       0.0000000E+00              14.000               6.620
    9       39227.4847124           0.0085997         181.6821079           0.9999999       0.0000000E+00       0.0000000E+00       1.0658295E-07       0.0000000E+00       0.0000000E+00              14.000               6.683
   10       37588.0934193           0.0107070         182.1106393           0.9999999       0.0000000E+00       0.0000000E+00       1.0775494E-07       0.0000000E+00       0.0000000E+00              14.000               6.767
   11       35984.1154207           0.0132648         182.1761661           0.9999999       0.0000000E+00       0.0000000E+00       1.0996897E-07       0.0000000E+00       3.9182606E-39              14.000               6.793
   12       34415.2916015           0.0163518         182.7038716           0.9999999       0.0000000E+00       0.0000000E+00       1.1415784E-07       0.0000000E+00       1.3945502E-33              14.000               7.004
   13       32881.4421168           0.0200568         182.8716415           0.9999999       0.0000000E+00       0.0000000E+00       1.2504781E-07       0.0000000E+00       1.0344231E-28              14.000               7.165
   14       31383.9018668           0.0244790         183.0258717           0.9999999       0.0000000E+00       0.0000000E+00       1.4519813E-07       0.0000000E+00       3.9783523E-24              14.000               7.239
   15       29925.3280713           0.0297280         182.5017245           0.9999998       0.0000000E+00       0.0000000E+00       1.7144579E-07       0.0000000E+00       5.6789227E-15              14.000               7.058
   16       28509.9015609           0.0359233         181.5802303           0.9999998       0.0000000E+00       0.0000000E+00       2.0087230E-07       0.0000000E+00       1.6060879E-11              14.000               6.811
   17       27141.5672120           0.0431938         180.0511355           0.9999998       0.0000000E+00       0.0000000E+00       2.2798903E-07       0.0000000E+00       1.3164555E-10              14.000               6.691
   18       25820.9976274           0.0516775         178.8091718           0.9999997       0.0000000E+00       0.0000000E+00       2.5415305E-07       0.0000000E+00       1.9015761E-09              14.000               6.659
   19       24535.7781831           0.0615205         180.4306828           0.9999997       0.0000000E+00       0.0000000E+00       3.1342080E-07       0.0000000E+00       5.0889382E-09              14.000               6.868
   20       23271.4316115           0.0728745         183.4474077           0.9999996       0.0000000E+00       0.0000000E+00       4.3003547E-07       0.0000000E+00       1.0106685E-08              14.000               7.637
   21       22041.2973970           0.0856898         186.9202231           0.9999994       0.0000000E+00       0.0000000E+00       5.8360436E-07       0.0000000E+00       1.3688048E-08              14.000               9.143
   22       20798.9334079           0.1006184         190.4065290           0.9999992       0.0000000E+00       0.0000000E+00       7.6474279E-07       0.0000000E+00       2.1032568E-08              14.000              11.145
   23       19514.2453678           0.1184376         194.0452993           0.9999990       0.0000000E+00       0.0000000E+00       1.0046469E-06       2.6718121E-42       3.0836273E-08              14.000              13.618
   24       18204.9004263           0.1394010         197.8843584           0.9999986       0.0000000E+00       0.0000000E+00       1.3845145E-06       8.2097583E-37       3.9293129E-08              14.000              16.503
   25       16868.8250313           0.1640634         202.0088421           0.9999979       0.0000000E+00       0.0000000E+00       2.0784057E-06       5.5580984E-37       4.2084132E-08              14.000              19.876
   26       15503.6774509           0.1930773         206.5202254           0.9999966       0.0000000E+00       0.0000000E+00       3.4316159E-06       7.5359708E-31       3.6421310E-08              14.000              24.070
   27       14106.3747258           0.2272108         211.5556004           0.9999938       0.0000000E+00       0.0000000E+00       6.2355264E-06       1.0168184E-28       2.4640241E-08              14.000              29.004
   28       12673.1791988           0.2673671         217.1377057           0.9999871       0.0000000E+00       0.0000000E+00       1.2893972E-05       3.1515783E-27       2.9866511E-08              14.000              32.895
   29       11201.5434920           0.3146088         222.8924851           0.9999716       0.0000000E+00       0.0000000E+00       2.8414428E-05       4.8915437E-26       6.6273396E-08              14.000              35.933
   30        9692.6528114           0.3701862         228.0377160           0.9999365       0.0000000E+00       0.0000000E+00       6.3515055E-05       3.0380637E-11       2.0402273E-07              14.000              39.319
