# Simulation:  C:\Users\dgatl_000\OneDrive\College\Senior_1\Wolf\ModelFiles\trappist1e_0.9barN2_0.1barH2_aqua
# TRAPPIST-1 e, 1.00% N2, 0.00% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.0041028           #220.0404422         #0.2155447           #28.0000000          #180.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       55349.5496502           0.0009559         177.9137307           0.9999999       0.0000000E+00       0.0000000E+00       9.3863232E-08       0.0000000E+00       0.0000000E+00              14.000               6.112
    1       53433.8808240           0.0012448         175.1713398           0.9999999       0.0000000E+00       0.0000000E+00       1.0172827E-07       0.0000000E+00       0.0000000E+00              14.000               6.099
    2       51569.5359795           0.0016128         174.9345088           0.9999999       0.0000000E+00       0.0000000E+00       1.0439573E-07       0.0000000E+00       0.0000000E+00              14.000               6.107
    3       49739.0382931           0.0020793         175.5244167           0.9999999       0.0000000E+00       0.0000000E+00       1.0492058E-07       0.0000000E+00       0.0000000E+00              14.000               6.116
    4       47934.0853827           0.0026674         176.8996957           0.9999999       0.0000000E+00       0.0000000E+00       1.0504498E-07       0.0000000E+00       0.0000000E+00              14.000               6.148
    5       46151.7953254           0.0034049         178.1993878           0.9999999       0.0000000E+00       0.0000000E+00       1.0512504E-07       0.0000000E+00       0.0000000E+00              14.000               6.178
    6       44393.6027034           0.0043246         179.4142622           0.9999999       0.0000000E+00       0.0000000E+00       1.0522556E-07       0.0000000E+00       0.0000000E+00              14.000               6.290
    7       42662.1762311           0.0054654         180.2687520           0.9999999       0.0000000E+00       0.0000000E+00       1.0545892E-07       0.0000000E+00       0.0000000E+00              14.000               6.375
    8       40958.9846258           0.0068729         181.2375027           0.9999999       0.0000000E+00       0.0000000E+00       1.0590381E-07       0.0000000E+00       0.0000000E+00              14.000               6.522
    9       39285.5477453           0.0085997         181.8772420           0.9999999       0.0000000E+00       0.0000000E+00       1.0674952E-07       0.0000000E+00       0.0000000E+00              14.000               6.690
