results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e Transit Planet
5.000000000e+00 -1.48244e-05 -1.48244e-05  1.20604e-11
5.002083333e+00 -1.48884e-05 -1.48885e-05  2.02904e-11
5.004167535e+00 -1.57233e-05 -1.57233e-05  1.25132e-11
5.006252605e+00 -1.63396e-05 -1.63396e-05  1.00055e-11
5.008338543e+00 -1.57749e-05 -1.57749e-05  9.92875e-12
5.010425351e+00 -1.56750e-05 -1.56750e-05  9.98308e-12
5.012513028e+00 -1.42879e-05 -1.42879e-05  1.01271e-11
5.014601575e+00 -1.52055e-05 -1.52055e-05  1.05615e-11
5.016690992e+00 -1.52022e-05 -1.52022e-05  2.01250e-11
5.018781280e+00 -1.42282e-05 -1.42282e-05  3.35562e-11
5.020872439e+00 -1.43021e-05 -1.43021e-05  3.83674e-11
5.022964469e+00 -1.52594e-05 -1.52595e-05  7.82508e-12
5.025057371e+00 -1.40994e-05 -1.40994e-05  1.09348e-11
5.027151145e+00 -1.41813e-05 -1.41813e-05  1.24149e-11
5.029245792e+00 -1.44418e-05 -1.44419e-05  2.59665e-11
5.031341311e+00 -1.54509e-05 -1.54509e-05  1.41645e-11
5.033437703e+00 -1.47229e-05 -1.47229e-05  1.06557e-11
5.035534969e+00 -1.55332e-05 -1.55333e-05  1.04524e-11
5.037633108e+00 -1.57284e-05 -1.57284e-05  1.03304e-11
5.039732122e+00 -1.35947e-05 -1.35947e-05  1.05035e-11
5.041832010e+00 -1.51586e-05 -1.51586e-05  1.03576e-11
5.043932774e+00 -1.42810e-05 -1.42810e-05  1.04962e-11
5.046034412e+00 -1.46568e-05 -1.46568e-05  1.04269e-11
5.048136927e+00 -1.38969e-05 -1.38969e-05  1.10650e-11
5.050240317e+00 -1.53819e-05 -1.53819e-05  1.04914e-11
5.052344584e+00 -1.54536e-05 -1.54536e-05  1.04990e-11
5.054449727e+00 -1.43995e-05 -1.43995e-05  1.05353e-11
5.056555748e+00 -1.46298e-05 -1.46298e-05  1.07144e-11
5.058662646e+00 -1.41648e-05 -1.41648e-05  1.12006e-11
5.060770422e+00 -1.43922e-05 -1.43923e-05  1.52321e-11
5.062879077e+00 -1.38583e-05 -1.38583e-05  1.08537e-11
5.064988610e+00 -1.40761e-05 -1.40761e-05  1.07904e-11
5.067099022e+00 -1.38182e-05 -1.38182e-05  1.08337e-11
5.069210313e+00 -1.48491e-05 -1.48491e-05  1.09030e-11
5.071322484e+00 -1.44957e-05 -1.44957e-05  1.09783e-11
5.073435535e+00 -1.47721e-05 -1.47721e-05  1.10853e-11
5.075549466e+00 -1.41263e-05 -1.41264e-05  1.12949e-11
5.077664279e+00 -1.38201e-05 -1.38201e-05  1.16806e-11
5.079779972e+00 -1.37239e-05 -1.37239e-05  1.31021e-11
5.081896547e+00 -1.36986e-05 -1.36986e-05  3.57361e-11
5.084014004e+00 -1.40993e-05 -1.40993e-05  2.38380e-11
5.086132343e+00 -1.38354e-05 -1.38354e-05  3.12304e-11
5.088251565e+00 -1.40900e-05 -1.40900e-05  1.28254e-11
5.090371670e+00 -1.41026e-05 -1.41026e-05  1.18427e-11
5.092492658e+00 -1.27572e-05 -1.27572e-05  1.16847e-11
5.094614530e+00 -1.33908e-05 -1.33909e-05  1.17285e-11
5.096737286e+00 -1.44751e-05 -1.44751e-05  1.21351e-11
5.098860926e+00 -1.40419e-05 -1.40419e-05  2.67463e-11
5.100985452e+00 -1.46249e-05 -1.46249e-05  1.28992e-11
5.103110862e+00 -1.41460e-05 -1.41460e-05  1.22460e-11
5.105237159e+00 -1.32139e-05 -1.32139e-05  1.19200e-11
5.107364341e+00 -1.34491e-05 -1.34491e-05  1.24662e-11
5.109492409e+00 -1.28983e-05 -1.28983e-05  1.26861e-11
5.111621364e+00 -1.30702e-05 -1.30702e-05  1.82053e-11
5.113751207e+00 -1.32559e-05 -1.32559e-05  1.59664e-11
5.115881936e+00 -1.39331e-05 -1.39332e-05  2.69996e-11
5.118013554e+00 -1.37903e-05 -1.37903e-05  1.15551e-11
5.120146060e+00 -1.34492e-05 -1.34492e-05  1.22905e-11
