# Simulation:  C:\Users\dgatl_000\OneDrive\College\Senior_1\Wolf\ModelFiles\trappist1e_1.5barN2_0.1barCO2_aqua
# TRAPPIST-1 e, 0.94% N2, 0.06% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.6055250           #280.2533054         #0.0000000           #29.0000000          #175.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       60945.9842934           0.0009559         177.7132556           0.9374976       6.2499837E-02       0.0000000E+00       2.6052217E-06       0.0000000E+00       1.2804547E-09              14.000               6.229
    1       59082.8392689           0.0012448         177.6053025           0.9374976       6.2499843E-02       0.0000000E+00       2.5169561E-06       0.0000000E+00       3.9370226E-09              14.000               6.286
    2       57256.7826632           0.0016128         177.7276754           0.9374977       6.2499847E-02       0.0000000E+00       2.4417926E-06       0.0000000E+00       6.4310375E-09              14.000               6.370
    3       55464.8726833           0.0020793         177.9704097           0.9374978       6.2499851E-02       0.0000000E+00       2.3900217E-06       0.0000000E+00       8.3013495E-09              14.000               6.413
    4       53704.3345593           0.0026674         178.4137096           0.9374978       6.2499851E-02       0.0000000E+00       2.3770062E-06       0.0000000E+00       9.4738162E-09              14.000               6.433
    5       51971.7096656           0.0034049         179.2977065           0.9374977       6.2499848E-02       0.0000000E+00       2.4311155E-06       0.0000000E+00       9.9944443E-09              14.000               6.514
    6       50262.2844060           0.0043246         180.7983948           0.9374976       6.2499840E-02       0.0000000E+00       2.5639787E-06       0.0000000E+00       9.4869741E-09              14.000               6.779
    7       48571.6756031           0.0054654         182.7861021           0.9374974       6.2499828E-02       0.0000000E+00       2.7453991E-06       0.0000000E+00       9.2431373E-09              14.000               7.323
    8       46898.1106380           0.0068729         184.9242222           0.9374972       6.2499816E-02       0.0000000E+00       2.9446752E-06       0.0000000E+00       8.4560433E-09              14.000               8.111
    9       45243.1015152           0.0085997         186.8374191           0.9374971       6.2499804E-02       0.0000000E+00       3.1310235E-06       0.0000000E+00       6.6129518E-09              14.000               8.961
   10       43610.4772740           0.0107070         188.2850691           0.9374970       6.2499797E-02       0.0000000E+00       3.2463824E-06       0.0000000E+00       4.8637121E-09              14.000               9.676
   11       42004.9403073           0.0132648         189.2194892           0.9374969       6.2499792E-02       0.0000000E+00       3.3241504E-06       0.0000000E+00       3.9540345E-09              14.000              10.160
   12       40430.5672933           0.0163518         189.8169204           0.9374968       6.2499788E-02       0.0000000E+00       3.3984734E-06       0.0000000E+00       3.8967749E-09              14.000              10.471
   13       38889.1067017           0.0200568         190.4081819           0.9374967       6.2499781E-02       0.0000000E+00       3.5007319E-06       0.0000000E+00       4.2380237E-09              14.000              10.792
   14       37379.5597616           0.0244790         191.2932028           0.9374966       6.2499772E-02       0.0000000E+00       3.6507349E-06       0.0000000E+00       4.5609837E-09              14.000              11.306
   15       35899.4967258           0.0297280         192.5693948           0.9374964       6.2499759E-02       0.0000000E+00       3.8558221E-06       0.0000000E+00       4.6176709E-09              14.000              12.102
   16       34446.8700174           0.0359233         194.1087122           0.9374962       6.2499746E-02       0.0000000E+00       4.0708006E-06       0.0000000E+00       4.1732835E-09              14.000              13.142
   17       33021.2354533           0.0431938         195.6787441           0.9374960       6.2499733E-02       0.0000000E+00       4.2681050E-06       0.0000000E+00       3.5222441E-09              14.000              14.298
   18       31623.7105656           0.0516775         197.0830413           0.9374958       6.2499721E-02       0.0000000E+00       4.4640476E-06       0.0000000E+00       2.7819544E-09              14.000              15.416
   19       30256.3280648           0.0615205         198.2207545           0.9374956       6.2499708E-02       0.0000000E+00       4.6735010E-06       0.0000000E+00       2.4999814E-09              14.000              16.380
   20       28921.3562601           0.0728745         199.0994241           0.9374954       6.2499695E-02       0.0000000E+00       4.8785640E-06       0.0000000E+00       2.4818956E-09              14.000              17.153
   21       27230.2209948           0.0902144         200.0611660           0.9374952       6.2499678E-02       0.0000000E+00       5.1470294E-06       0.0000000E+00       2.0065397E-09              14.000              18.003
   22       25298.5393430           0.1149904         201.0596860           0.9374948       6.2499653E-02       0.0000000E+00       5.5474602E-06       0.0000000E+00       4.1133345E-09              14.000              18.914
   23       23473.7396897           0.1443947         202.5421290           0.9374941       6.2499605E-02       0.0000000E+00       6.3138074E-06       1.1843671E-31       1.4261114E-08              14.000              20.332
   24       21732.1676377           0.1789873         205.8088145           0.9374920       6.2499469E-02       0.0000000E+00       8.4994577E-06       2.3070338E-28       3.8771676E-08              14.000              23.721
   25       20033.8561348           0.2196837         211.6649469           0.9374852       6.2499016E-02       0.0000000E+00       1.5740274E-05       7.9990911E-27       1.4804745E-07              14.000              29.577
   26       18346.7211331           0.2675609         219.2419735           0.9374671       6.2497807E-02       0.0000000E+00       3.5085374E-05       8.7068436E-25       3.1585956E-07              14.000              33.849
   27       16651.8733105           0.3238859         227.4003732           0.9374285       6.2495234E-02       0.0000000E+00       7.6262695E-05       1.5820399E-09       3.9415437E-07              14.000              38.885
   28       14939.0764981           0.3901495         235.8061788           0.9373588       6.2490590E-02       0.0000000E+00       1.5058841E-04       1.0767741E-07       6.8824715E-07              14.000              47.410
   29       13202.3598367           0.4681050         244.1254696           0.9372368       6.2482459E-02       0.0000000E+00       2.8073008E-04       5.9170497E-07       1.0600775E-06              14.000              69.656
   30       11439.4293397           0.5598157         251.9313572           0.9369920       6.2466156E-02       0.0000000E+00       5.4180288E-04       1.9687029E-06       1.4018981E-06              14.000             103.235
   31        9649.2700087           0.6677086         259.3385729           0.9365459       6.2436463E-02       0.0000000E+00       1.0176225E-03       4.2905819E-06       1.3097503E-06              14.000             142.815
   32        7829.0707345           0.7946390         266.8833950           0.9358163       6.2387970E-02       0.0000000E+00       1.7957022E-03       5.4239041E-06       3.7103762E-07              14.000             193.290
   33        5975.2881893           0.9439660         274.5955441           0.9348019       6.2320675E-02       0.0000000E+00       2.8774546E-03       5.8879898E-06       8.0223559E-08              14.000             228.538
   34        4250.4354121           1.1035775         281.4214263           0.9335520       6.2237979E-02       0.0000000E+00       4.2099871E-03       5.7120050E-06       1.9287553E-08              14.000             239.375
   35        2808.3104794           1.2542919         285.9898340           0.9319746       6.2133943E-02       0.0000000E+00       5.8914211E-03       6.5451494E-06       6.7523042E-09              14.000             242.944
   36        1670.3819830           1.3860281         287.7744275           0.9306385       6.2046107E-02       0.0000000E+00       7.3154219E-03       7.7004536E-06       1.6329986E-09              14.000             243.874
   37         846.9759419           1.4896283         287.1795415           0.9306870       6.2049291E-02       0.0000000E+00       7.2637298E-03       7.6104513E-06       9.2272766E-10              14.000             243.939
   38         341.1798114           1.5574471         283.8235039           0.9313271       6.2091341E-02       0.0000000E+00       6.5815850E-03       7.7960664E-06       3.2795231E-09              14.000             243.063
   39          83.5887478           1.5935332         281.7614437           0.9315845       6.2108271E-02       0.0000000E+00       6.3071897E-03       8.3205252E-06       6.5083441E-09              14.000             242.199
