# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Synthesized on Sat Mar 16 23:08:36 2019
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Aerosols considered: Cloud,WaterIce
# Aerosols sources: White_GSFC[reff=1.0um 0.10-1000000.00um],CRISM_Wolff[reff=2.0um 0.31-99.57um]
# Aerosols opacities: 1,1
# Aerosols opacity units: scl,scl
# Aerosols sizes: 10,95.342
# Aerosols size units: um,um
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Wave/freq Total N2 CO2 H2O Cloud WaterIce CIA
5.000000000e+00  0.00000  1.00000  0.55470  0.02360  0.00000  0.00315  0.99846
5.002083333e+00  0.00000  1.00000  0.54292  0.00403  0.00000  0.00317  0.99934
5.004167535e+00  0.00000  1.00000  0.62894  0.00168  0.00000  0.00320  0.99969
5.006252605e+00  0.00000  1.00000  0.60180  0.02585  0.00000  0.00322  0.99941
5.008338543e+00  0.00000  1.00000  0.55061  0.02826  0.00000  0.00325  0.99969
5.010425351e+00  0.00000  1.00000  0.55315  0.01439  0.00000  0.00327  0.99964
5.012513028e+00  0.00000  1.00000  0.59820  0.00205  0.00000  0.00330  0.99970
5.014601575e+00 -0.00000  1.00000  0.69128 -0.00004  0.00000  0.00332  0.99967
5.016690992e+00 -0.00000  1.00000  0.61671 -0.00000  0.00000  0.00335  0.99957
5.018781280e+00 -0.00000  1.00000  0.74149 -0.00000  0.00000  0.00338  0.99948
5.020872439e+00 -0.00000  1.00000  0.59131 -0.00000  0.00000  0.00340  0.99946
5.022964469e+00  0.00000  1.00000  0.78980  0.00000  0.00000  0.00343  0.99925
5.025057371e+00  0.00000  1.00000  0.63846  0.00000  0.00000  0.00346  0.99971
5.027151145e+00  0.00000  1.00000  0.79671  0.00000  0.00000  0.00348  0.99967
5.029245792e+00  0.00000  1.00000  0.60308  0.00000  0.00000  0.00351  0.99976
5.031341311e+00  0.00000  1.00000  0.80107  0.00000  0.00000  0.00354  0.99972
5.033437703e+00  0.00000  1.00000  0.55127  0.00118  0.00000  0.00357  0.99978
5.035534969e+00  0.00000  1.00000  0.82509  0.01853  0.00000  0.00359  0.99984
5.037633108e+00  0.00000  1.00000  0.49701  0.06423  0.00000  0.00362  0.99982
5.039732122e+00  0.00000  1.00000  0.84304  0.07657  0.00000  0.00365  0.99989
5.041832010e+00  0.00000  1.00000  0.43235  0.17840  0.00000  0.00368  0.99976
5.043932774e+00  0.00000  1.00000  0.85850  0.15369  0.00000  0.00371  0.99964
5.046034412e+00  0.00000  1.00000  0.37505  0.15295  0.00000  0.00374  0.99980
5.048136927e+00  0.00000  1.00000  0.86897  0.05278  0.00000  0.00377  0.99991
5.050240317e+00  0.00000  1.00000  0.50328  0.29694  0.00000  0.00380  0.99969
5.052344584e+00  0.00000  1.00000  0.72735  0.33632  0.00000  0.00383  0.99987
5.054449727e+00  0.00000  1.00000  0.42708  0.33825  0.00000  0.00386  0.99987
5.056555748e+00  0.00000  1.00000  0.71467  0.15586  0.00000  0.00389  0.99996
5.058662646e+00  0.00000  1.00000  0.35003  0.05617  0.00000  0.00392  0.99983
5.060770422e+00  0.00000  1.00000  0.73748  0.01098  0.00000  0.00394  0.99992
5.062879077e+00  0.00000  1.00000  0.26594  0.13471  0.00000  0.00397  0.99982
5.064988610e+00  0.00000  1.00000  0.70727  0.22801  0.00000  0.00400  0.99972
5.067099022e+00  0.00000  1.00000  0.20588  0.23043  0.00000  0.00403  0.99995
5.069210313e+00  0.00000  1.00000  0.67909  0.15086  0.00000  0.00406  0.99999
5.071322484e+00  0.00000  1.00000  0.16406  0.10266  0.00000  0.00409  1.00000
5.073435535e+00  0.00000  1.00000  0.62278  0.03634  0.00000  0.00412  0.99998
5.075549466e+00  0.00000  1.00000  0.25877  0.00626  0.00000  0.00414  0.99982
5.077664279e+00  0.00000  1.00000  0.46691  0.00105  0.00000  0.00417  0.99990
5.079779972e+00  0.00000  1.00000  0.18304  0.00000  0.00000  0.00420  0.99992
5.081896547e+00  0.00000  1.00000  0.44286  0.00000  0.00000  0.00423  0.99981
5.084014004e+00  0.00000  1.00000  0.11666  0.00000  0.00000  0.00426  0.99965
5.086132343e+00  0.00000  1.00000  0.42887  0.00000  0.00000  0.00429  0.99977
5.088251565e+00  0.00000  1.00000  0.07510  0.00000  0.00000  0.00433  0.99988
5.090371670e+00  0.00000  1.00000  0.41170  0.00039  0.00000  0.00436  0.99990
5.092492658e+00  0.00000  1.00000  0.03987  0.00459  0.00000  0.00439  1.00001
5.094614530e+00  0.00000  1.00000  0.39891  0.00699  0.00000  0.00442  1.00000
5.096737286e+00 -0.00000  1.00000  0.02499  0.00017  0.00000  0.00445  1.00000
5.098860926e+00 -0.00000  1.00000  0.37799 -0.00021  0.00000  0.00448  0.99988
5.100985452e+00  0.00000  1.00000  0.10956  0.00174  0.00000  0.00452  0.99994
5.103110862e+00  0.00000  1.00000  0.27124  0.01773  0.00000  0.00455  0.99987
5.105237159e+00  0.00000  1.00000  0.11208  0.03828  0.00000  0.00458  0.99997
5.107364341e+00  0.00000  1.00000  0.26659  0.00976  0.00000  0.00461  1.00000
5.109492409e+00  0.00000  1.00000  0.08261  0.00079  0.00000  0.00465  1.00000
5.111621364e+00  0.00000  1.00000  0.31286  0.00002  0.00000  0.00468  1.00000
5.113751207e+00  0.00000  1.00000  0.05757  0.00000  0.00000  0.00471  0.99987
5.115881936e+00  0.00000  1.00000  0.37720  0.00000  0.00000  0.00475  1.00000
5.118013554e+00  0.00000  1.00000  0.04698  0.00150  0.00000  0.00478  1.00000
5.120146060e+00  0.00000  1.00000  0.47951  0.02055  0.00000  0.00482  1.00000
5.122279454e+00  0.00000  1.00000  0.01240  0.03755  0.00000  0.00485  1.00000
5.124413737e+00  0.00000  1.00000  0.33805  0.01945  0.00000  0.00489  1.00000
5.126548909e+00  0.00000  1.00000  0.27149  0.00596  0.00000  0.00492  1.00000
5.128684971e+00  0.00000  1.00000  0.53561  0.00197  0.00000  0.00496  1.00000
5.130821923e+00  0.00000  1.00000  0.41028  0.00036  0.00000  0.00499  1.00000
5.132959766e+00  0.00000  1.00000  0.67673  0.00009  0.00000  0.00503  1.00000
5.135098499e+00  0.00000  1.00000  0.47366  0.00001  0.00000  0.00507  0.99999
5.137238123e+00  0.00000  1.00000  0.75169  0.00000  0.00000  0.00510  1.00000
5.139378639e+00  0.00000  1.00000  0.48312  0.00000  0.00000  0.00514  1.00000
5.141520047e+00  0.00000  1.00000  0.73399  0.00000  0.00000  0.00518  0.99998
5.143662347e+00  0.00000  1.00000  0.30677  0.00000  0.00000  0.00521  0.99996
5.145805540e+00 -0.00000  1.00000  0.65113 -0.00000  0.00000  0.00525  0.99984
5.147949625e+00 -0.00000  1.00000  0.12399 -0.00000  0.00000  0.00529  0.99995
5.150094604e+00  0.00000  1.00000  0.50688  0.00000  0.00000  0.00533  0.99946
5.152240477e+00  0.00000  1.00000  0.16974  0.00000  0.00000  0.00537  0.99999
5.154387244e+00  0.00000  1.00000  0.19841  0.00000  0.00000  0.00540  0.99997
5.156534905e+00  0.00000  1.00000  0.12742  0.00001  0.00000  0.00544  0.99999
5.158683462e+00  0.00000  1.00000  0.10966  0.00027  0.00000  0.00548  0.99997
5.160832913e+00  0.00000  1.00000  0.03803  0.00068  0.00000  0.00552  0.99996
5.162983260e+00  0.00000  1.00000  0.01380  0.00356  0.00000  0.00556  0.99997
5.165134503e+00  0.00000  1.00000  0.00025  0.01254  0.00000  0.00559  1.00000
5.167286642e+00 -0.00000  1.00000 -0.00000  0.00813  0.00000  0.00563  1.00000
5.169439679e+00 -0.00000  1.00000 -0.00000  0.00391  0.00000  0.00567  1.00000
5.171593612e+00 -0.00000  1.00000 -0.00000 -0.00031  0.00000  0.00571  1.00000
5.173748442e+00 -0.00000  1.00000 -0.00000 -0.00002  0.00000  0.00575  1.00000
5.175904171e+00  0.00000  1.00000  0.00000  0.00018  0.00000  0.00579  1.00000
5.178060798e+00  0.00000  1.00000  0.00110  0.00907  0.00000  0.00583  1.00000
5.180218323e+00  0.00000  1.00000  0.03461  0.01360  0.00000  0.00587  1.00000
5.182376747e+00  0.00000  1.00000  0.01252  0.01153  0.00000  0.00591  1.00000
5.184536071e+00  0.00000  1.00000  0.03935  0.00674  0.00000  0.00595  0.99996
5.186696294e+00  0.00000  1.00000  0.00741  0.00140  0.00000  0.00599  0.99999
5.188857418e+00  0.00000  1.00000  0.01658  0.00032  0.00000  0.00603  1.00000
5.191019442e+00  0.00000  1.00000  0.00109  0.00001  0.00000  0.00607  0.99997
5.193182366e+00  0.00000  1.00000  0.00489  0.00000  0.00000  0.00612  1.00000
5.195346192e+00 -0.00000  1.00000 -0.00013 -0.00000  0.00000  0.00616  1.00000
5.197510920e+00 -0.00000  1.00000  0.00131 -0.00000  0.00000  0.00620  0.99972
5.199676550e+00 -0.00000  1.00000 -0.00014 -0.00000  0.00000  0.00624  0.99990
5.201843081e+00 -0.00000  1.00000  0.00035 -0.00000  0.00000  0.00629  0.99986
