# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e Transit Planet
5.000000000e+00 -1.48469e-05 -1.48469e-05  1.00486e-11
5.002083333e+00 -1.49149e-05 -1.49149e-05  1.46312e-11
5.004167535e+00 -1.57471e-05 -1.57471e-05  1.02817e-11
5.006252605e+00 -1.63631e-05 -1.63631e-05  8.95418e-12
5.008338543e+00 -1.57976e-05 -1.57976e-05  8.93706e-12
5.010425351e+00 -1.56975e-05 -1.56975e-05  8.97688e-12
5.012513028e+00 -1.43084e-05 -1.43085e-05  9.05601e-12
5.014601575e+00 -1.52273e-05 -1.52273e-05  9.26286e-12
5.016690992e+00 -1.52284e-05 -1.52285e-05  1.44518e-11
5.018781280e+00 -1.42561e-05 -1.42561e-05  2.20713e-11
5.020872439e+00 -1.43333e-05 -1.43334e-05  2.59793e-11
5.022964469e+00 -1.52793e-05 -1.52793e-05  7.30179e-12
5.025057371e+00 -1.41196e-05 -1.41196e-05  9.51352e-12
5.027151145e+00 -1.42017e-05 -1.42017e-05  1.01946e-11
5.029245792e+00 -1.44675e-05 -1.44675e-05  1.81028e-11
5.031341311e+00 -1.54744e-05 -1.54745e-05  1.13665e-11
5.033437703e+00 -1.47439e-05 -1.47439e-05  9.46567e-12
5.035534969e+00 -1.55553e-05 -1.55554e-05  9.39107e-12
5.037633108e+00 -1.57507e-05 -1.57507e-05  9.34797e-12
5.039732122e+00 -1.36140e-05 -1.36140e-05  9.45568e-12
5.041832010e+00 -1.51800e-05 -1.51800e-05  9.39397e-12
5.043932774e+00 -1.43013e-05 -1.43013e-05  9.48510e-12
5.046034412e+00 -1.46775e-05 -1.46775e-05  9.46135e-12
5.048136927e+00 -1.39168e-05 -1.39168e-05  9.80652e-12
5.050240317e+00 -1.54036e-05 -1.54036e-05  9.52287e-12
5.052344584e+00 -1.54754e-05 -1.54754e-05  9.54380e-12
5.054449727e+00 -1.44198e-05 -1.44198e-05  9.57714e-12
5.056555748e+00 -1.46504e-05 -1.46504e-05  9.68159e-12
5.058662646e+00 -1.41847e-05 -1.41848e-05  9.91784e-12
5.060770422e+00 -1.44151e-05 -1.44151e-05  1.21737e-11
5.062879077e+00 -1.38778e-05 -1.38778e-05  9.81033e-12
5.064988610e+00 -1.40958e-05 -1.40958e-05  9.80093e-12
5.067099022e+00 -1.38376e-05 -1.38376e-05  9.84429e-12
5.069210313e+00 -1.48698e-05 -1.48698e-05  9.89941e-12
5.071322484e+00 -1.45160e-05 -1.45160e-05  9.95657e-12
5.073435535e+00 -1.47927e-05 -1.47927e-05  1.00283e-11
5.075549466e+00 -1.41460e-05 -1.41461e-05  1.01472e-11
5.077664279e+00 -1.38393e-05 -1.38393e-05  1.03436e-11
5.079779972e+00 -1.37431e-05 -1.37431e-05  1.10076e-11
5.081896547e+00 -1.37261e-05 -1.37261e-05  2.48797e-11
5.084014004e+00 -1.41207e-05 -1.41207e-05  1.65632e-11
5.086132343e+00 -1.38606e-05 -1.38606e-05  2.15723e-11
5.088251565e+00 -1.41097e-05 -1.41097e-05  1.10022e-11
5.090371670e+00 -1.41222e-05 -1.41222e-05  1.05640e-11
5.092492658e+00 -1.27748e-05 -1.27748e-05  1.05172e-11
5.094614530e+00 -1.34094e-05 -1.34094e-05  1.05621e-11
5.096737286e+00 -1.44952e-05 -1.44952e-05  1.07762e-11
5.098860926e+00 -1.40665e-05 -1.40665e-05  1.89084e-11
5.100985452e+00 -1.46451e-05 -1.46452e-05  1.11841e-11
5.103110862e+00 -1.41656e-05 -1.41656e-05  1.09157e-11
