# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e
5.000000000e+00  2.82476e-11
5.002083333e+00  4.39757e-11
5.004167535e+00  2.68955e-11
5.006252605e+00  2.38042e-11
5.008338543e+00  2.45305e-11
5.010425351e+00  2.51686e-11
5.012513028e+00  2.31876e-11
5.014601575e+00  2.33302e-11
5.016690992e+00  4.40212e-11
5.018781280e+00  6.98560e-11
5.020872439e+00  7.21994e-11
5.022964469e+00  1.79851e-11
5.025057371e+00  2.44543e-11
5.027151145e+00  2.54516e-11
5.029245792e+00  5.16032e-11
5.031341311e+00  2.81508e-11
5.033437703e+00  2.53579e-11
5.035534969e+00  1.99660e-11
5.037633108e+00  2.52996e-11
5.039732122e+00  1.97382e-11
5.041832010e+00  2.63339e-11
5.043932774e+00  1.93380e-11
5.046034412e+00  2.79119e-11
5.048136927e+00  2.03003e-11
5.050240317e+00  2.58641e-11
5.052344584e+00  2.07791e-11
5.054449727e+00  2.82213e-11
5.056555748e+00  2.15348e-11
5.058662646e+00  3.18738e-11
5.060770422e+00  3.12283e-11
5.062879077e+00  3.31327e-11
5.064988610e+00  2.02094e-11
5.067099022e+00  3.55577e-11
5.069210313e+00  1.97827e-11
5.071322484e+00  3.91920e-11
5.073435535e+00  1.96266e-11
5.075549466e+00  3.49486e-11
5.077664279e+00  2.64778e-11
5.079779972e+00  4.23793e-11
5.081896547e+00  6.96868e-11
5.084014004e+00  5.76477e-11
5.086132343e+00  6.27647e-11
5.088251565e+00  4.76134e-11
5.090371670e+00  2.61156e-11
5.092492658e+00  4.92081e-11
5.094614530e+00  2.50025e-11
5.096737286e+00  5.17172e-11
5.098860926e+00  5.57346e-11
5.100985452e+00  4.57215e-11
5.103110862e+00  3.36556e-11
5.105237159e+00  4.59943e-11
5.107364341e+00  3.49956e-11
5.109492409e+00  4.91115e-11
5.111621364e+00  4.32528e-11
5.113751207e+00  5.38675e-11
5.115881936e+00  5.71270e-11
5.118013554e+00  4.98559e-11
5.120146060e+00  2.57180e-11
5.122279454e+00  5.32503e-11
5.124413737e+00  2.95482e-11
5.126548909e+00  4.11618e-11
5.128684971e+00  3.05107e-11
5.130821923e+00  3.73506e-11
5.132959766e+00  2.76153e-11
5.135098499e+00  3.64587e-11
5.137238123e+00  7.36816e-11
5.139378639e+00  6.53451e-11
5.141520047e+00  5.83887e-11
5.143662347e+00  4.35236e-11
5.145805540e+00  5.33236e-11
5.147949625e+00  1.04761e-10
5.150094604e+00  7.57240e-11
5.152240477e+00  4.99865e-11
5.154387244e+00  4.56000e-11
5.156534905e+00  4.89434e-11
5.158683462e+00  4.94420e-11
5.160832913e+00  5.44250e-11
5.162983260e+00  6.20590e-11
5.165134503e+00  6.81841e-11
5.167286642e+00  7.33183e-11
5.169439679e+00  4.45572e-11
5.171593612e+00  2.90627e-11
5.173748442e+00  1.65590e-11
5.175904171e+00  6.49055e-11
5.178060798e+00  7.18946e-11
5.180218323e+00  5.70801e-11
5.182376747e+00  6.17810e-11
5.184536071e+00  5.63637e-11
5.186696294e+00  6.18707e-11
5.188857418e+00  6.35527e-11
5.191019442e+00  6.18799e-11
5.193182366e+00  7.20162e-11
5.195346192e+00  6.05206e-11
5.197510920e+00  8.38855e-11
5.199676550e+00  5.99049e-11
5.201843081e+00  1.07726e-10
5.204010516e+00  6.86855e-11
5.206178854e+00  7.89123e-11
5.208348095e+00  6.63206e-11
5.210518240e+00  7.89759e-11
5.212689289e+00  4.93767e-11
5.214861243e+00  6.30541e-11
5.217034102e+00  6.34059e-11
5.219207866e+00  8.19446e-11
5.221382536e+00  6.51595e-11
5.223558112e+00  8.14115e-11
5.225734595e+00  6.59867e-11
5.227911984e+00  7.95762e-11
5.230090281e+00  7.52530e-11
5.232269485e+00  6.41163e-11
5.234449597e+00  9.22351e-11
5.236630618e+00  6.90126e-11
5.238812547e+00  8.61171e-11
5.240995386e+00  6.80156e-11
5.243179134e+00  8.53880e-11
5.245363792e+00  6.74763e-11
5.247549360e+00  8.37996e-11
5.249735839e+00  6.82695e-11
5.251923229e+00  1.01988e-10
5.254111531e+00  6.54193e-11
5.256300744e+00  6.79301e-11
5.258490869e+00  6.61345e-11
5.260681907e+00  7.19178e-11
5.262873858e+00  6.76330e-11
5.265066722e+00  7.28383e-11
5.267260500e+00  6.77124e-11
5.269455191e+00  7.39361e-11
5.271650798e+00  7.26551e-11
5.273847319e+00  7.75961e-11
5.276044755e+00  1.06419e-10
5.278243107e+00  8.11337e-11
5.280442375e+00  5.35903e-11
5.282642560e+00  6.41974e-11
5.284843661e+00  6.71355e-11
5.287045679e+00  6.00084e-11
5.289248615e+00  7.99577e-11
5.291452468e+00  1.12429e-10
5.293657240e+00  1.07725e-10
5.295862930e+00  6.44675e-11
5.298069540e+00  7.18014e-11
5.300277069e+00  5.14866e-11
5.302485518e+00  6.33357e-11
5.304694887e+00  6.98366e-11
5.306905176e+00  1.05110e-10
5.309116387e+00  4.65293e-11
5.311328519e+00  5.46129e-11
5.313541572e+00  5.05630e-11
5.315755548e+00  6.72519e-11
5.317970446e+00  5.32057e-11
5.320186267e+00  6.07558e-11
5.322403011e+00  5.05309e-11
5.324620679e+00  5.22329e-11
5.326839271e+00  4.79931e-11
5.329058787e+00  6.05191e-11
5.331279229e+00  4.81935e-11
5.333500595e+00  5.31484e-11
5.335722887e+00  4.93517e-11
5.337946105e+00  5.29206e-11
5.340170249e+00  6.17535e-11
5.342395320e+00  5.94825e-11
5.344621318e+00  9.02870e-11
5.346848244e+00  1.12531e-10
5.349076097e+00  1.23714e-10
5.351304879e+00  1.49736e-10
5.353534589e+00  1.23927e-10
5.355765228e+00  1.19462e-10
5.357996797e+00  1.31387e-10
5.360229296e+00  7.56994e-11
5.362462725e+00  6.49861e-11
5.364697084e+00  5.50439e-11
5.366932375e+00  5.86138e-11
5.369168597e+00  4.86273e-11
5.371405750e+00  6.92951e-11
5.373643836e+00  5.51531e-11
5.375882854e+00  6.81993e-11
5.378122805e+00  5.58627e-11
5.380363690e+00  1.00415e-10
5.382605508e+00  4.83199e-11
5.384848260e+00  5.50427e-11
5.387091947e+00  5.97538e-11
5.389336569e+00  5.34741e-11
5.391582126e+00  4.54519e-11
5.393828618e+00  5.34997e-11
5.396076047e+00  4.82131e-11
5.398324412e+00  7.24385e-11
5.400573714e+00  4.93826e-11
5.402823953e+00  5.45916e-11
5.405075129e+00  5.01128e-11
5.407327244e+00  6.21784e-11
5.409580297e+00  7.90685e-11
5.411834289e+00  1.46556e-10
5.414089220e+00  8.93872e-11
5.416345090e+00  9.16409e-11
5.418601901e+00  1.54664e-10
5.420859652e+00  1.32678e-10
5.423118343e+00  1.36927e-10
5.425377976e+00  1.41067e-10
5.427638550e+00  1.23653e-10
5.429900066e+00  8.25853e-11
5.432162524e+00  6.63253e-11
5.434425925e+00  6.12726e-11
5.436690269e+00  7.01631e-11
5.438955557e+00  6.36558e-11
5.441221789e+00  7.89621e-11
5.443488964e+00  1.63266e-10
5.445757085e+00  8.64294e-11
5.448026150e+00  6.66297e-11
5.450296161e+00  8.65249e-11
5.452567118e+00  6.60472e-11
5.454839021e+00  8.24382e-11
5.457111870e+00  7.73873e-11
5.459385667e+00  1.02255e-10
5.461660411e+00  1.51970e-10
5.463936103e+00  1.30297e-10
5.466212743e+00  1.75653e-10
5.468490331e+00  1.47775e-10
5.470768869e+00  1.08849e-10
5.473048356e+00  9.43922e-11
5.475328793e+00  1.16231e-10
5.477610180e+00  1.41370e-10
5.479892518e+00  1.61972e-10
5.482175806e+00  1.12570e-10
5.484460046e+00  8.35691e-11
5.486745238e+00  1.05187e-10
5.489031382e+00  8.79520e-11
5.491318478e+00  6.91260e-11
5.493606527e+00  5.95050e-11
5.495895530e+00  5.60499e-11
5.498185487e+00  5.65896e-11
5.500476397e+00  7.12808e-11
5.502768262e+00  8.14202e-11
5.505061082e+00  6.97649e-11
5.507354858e+00  6.42328e-11
5.509649589e+00  6.14173e-11
5.511945276e+00  6.12387e-11
5.514241920e+00  6.62406e-11
5.516539521e+00  9.50868e-11
5.518838079e+00  1.42083e-10
5.521137595e+00  1.41163e-10
5.523438069e+00  1.63258e-10
5.525739502e+00  1.25296e-10
5.528041893e+00  9.19709e-11
5.530345244e+00  1.09955e-10
5.532649554e+00  1.11075e-10
5.534954825e+00  7.66116e-11
5.537261056e+00  7.65195e-11
5.539568248e+00  1.33861e-10
5.541876402e+00  7.85214e-11
5.544185517e+00  7.80459e-11
5.546495594e+00  1.17875e-10
5.548806634e+00  1.66030e-10
5.551118637e+00  1.48387e-10
5.553431603e+00  1.31190e-10
5.555745533e+00  1.57440e-10
5.558060427e+00  1.75739e-10
5.560376285e+00  1.37311e-10
5.562693109e+00  1.10384e-10
5.565010897e+00  1.38864e-10
5.567329652e+00  1.75932e-10
5.569649373e+00  1.66031e-10
5.571970060e+00  1.51084e-10
5.574291714e+00  1.70508e-10
5.576614336e+00  1.98357e-10
5.578937925e+00  1.02819e-10
5.581262482e+00  2.20548e-10
5.583588008e+00  1.84326e-10
5.585914503e+00  1.64870e-10
5.588241968e+00  1.20834e-10
5.590570402e+00  1.26716e-10
5.592899806e+00  1.07484e-10
5.595230181e+00  9.11997e-11
5.597561527e+00  9.25588e-11
5.599893844e+00  1.07203e-10
5.602227134e+00  1.75079e-10
5.604561395e+00  1.31444e-10
5.606896629e+00  1.40814e-10
5.609232836e+00  1.02537e-10
5.611570016e+00  1.41745e-10
5.613908170e+00  1.79035e-10
5.616247299e+00  1.64340e-10
5.618587402e+00  1.55592e-10
5.620928480e+00  1.69779e-10
5.623270533e+00  1.33898e-10
5.625613563e+00  1.22381e-10
5.627957568e+00  1.31345e-10
5.630302551e+00  1.83054e-10
5.632648510e+00  1.84578e-10
5.634995447e+00  1.82656e-10
5.637343362e+00  2.08193e-10
5.639692255e+00  1.58157e-10
5.642042127e+00  1.71271e-10
5.644392977e+00  1.60217e-10
5.646744808e+00  1.85447e-10
5.649097618e+00  1.96392e-10
5.651451409e+00  1.71845e-10
5.653806180e+00  1.93998e-10
5.656161933e+00  1.73976e-10
5.658518667e+00  1.68846e-10
5.660876383e+00  1.27778e-10
5.663235082e+00  1.18032e-10
5.665594763e+00  1.32262e-10
5.667955427e+00  1.51392e-10
5.670317075e+00  1.57134e-10
5.672679708e+00  1.97886e-10
5.675043324e+00  1.63894e-10
5.677407925e+00  2.12606e-10
5.679773512e+00  1.83593e-10
5.682140084e+00  1.49148e-10
5.684507643e+00  1.42185e-10
5.686876188e+00  1.89477e-10
5.689245719e+00  1.73142e-10
5.691616238e+00  1.88572e-10
5.693987745e+00  2.16700e-10
5.696360240e+00  1.52472e-10
5.698733724e+00  1.37623e-10
5.701108196e+00  1.51090e-10
5.703483658e+00  1.63990e-10
5.705860109e+00  1.94962e-10
5.708237551e+00  2.14041e-10
5.710615983e+00  1.60059e-10
5.712995407e+00  2.25182e-10
5.715375821e+00  2.05671e-10
5.717757228e+00  2.05174e-10
5.720139627e+00  1.98014e-10
5.722523018e+00  2.25257e-10
5.724907403e+00  2.04172e-10
5.727292781e+00  2.10988e-10
5.729679153e+00  1.91503e-10
5.732066519e+00  2.12084e-10
5.734454880e+00  2.09327e-10
5.736844236e+00  2.09952e-10
5.739234588e+00  2.07420e-10
5.741625936e+00  2.03410e-10
5.744018280e+00  2.30518e-10
5.746411621e+00  1.98297e-10
5.748805959e+00  1.30810e-10
5.751201295e+00  2.58102e-10
5.753597629e+00  2.21043e-10
5.755994961e+00  2.21056e-10
5.758393293e+00  2.23496e-10
5.760792623e+00  2.39799e-10
5.763192953e+00  1.97793e-10
5.765594284e+00  1.22119e-10
5.767996615e+00  1.78125e-10
5.770399947e+00  2.11230e-10
5.772804280e+00  2.36213e-10
5.775209615e+00  2.25243e-10
5.777615952e+00  2.18464e-10
5.780023292e+00  1.86698e-10
5.782431635e+00  2.12199e-10
5.784840982e+00  1.77904e-10
5.787251332e+00  1.65065e-10
5.789662687e+00  1.79854e-10
5.792075046e+00  1.94038e-10
5.794488411e+00  1.55063e-10
5.796902781e+00  1.57377e-10
5.799318157e+00  1.80373e-10
5.801734540e+00  2.19860e-10
5.804151929e+00  2.10562e-10
5.806570326e+00  1.76471e-10
5.808989730e+00  2.17800e-10
5.811410143e+00  2.07701e-10
5.813831564e+00  2.34570e-10
5.816253993e+00  2.38349e-10
5.818677433e+00  1.51020e-10
5.821101881e+00  1.89063e-10
5.823527341e+00  1.59987e-10
5.825953810e+00  2.57333e-10
5.828381291e+00  2.54286e-10
5.830809783e+00  1.69216e-10
5.833239287e+00  2.52033e-10
5.835669804e+00  2.25772e-10
5.838101333e+00  2.39007e-10
5.840533875e+00  2.10371e-10
5.842967431e+00  2.05028e-10
5.845402001e+00  2.34223e-10
5.847837585e+00  2.26055e-10
5.850274184e+00  2.14313e-10
5.852711798e+00  2.21682e-10
5.855150428e+00  2.36944e-10
5.857590074e+00  2.41573e-10
5.860030736e+00  1.57265e-10
5.862472416e+00  2.45914e-10
5.864915113e+00  2.67333e-10
5.867358827e+00  1.65692e-10
5.869803560e+00  2.62451e-10
5.872249312e+00  2.63014e-10
5.874696082e+00  2.66508e-10
5.877143872e+00  2.17272e-10
5.879592682e+00  1.13270e-10
5.882042513e+00  1.02878e-10
5.884493364e+00  1.93890e-10
5.886945236e+00  2.58613e-10
5.889398130e+00  2.68864e-10
5.891852046e+00  2.16612e-10
5.894306984e+00  2.45864e-10
5.896762945e+00  8.76696e-11
5.899219930e+00  1.99070e-10
5.901677938e+00  2.59489e-10
5.904136970e+00  2.62986e-10
5.906597028e+00  2.49508e-10
5.909058110e+00  2.50126e-10
5.911520217e+00  2.37476e-10
5.913983351e+00  2.51651e-10
5.916447510e+00  2.19566e-10
5.918912697e+00  2.71941e-10
5.921378910e+00  2.65198e-10
5.923846152e+00  2.37305e-10
5.926314421e+00  2.71931e-10
5.928783719e+00  2.73579e-10
5.931254045e+00  2.64422e-10
5.933725401e+00  1.68230e-10
5.936197787e+00  1.49399e-10
5.938671202e+00  1.76187e-10
5.941145649e+00  1.65693e-10
5.943621126e+00  2.70711e-10
5.946097635e+00  2.72650e-10
5.948575175e+00  2.71976e-10
5.951053748e+00  2.49316e-10
5.953533354e+00  2.49697e-10
5.956013993e+00  2.61649e-10
5.958495666e+00  2.46164e-10
5.960978372e+00  2.54538e-10
5.963462113e+00  2.69694e-10
5.965946889e+00  2.71116e-10
5.968432700e+00  1.34007e-10
5.970919547e+00  2.26146e-10
5.973407430e+00  2.80798e-10
5.975896350e+00  2.67728e-10
5.978386307e+00  2.68536e-10
5.980877301e+00  2.80569e-10
5.983369333e+00  1.68458e-10
5.985862404e+00  3.06201e-10
5.988356513e+00  2.26336e-10
5.990851662e+00  1.75245e-10
5.993347850e+00  2.22927e-10
5.995845078e+00  2.75165e-10
5.998343347e+00  2.59276e-10
6.000842657e+00  2.47535e-10
6.003343008e+00  2.45140e-10
6.005844401e+00  2.49107e-10
6.008346836e+00  2.66304e-10
6.010850314e+00  2.87013e-10
6.013354835e+00  1.69167e-10
6.015860399e+00  2.39153e-10
6.018367008e+00  2.78729e-10
6.020874661e+00  2.63488e-10
6.023383358e+00  2.47355e-10
6.025893102e+00  2.42043e-10
6.028403890e+00  2.47794e-10
6.030915725e+00  2.51113e-10
6.033428607e+00  2.70387e-10
6.035942535e+00  2.81651e-10
6.038457511e+00  2.89710e-10
6.040973535e+00  2.88445e-10
6.043490608e+00  1.87405e-10
6.046008729e+00  2.11025e-10
6.048527899e+00  1.20529e-10
6.051048119e+00  1.11151e-10
6.053569389e+00  2.06433e-10
6.056091710e+00  2.79280e-10
6.058615081e+00  2.95613e-10
6.061139504e+00  2.94480e-10
6.063664979e+00  2.94212e-10
6.066191506e+00  1.97505e-10
6.068719086e+00  2.47442e-10
6.071247719e+00  2.03779e-10
6.073777405e+00  2.50525e-10
6.076308146e+00  1.22923e-10
6.078839941e+00  2.88476e-10
6.081372791e+00  2.87326e-10
6.083906696e+00  2.74010e-10
6.086441657e+00  2.66796e-10
6.088977675e+00  2.73676e-10
6.091514749e+00  2.53128e-10
6.094052880e+00  2.60055e-10
6.096592069e+00  2.76730e-10
6.099132315e+00  2.65865e-10
6.101673621e+00  2.79604e-10
6.104215985e+00  2.91215e-10
6.106759408e+00  1.75440e-10
6.109303891e+00  2.88733e-10
6.111849434e+00  2.16056e-10
6.114396038e+00  1.51578e-10
6.116943703e+00  1.85818e-10
6.119492430e+00  2.91394e-10
6.122042218e+00  2.94631e-10
6.124593069e+00  2.76801e-10
6.127144983e+00  2.72328e-10
6.129697960e+00  2.53939e-10
6.132252001e+00  2.45827e-10
6.134807106e+00  2.49397e-10
6.137363275e+00  2.70281e-10
6.139920510e+00  2.96851e-10
6.142478810e+00  2.05147e-10
6.145038177e+00  2.78958e-10
6.147598609e+00  2.83607e-10
6.150160109e+00  2.82094e-10
6.152722675e+00  2.87574e-10
6.155286310e+00  3.05368e-10
6.157851012e+00  2.45628e-10
6.160416784e+00  1.92764e-10
6.162983624e+00  2.73276e-10
6.165551534e+00  3.06293e-10
6.168120514e+00  2.83122e-10
6.170690564e+00  2.87877e-10
6.173261685e+00  2.80664e-10
6.175833877e+00  2.92930e-10
6.178407141e+00  3.07516e-10
6.180981478e+00  3.04460e-10
6.183556887e+00  2.12059e-10
6.186133369e+00  1.40494e-10
6.188710924e+00  2.89593e-10
6.191289554e+00  3.14972e-10
6.193869258e+00  2.96899e-10
6.196450037e+00  2.72212e-10
6.199031891e+00  2.66475e-10
6.201614821e+00  2.40267e-10
6.204198827e+00  2.38396e-10
6.206783910e+00  2.33456e-10
6.209370070e+00  2.48859e-10
6.211957307e+00  2.67815e-10
6.214545623e+00  2.84582e-10
6.217135017e+00  2.42162e-10
6.219725490e+00  2.53718e-10
6.222317042e+00  2.78001e-10
6.224909674e+00  2.63326e-10
6.227503386e+00  2.05171e-10
6.230098180e+00  2.01668e-10
6.232694054e+00  2.07397e-10
6.235291010e+00  2.50704e-10
6.237889048e+00  2.89181e-10
6.240488168e+00  2.36305e-10
6.243088371e+00  2.46999e-10
6.245689658e+00  2.69694e-10
6.248292029e+00  2.14157e-10
6.250895484e+00  1.96621e-10
6.253500024e+00  1.95483e-10
6.256105649e+00  1.94159e-10
6.258712359e+00  1.93807e-10
6.261320156e+00  2.04679e-10
6.263929040e+00  2.63488e-10
6.266539010e+00  2.44203e-10
6.269150068e+00  2.65422e-10
6.271762214e+00  2.74250e-10
6.274375448e+00  2.35638e-10
6.276989771e+00  2.06185e-10
6.279605184e+00  2.14151e-10
6.282221686e+00  2.70967e-10
6.284839278e+00  2.17235e-10
6.287457961e+00  2.23909e-10
6.290077735e+00  2.98046e-10
6.292698601e+00  2.10618e-10
6.295320559e+00  1.89587e-10
6.297943609e+00  1.96798e-10
6.300567752e+00  1.98231e-10
6.303192989e+00  1.96994e-10
6.305819319e+00  2.00890e-10
6.308446744e+00  2.01430e-10
6.311075263e+00  2.04963e-10
6.313704878e+00  2.10134e-10
6.316335588e+00  2.29927e-10
6.318967395e+00  2.47891e-10
6.321600298e+00  2.26090e-10
6.324234298e+00  2.35838e-10
6.326869396e+00  2.47903e-10
6.329505591e+00  2.65449e-10
6.332142885e+00  2.87311e-10
6.334781278e+00  3.13553e-10
6.337420770e+00  3.17324e-10
6.340061362e+00  3.16080e-10
6.342703055e+00  2.16746e-10
6.345345848e+00  1.51336e-10
6.347989742e+00  3.14153e-10
6.350634737e+00  3.40147e-10
6.353280835e+00  3.25044e-10
6.355928036e+00  3.09310e-10
6.358576339e+00  3.12829e-10
6.361225746e+00  3.03897e-10
6.363876256e+00  3.21330e-10
6.366527872e+00  3.34955e-10
6.369180591e+00  2.08381e-10
6.371834417e+00  2.56450e-10
6.374489348e+00  2.65465e-10
6.377145385e+00  3.31703e-10
6.379802529e+00  3.06185e-10
6.382460780e+00  3.00574e-10
6.385120139e+00  3.20336e-10
6.387780605e+00  3.38736e-10
6.390442181e+00  2.07322e-10
6.393104865e+00  3.34380e-10
6.395768658e+00  3.26531e-10
6.398433562e+00  3.27723e-10
6.401099576e+00  3.39882e-10
6.403766701e+00  3.46264e-10
6.406434937e+00  3.09815e-10
6.409104285e+00  1.50890e-10
6.411774745e+00  1.95840e-10
6.414446318e+00  2.59310e-10
6.417119004e+00  1.26492e-10
6.419792803e+00  1.83880e-10
6.422467717e+00  2.66349e-10
6.425143745e+00  3.45892e-10
6.427820888e+00  3.52801e-10
6.430499147e+00  3.43658e-10
6.433178522e+00  2.14545e-10
6.435859013e+00  3.30485e-10
6.438540621e+00  3.43904e-10
6.441223346e+00  3.25562e-10
6.443907189e+00  3.23780e-10
6.446592150e+00  3.17559e-10
6.449278231e+00  3.46770e-10
6.451965430e+00  3.00257e-10
6.454653749e+00  3.10770e-10
6.457343188e+00  3.03702e-10
6.460033747e+00  3.03299e-10
6.462725428e+00  3.00453e-10
6.465418230e+00  3.16208e-10
6.468112155e+00  3.48483e-10
6.470807201e+00  2.58011e-10
6.473503371e+00  3.31275e-10
6.476200664e+00  3.60065e-10
6.478899081e+00  2.92828e-10
6.481598622e+00  3.50805e-10
6.484299288e+00  1.57041e-10
6.487001080e+00  2.66675e-10
6.489703997e+00  2.95561e-10
6.492408040e+00  1.95791e-10
6.495113210e+00  2.33247e-10
6.497819507e+00  1.70107e-10
6.500526932e+00  2.56063e-10
6.503235485e+00  3.56921e-10
6.505945167e+00  3.61767e-10
6.508655977e+00  3.51061e-10
6.511367917e+00  3.56464e-10
6.514080987e+00  3.54695e-10
6.516795187e+00  3.67147e-10
6.519510519e+00  1.91262e-10
6.522226982e+00  2.64525e-10
6.524944576e+00  3.49914e-10
6.527663303e+00  3.42435e-10
6.530383163e+00  3.46643e-10
6.533104156e+00  3.12758e-10
6.535826282e+00  3.06789e-10
6.538549543e+00  3.32711e-10
6.541273939e+00  2.96218e-10
6.543999470e+00  3.64356e-10
6.546726136e+00  3.19308e-10
6.549453939e+00  3.72890e-10
6.552182878e+00  3.71325e-10
6.554912954e+00  2.78811e-10
6.557644168e+00  3.34201e-10
6.560376520e+00  3.66835e-10
6.563110010e+00  3.60080e-10
6.565844639e+00  2.83214e-10
6.568580408e+00  2.77418e-10
6.571317316e+00  3.20189e-10
6.574055365e+00  1.80715e-10
6.576794555e+00  3.43416e-10
6.579534886e+00  2.91948e-10
6.582276359e+00  3.91386e-10
6.585018974e+00  3.69948e-10
6.587762732e+00  3.22815e-10
6.590507633e+00  2.73120e-10
6.593253678e+00  2.79036e-10
6.596000867e+00  3.50831e-10
6.598749200e+00  3.76890e-10
6.601498679e+00  3.34765e-10
6.604249304e+00  3.35966e-10
6.607001074e+00  3.22771e-10
6.609753991e+00  3.67863e-10
6.612508056e+00  2.89824e-10
6.615263267e+00  3.90111e-10
6.618019627e+00  3.49618e-10
6.620777135e+00  3.74218e-10
6.623535792e+00  3.27255e-10
6.626295599e+00  3.70948e-10
6.629056555e+00  2.89855e-10
6.631818662e+00  3.30610e-10
6.634581920e+00  1.89365e-10
6.637346329e+00  2.37130e-10
6.640111890e+00  2.75840e-10
6.642878603e+00  1.87530e-10
6.645646469e+00  3.88663e-10
6.648415489e+00  3.93262e-10
6.651185662e+00  3.69627e-10
6.653956989e+00  3.52770e-10
6.656729471e+00  3.51186e-10
6.659503109e+00  3.69294e-10
6.662277902e+00  3.58054e-10
6.665053851e+00  3.70257e-10
6.667830957e+00  3.85092e-10
6.670609219e+00  3.02412e-10
6.673388640e+00  2.99888e-10
6.676169219e+00  4.01722e-10
6.678950956e+00  3.94867e-10
6.681733852e+00  3.49414e-10
6.684517908e+00  2.01429e-10
6.687303124e+00  3.89358e-10
6.690089500e+00  3.58623e-10
6.692877037e+00  3.30559e-10
6.695665736e+00  3.27790e-10
6.698455597e+00  3.24586e-10
6.701246620e+00  3.34019e-10
6.704038806e+00  3.77410e-10
6.706832155e+00  2.98807e-10
6.709626669e+00  3.76532e-10
6.712422347e+00  2.99142e-10
6.715219189e+00  3.65151e-10
6.718017197e+00  3.94207e-10
6.720816371e+00  3.78523e-10
6.723616711e+00  2.96089e-10
6.726418218e+00  3.73813e-10
6.729220892e+00  3.63485e-10
6.732024734e+00  3.05339e-10
6.734829745e+00  3.01523e-10
6.737635924e+00  2.91221e-10
6.740443272e+00  2.60362e-10
6.743251790e+00  2.61044e-10
6.746061478e+00  2.81035e-10
6.748872337e+00  3.70091e-10
6.751684367e+00  3.61343e-10
6.754497569e+00  3.14387e-10
