# Simulation:  C:\Users\dgatl_000\OneDrive - UCB-O365\Senior_1\GatlinPSG\ModelFiles\trappist1e_1.5barN2_0.2barCO2_aqua
# TRAPPIST-1 e, 0.88% N2, 0.12% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.7097475           #290.5566562         #0.0000000           #29.8823529          #180.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       61471.2467671           0.0009559         177.8803645           0.8823494       1.1764658E-01       0.0000000E+00       4.0555535E-06       0.0000000E+00       9.1778832E-10              14.000               6.318
    1       59660.2330057           0.0012448         178.0154352           0.8823495       1.1764660E-01       0.0000000E+00       3.8650360E-06       0.0000000E+00       4.6904384E-09              14.000               6.379
    2       57881.7881493           0.0016128         178.5563337           0.8823497       1.1764662E-01       0.0000000E+00       3.7083573E-06       0.0000000E+00       6.9714004E-09              14.000               6.490
    3       56131.2887469           0.0020793         179.4539345           0.8823497       1.1764663E-01       0.0000000E+00       3.6800167E-06       0.0000000E+00       7.5879199E-09              14.000               6.631
    4       54403.8313553           0.0026674         180.8412894           0.8823496       1.1764661E-01       0.0000000E+00       3.8001372E-06       0.0000000E+00       7.6722755E-09              14.000               6.892
    5       52694.8657915           0.0034049         182.7332531           0.8823493       1.1764658E-01       0.0000000E+00       4.0981332E-06       0.0000000E+00       7.8116727E-09              14.000               7.398
    6       51001.2696999           0.0043246         184.9769411           0.8823490       1.1764653E-01       0.0000000E+00       4.5042909E-06       0.0000000E+00       7.3359258E-09              14.000               8.206
    7       49322.3681935           0.0054654         187.2489505           0.8823486       1.1764649E-01       0.0000000E+00       4.8755109E-06       0.0000000E+00       5.8786012E-09              14.000               9.228
    8       47660.5042486           0.0068729         189.2179620           0.8823485       1.1764647E-01       0.0000000E+00       5.0431587E-06       0.0000000E+00       4.1806694E-09              14.000              10.247
    9       46020.1409431           0.0085997         190.6869092           0.8823485       1.1764647E-01       0.0000000E+00       5.0101972E-06       0.0000000E+00       3.2089863E-09              14.000              11.072
   10       44405.8544250           0.0107070         191.7004197           0.8823486       1.1764648E-01       0.0000000E+00       4.8891841E-06       0.0000000E+00       3.0016657E-09              14.000              11.661
   11       42820.5303152           0.0132648         192.5318650           0.8823487       1.1764649E-01       0.0000000E+00       4.7970130E-06       0.0000000E+00       2.8620374E-09              14.000              12.157
   12       41264.6161428           0.0163518         193.5326936           0.8823487       1.1764649E-01       0.0000000E+00       4.7957069E-06       0.0000000E+00       2.3822827E-09              14.000              12.797
   13       39736.4475279           0.0200568         194.8905806           0.8823486       1.1764649E-01       0.0000000E+00       4.8673067E-06       0.0000000E+00       1.9851089E-09              14.000              13.744
   14       38234.1388119           0.0244790         196.4893234           0.8823486       1.1764648E-01       0.0000000E+00       4.9535081E-06       0.0000000E+00       1.3872910E-09              14.000              14.960
