# Simulation:  C:\Users\dgatl_000\OneDrive\College\Senior_1\Wolf\ModelFiles\trappist1e_1.5barN2_0.2barCO2_aqua
# TRAPPIST-1 e, 0.88% N2, 0.12% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.7098379           #291.5426583         #0.0609299           #29.8823529          #180.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       60921.7575733           0.0009559         177.0999335           0.8823494       1.1764659E-01       0.0000000E+00       3.9793787E-06       0.0000000E+00       9.8436475E-09              14.000               6.502
    1       59124.1093360           0.0012448         176.3914593           0.8823497       1.1764663E-01       0.0000000E+00       3.6228288E-06       0.0000000E+00       3.0788888E-08              14.000               6.405
    2       57364.6948981           0.0016128         176.2177367           0.8823500       1.1764667E-01       0.0000000E+00       3.3347963E-06       0.0000000E+00       3.5405112E-08              14.000               6.409
    3       55636.7066593           0.0020793         176.8538137           0.8823501       1.1764668E-01       0.0000000E+00       3.1919655E-06       0.0000000E+00       3.3926893E-08              14.000               6.495
    4       53932.8794787           0.0026674         178.1925212           0.8823501       1.1764668E-01       0.0000000E+00       3.2217571E-06       0.0000000E+00       3.2294544E-08              14.000               6.698
    5       52248.2058640           0.0034049         179.9973424           0.8823499       1.1764666E-01       0.0000000E+00       3.4087867E-06       0.0000000E+00       3.3326343E-08              14.000               7.095
    6       50580.3723770           0.0043246         182.0047341           0.8823497       1.1764663E-01       0.0000000E+00       3.6855567E-06       0.0000000E+00       3.4937065E-08              14.000               7.690
    7       48929.4130152           0.0054654         183.9664819           0.8823495       1.1764659E-01       0.0000000E+00       3.9524761E-06       0.0000000E+00       3.7166320E-08              14.000               8.393
    8       47297.4156196           0.0068729         185.6820611           0.8823493       1.1764658E-01       0.0000000E+00       4.1091983E-06       0.0000000E+00       3.9444906E-08              14.000               9.073
    9       45687.5993074           0.0085997         187.0776549           0.8823493       1.1764657E-01       0.0000000E+00       4.1656811E-06       0.0000000E+00       4.1422217E-08              14.000               9.641
   10       44102.7996590           0.0107070         188.2386903           0.8823492       1.1764657E-01       0.0000000E+00       4.1939381E-06       0.0000000E+00       3.9009516E-08              14.000              10.110
   11       42544.4434635           0.0132648         189.3715291           0.8823492       1.1764656E-01       0.0000000E+00       4.2582615E-06       0.0000000E+00       3.1386661E-08              14.000              10.595
   12       41012.3328229           0.0163518         190.7145789           0.8823491       1.1764654E-01       0.0000000E+00       4.3888410E-06       0.0000000E+00       2.3833712E-08              14.000              11.265
   13       39504.9287899           0.0200568         192.3765062           0.8823489       1.1764652E-01       0.0000000E+00       4.5492490E-06       0.0000000E+00       1.9051949E-08              14.000              12.234
   14       38020.7129598           0.0244790         194.2464324           0.8823488       1.1764651E-01       0.0000000E+00       4.6878589E-06       0.0000000E+00       1.4713934E-08              14.000              13.479
   15       36559.4612548           0.0297280         196.1467717           0.8823487       1.1764650E-01       0.0000000E+00       4.7890122E-06       0.0000000E+00       1.1764602E-08              14.000              14.885
   16       35122.1974928           0.0359233         197.9434667           0.8823486       1.1764649E-01       0.0000000E+00       4.8757693E-06       0.0000000E+00       8.4682486E-09              14.000              16.323
   17       33710.6496652           0.0431938         199.5711868           0.8823486       1.1764648E-01       0.0000000E+00       4.9512208E-06       0.0000000E+00       4.5862829E-09              14.000              17.707
   18       32326.6838672           0.0516775         201.0176897           0.8823485       1.1764647E-01       0.0000000E+00       5.0121257E-06       0.0000000E+00       2.3322314E-09              14.000              19.016
   19       30971.9192526           0.0615205         202.3235747           0.8823485       1.1764646E-01       0.0000000E+00       5.0789898E-06       8.5974543E-40       2.5751038E-09              14.000              20.285
   20       29646.8866223           0.0728745         203.7629684           0.8823484       1.1764645E-01       0.0000000E+00       5.1970847E-06       5.0777238E-30       5.5529199E-09              14.000              21.687
   21       27890.3490365           0.0909998         206.1037092           0.8823480       1.1764640E-01       0.0000000E+00       5.5654331E-06       2.2688022E-28       1.3458996E-08              14.000              23.743
   22       25845.8020979           0.1174853         209.2830895           0.8823470       1.1764627E-01       0.0000000E+00       6.7294724E-06       4.5899109E-27       5.7754101E-08              14.000              26.302
   23       23914.7779753           0.1489006         213.6428328           0.8823438       1.1764584E-01       0.0000000E+00       1.0399201E-05       4.3249183E-26       1.7694271E-07              14.000              30.022
   24       22066.2712498           0.1858591         219.0304370           0.8823339       1.1764452E-01       0.0000000E+00       2.1551036E-05       6.0944315E-24       4.5282577E-07              14.000              33.833
   25       20268.9390281           0.2293389         224.6589098           0.8823073       1.1764097E-01       0.0000000E+00       5.1757243E-05       4.7966297E-10       7.8513301E-07              14.000              37.311
   26       18504.5027337           0.2804906         230.1036040           0.8822490       1.1763320E-01       0.0000000E+00       1.1783968E-04       2.1066816E-07       1.5778948E-06              14.000              41.992
   27       16759.6326581           0.3406679         235.7357838           0.8821294       1.1761726E-01       0.0000000E+00       2.5332889E-04       1.5360401E-06       2.7046467E-06              14.000              52.004
   28       15020.4073235           0.4114634         242.2279464           0.8818933       1.1758581E-01       0.0000000E+00       5.2085080E-04       4.0284700E-06       3.2663404E-06              14.000              71.196
   29       13272.4876024           0.4947506         249.7579852           0.8814684       1.1752925E-01       0.0000000E+00       1.0023533E-03       8.1236481E-06       3.8613119E-06              14.000              99.583
   30       11503.6138559           0.5927337         258.1328498           0.8808056       1.1744115E-01       0.0000000E+00       1.7533001E-03       1.1673996E-05       3.1085318E-06              14.000             141.592
   31        9704.8573463           0.7080057         266.9973141           0.8798993       1.1732094E-01       0.0000000E+00       2.7797182E-03       1.3802528E-05       1.3324099E-06              14.000             187.062
   32        7871.3192731           0.8436173         275.8086364           0.8786106       1.1715046E-01       0.0000000E+00       4.2389611E-03       1.0961275E-05       1.6766216E-07              14.000             217.232
   33        6002.3417028           1.0031574         284.0274510           0.8769127       1.1692672E-01       0.0000000E+00       6.1605763E-03       8.8337700E-06       7.4528279E-09              14.000             237.098
   34        4265.6149958           1.1736852         290.5658097           0.8750260       1.1667923E-01       0.0000000E+00       8.2947911E-03       6.6775750E-06       4.8490516E-26              14.000             244.750
   35        2817.0085853           1.3347075         294.6837430           0.8737560       1.1651330E-01       0.0000000E+00       9.7307445E-03       5.7944793E-06       2.3121211E-28              14.000             245.795
   36        1676.2282881           1.4754535         296.1960901           0.8734515       1.1647360E-01       0.0000000E+00       1.0074925E-02       5.5190803E-06       1.3058601E-31              14.000             245.806
   37         851.3875192           1.5861394         295.6417664           0.8732383       1.1644581E-01       0.0000000E+00       1.0315908E-02       6.3029905E-06       2.0140868E-31              14.000             245.806
   38         343.7065921           1.6585965         293.8166219           0.8725175       1.1635200E-01       0.0000000E+00       1.1130508E-02       1.2070604E-05       3.1271392E-29              14.000             245.805
   39          84.2206749           1.6971100         292.5724368           0.8723059       1.1632449E-01       0.0000000E+00       1.1369660E-02       1.1312218E-05       1.5935678E-28              14.000             245.805
