# Simulation:  C:\Users\dgatl_000\OneDrive\College\Senior_1\Wolf\ModelFiles\trappist1e_10barN2_0.2barCO2_aqua
# TRAPPIST-1 e, 0.98% N2, 0.02% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#10.2960227          #358.0881256         #0.0000000           #28.3137255          #175.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       83402.1572937           0.0009559         179.5531042           0.9803913       1.9607827E-02       0.0000000E+00       8.4422531E-07       0.0000000E+00       2.9778358E-12              14.000               6.410
    1       81476.5030061           0.0012448         179.1996869           0.9803913       1.9607827E-02       0.0000000E+00       8.4539024E-07       0.0000000E+00       3.2617663E-11              14.000               6.360
    2       79591.0454257           0.0016128         178.9461485           0.9803913       1.9607827E-02       0.0000000E+00       8.4414132E-07       0.0000000E+00       2.0544128E-10              14.000               6.357
    3       77743.9750190           0.0020793         178.8480607           0.9803913       1.9607827E-02       0.0000000E+00       8.4137732E-07       0.0000000E+00       5.7729266E-10              14.000               6.382
    4       75933.6483096           0.0026674         178.8191816           0.9803913       1.9607827E-02       0.0000000E+00       8.3526828E-07       0.0000000E+00       9.7851891E-10              14.000               6.410
    5       74159.7469716           0.0034049         178.7570751           0.9803913       1.9607827E-02       0.0000000E+00       8.2414171E-07       0.0000000E+00       1.1919244E-09              14.000               6.420
    6       72422.0299348           0.0043246         178.7658402           0.9803914       1.9607827E-02       0.0000000E+00       8.0562716E-07       0.0000000E+00       1.1945203E-09              14.000               6.427
    7       70718.1007130           0.0054654         179.1683733           0.9803914       1.9607828E-02       0.0000000E+00       7.8782018E-07       0.0000000E+00       1.0909576E-09              14.000               6.500
    8       69043.0958938           0.0068729         180.2351490           0.9803914       1.9607828E-02       0.0000000E+00       7.6926709E-07       0.0000000E+00       9.2205707E-10              14.000               6.744
    9       67391.5249558           0.0085997         181.9491014           0.9803914       1.9607828E-02       0.0000000E+00       7.4858425E-07       0.0000000E+00       7.6049033E-10              14.000               7.249
   10       65759.6657879           0.0107070         184.0048916           0.9803914       1.9607829E-02       0.0000000E+00       7.4365936E-07       0.0000000E+00       6.2360082E-10              14.000               8.007
   11       64147.1801029           0.0132648         185.9896501           0.9803914       1.9607828E-02       0.0000000E+00       7.6867026E-07       0.0000000E+00       5.1928367E-10              14.000               8.884
   12       62557.2117729           0.0163518         187.5579632           0.9803914       1.9607827E-02       0.0000000E+00       8.2179759E-07       0.0000000E+00       4.5791704E-10              14.000               9.674
   13       60994.8136774           0.0200568         188.5228463           0.9803913       1.9607826E-02       0.0000000E+00       8.8961885E-07       0.0000000E+00       4.4558020E-10              14.000              10.192
   14       59465.2376693           0.0244790         188.8810769           0.9803912       1.9607824E-02       0.0000000E+00       9.6720916E-07       0.0000000E+00       5.2130506E-10              14.000              10.360
   15       57972.4989846           0.0297280         188.8607690           0.9803911       1.9607823E-02       0.0000000E+00       1.0489448E-06       0.0000000E+00       8.4676760E-10              14.000              10.280
   16       56518.2003808           0.0359233         188.8023675           0.9803911       1.9607821E-02       0.0000000E+00       1.1062502E-06       0.0000000E+00       2.0616041E-09              14.000              10.153
   17       55101.7389162           0.0431938         188.9291060           0.9803910       1.9607821E-02       0.0000000E+00       1.1487969E-06       0.0000000E+00       4.7360735E-09              14.000              10.118
   18       53721.9983027           0.0516775         189.1399977           0.9803910       1.9607820E-02       0.0000000E+00       1.1779042E-06       0.0000000E+00       6.7135129E-09              14.000              10.130
   19       52379.1417865           0.0615205         189.1585982           0.9803909       1.9607819E-02       0.0000000E+00       1.2530752E-06       7.6555199E-38       5.1868311E-09              14.000              10.052
   20       51074.8717824           0.0728745         188.8518185           0.9803909       1.9607817E-02       0.0000000E+00       1.3222027E-06       0.0000000E+00       6.3961081E-09              14.000               9.839
   21       45162.6676724           0.1556238         192.0169632           0.9803907       1.9607814E-02       0.0000000E+00       1.4661778E-06       1.7319107E-40       1.7003955E-09              14.000              11.593
   22       39403.0557240           0.3227603         196.9917966           0.9803906       1.9607812E-02       0.0000000E+00       1.5940994E-06       8.9677517E-32       3.2536327E-08              14.000              15.487
   23       35481.7592361           0.5196442         208.5139503           0.9803875       1.9607751E-02       0.0000000E+00       4.7242242E-06       2.5683550E-27       9.4633597E-08              14.000              26.645
   24       32240.8259435           0.7512678         224.0387852           0.9803630       1.9607261E-02       0.0000000E+00       2.9712832E-05       8.8514465E-13       1.9838356E-07              14.000              36.676
   25       29317.2675851           1.0237613         240.3498285           0.9802467       1.9604934E-02       0.0000000E+00       1.4838247E-04       1.9784279E-07       5.9740448E-07              14.000              55.337
   26       26564.3573465           1.3443353         256.2057534           0.9798050       1.9596106E-02       0.0000000E+00       5.9892859E-04       2.5494919E-06       3.4380658E-07              14.000             121.756
   27       23908.3092284           1.7214742         271.3728079           0.9787420       1.9574897E-02       0.0000000E+00       1.6830743E-03       3.2511036E-06       4.7540378E-09              14.000             222.900
   28       21306.7753946           2.1651591         285.7780941           0.9773322       1.9546838E-02       0.0000000E+00       3.1209769E-03       7.5914340E-07       8.3689160E-17              14.000             245.668
   29       18736.8132019           2.6871307         298.6973791           0.9749441       1.9499497E-02       0.0000000E+00       5.5563565E-03       2.2474037E-07       2.5587843E-29              14.000             245.803
   30       16179.1346057           3.3012033         311.8645251           0.9722054       1.9445491E-02       0.0000000E+00       8.3490902E-03       1.6085843E-08       9.7836609E-33              14.000             245.807
   31       13611.1935819           4.0236280         325.8140049           0.9701416       1.9404996E-02       0.0000000E+00       1.0453366E-02       2.0960156E-10       8.0123492E-37              14.000             245.800
   32       11018.6322486           4.8735232         339.1628040           0.9676424       1.9356186E-02       0.0000000E+00       1.3001364E-02       1.0256106E-11       4.4990905E-41              14.000             245.806
   33        8395.7044961           5.8733812         351.7955549           0.9639399       1.9284334E-02       0.0000000E+00       1.6775736E-02       1.3187023E-12       0.0000000E+00              14.000             245.810
   34        5968.6717570           6.9421009         362.9621773           0.9600053       1.9208571E-02       0.0000000E+00       2.0786156E-02       9.8850320E-15       0.0000000E+00              14.000             245.803
   35        3943.7937807           7.9512487         371.5961927           0.9562620       1.9137053E-02       0.0000000E+00       2.4600964E-02       9.8728913E-16       0.0000000E+00              14.000             245.806
   36        2344.1408934           8.8333221         376.9552787           0.9526019       1.9067647E-02       0.0000000E+00       2.8330499E-02       7.2789605E-15       0.0000000E+00              14.000             245.804
   37        1183.5419237           9.5270046         378.4360209           0.9495280       1.9009753E-02       0.0000000E+00       3.1462275E-02       3.1103236E-13       0.0000000E+00              14.000             245.802
   38         469.1230967           9.9811027         375.3672146           0.9493287       1.9006013E-02       0.0000000E+00       3.1665240E-02       1.9369174E-12       1.7498482E-29              14.000             245.803
   39         111.5867008          10.2193470         367.3475488           0.9316622       1.8680228E-02       0.0000000E+00       4.9657591E-02       4.1061082E-07       1.1559236E-27              14.000             245.804
