# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Synthesized on Sat Mar 16 23:13:34 2019
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Aerosols considered: Cloud,WaterIce
# Aerosols sources: White_GSFC[reff=1.0um 0.10-1000000.00um],CRISM_Wolff[reff=2.0um 0.31-99.57um]
# Aerosols opacities: 1,1
# Aerosols opacity units: scl,scl
# Aerosols sizes: 10,66.196
# Aerosols size units: um,um
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Wave/freq Total N2 CO2 H2O Cloud WaterIce CIA
5.000000000e+00  0.00000  1.00000  0.01993  0.00000  0.00009  0.02988  0.83374
5.002083333e+00  0.00000  1.00000  0.02442  0.00000  0.00009  0.03002  0.84982
5.004167535e+00  0.00000  1.00000  0.03584  0.00000  0.00009  0.03017  0.84563
5.006252605e+00  0.00000  1.00000  0.03728  0.00000  0.00009  0.03031  0.84681
5.008338543e+00  0.00000  1.00000  0.03497  0.00000  0.00009  0.03045  0.87555
5.010425351e+00  0.00000  1.00000  0.03562  0.00000  0.00009  0.03060  0.87414
5.012513028e+00  0.00000  1.00000  0.04218  0.00000  0.00009  0.03075  0.85690
5.014601575e+00  0.00000  1.00000  0.07074  0.00000  0.00009  0.03089  0.85979
5.016690992e+00  0.00000  1.00000  0.05661  0.00000  0.00009  0.03104  0.86268
5.018781280e+00  0.00000  1.00000  0.09167  0.00000  0.00009  0.03119  0.84730
5.020872439e+00  0.00000  1.00000  0.05479  0.00000  0.00009  0.03134  0.89495
5.022964469e+00  0.00000  1.00000  0.10662  0.00000  0.00009  0.03148  0.83907
5.025057371e+00  0.00000  1.00000  0.06193  0.00000  0.00009  0.03164  0.87519
5.027151145e+00  0.00000  1.00000  0.10435  0.00000  0.00009  0.03179  0.86872
5.029245792e+00  0.00000  1.00000  0.05105  0.00000  0.00009  0.03194  0.90118
5.031341311e+00  0.00000  1.00000  0.09466  0.00000  0.00009  0.03209  0.89547
5.033437703e+00  0.00000  1.00000  0.03292  0.00000  0.00009  0.03224  0.88350
5.035534969e+00  0.00000  1.00000  0.08363  0.00000  0.00009  0.03240  0.90269
5.037633108e+00  0.00000  1.00000  0.01794  0.00000  0.00009  0.03255  0.88650
5.039732122e+00  0.00000  1.00000  0.06922  0.00000  0.00009  0.03271  0.90143
5.041832010e+00  0.00000  1.00000  0.00684  0.00000  0.00009  0.03287  0.90401
5.043932774e+00  0.00000  1.00000  0.05282  0.00000  0.00009  0.03302  0.92112
5.046034412e+00 -0.00000  1.00000  0.00208 -0.00000  0.00009  0.03318  0.92076
5.048136927e+00  0.00000  1.00000  0.03560  0.00000  0.00009  0.03334  0.93497
5.050240317e+00  0.00000  1.00000  0.00761  0.00000  0.00009  0.03350  0.91653
5.052344584e+00  0.00000  1.00000  0.01616  0.00000  0.00009  0.03366  0.91285
5.054449727e+00  0.00000  1.00000  0.00433  0.00000  0.00009  0.03382  0.92236
5.056555748e+00  0.00000  1.00000  0.00963  0.00000  0.00009  0.03399  0.93538
5.058662646e+00  0.00000  1.00000  0.00134  0.00000  0.00009  0.03414  0.92842
5.060770422e+00  0.00000  1.00000  0.00570  0.00000  0.00009  0.03429  0.94470
5.062879077e+00  0.00000  1.00000  0.00021  0.00000  0.00009  0.03443  0.92822
5.064988610e+00  0.00000  1.00000  0.00276  0.00000  0.00009  0.03458  0.94543
5.067099022e+00 -0.00000  1.00000 -0.00008 -0.00000  0.00009  0.03473  0.93385
5.069210313e+00 -0.00000  1.00000  0.00122 -0.00000  0.00009  0.03488  0.94914
5.071322484e+00 -0.00000  1.00000 -0.00006 -0.00000  0.00009  0.03504  0.94148
5.073435535e+00 -0.00000  1.00000  0.00052 -0.00000  0.00009  0.03519  0.92648
5.075549466e+00  0.00000  1.00000  0.00005  0.00000  0.00009  0.03534  0.93156
5.077664279e+00  0.00000  1.00000  0.00018  0.00000  0.00009  0.03550  0.94398
5.079779972e+00  0.00000  1.00000  0.00004  0.00000  0.00009  0.03565  0.94424
5.081896547e+00  0.00000  1.00000  0.00010  0.00000  0.00009  0.03581  0.94669
5.084014004e+00  0.00000  1.00000  0.00001  0.00000  0.00009  0.03596  0.93700
5.086132343e+00  0.00000  1.00000  0.00006  0.00000  0.00009  0.03612  0.95546
5.088251565e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.03628  0.95183
5.090371670e+00  0.00000  1.00000  0.00004  0.00000  0.00009  0.03643  0.95960
5.092492658e+00  0.00000  1.00000 -0.00000  0.00000  0.00009  0.03659  0.96529
5.094614530e+00  0.00000  1.00000  0.00003  0.00000  0.00009  0.03675  0.96625
5.096737286e+00  0.00000  1.00000 -0.00000  0.00000  0.00009  0.03691  0.96964
5.098860926e+00  0.00000  1.00000  0.00003  0.00000  0.00009  0.03707  0.95681
5.100985452e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.03724  0.97165
5.103110862e+00  0.00000  1.00000  0.00002  0.00000  0.00009  0.03740  0.97836
5.105237159e+00  0.00000  1.00000  0.00001  0.00000  0.00009  0.03756  0.97720
5.107364341e+00  0.00000  1.00000  0.00003  0.00000  0.00009  0.03773  0.96554
5.109492409e+00  0.00000  1.00000  0.00001  0.00000  0.00009  0.03789  0.97371
5.111621364e+00  0.00000  1.00000  0.00007  0.00000  0.00009  0.03806  0.96574
5.113751207e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.03822  0.96160
5.115881936e+00  0.00000  1.00000  0.00022  0.00000  0.00009  0.03839  0.97205
5.118013554e+00  0.00000  1.00000 -0.00001  0.00000  0.00009  0.03856  0.97534
5.120146060e+00  0.00000  1.00000  0.00053  0.00000  0.00009  0.03873  0.99031
5.122279454e+00  0.00000  1.00000 -0.00006  0.00000  0.00009  0.03890  0.98828
5.124413737e+00  0.00000  1.00000  0.00017  0.00000  0.00009  0.03907  0.99453
5.126548909e+00  0.00000  1.00000  0.00207  0.00000  0.00009  0.03924  0.99352
5.128684971e+00  0.00000  1.00000  0.00834  0.00000  0.00009  0.03941  0.97597
5.130821923e+00  0.00000  1.00000  0.00846  0.00000  0.00009  0.03959  0.97080
5.132959766e+00  0.00000  1.00000  0.02583  0.00000  0.00009  0.03976  0.98636
5.135098499e+00  0.00000  1.00000  0.01307  0.00000  0.00009  0.03994  0.96719
5.137238123e+00  0.00000  1.00000  0.03853  0.00000  0.00009  0.04011  0.97880
5.139378639e+00  0.00000  1.00000  0.01069  0.00000  0.00009  0.04029  0.96549
5.141520047e+00  0.00000  1.00000  0.02844  0.00000  0.00009  0.04047  0.99189
5.143662347e+00  0.00000  1.00000  0.00373  0.00000  0.00009  0.04064  0.99064
5.145805540e+00  0.00000  1.00000  0.01021  0.00000  0.00009  0.04082  0.95446
5.147949625e+00  0.00000  1.00000 -0.00016  0.00000  0.00009  0.04100  0.93930
5.150094604e+00  0.00000  1.00000  0.00175  0.00000  0.00009  0.04119  0.94158
5.152240477e+00  0.00000  1.00000  0.00015  0.00000  0.00009  0.04137  0.97745
5.154387244e+00  0.00000  1.00000  0.00008  0.00000  0.00009  0.04155  0.97761
5.156534905e+00  0.00000  1.00000  0.00001  0.00000  0.00009  0.04172  0.97259
5.158683462e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04190  0.97553
5.160832913e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04207  0.98812
5.162983260e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04225  0.99454
5.165134503e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04243  0.99680
5.167286642e+00  0.00000  1.00000 -0.00000  0.00000  0.00009  0.04260  0.99058
5.169439679e+00  0.00000  1.00000 -0.00000  0.00000  0.00009  0.04278  0.98413
5.171593612e+00  0.00000  1.00000 -0.00000  0.00000  0.00009  0.04296  0.99615
5.173748442e+00  0.00000  1.00000 -0.00000  0.00000  0.00009  0.04314  0.99076
5.175904171e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04332  0.98989
5.178060798e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04350  0.99610
5.180218323e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04369  0.99890
5.182376747e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04387  0.99699
5.184536071e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04405  0.99359
5.186696294e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04424  0.98706
5.188857418e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04442  0.99631
5.191019442e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04461  0.99355
5.193182366e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04480  0.99519
5.195346192e+00  0.00000  1.00000 -0.00000  0.00000  0.00009  0.04499  0.98526
5.197510920e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04518  0.96209
5.199676550e+00  0.00000  1.00000 -0.00000  0.00000  0.00009  0.04537  0.95350
5.201843081e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04556  0.99399
5.204010516e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04575  0.98196
5.206178854e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04594  0.98202
5.208348095e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04613  0.97891
5.210518240e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04633  0.96934
5.212689289e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04652  0.94442
5.214861243e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04672  0.91199
5.217034102e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04692  0.95780
5.219207866e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04712  0.98865
5.221382536e+00  0.00000  1.00000 -0.00000  0.00000  0.00009  0.04732  0.98018
5.223558112e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04752  0.98626
5.225734595e+00  0.00000  1.00000 -0.00000  0.00000  0.00009  0.04772  0.98424
5.227911984e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04792  0.97565
5.230090281e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04812  0.98468
5.232269485e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04833  0.98018
5.234449597e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04853  0.97338
5.236630618e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04874  0.98430
5.238812547e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04894  0.98844
5.240995386e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04915  0.99698
5.243179134e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04936  0.98459
5.245363792e+00  0.00000  1.00000 -0.00000  0.00000  0.00009  0.04957  0.98286
5.247549360e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.04978  0.98153
5.249735839e+00  0.00000  1.00000 -0.00000  0.00000  0.00009  0.04999  0.99341
5.251923229e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05020  0.99960
5.254111531e+00  0.00000  1.00000 -0.00000  0.00000  0.00009  0.05041  0.97268
5.256300744e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05061  0.98420
5.258490869e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05080  0.99478
5.260681907e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05099  0.99420
5.262873858e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05118  0.98704
5.265066722e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05138  0.99584
5.267260500e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05157  0.99887
5.269455191e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05177  0.99582
5.271650798e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05197  0.99316
5.273847319e+00  0.00000  1.00000 -0.00000  0.00000  0.00009  0.05216  0.98668
5.276044755e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05236  0.97681
5.278243107e+00  0.00000  1.00000 -0.00000  0.00000  0.00009  0.05256  0.98383
5.280442375e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05276  0.97077
5.282642560e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05296  0.99336
5.284843661e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05316  0.98873
5.287045679e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05337  0.98132
5.289248615e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05357  0.95982
5.291452468e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05377  0.95403
5.293657240e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05398  0.95321
5.295862930e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05418  0.97755
5.298069540e+00  0.00000  1.00000 -0.00000  0.00000  0.00009  0.05439  0.97507
5.300277069e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05460  0.98382
5.302485518e+00  0.00000  1.00000 -0.00000  0.00000  0.00009  0.05481  0.99082
5.304694887e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05502  0.99267
5.306905176e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05523  0.99552
5.309116387e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05544  0.99771
5.311328519e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05565  0.99885
5.313541572e+00  0.00000  1.00000  0.00001  0.00000  0.00009  0.05586  0.99867
5.315755548e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05608  0.99651
5.317970446e+00  0.00000  1.00000  0.00000  0.00000  0.00009  0.05629  0.99862
5.320186267e+00  0.00000  1.00000  0.00011  0.00000  0.00009  0.05651  0.99314
5.322403011e+00  0.00000  1.00000  0.00009  0.00000  0.00009  0.05673  0.98424
5.324620679e+00  0.00000  1.00000  0.00046  0.00000  0.00009  0.05694  0.99479
5.326839271e+00  0.00000  1.00000  0.00022  0.00000  0.00009  0.05716  0.98729
5.329058787e+00  0.00000  1.00000  0.00100  0.00000  0.00009  0.05738  0.99749
5.331279229e+00  0.00000  1.00000  0.00048  0.00000  0.00009  0.05760  0.99638
5.333500595e+00  0.00000  1.00000  0.00145  0.00000  0.00009  0.05782  0.98126
5.335722887e+00  0.00000  1.00000  0.00109  0.00000  0.00009  0.05805  0.99740
5.337946105e+00  0.00000  1.00000  0.00171  0.00000  0.00009  0.05827  0.98869
5.340170249e+00  0.00000  1.00000  0.00156  0.00000  0.00009  0.05849  0.97599
5.342395320e+00  0.00000  1.00000  0.00279  0.00000  0.00009  0.05872  0.96759
5.344621318e+00  0.00000  1.00000  0.00210  0.00000  0.00009  0.05894  0.95176
5.346848244e+00  0.00000  1.00000  0.00367  0.00000  0.00009  0.05917  0.87918
5.349076097e+00  0.00000  1.00000  0.00218  0.00000  0.00009  0.05940  0.88396
5.351304879e+00  0.00000  1.00000  0.00440  0.00000  0.00009  0.05963  0.86575
5.353534589e+00  0.00000  1.00000  0.00225  0.00000  0.00009  0.05986  0.88443
5.355765228e+00  0.00000  1.00000  0.00538  0.00000  0.00009  0.06008  0.86586
5.357996797e+00  0.00000  1.00000  0.00194  0.00000  0.00009  0.06028  0.92298
5.360229296e+00  0.00000  1.00000  0.00602  0.00000  0.00009  0.06048  0.93826
5.362462725e+00  0.00000  1.00000  0.00192  0.00000  0.00009  0.06068  0.94746
5.364697084e+00  0.00000  1.00000  0.00581  0.00000  0.00009  0.06088  0.91280
5.366932375e+00  0.00000  1.00000  0.00245  0.00000  0.00009  0.06108  0.93778
5.369168597e+00  0.00000  1.00000  0.00732  0.00000  0.00009  0.06129  0.93741
5.371405750e+00  0.00000  1.00000  0.00240  0.00000  0.00009  0.06149  0.91566
5.373643836e+00  0.00000  1.00000  0.00967  0.00000  0.00009  0.06169  0.94838
5.375882854e+00  0.00000  1.00000  0.00199  0.00000  0.00009  0.06190  0.92424
5.378122805e+00  0.00000  1.00000  0.01221  0.00000  0.00009  0.06210  0.93103
5.380363690e+00  0.00000  1.00000  0.00139  0.00000  0.00009  0.06231  0.94829
5.382605508e+00  0.00000  1.00000  0.01732  0.00000  0.00008  0.06252  0.92620
5.384848260e+00  0.00000  1.00000  0.00089  0.00000  0.00008  0.06272  0.90844
5.387091947e+00  0.00000  1.00000  0.02442  0.00000  0.00008  0.06293  0.92145
5.389336569e+00  0.00000  1.00000 -0.00001  0.00000  0.00008  0.06314  0.90263
5.391582126e+00  0.00000  1.00000  0.02165  0.00000  0.00008  0.06335  0.89680
5.393828618e+00  0.00000  1.00000  0.01765  0.00000  0.00008  0.06356  0.86473
5.396076047e+00  0.00000  1.00000  0.02835  0.00000  0.00008  0.06377  0.84076
5.398324412e+00  0.00000  1.00000  0.02336  0.00000  0.00008  0.06398  0.81383
5.400573714e+00  0.00000  1.00000  0.04158  0.00000  0.00008  0.06420  0.76971
5.402823953e+00  0.00000  1.00000  0.02901  0.00000  0.00008  0.06441  0.75453
5.405075129e+00  0.00000  1.00000  0.06263  0.00000  0.00008  0.06463  0.69031
5.407327244e+00  0.00000  1.00000  0.03683  0.00000  0.00008  0.06484  1.01741
5.409580297e+00  0.00000  1.00000  0.09018  0.00000  0.00008  0.06506  1.00000
5.411834289e+00  0.00000  1.00000  0.04461  0.00000  0.00008  0.06527  1.00000
5.414089220e+00  0.00000  1.00000  0.13113  0.00000  0.00008  0.06549  1.00000
5.416345090e+00  0.00000  1.00000  0.05491  0.00000  0.00008  0.06571  1.00000
5.418601901e+00  0.00000  1.00000  0.12059  0.00000  0.00008  0.06593  1.00000
5.420859652e+00  0.00000  1.00000  0.17257  0.00000  0.00008  0.06615  1.00000
5.423118343e+00  0.00000  1.00000  0.13804  0.00000  0.00008  0.06637  1.00000
5.425377976e+00  0.00000  1.00000  0.21330  0.00000  0.00008  0.06659  1.00000
5.427638550e+00  0.00000  1.00000  0.18709  0.00000  0.00008  0.06682  1.00000
5.429900066e+00  0.00000  1.00000  0.26407  0.00000  0.00008  0.06704  1.00000
5.432162524e+00  0.00000  1.00000  0.24981  0.00000  0.00008  0.06726  1.00000
5.434425925e+00  0.00000  1.00000  0.31692  0.00000  0.00008  0.06749  1.00000
5.436690269e+00  0.00000  1.00000  0.32561  0.00000  0.00008  0.06771  1.00000
5.438955557e+00  0.00000  1.00000  0.36229  0.00000  0.00008  0.06794  1.00000
5.441221789e+00  0.00000  1.00000  0.40320  0.00000  0.00008  0.06817  1.00000
5.443488964e+00  0.00000  1.00000  0.41078  0.00000  0.00008  0.06840  1.00000
5.445757085e+00  0.00000  1.00000  0.44977  0.00000  0.00008  0.06863  1.00000
5.448026150e+00  0.00000  1.00000  0.53041  0.00000  0.00008  0.06886  1.00000
5.450296161e+00  0.00000  1.00000  0.49053  0.00000  0.00008  0.06909  1.00000
5.452567118e+00  0.00000  1.00000  0.57791  0.00000  0.00008  0.06932  1.00000
5.454839021e+00  0.00000  1.00000  0.54420  0.00000  0.00008  0.06955  1.00000
5.457111870e+00  0.00000  1.00000  0.62974  0.00000  0.00008  0.06979  1.00000
5.459385667e+00  0.00000  1.00000  0.58490  0.00000  0.00008  0.07001  1.00000
5.461660411e+00  0.00000  1.00000  0.67396  0.00000  0.00008  0.07020  1.00000
5.463936103e+00  0.00000  1.00000  0.62112  0.00000  0.00008  0.07039  1.00000
5.466212743e+00  0.00000  1.00000  0.70976  0.00000  0.00008  0.07059  1.00000
5.468490331e+00  0.00000  1.00000  0.65093  0.00000  0.00008  0.07078  1.00000
5.470768869e+00  0.00000  1.00000  0.73315  0.00000  0.00008  0.07097  1.00000
5.473048356e+00  0.00000  1.00000  0.69351  0.00000  0.00008  0.07117  1.00000
5.475328793e+00  0.00000  1.00000  0.75436  0.00000  0.00008  0.07136  1.00000
5.477610180e+00  0.00000  1.00000  0.70281  0.00000  0.00008  0.07156  1.00000
5.479892518e+00  0.00000  1.00000  0.76508  0.00000  0.00008  0.07176  1.00000
5.482175806e+00  0.00000  1.00000  0.71854  0.00000  0.00008  0.07195  1.00000
5.484460046e+00  0.00000  1.00000  0.77948  0.00000  0.00008  0.07215  1.00000
5.486745238e+00  0.00000  1.00000  0.73874  0.00000  0.00008  0.07235  1.00000
5.489031382e+00  0.00000  1.00000  0.78540  0.00000  0.00008  0.07255  1.00000
5.491318478e+00  0.00000  1.00000  0.76362  0.00000  0.00008  0.07275  1.00000
5.493606527e+00  0.00000  1.00000  0.78573  0.00000  0.00008  0.07295  1.00000
5.495895530e+00  0.00000  1.00000  0.77550  0.00000  0.00008  0.07315  1.00000
5.498185487e+00  0.00000  1.00000  0.76803  0.00000  0.00008  0.07335  1.00000
5.500476397e+00  0.00000  1.00000  0.79261  0.00000  0.00008  0.07355  1.00000
5.502768262e+00  0.00000  1.00000  0.79674  0.00000  0.00008  0.07375  1.00000
5.505061082e+00  0.00000  1.00000  0.81731  0.00000  0.00008  0.07396  1.00000
5.507354858e+00  0.00000  1.00000  0.81445  0.00000  0.00008  0.07416  1.00000
5.509649589e+00  0.00000  1.00000  0.82960  0.00000  0.00008  0.07436  1.00000
5.511945276e+00  0.00000  1.00000  0.83821  0.00000  0.00008  0.07457  1.00000
5.514241920e+00  0.00000  1.00000  0.83752  0.00000  0.00008  0.07478  1.00000
5.516539521e+00  0.00000  1.00000  0.86479  0.00000  0.00008  0.07498  1.00000
5.518838079e+00  0.00000  1.00000  0.84262  0.00000  0.00008  0.07519  1.00000
5.521137595e+00  0.00000  1.00000  0.88225  0.00000  0.00008  0.07540  1.00000
5.523438069e+00  0.00000  1.00000  0.85455  0.00000  0.00008  0.07561  1.00000
5.525739502e+00  0.00000  1.00000  0.89159  0.00000  0.00008  0.07581  1.00000
5.528041893e+00  0.00000  1.00000  0.88228  0.00000  0.00008  0.07602  1.00000
5.530345244e+00  0.00000  1.00000  0.89408  0.00000  0.00008  0.07623  1.00000
5.532649554e+00  0.00000  1.00000  0.90145  0.00000  0.00008  0.07645  1.00000
5.534954825e+00  0.00000  1.00000  0.90196  0.00000  0.00008  0.07666  1.00000
5.537261056e+00  0.00000  1.00000  0.92207  0.00000  0.00008  0.07687  1.00000
5.539568248e+00  0.00000  1.00000  0.90804  0.00000  0.00008  0.07708  1.00000
5.541876402e+00  0.00000  1.00000  0.93944  0.00000  0.00008  0.07730  1.00000
5.544185517e+00  0.00000  1.00000  0.91605  0.00000  0.00008  0.07751  1.00000
5.546495594e+00  0.00000  1.00000  0.94916  0.00000  0.00008  0.07773  1.00000
5.548806634e+00  0.00000  1.00000  0.93272  0.00000  0.00008  0.07794  1.00000
5.551118637e+00  0.00000  1.00000  0.95098  0.00000  0.00008  0.07816  1.00000
