# Simulation:  C:\Users\dgatl_000\OneDrive\College\Senior_1\Wolf\ModelFiles\trappist1e_10barN2_0.2barCO2_aqua
# TRAPPIST-1 e, 0.98% N2, 0.02% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#10.3068905          #358.1387713         #0.0201340           #28.3137255          #180.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       82426.4289311           0.0009559         175.4637227           0.9803913       1.9607827E-02       0.0000000E+00       8.4678024E-07       0.0000000E+00       3.3056848E-10              14.000               6.357
    1       80548.1735674           0.0012448         174.5048620           0.9803913       1.9607827E-02       0.0000000E+00       8.3727131E-07       0.0000000E+00       2.1443466E-09              14.000               6.254
    2       78714.8521786           0.0016128         173.6658053           0.9803914       1.9607827E-02       0.0000000E+00       8.1100928E-07       0.0000000E+00       8.6721224E-09              14.000               6.206
    3       76924.0152683           0.0020793         173.1030160           0.9803914       1.9607828E-02       0.0000000E+00       7.6597372E-07       0.0000000E+00       1.6724823E-08              14.000               6.203
    4       75172.9113574           0.0026674         172.7279679           0.9803915       1.9607829E-02       0.0000000E+00       7.1738438E-07       0.0000000E+00       2.1253230E-08              14.000               6.216
    5       73459.9186879           0.0034049         172.4659575           0.9803915       1.9607830E-02       0.0000000E+00       6.7154692E-07       0.0000000E+00       2.1845666E-08              14.000               6.227
    6       71783.2489937           0.0043246         172.4459361           0.9803915       1.9607831E-02       0.0000000E+00       6.3190242E-07       0.0000000E+00       2.0284204E-08              14.000               6.246
    7       70139.3663583           0.0054654         172.8949842           0.9803916       1.9607831E-02       0.0000000E+00       6.0541121E-07       0.0000000E+00       1.8013558E-08              14.000               6.309
    8       68523.4341018           0.0068729         173.9284211           0.9803916       1.9607832E-02       0.0000000E+00       5.8575937E-07       0.0000000E+00       1.5540627E-08              14.000               6.472
    9       66930.9828848           0.0085997         175.4446211           0.9803916       1.9607832E-02       0.0000000E+00       5.6643929E-07       0.0000000E+00       1.3420302E-08              14.000               6.781
   10       65359.3545352           0.0107070         177.1862670           0.9803916       1.9607832E-02       0.0000000E+00       5.5848675E-07       0.0000000E+00       1.1897338E-08              14.000               7.233
   11       63808.4496393           0.0132648         178.8654687           0.9803916       1.9607832E-02       0.0000000E+00       5.7172036E-07       0.0000000E+00       1.0695222E-08              14.000               7.750
   12       62280.4883366           0.0163518         180.2871191           0.9803916       1.9607831E-02       0.0000000E+00       6.0759720E-07       0.0000000E+00       9.9728074E-09              14.000               8.210
   13       60778.6004196           0.0200568         181.3842630           0.9803915       1.9607830E-02       0.0000000E+00       6.6285061E-07       0.0000000E+00       1.0171513E-08              14.000               8.510
   14       59305.5733268           0.0244790         182.2165548           0.9803914       1.9607829E-02       0.0000000E+00       7.3793287E-07       0.0000000E+00       1.2474912E-08              14.000               8.615
   15       57863.0492462           0.0297280         182.9791981           0.9803913       1.9607827E-02       0.0000000E+00       8.2847243E-07       0.0000000E+00       1.9898953E-08              14.000               8.594
   16       56451.0260395           0.0359233         183.8923359           0.9803913       1.9607825E-02       0.0000000E+00       9.2185212E-07       0.0000000E+00       3.4927049E-08              14.000               8.563
   17       55068.3504171           0.0431938         185.0624448           0.9803911       1.9607823E-02       0.0000000E+00       1.0363085E-06       0.0000000E+00       4.8966288E-08              14.000               8.643
   18       53713.8570663           0.0516775         186.4148155           0.9803910       1.9607820E-02       0.0000000E+00       1.1688984E-06       0.0000000E+00       4.6386512E-08              14.000               8.902
   19       52387.2977273           0.0615205         187.7923202           0.9803909       1.9607818E-02       0.0000000E+00       1.2990023E-06       4.9357251E-38       2.4432361E-08              14.000               9.391
   20       51090.7538556           0.0728745         188.7160062           0.9803908       1.9607817E-02       0.0000000E+00       1.3428692E-06       0.0000000E+00       1.6647073E-08              14.000               9.812
   21       45132.0514136           0.1557059         193.5222229           0.9803907       1.9607815E-02       0.0000000E+00       1.4405222E-06       3.8354541E-40       2.9125819E-09              14.000              12.729
   22       39285.5837442           0.3230209         201.3060631           0.9803906       1.9607812E-02       0.0000000E+00       1.5729001E-06       2.5001449E-33       3.0902820E-08              14.000              19.571
   23       35288.2336921           0.5201149         211.8608678           0.9803880       1.9607760E-02       0.0000000E+00       4.2244349E-06       4.9651624E-27       1.7419969E-07              14.000              29.051
   24       32018.5161594           0.7519857         224.5150766           0.9803664       1.9607329E-02       0.0000000E+00       2.6234993E-05       1.4335209E-11       2.6787919E-07              14.000              37.253
   25       29104.4875441           1.0247699         238.5302109           0.9802679       1.9605358E-02       0.0000000E+00       1.2675261E-04       1.9945829E-07       5.3391271E-07              14.000              52.712
   26       26379.1213145           1.3456860         253.3271936           0.9799282       1.9598568E-02       0.0000000E+00       4.7324095E-04       1.8148527E-06       3.5885657E-07              14.000             107.576
   27       23754.7268596           1.7232273         268.3728174           0.9790978       1.9581991E-02       0.0000000E+00       1.3202147E-03       2.3268638E-06       3.6393384E-08              14.000             201.062
   28       21182.9697606           2.1673856         282.8909298           0.9779408       1.9558941E-02       0.0000000E+00       2.5002205E-03       6.7384273E-07       2.2280472E-14              14.000             243.241
   29       18638.5397601           2.6899142         296.1907050           0.9759752       1.9519908E-02       0.0000000E+00       4.5049083E-03       3.0417878E-07       1.1099994E-28              14.000             245.807
   30       16102.7861696           3.3046420         309.4139568           0.9736315       1.9473573E-02       0.0000000E+00       6.8949760E-03       2.2070184E-08       1.0607624E-31              14.000             245.803
   31       13556.2717150           4.0278375         323.0692188           0.9711366       1.9424496E-02       0.0000000E+00       9.4389486E-03       9.2673647E-10       8.7657076E-36              14.000             245.805
   32       10984.6630365           4.8786397         336.5302135           0.9680761       1.9364637E-02       0.0000000E+00       1.2559312E-02       9.2367475E-11       3.4388375E-40              14.000             245.806
   33        8379.0707930           5.8795645         349.7741038           0.9644329       1.9293870E-02       0.0000000E+00       1.6273197E-02       3.0744414E-12       0.0000000E+00              14.000             245.806
   34        5962.9403985           6.9494245         361.7399186           0.9608078       1.9223975E-02       0.0000000E+00       1.9968210E-02       8.8742964E-15       0.0000000E+00              14.000             245.806
   35        3942.9826195           7.9596492         371.0394742           0.9572860       1.9156564E-02       0.0000000E+00       2.3557422E-02       1.8202544E-16       0.0000000E+00              14.000             245.808
   36        2344.8447758           8.8426638         376.8298799           0.9540656       1.9095343E-02       0.0000000E+00       2.6839007E-02       3.1976269E-15       0.0000000E+00              14.000             245.807
   37        1184.2729516           9.5370865         378.5666508           0.9511013       1.9039340E-02       0.0000000E+00       2.9859377E-02       1.8093430E-12       0.0000000E+00              14.000             245.799
   38         469.4493036           9.9916691         375.6588559           0.9507511       1.9032746E-02       0.0000000E+00       3.0216196E-02       5.6848967E-12       2.5829068E-29              14.000             245.803
   39         111.6385906          10.2301670         367.4610088           0.9325486       1.8696303E-02       0.0000000E+00       4.8755090E-02       4.0543956E-07       1.0005637E-27              14.000             245.801
