# Simulation:  C:\Users\dgatl_000\OneDrive\College\Senior_1\Wolf\ModelFiles\trappist1e_1barN2_0.1barCO2_aqua
# TRAPPIST-1 e, 0.91% N2, 0.09% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.1051205           #261.6428321         #0.0000000           #29.4545455          #175.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       57388.1306635           0.0009559         178.6957652           0.9090862       9.0908624E-02       0.0000000E+00       5.1355546E-06       0.0000000E+00       1.4651231E-09              14.000               6.356
    1       55543.6816158           0.0012448         178.7104655           0.9090866       9.0908660E-02       0.0000000E+00       4.7371321E-06       0.0000000E+00       5.9323951E-09              14.000               6.406
    2       53734.1534168           0.0016128         178.9126140           0.9090869       9.0908685E-02       0.0000000E+00       4.4617079E-06       0.0000000E+00       9.1260711E-09              14.000               6.476
    3       51956.7764015           0.0020793         179.3358936           0.9090870       9.0908699E-02       0.0000000E+00       4.3160360E-06       0.0000000E+00       1.2131869E-08              14.000               6.550
    4       50207.4001849           0.0026674         180.2456674           0.9090870       9.0908702E-02       0.0000000E+00       4.2758912E-06       0.0000000E+00       1.4460671E-08              14.000               6.709
    5       48480.8895470           0.0034049         181.7627330           0.9090869       9.0908688E-02       0.0000000E+00       4.4308009E-06       0.0000000E+00       1.4254448E-08              14.000               7.082
    6       46772.6140213           0.0043246         183.7992882           0.9090866       9.0908661E-02       0.0000000E+00       4.7277505E-06       0.0000000E+00       1.1690851E-08              14.000               7.766
    7       45080.0631938           0.0054654         186.0497100           0.9090863       9.0908631E-02       0.0000000E+00       5.0637098E-06       0.0000000E+00       8.7053342E-09              14.000               8.711
    8       43404.0122258           0.0068729         188.1490851           0.9090862       9.0908617E-02       0.0000000E+00       5.2139819E-06       0.0000000E+00       6.7356857E-09              14.000               9.742
    9       41748.0875510           0.0085997         189.8146058           0.9090862       9.0908621E-02       0.0000000E+00       5.1687372E-06       0.0000000E+00       5.9801056E-09              14.000              10.643
   10       40117.0807068           0.0107070         190.9560364           0.9090863       9.0908633E-02       0.0000000E+00       5.0392923E-06       0.0000000E+00       6.3162945E-09              14.000              11.284
   11       38515.1834774           0.0132648         191.7133484           0.9090864       9.0908645E-02       0.0000000E+00       4.9075412E-06       0.0000000E+00       6.5713356E-09              14.000              11.701
   12       36944.7030323           0.0163518         192.4003496           0.9090865       9.0908650E-02       0.0000000E+00       4.8510712E-06       0.0000000E+00       6.4150748E-09              14.000              12.085
   13       35405.2725321           0.0200568         193.3259596           0.9090864       9.0908644E-02       0.0000000E+00       4.9143331E-06       0.0000000E+00       6.4660592E-09              14.000              12.656
   14       33894.8675392           0.0244790         194.5728766           0.9090863       9.0908628E-02       0.0000000E+00       5.0920574E-06       0.0000000E+00       5.8725532E-09              14.000              13.505
   15       32412.1841840           0.0297280         195.9546615           0.9090861       9.0908607E-02       0.0000000E+00       5.3282572E-06       0.0000000E+00       4.4838574E-09              14.000              14.519
   16       30957.7686313           0.0359233         197.2604519           0.9090859       9.0908586E-02       0.0000000E+00       5.5567642E-06       0.0000000E+00       3.2449659E-09              14.000              15.536
   17       29533.0606693           0.0431938         198.5063899           0.9090856       9.0908565E-02       0.0000000E+00       5.7904272E-06       0.0000000E+00       2.3561349E-09              14.000              16.565
   18       28138.6994144           0.0516775         199.8797392           0.9090854       9.0908544E-02       0.0000000E+00       6.0143268E-06       0.0000000E+00       1.4128320E-09              14.000              17.797
   19       26774.0312461           0.0615205         201.4573543           0.9090853       9.0908527E-02       0.0000000E+00       6.1985250E-06       0.0000000E+00       1.3602442E-09              14.000              19.341
   20       25437.5761736           0.0728745         203.2707252           0.9090850       9.0908499E-02       0.0000000E+00       6.5148769E-06       0.0000000E+00       5.7868392E-09              14.000              21.207
   21       24075.8841131           0.0864491         205.5178136           0.9090843       9.0908432E-02       0.0000000E+00       7.2453208E-06       2.3427444E-39       1.9221646E-08              14.000              23.419
   22       22659.4869394           0.1030302         208.4325247           0.9090828       9.0908281E-02       0.0000000E+00       8.9137496E-06       2.1208246E-30       3.8108268E-08              14.000              26.037
   23       21220.3184611           0.1227935         212.0894228           0.9090793       9.0907934E-02       0.0000000E+00       1.2731619E-05       1.0588272E-27       5.2041808E-08              14.000              29.115
   24       19769.7311423           0.1460441         216.5883889           0.9090708       9.0907081E-02       0.0000000E+00       2.2111445E-05       1.4944397E-26       9.8770648E-08              14.000              32.405
   25       18299.3453905           0.1733972         221.9674982           0.9090509       9.0905090E-02       0.0000000E+00       4.4007774E-05       6.0764387E-21       2.1610689E-07              14.000              35.660
   26       16802.5152429           0.2055766         227.9247977           0.9090082       9.0900823E-02       0.0000000E+00       9.0950800E-05       4.4438161E-10       3.6167885E-07              14.000              39.634
   27       15275.7933057           0.2434341         233.9138883           0.9089304       9.0893043E-02       0.0000000E+00       1.7655852E-04       5.9424530E-08       7.6254255E-07              14.000              45.729
   28       13718.7234051           0.2879715         239.5940092           0.9087892       9.0878926E-02       0.0000000E+00       3.3191947E-04       7.5748056E-07       1.9059799E-06              14.000              57.182
   29       12131.9213910           0.3403674         245.0269124           0.9085406       9.0854096E-02       0.0000000E+00       6.0531323E-04       3.1890146E-06       3.1553622E-06              14.000              75.886
   30       10515.2805508           0.4020084         250.4476567           0.9081335       9.0813462E-02       0.0000000E+00       1.0530263E-03       1.0134992E-05       4.0499884E-06              14.000              99.806
   31        8867.3733208           0.4745259         256.0634838           0.9075538       9.0755668E-02       0.0000000E+00       1.6905003E-03       1.6847935E-05       2.7513883E-06              14.000             128.873
   32        7186.4203745           0.5598390         261.7608679           0.9068705       9.0687645E-02       0.0000000E+00       2.4418586E-03       1.6374560E-05       1.7262925E-06              14.000             163.398
