# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e
5.000000000e+00  4.29828e-11
5.002083333e+00  6.21617e-11
5.004167535e+00  4.16132e-11
5.006252605e+00  3.82475e-11
5.008338543e+00  4.01227e-11
5.010425351e+00  4.05949e-11
5.012513028e+00  3.73211e-11
5.014601575e+00  3.73811e-11
5.016690992e+00  6.30731e-11
5.018781280e+00  9.41045e-11
5.020872439e+00  9.63270e-11
5.022964469e+00  3.06743e-11
5.025057371e+00  3.89117e-11
5.027151145e+00  3.90406e-11
5.029245792e+00  7.13052e-11
5.031341311e+00  4.29420e-11
5.033437703e+00  4.12489e-11
5.035534969e+00  3.24302e-11
5.037633108e+00  4.17793e-11
5.039732122e+00  3.14656e-11
5.041832010e+00  4.32454e-11
5.043932774e+00  3.10726e-11
5.046034412e+00  4.52087e-11
5.048136927e+00  3.25571e-11
5.050240317e+00  4.17950e-11
5.052344584e+00  3.36437e-11
5.054449727e+00  4.49124e-11
5.056555748e+00  3.44035e-11
5.058662646e+00  4.92922e-11
5.060770422e+00  4.70145e-11
5.062879077e+00  5.02942e-11
5.064988610e+00  3.19370e-11
5.067099022e+00  5.31501e-11
5.069210313e+00  3.17874e-11
5.071322484e+00  5.81922e-11
5.073435535e+00  3.16821e-11
5.075549466e+00  5.23054e-11
5.077664279e+00  4.03467e-11
5.079779972e+00  6.14933e-11
5.081896547e+00  9.33259e-11
5.084014004e+00  7.95465e-11
5.086132343e+00  8.45093e-11
5.088251565e+00  6.74473e-11
5.090371670e+00  3.97545e-11
5.092492658e+00  6.92243e-11
5.094614530e+00  3.78463e-11
5.096737286e+00  7.26118e-11
5.098860926e+00  7.64608e-11
5.100985452e+00  6.52085e-11
5.103110862e+00  4.97011e-11
5.105237159e+00  6.45988e-11
5.107364341e+00  5.17800e-11
5.109492409e+00  6.84857e-11
5.111621364e+00  6.11618e-11
5.113751207e+00  7.45931e-11
5.115881936e+00  7.79223e-11
5.118013554e+00  6.99729e-11
5.120146060e+00  3.78929e-11
5.122279454e+00  7.56858e-11
5.124413737e+00  4.76627e-11
5.126548909e+00  5.89302e-11
5.128684971e+00  4.40105e-11
5.130821923e+00  5.27420e-11
5.132959766e+00  3.96424e-11
5.135098499e+00  5.13159e-11
5.137238123e+00  9.57826e-11
5.139378639e+00  8.63115e-11
5.141520047e+00  7.71216e-11
5.143662347e+00  6.25983e-11
5.145805540e+00  7.07537e-11
5.147949625e+00  1.33486e-10
5.150094604e+00  1.01921e-10
5.152240477e+00  6.96155e-11
5.154387244e+00  6.37597e-11
5.156534905e+00  6.90173e-11
5.158683462e+00  6.97456e-11
5.160832913e+00  7.68129e-11
5.162983260e+00  8.80171e-11
5.165134503e+00  9.28968e-11
5.167286642e+00  9.67613e-11
5.169439679e+00  5.55728e-11
5.171593612e+00  3.42678e-11
5.173748442e+00  1.69917e-11
5.175904171e+00  8.65011e-11
5.178060798e+00  9.86656e-11
5.180218323e+00  7.90200e-11
5.182376747e+00  8.40011e-11
5.184536071e+00  7.78198e-11
5.186696294e+00  8.30382e-11
5.188857418e+00  8.80134e-11
5.191019442e+00  8.23197e-11
5.193182366e+00  9.95118e-11
5.195346192e+00  7.97532e-11
5.197510920e+00  1.13983e-10
5.199676550e+00  7.72011e-11
5.201843081e+00  1.39243e-10
5.204010516e+00  9.07963e-11
5.206178854e+00  1.06269e-10
5.208348095e+00  8.70136e-11
5.210518240e+00  1.02951e-10
5.212689289e+00  6.01256e-11
5.214861243e+00  7.82748e-11
5.217034102e+00  8.16722e-11
5.219207866e+00  1.10128e-10
5.221382536e+00  8.56323e-11
5.223558112e+00  1.08938e-10
5.225734595e+00  8.69366e-11
5.227911984e+00  1.05957e-10
5.230090281e+00  1.00646e-10
5.232269485e+00  8.21518e-11
5.234449597e+00  1.19745e-10
5.236630618e+00  8.75956e-11
5.238812547e+00  1.16208e-10
5.240995386e+00  8.61101e-11
5.243179134e+00  1.16517e-10
5.245363792e+00  8.55068e-11
5.247549360e+00  1.19030e-10
5.249735839e+00  8.51227e-11
5.251923229e+00  1.33774e-10
5.254111531e+00  8.27798e-11
5.256300744e+00  8.93874e-11
5.258490869e+00  8.81008e-11
5.260681907e+00  9.56543e-11
5.262873858e+00  9.38058e-11
5.265066722e+00  9.65783e-11
5.267260500e+00  9.57785e-11
5.269455191e+00  9.72322e-11
5.271650798e+00  9.71869e-11
5.273847319e+00  1.02931e-10
5.276044755e+00  1.35332e-10
5.278243107e+00  1.06697e-10
5.280442375e+00  7.28213e-11
5.282642560e+00  8.78872e-11
5.284843661e+00  9.11096e-11
5.287045679e+00  8.15591e-11
5.289248615e+00  1.05471e-10
5.291452468e+00  1.42031e-10
5.293657240e+00  1.35215e-10
5.295862930e+00  8.56206e-11
5.298069540e+00  9.85919e-11
5.300277069e+00  7.15306e-11
5.302485518e+00  8.66086e-11
5.304694887e+00  9.50813e-11
5.306905176e+00  1.31325e-10
5.309116387e+00  6.85051e-11
5.311328519e+00  7.69059e-11
5.313541572e+00  7.27350e-11
5.315755548e+00  9.37735e-11
5.317970446e+00  7.64622e-11
5.320186267e+00  8.17560e-11
5.322403011e+00  7.33252e-11
5.324620679e+00  7.11474e-11
5.326839271e+00  6.85790e-11
5.329058787e+00  7.95780e-11
5.331279229e+00  7.02409e-11
5.333500595e+00  7.21025e-11
5.335722887e+00  6.97399e-11
5.337946105e+00  7.24314e-11
5.340170249e+00  8.39285e-11
5.342395320e+00  7.87051e-11
5.344621318e+00  1.13431e-10
5.346848244e+00  1.39883e-10
5.349076097e+00  1.57021e-10
5.351304879e+00  1.86246e-10
5.353534589e+00  1.55762e-10
5.355765228e+00  1.48773e-10
5.357996797e+00  1.63524e-10
5.360229296e+00  9.57553e-11
5.362462725e+00  8.72343e-11
5.364697084e+00  7.28470e-11
5.366932375e+00  7.88774e-11
5.369168597e+00  6.46012e-11
5.371405750e+00  9.14252e-11
5.373643836e+00  7.21791e-11
5.375882854e+00  9.11137e-11
5.378122805e+00  7.44848e-11
5.380363690e+00  1.28304e-10
5.382605508e+00  6.36815e-11
5.384848260e+00  7.32310e-11
5.387091947e+00  7.68813e-11
5.389336569e+00  7.09468e-11
5.391582126e+00  5.79039e-11
5.393828618e+00  6.90722e-11
5.396076047e+00  6.14117e-11
5.398324412e+00  9.07499e-11
5.400573714e+00  6.17359e-11
5.402823953e+00  7.07477e-11
5.405075129e+00  6.19491e-11
5.407327244e+00  8.02646e-11
5.409580297e+00  9.78407e-11
5.411834289e+00  1.81678e-10
5.414089220e+00  1.10762e-10
5.416345090e+00  1.13908e-10
5.418601901e+00  1.91998e-10
5.420859652e+00  1.68108e-10
5.423118343e+00  1.73035e-10
5.425377976e+00  1.73491e-10
5.427638550e+00  1.51510e-10
5.429900066e+00  1.00467e-10
5.432162524e+00  8.16045e-11
5.434425925e+00  7.52969e-11
5.436690269e+00  8.92582e-11
5.438955557e+00  7.84543e-11
5.441221789e+00  9.63398e-11
5.443488964e+00  2.01652e-10
5.445757085e+00  1.06738e-10
5.448026150e+00  8.08471e-11
5.450296161e+00  1.08270e-10
5.452567118e+00  8.05845e-11
5.454839021e+00  1.00534e-10
5.457111870e+00  9.33296e-11
5.459385667e+00  1.23183e-10
5.461660411e+00  1.85703e-10
5.463936103e+00  1.66707e-10
5.466212743e+00  2.20940e-10
5.468490331e+00  1.82930e-10
5.470768869e+00  1.31510e-10
5.473048356e+00  1.13642e-10
5.475328793e+00  1.40784e-10
5.477610180e+00  1.75343e-10
5.479892518e+00  2.01160e-10
5.482175806e+00  1.36261e-10
5.484460046e+00  1.00416e-10
5.486745238e+00  1.28530e-10
5.489031382e+00  1.10353e-10
5.491318478e+00  8.56067e-11
5.493606527e+00  7.15107e-11
5.495895530e+00  6.63753e-11
5.498185487e+00  6.73060e-11
5.500476397e+00  8.70870e-11
5.502768262e+00  9.98088e-11
5.505061082e+00  8.56346e-11
5.507354858e+00  7.75656e-11
5.509649589e+00  7.37152e-11
5.511945276e+00  7.21454e-11
5.514241920e+00  7.85923e-11
5.516539521e+00  1.15519e-10
5.518838079e+00  1.72511e-10
5.521137595e+00  1.70084e-10
5.523438069e+00  2.05568e-10
5.525739502e+00  1.48328e-10
5.528041893e+00  1.10542e-10
5.530345244e+00  1.33424e-10
5.532649554e+00  1.34871e-10
5.534954825e+00  9.11148e-11
5.537261056e+00  9.10506e-11
5.539568248e+00  1.61259e-10
5.541876402e+00  9.23105e-11
5.544185517e+00  9.19247e-11
5.546495594e+00  1.42458e-10
