# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Synthesized on Tue Mar 19 03:20:46 2019
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Aerosols considered: Cloud,WaterIce
# Aerosols sources: White_GSFC[reff=1.0um 0.10-1000000.00um],CRISM_Wolff[reff=2.0um 0.31-99.57um]
# Aerosols opacities: 1,1
# Aerosols opacity units: scl,scl
# Aerosols sizes: 10,55.836
# Aerosols size units: um,um
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Wave/freq Total N2 CO2 H2O Cloud WaterIce CIA
5.000000000e+00  0.00000  1.00000  0.19030  0.00003  0.00000  0.00012  0.99936
5.002083333e+00  0.00000  1.00000  0.21945  0.00001  0.00000  0.00012  0.99939
5.004167535e+00  0.00000  1.00000  0.21695  0.00000  0.00000  0.00013  0.99952
5.006252605e+00  0.00000  1.00000  0.26211  0.00001  0.00000  0.00013  0.99935
5.008338543e+00  0.00000  1.00000  0.16036  0.00001  0.00000  0.00013  0.99963
5.010425351e+00  0.00000  1.00000  0.16662  0.00000  0.00000  0.00013  0.99959
5.012513028e+00  0.00000  1.00000  0.14340  0.00000  0.00000  0.00013  0.99966
5.014601575e+00 -0.00000  1.00000  0.34134 -0.00000  0.00000  0.00013  0.99953
5.016690992e+00 -0.00000  1.00000  0.16189 -0.00000  0.00000  0.00013  0.99945
5.018781280e+00 -0.00000  1.00000  0.38118 -0.00000  0.00000  0.00014  0.99925
5.020872439e+00 -0.00000  1.00000  0.14868 -0.00000  0.00000  0.00014  0.99945
5.022964469e+00  0.00000  1.00000  0.41270  0.00000  0.00000  0.00014  0.99930
5.025057371e+00  0.00000  1.00000  0.21237  0.00000  0.00000  0.00014  0.99955
5.027151145e+00  0.00000  1.00000  0.42999  0.00000  0.00000  0.00014  0.99949
5.029245792e+00  0.00000  1.00000  0.18101  0.00000  0.00000  0.00014  0.99968
5.031341311e+00  0.00000  1.00000  0.43676  0.00000  0.00000  0.00015  0.99965
5.033437703e+00  0.00000  1.00000  0.13512  0.00000  0.00000  0.00015  0.99971
5.035534969e+00  0.00000  1.00000  0.44444  0.00000  0.00000  0.00015  0.99977
5.037633108e+00  0.00000  1.00000  0.09470  0.00006  0.00000  0.00015  0.99974
5.039732122e+00  0.00000  1.00000  0.45077  0.00050  0.00000  0.00015  0.99980
5.041832010e+00  0.00000  1.00000  0.06576  0.00214  0.00000  0.00016  0.99974
5.043932774e+00  0.00000  1.00000  0.46130  0.00200  0.00000  0.00016  0.99968
5.046034412e+00 -0.00000  1.00000  0.05873  0.00045  0.00000  0.00016  0.99970
5.048136927e+00  0.00000  1.00000  0.43148 -0.00005  0.00000  0.00016  0.99988
5.050240317e+00  0.00000  1.00000  0.14500  0.02128  0.00000  0.00016  0.99973
5.052344584e+00  0.00000  1.00000  0.30063  0.02060  0.00000  0.00017  0.99986
5.054449727e+00  0.00000  1.00000  0.10736  0.02303  0.00000  0.00017  0.99984
5.056555748e+00  0.00000  1.00000  0.28793  0.00486  0.00000  0.00017  0.99993
5.058662646e+00  0.00000  1.00000  0.06435  0.00055  0.00000  0.00017  0.99983
5.060770422e+00  0.00000  1.00000  0.29022  0.00003  0.00000  0.00017  0.99992
5.062879077e+00  0.00000  1.00000  0.02535  0.00208  0.00000  0.00018  0.99971
5.064988610e+00  0.00000  1.00000  0.21666  0.00663  0.00000  0.00018  0.99967
5.067099022e+00  0.00000  1.00000  0.01350  0.00650  0.00000  0.00018  0.99993
5.069210313e+00  0.00000  1.00000  0.17438  0.00069  0.00000  0.00018  0.99998
5.071322484e+00  0.00000  1.00000  0.01221  0.00042  0.00000  0.00018  0.99995
5.073435535e+00 -0.00000  1.00000  0.12921 -0.00006  0.00000  0.00019  0.99989
5.075549466e+00  0.00000  1.00000  0.02740  0.00000  0.00000  0.00019  0.99981
5.077664279e+00  0.00000  1.00000  0.07197  0.00000  0.00000  0.00019  0.99990
5.079779972e+00  0.00000  1.00000  0.01775  0.00000  0.00000  0.00019  0.99989
5.081896547e+00  0.00000  1.00000  0.06893  0.00000  0.00000  0.00019  0.99975
5.084014004e+00  0.00000  1.00000  0.00791  0.00000  0.00000  0.00020  0.99958
5.086132343e+00  0.00000  1.00000  0.05206  0.00000  0.00000  0.00020  0.99980
5.088251565e+00  0.00000  1.00000  0.00170  0.00000  0.00000  0.00020  0.99990
5.090371670e+00  0.00000  1.00000  0.04396  0.00000  0.00000  0.00020  0.99988
5.092492658e+00  0.00000  1.00000 -0.00176  0.00000  0.00000  0.00021  1.00000
5.094614530e+00  0.00000  1.00000  0.03656  0.00000  0.00000  0.00021  0.99997
5.096737286e+00 -0.00000  1.00000 -0.00357 -0.00000  0.00000  0.00021  0.99999
5.098860926e+00 -0.00000  1.00000  0.03324 -0.00000  0.00000  0.00021  0.99990
5.100985452e+00  0.00000  1.00000  0.00259  0.00000  0.00000  0.00021  0.99994
5.103110862e+00  0.00000  1.00000  0.02123  0.00001  0.00000  0.00022  0.99987
5.105237159e+00  0.00000  1.00000  0.00647  0.00001  0.00000  0.00022  0.99997
5.107364341e+00  0.00000  1.00000  0.01829  0.00000  0.00000  0.00022  0.99999
5.109492409e+00  0.00000  1.00000  0.00368  0.00000  0.00000  0.00022  0.99995
5.111621364e+00  0.00000  1.00000  0.02325  0.00000  0.00000  0.00023  0.99999
5.113751207e+00  0.00000  1.00000  0.00171  0.00000  0.00000  0.00023  0.99989
5.115881936e+00  0.00000  1.00000  0.04449 -0.00000  0.00000  0.00023  0.99995
5.118013554e+00  0.00000  1.00000 -0.00133  0.00000  0.00000  0.00024  0.99999
5.120146060e+00  0.00000  1.00000  0.07607  0.00000  0.00000  0.00024  0.99999
5.122279454e+00 -0.00000  1.00000 -0.01011  0.00001  0.00000  0.00024  0.99999
5.124413737e+00  0.00000  1.00000  0.00536  0.00001  0.00000  0.00024  1.00000
5.126548909e+00  0.00000  1.00000  0.06595  0.00000  0.00000  0.00025  1.00000
