# Simulation:  C:\Users\dgatl_000\OneDrive - UCB-O365\Senior_1\GatlinPSG\ModelFiles\trappist1e_1barN2_0.4barCO2_aqua
# TRAPPIST-1 e, 0.71% N2, 0.29% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.4086544           #302.9971897         #0.0517989           #32.5714286          #90.0000000          
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       56385.4497923           0.0009559         177.3693852           0.7142826       2.8571302E-01       0.0000000E+00       4.4170159E-06       0.0000000E+00       2.4531832E-09              14.000               6.317
    1       54721.7718801           0.0012448         177.3342461           0.7142828       2.8571313E-01       0.0000000E+00       4.0551327E-06       0.0000000E+00       1.7206846E-08              14.000               6.339
    2       53084.9238424           0.0016128         178.4686560           0.7142830       2.8571320E-01       0.0000000E+00       3.8022678E-06       0.0000000E+00       2.1972869E-08              14.000               6.559
    3       51466.0745306           0.0020793         180.4108156           0.7142830       2.8571320E-01       0.0000000E+00       3.8098763E-06       0.0000000E+00       2.0744232E-08              14.000               6.962
    4       49860.3564280           0.0026674         182.7151235           0.7142828       2.8571311E-01       0.0000000E+00       4.1184496E-06       0.0000000E+00       1.7922675E-08              14.000               7.588
    5       48266.9869749           0.0034049         185.0822872           0.7142823       2.8571293E-01       0.0000000E+00       4.7318814E-06       0.0000000E+00       1.5692482E-08              14.000               8.437
    6       46687.5131894           0.0043246         187.3603920           0.7142818       2.8571273E-01       0.0000000E+00       5.4421097E-06       0.0000000E+00       1.3952762E-08              14.000               9.439
    7       45124.5799776           0.0054654         189.3959458           0.7142814       2.8571256E-01       0.0000000E+00       6.0442552E-06       0.0000000E+00       1.3552483E-08              14.000              10.475
    8       43581.3575338           0.0068729         191.1155258           0.7142811       2.8571242E-01       0.0000000E+00       6.5204511E-06       0.0000000E+00       1.4153801E-08              14.000              11.443
    9       42060.4079348           0.0085997         192.5994296           0.7142807       2.8571229E-01       0.0000000E+00       6.9774352E-06       0.0000000E+00       1.5402368E-08              14.000              12.344
