# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e
5.000000000e+00  2.21789e-11
5.002083333e+00  3.08704e-11
5.004167535e+00  2.07081e-11
5.006252605e+00  1.97321e-11
5.008338543e+00  2.15905e-11
5.010425351e+00  2.18868e-11
5.012513028e+00  1.95991e-11
5.014601575e+00  1.89938e-11
5.016690992e+00  2.95925e-11
5.018781280e+00  4.15840e-11
5.020872439e+00  4.66341e-11
5.022964469e+00  1.42248e-11
5.025057371e+00  1.98678e-11
5.027151145e+00  1.80058e-11
5.029245792e+00  3.34114e-11
5.031341311e+00  2.02924e-11
5.033437703e+00  2.15978e-11
5.035534969e+00  1.62592e-11
5.037633108e+00  2.21024e-11
5.039732122e+00  1.60378e-11
5.041832010e+00  2.28667e-11
5.043932774e+00  1.60085e-11
5.046034412e+00  2.40531e-11
5.048136927e+00  1.60903e-11
5.050240317e+00  2.21885e-11
5.052344584e+00  1.72798e-11
5.054449727e+00  2.41586e-11
5.056555748e+00  1.77165e-11
5.058662646e+00  2.68546e-11
5.060770422e+00  2.21859e-11
5.062879077e+00  2.78431e-11
5.064988610e+00  1.64914e-11
5.067099022e+00  2.98287e-11
5.069210313e+00  1.59287e-11
5.071322484e+00  3.30607e-11
5.073435535e+00  1.55048e-11
5.075549466e+00  2.90991e-11
5.077664279e+00  2.08039e-11
5.079779972e+00  3.42213e-11
5.081896547e+00  4.68715e-11
5.084014004e+00  4.26528e-11
5.086132343e+00  4.02830e-11
5.088251565e+00  3.97459e-11
5.090371670e+00  2.04143e-11
5.092492658e+00  4.24201e-11
5.094614530e+00  1.94024e-11
5.096737286e+00  4.50501e-11
5.098860926e+00  3.53503e-11
5.100985452e+00  3.82418e-11
5.103110862e+00  2.70527e-11
5.105237159e+00  3.98044e-11
5.107364341e+00  2.82690e-11
5.109492409e+00  4.24601e-11
5.111621364e+00  3.15548e-11
5.113751207e+00  4.58158e-11
5.115881936e+00  3.88587e-11
5.118013554e+00  4.45652e-11
5.120146060e+00  1.99961e-11
5.122279454e+00  4.79518e-11
5.124413737e+00  2.49326e-11
5.126548909e+00  3.50090e-11
5.128684971e+00  2.40932e-11
5.130821923e+00  3.19103e-11
5.132959766e+00  2.18322e-11
5.135098499e+00  2.84461e-11
5.137238123e+00  4.80999e-11
5.139378639e+00  4.12945e-11
5.141520047e+00  3.80655e-11
5.143662347e+00  3.48582e-11
5.145805540e+00  3.07178e-11
5.147949625e+00  8.47654e-11
5.150094604e+00  4.09071e-11
5.152240477e+00  4.11485e-11
5.154387244e+00  3.79809e-11
5.156534905e+00  4.19835e-11
5.158683462e+00  4.25948e-11
5.160832913e+00  4.78777e-11
5.162983260e+00  5.46126e-11
5.165134503e+00  6.20400e-11
5.167286642e+00  7.09456e-11
5.169439679e+00  5.27509e-11
5.171593612e+00  3.35841e-11
5.173748442e+00  1.47779e-11
5.175904171e+00  6.87613e-11
5.178060798e+00  6.38703e-11
5.180218323e+00  4.72622e-11
5.182376747e+00  5.65570e-11
5.184536071e+00  4.70225e-11
5.186696294e+00  5.90478e-11
5.188857418e+00  5.31321e-11
5.191019442e+00  6.10114e-11
5.193182366e+00  6.05103e-11
5.195346192e+00  6.18542e-11
5.197510920e+00  6.89785e-11
5.199676550e+00  6.22412e-11
5.201843081e+00  8.83394e-11
5.204010516e+00  6.69491e-11
5.206178854e+00  7.40542e-11
5.208348095e+00  6.48602e-11
5.210518240e+00  7.56199e-11
5.212689289e+00  5.41464e-11
5.214861243e+00  6.50097e-11
5.217034102e+00  6.20768e-11
5.219207866e+00  7.67904e-11
5.221382536e+00  6.38963e-11
5.223558112e+00  7.69588e-11
5.225734595e+00  6.38110e-11
5.227911984e+00  7.57714e-11
5.230090281e+00  6.90358e-11
5.232269485e+00  6.65891e-11
5.234449597e+00  8.01852e-11
5.236630618e+00  6.99028e-11
5.238812547e+00  7.18886e-11
5.240995386e+00  6.98042e-11
5.243179134e+00  6.94067e-11
5.245363792e+00  6.99323e-11
5.247549360e+00  7.02190e-11
5.249735839e+00  7.05220e-11
5.251923229e+00  7.73294e-11
5.254111531e+00  6.94463e-11
5.256300744e+00  6.43052e-11
5.258490869e+00  5.76421e-11
5.260681907e+00  6.65282e-11
5.262873858e+00  5.84395e-11
5.265066722e+00  6.80367e-11
5.267260500e+00  5.82170e-11
5.269455191e+00  6.98471e-11
5.271650798e+00  6.86007e-11
5.273847319e+00  6.96493e-11
5.276044755e+00  7.65168e-11
5.278243107e+00  6.65484e-11
5.280442375e+00  3.91242e-11
5.282642560e+00  5.28106e-11
5.284843661e+00  5.75605e-11
5.287045679e+00  4.59690e-11
5.289248615e+00  6.24377e-11
5.291452468e+00  9.08345e-11
5.293657240e+00  7.95130e-11
5.295862930e+00  4.63916e-11
5.298069540e+00  6.22206e-11
5.300277069e+00  4.17485e-11
5.302485518e+00  5.36740e-11
5.304694887e+00  5.06466e-11
5.306905176e+00  7.76220e-11
5.309116387e+00  4.02750e-11
5.311328519e+00  4.74626e-11
5.313541572e+00  4.39753e-11
5.315755548e+00  6.15539e-11
5.317970446e+00  4.67345e-11
5.320186267e+00  5.00195e-11
5.322403011e+00  4.41514e-11
5.324620679e+00  4.50046e-11
5.326839271e+00  4.11328e-11
5.329058787e+00  4.79378e-11
5.331279229e+00  4.23878e-11
5.333500595e+00  4.52232e-11
5.335722887e+00  4.18240e-11
5.337946105e+00  4.32459e-11
5.340170249e+00  5.13744e-11
5.342395320e+00  4.33438e-11
5.344621318e+00  6.15824e-11
5.346848244e+00  6.71700e-11
5.349076097e+00  1.08704e-10
5.351304879e+00  9.70634e-11
5.353534589e+00  1.08380e-10
5.355765228e+00  6.72066e-11
5.357996797e+00  9.69511e-11
5.360229296e+00  4.35519e-11
5.362462725e+00  5.33856e-11
5.364697084e+00  4.07941e-11
5.366932375e+00  4.68622e-11
5.369168597e+00  3.87065e-11
5.371405750e+00  5.23935e-11
5.373643836e+00  4.11454e-11
5.375882854e+00  5.28099e-11
5.378122805e+00  4.14178e-11
5.380363690e+00  7.09397e-11
5.382605508e+00  3.62234e-11
5.384848260e+00  4.55217e-11
5.387091947e+00  4.24132e-11
5.389336569e+00  4.47978e-11
5.391582126e+00  3.57171e-11
5.393828618e+00  4.22786e-11
5.396076047e+00  3.69682e-11
5.398324412e+00  5.11093e-11
5.400573714e+00  3.69262e-11
5.402823953e+00  4.28753e-11
5.405075129e+00  3.66221e-11
