# Simulation:  C:\Users\dgatl_000\OneDrive\College\Senior_1\Wolf\ModelFiles\trappist1e_1barN2_aqua
# TRAPPIST-1 e, 1.00% N2, 0.00% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#1.0042166           #210.4143448         #0.0000000           #28.0000000          #175.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       55886.9725598           0.0009559         198.2839989           1.0000000       0.0000000E+00       0.0000000E+00       2.9619633E-08       0.0000000E+00       0.0000000E+00              14.000              16.160
    1       53748.3600683           0.0012448         195.8627714           1.0000000       0.0000000E+00       0.0000000E+00       3.1428331E-08       0.0000000E+00       0.0000000E+00              14.000              14.324
    2       51699.0397787           0.0016128         189.3195069           1.0000000       0.0000000E+00       0.0000000E+00       3.6198691E-08       0.0000000E+00       0.0000000E+00              14.000              10.209
    3       49735.5118648           0.0020793         186.7631870           1.0000000       0.0000000E+00       0.0000000E+00       4.1046304E-08       0.0000000E+00       0.0000000E+00              14.000               9.117
    4       47829.4844581           0.0026674         185.5292004           1.0000000       0.0000000E+00       0.0000000E+00       4.5255562E-08       0.0000000E+00       0.0000000E+00              14.000               8.540
    5       45962.6125467           0.0034049         186.4452888           1.0000000       0.0000000E+00       0.0000000E+00       4.8581171E-08       0.0000000E+00       0.0000000E+00              14.000               8.859
    6       44134.3739472           0.0043246         185.5315770           0.9999999       0.0000000E+00       0.0000000E+00       5.2483607E-08       0.0000000E+00       0.0000000E+00              14.000               8.301
    7       42344.6548464           0.0054654         186.2706240           0.9999999       0.0000000E+00       0.0000000E+00       5.5581873E-08       0.0000000E+00       0.0000000E+00              14.000               8.790
    8       40595.0235919           0.0068729         185.1909348           0.9999999       0.0000000E+00       0.0000000E+00       5.9335524E-08       0.0000000E+00       0.0000000E+00              14.000               8.508
    9       38886.0276543           0.0085997         185.6571070           0.9999999       0.0000000E+00       0.0000000E+00       6.2198552E-08       0.0000000E+00       0.0000000E+00              14.000               8.610
   10       37219.8235720           0.0107070         184.2067596           0.9999999       0.0000000E+00       0.0000000E+00       6.5882698E-08       0.0000000E+00       0.0000000E+00              14.000               7.980
   11       35600.6848520           0.0132648         183.5090331           0.9999999       0.0000000E+00       0.0000000E+00       6.8887082E-08       0.0000000E+00       0.0000000E+00              14.000               7.490
   12       34030.2322390           0.0163518         181.6830508           0.9999999       0.0000000E+00       0.0000000E+00       7.3714345E-08       0.0000000E+00       0.0000000E+00              14.000               6.763
   13       32510.0447620           0.0200568         180.4161004           0.9999999       0.0000000E+00       0.0000000E+00       7.9222063E-08       0.0000000E+00       0.0000000E+00              14.000               6.304
   14       31037.6640171           0.0244790         179.0471133           0.9999999       0.0000000E+00       0.0000000E+00       8.7713182E-08       0.0000000E+00       0.0000000E+00              14.000               6.097
   15       29609.1725817           0.0297280         178.6069314           0.9999999       0.0000000E+00       0.0000000E+00       9.6798181E-08       0.0000000E+00       9.1940575E-37              14.000               6.097
   16       28220.4739002           0.0359233         178.2458290           0.9999999       0.0000000E+00       0.0000000E+00       1.0818083E-07       0.0000000E+00       4.7665264E-32              14.000               6.096
   17       26869.5319908           0.0431938         178.3061013           0.9999999       0.0000000E+00       0.0000000E+00       1.1576858E-07       0.0000000E+00       1.9655865E-27              14.000               6.096
   18       25553.7095268           0.0516775         178.6481101           0.9999999       0.0000000E+00       0.0000000E+00       1.1638375E-07       0.0000000E+00       5.9663167E-23              14.000               6.166
   19       24277.2542202           0.0615205         177.5333642           0.9999999       0.0000000E+00       0.0000000E+00       1.1006423E-07       0.0000000E+00       1.9641008E-18              14.000               6.297
   20       23052.9724737           0.0728745         174.0236907           0.9999999       0.0000000E+00       0.0000000E+00       8.7095408E-08       0.0000000E+00       6.8412820E-10              14.000               6.350
   21       21888.5247705           0.0856875         175.4649240           0.9999999       0.0000000E+00       0.0000000E+00       9.6857398E-08       0.0000000E+00       5.4482564E-09              14.000               6.503
   22       20719.5481159           0.1006112         178.4251467           0.9999999       0.0000000E+00       0.0000000E+00       1.3259025E-07      -1.1690096E-55       2.3632110E-08              14.000               6.804
   23       19508.4165098           0.1184246         182.7441450           0.9999998       0.0000000E+00       0.0000000E+00       2.1237084E-07       0.0000000E+00       4.8236838E-08              14.000               7.570
   24       18265.8397946           0.1393812         187.9816227           0.9999996       0.0000000E+00       0.0000000E+00       4.0912791E-07       0.0000000E+00       7.7523027E-08              14.000               9.696
   25       16986.9688524           0.1640356         193.7452435           0.9999992       0.0000000E+00       0.0000000E+00       8.3541822E-07      -6.6613304E-50       9.2445774E-08              14.000              13.150
   26       15668.1922312           0.1930401         200.0301278           0.9999981       0.0000000E+00       0.0000000E+00       1.9458547E-06       1.0247433E-33       8.3043520E-08              14.000              17.923
   27       14305.7336771           0.2271625         206.8662944           0.9999954       0.0000000E+00       0.0000000E+00       4.5904021E-06       1.8655408E-27       5.3956107E-08              14.000              24.514
   28       12895.8511819           0.2673057         214.2684682           0.9999882       0.0000000E+00       0.0000000E+00       1.1809830E-05       3.8724048E-25       2.9068311E-08              14.000              31.369
   29       11438.4346323           0.3145321         221.2064004           0.9999730       0.0000000E+00       0.0000000E+00       2.7019113E-05       2.2050165E-25       5.9622908E-08              14.000              34.991
   30        9936.8737183           0.3700914         227.5802434           0.9999440       0.0000000E+00       0.0000000E+00       5.6002502E-05       1.2671370E-22       9.5114299E-08              14.000              38.926
   31        8391.9972406           0.4354541         234.2742425           0.9999052       0.0000000E+00       0.0000000E+00       9.4818219E-05       4.3697878E-09       9.1168216E-08              14.000              45.085
   32        6802.7702489           0.5123500         240.9618256           0.9998423       0.0000000E+00       0.0000000E+00       1.5772898E-04       1.3559739E-08       1.9029104E-07              14.000              60.962
   33        5172.3053895           0.6028140         246.7246195           0.9996963       0.0000000E+00       0.0000000E+00       3.0374217E-04       9.0692324E-08       5.2008896E-07              14.000              84.212
   34        3651.7745081           0.6995085         250.7230313           0.9994309       0.0000000E+00       0.0000000E+00       5.6905832E-04       7.4557597E-07       1.4401785E-06              14.000             102.511
   35        2384.0462619           0.7908130         251.9618348           0.9990576       0.0000000E+00       0.0000000E+00       9.4241302E-04       2.1763610E-06       1.2679196E-06              14.000             107.825
   36        1391.9829680           0.8706202         249.4719734           0.9991569       0.0000000E+00       0.0000000E+00       8.4311782E-04       2.6911517E-06       1.7322215E-06              14.000              95.233
   37         686.3327386           0.9333825         242.0387731           0.9995446       0.0000000E+00       0.0000000E+00       4.5544417E-04       2.2944135E-06       2.5435392E-06              14.000              67.273
   38         268.4401644           0.9744678         223.3135467           0.9999503       0.0000000E+00       0.0000000E+00       4.9661996E-05       8.4295419E-09       1.8941427E-06              14.000              36.430
   39          65.2599255           0.9965630         212.8128940           0.9999811       0.0000000E+00       0.0000000E+00       1.8853061E-05       2.5450748E-09       1.6973573E-06              14.000              29.200
