# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e
5.000000000e+00  4.44685e-11
5.002083333e+00  9.66293e-11
5.004167535e+00  5.10879e-11
5.006252605e+00  3.00406e-11
5.008338543e+00  2.83537e-11
5.010425351e+00  2.90344e-11
5.012513028e+00  3.14946e-11
5.014601575e+00  3.94379e-11
5.016690992e+00  1.09024e-10
5.018781280e+00  1.56121e-10
5.020872439e+00  1.41083e-10
5.022964469e+00  6.06847e-11
5.025057371e+00  4.42539e-11
5.027151145e+00  6.70637e-11
5.029245792e+00  1.20162e-10
5.031341311e+00  6.47343e-11
5.033437703e+00  3.54172e-11
5.035534969e+00  3.08264e-11
5.037633108e+00  2.80680e-11
5.039732122e+00  3.01893e-11
5.041832010e+00  2.71702e-11
5.043932774e+00  2.86047e-11
5.046034412e+00  2.73430e-11
5.048136927e+00  3.58038e-11
5.050240317e+00  2.72972e-11
5.052344584e+00  2.68075e-11
5.054449727e+00  2.68559e-11
5.056555748e+00  2.93358e-11
5.058662646e+00  3.60641e-11
5.060770422e+00  6.74213e-11
5.062879077e+00  2.93012e-11
5.064988610e+00  2.78849e-11
5.067099022e+00  2.79204e-11
5.069210313e+00  2.84772e-11
5.071322484e+00  2.91274e-11
5.073435535e+00  3.04404e-11
5.075549466e+00  3.38843e-11
5.077664279e+00  4.06470e-11
5.079779972e+00  6.39663e-11
5.081896547e+00  1.32752e-10
5.084014004e+00  1.43514e-10
5.086132343e+00  1.38718e-10
5.088251565e+00  5.45830e-11
5.090371670e+00  3.82801e-11
5.092492658e+00  3.42379e-11
5.094614530e+00  3.41351e-11
5.096737286e+00  4.05570e-11
5.098860926e+00  1.31715e-10
5.100985452e+00  4.98692e-11
5.103110862e+00  3.84471e-11
5.105237159e+00  3.28363e-11
5.107364341e+00  4.34673e-11
5.109492409e+00  4.37594e-11
5.111621364e+00  8.57553e-11
5.113751207e+00  8.48161e-11
5.115881936e+00  1.15935e-10
5.118013554e+00  3.49551e-11
5.120146060e+00  3.38078e-11
5.122279454e+00  3.36186e-11
5.124413737e+00  3.72712e-11
5.126548909e+00  4.44083e-11
5.128684971e+00  4.61978e-11
5.130821923e+00  4.83737e-11
5.132959766e+00  4.68732e-11
5.135098499e+00  6.79568e-11
5.137238123e+00  1.49330e-10
5.139378639e+00  1.61507e-10
5.141520047e+00  1.38210e-10
5.143662347e+00  9.42618e-11
5.145805540e+00  1.58906e-10
5.147949625e+00  1.30130e-10
5.150094604e+00  2.00609e-10
5.152240477e+00  9.22354e-11
5.154387244e+00  6.41739e-11
5.156534905e+00  5.37178e-11
5.158683462e+00  4.57412e-11
5.160832913e+00  4.65637e-11
5.162983260e+00  4.56217e-11
5.165134503e+00  3.79609e-11
5.167286642e+00  3.89222e-11
5.169439679e+00  3.94458e-11
5.171593612e+00  5.91089e-11
5.173748442e+00  1.25506e-10
5.175904171e+00  5.24218e-11
5.178060798e+00  3.95984e-11
5.180218323e+00  3.88574e-11
5.182376747e+00  3.92750e-11
5.184536071e+00  4.03783e-11
5.186696294e+00  4.53913e-11
5.188857418e+00  4.66285e-11
5.191019442e+00  5.32874e-11
5.193182366e+00  5.88005e-11
5.195346192e+00  8.63773e-11
5.197510920e+00  1.35190e-10
5.199676550e+00  1.74086e-10
5.201843081e+00  1.93862e-10
5.204010516e+00  1.40386e-10
5.206178854e+00  1.10172e-10
5.208348095e+00  1.23819e-10
5.210518240e+00  1.67986e-10
5.212689289e+00  1.55388e-10
5.214861243e+00  1.85656e-10
5.217034102e+00  1.56731e-10
5.219207866e+00  1.01657e-10
5.221382536e+00  8.04004e-11
5.223558112e+00  7.71959e-11
5.225734595e+00  7.07770e-11
5.227911984e+00  6.34486e-11
5.230090281e+00  7.73242e-11
5.232269485e+00  1.04874e-10
5.234449597e+00  1.61873e-10
5.236630618e+00  1.82918e-10
5.238812547e+00  1.42841e-10
5.240995386e+00  1.87281e-10
5.243179134e+00  1.21220e-10
5.245363792e+00  6.93176e-11
5.247549360e+00  6.43391e-11
5.249735839e+00  1.16815e-10
5.251923229e+00  1.70250e-10
5.254111531e+00  4.81499e-11
5.256300744e+00  6.13895e-11
5.258490869e+00  7.88019e-11
5.260681907e+00  5.47216e-11
5.262873858e+00  4.85928e-11
5.265066722e+00  5.04700e-11
5.267260500e+00  5.45344e-11
5.269455191e+00  7.84791e-11
5.271650798e+00  7.72409e-11
5.273847319e+00  1.25590e-10
5.276044755e+00  1.86042e-10
5.278243107e+00  1.96991e-10
5.280442375e+00  1.21007e-10
5.282642560e+00  9.89642e-11
5.284843661e+00  9.98502e-11
5.287045679e+00  1.27072e-10
5.289248615e+00  1.90367e-10
5.291452468e+00  1.61961e-10
5.293657240e+00  2.12754e-10
5.295862930e+00  1.66597e-10
5.298069540e+00  1.13942e-10
5.300277069e+00  9.08528e-11
5.302485518e+00  9.79228e-11
5.304694887e+00  1.74246e-10
5.306905176e+00  2.02434e-10
5.309116387e+00  8.20369e-11
5.311328519e+00  6.74820e-11
5.313541572e+00  6.14979e-11
5.315755548e+00  5.96515e-11
5.317970446e+00  6.13132e-11
5.320186267e+00  1.20604e-10
5.322403011e+00  6.89554e-11
5.324620679e+00  6.38044e-11
5.326839271e+00  6.77367e-11
5.329058787e+00  1.30314e-10
5.331279229e+00  6.36666e-11
5.333500595e+00  7.41075e-11
5.335722887e+00  8.17669e-11
5.337946105e+00  9.47850e-11
5.340170249e+00  1.15277e-10
5.342395320e+00  1.50611e-10
5.344621318e+00  2.13188e-10
5.346848244e+00  2.39234e-10
5.349076097e+00  1.34873e-10
5.351304879e+00  2.17314e-10
5.353534589e+00  1.39217e-10
5.355765228e+00  2.51604e-10
5.357996797e+00  1.89042e-10
5.360229296e+00  2.20020e-10
5.362462725e+00  1.34273e-10
5.364697084e+00  1.27109e-10
5.366932375e+00  1.03328e-10
5.369168597e+00  9.22607e-11
5.371405750e+00  1.34395e-10
5.373643836e+00  1.18257e-10
5.375882854e+00  1.24834e-10
5.378122805e+00  1.28390e-10
5.380363690e+00  2.04726e-10
5.382605508e+00  1.13962e-10
5.384848260e+00  7.69638e-11
5.387091947e+00  1.40923e-10
5.389336569e+00  7.29483e-11
5.391582126e+00  8.46422e-11
5.393828618e+00  1.02651e-10
5.396076047e+00  9.90733e-11
5.398324412e+00  1.67978e-10
5.400573714e+00  1.08817e-10
5.402823953e+00  1.07389e-10
5.405075129e+00  1.20697e-10
5.407327244e+00  1.48534e-10
5.409580297e+00  2.18196e-10
5.411834289e+00  2.18033e-10
5.414089220e+00  2.50969e-10
5.416345090e+00  2.39234e-10
5.418601901e+00  2.42388e-10
5.420859652e+00  1.51314e-10
5.423118343e+00  1.45527e-10
5.425377976e+00  2.41176e-10
5.427638550e+00  2.52727e-10
5.429900066e+00  2.24327e-10
5.432162524e+00  1.80748e-10
5.434425925e+00  1.61957e-10
5.436690269e+00  1.77661e-10
5.438955557e+00  1.70053e-10
5.441221789e+00  2.16091e-10
5.443488964e+00  2.18723e-10
5.445757085e+00  2.23143e-10
5.448026150e+00  1.75644e-10
5.450296161e+00  2.05866e-10
5.452567118e+00  1.70889e-10
5.454839021e+00  2.06555e-10
5.457111870e+00  2.12396e-10
5.459385667e+00  2.57138e-10
5.461660411e+00  2.63058e-10
