# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Synthesized on Sat Mar 16 23:48:25 2019
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Aerosols considered: Cloud,WaterIce
# Aerosols sources: White_GSFC[reff=1.0um 0.10-1000000.00um],CRISM_Wolff[reff=2.0um 0.31-99.57um]
# Aerosols opacities: 1,1
# Aerosols opacity units: scl,scl
# Aerosols sizes: 10,67.852
# Aerosols size units: um,um
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Wave/freq Total N2 CO2 H2O Cloud WaterIce CIA
5.000000000e+00  0.00007  1.00000  1.00000  0.69869  0.13296  0.00073  0.99770
5.002083333e+00  0.00002  1.00000  1.00000  0.21618  0.13295  0.00074  0.99961
5.004167535e+00  0.00006  1.00000  1.00000  0.57860  0.13294  0.00074  1.00000
5.006252605e+00  0.00009  1.00000  1.00000  0.85781  0.13293  0.00075  1.00000
5.008338543e+00  0.00009  1.00000  1.00000  0.89412  0.13292  0.00076  1.00000
5.010425351e+00  0.00009  1.00000  1.00000  0.87971  0.13291  0.00077  1.00000
5.012513028e+00  0.00008  1.00000  1.00000  0.82545  0.13290  0.00077  1.00000
5.014601575e+00  0.00007  1.00000  1.00000  0.66642  0.13289  0.00078  1.00000
5.016690992e+00  0.00001  1.00000  1.00000  0.10382  0.13288  0.00079  1.00000
5.018781280e+00 -0.00000  1.00000  1.00000 -0.01254  0.13287  0.00080  1.00000
5.020872439e+00  0.00000  1.00000  1.00000  0.00026  0.13287  0.00080  1.00000
5.022964469e+00  0.00003  1.00000  1.00000  0.29576  0.13286  0.00081  1.00000
