# Simulation:  C:\Users\dgatl_000\OneDrive - UCB-O365\Senior_1\GatlinPSG\ModelFiles\trappist1e_1barN2_1barCO2_aqua
# TRAPPIST-1 e, 0.50% N2, 0.50% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#2.0370900           #329.8451572         #0.0000000           #36.0000000          #180.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       56774.1911928           0.0009559         180.3900970           0.4999970       4.9999699E-01       0.0000000E+00       6.0127017E-06       0.0000000E+00       2.7644038E-09              14.000               6.620
    1       55245.3875089           0.0012448         181.0687797           0.4999970       4.9999704E-01       0.0000000E+00       5.9163245E-06       0.0000000E+00       1.3675278E-08              14.000               6.893
    2       53738.7929702           0.0016128         182.3433341           0.4999971       4.9999707E-01       0.0000000E+00       5.8673533E-06       0.0000000E+00       2.4645327E-08              14.000               7.441
    3       52249.5670875           0.0020793         184.1685554           0.4999970       4.9999705E-01       0.0000000E+00       5.9019206E-06       0.0000000E+00       2.8985267E-08              14.000               8.197
    4       50773.9479291           0.0026674         186.3726020           0.4999970       4.9999700E-01       0.0000000E+00       6.0077333E-06       0.0000000E+00       2.6567391E-08              14.000               9.160
    5       49310.7918674           0.0034049         188.6410031           0.4999969       4.9999689E-01       0.0000000E+00       6.2158634E-06       0.0000000E+00       2.5860034E-08              14.000              10.268
    6       47861.4016861           0.0043246         190.6780483           0.4999967       4.9999674E-01       0.0000000E+00       6.5250649E-06       4.2707963E-33       2.6107733E-08              14.000              11.369
    7       46428.4553824           0.0054654         192.3471200           0.4999965       4.9999654E-01       0.0000000E+00       6.9187220E-06       3.3632088E-27       2.7052452E-08              14.000              12.344
    8       45014.6814362           0.0068729         193.7412599           0.4999963       4.9999630E-01       0.0000000E+00       7.3919314E-06       1.8373509E-32       2.8517783E-08              14.000              13.214
    9       43621.7133952           0.0085997         195.0502687           0.4999960       4.9999600E-01       0.0000000E+00       7.9941093E-06       4.1540220E-29       2.9633159E-08              14.000              14.099
