# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Synthesized on Tue Mar 19 03:48:12 2019
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Aerosols considered: Cloud,WaterIce
# Aerosols sources: White_GSFC[reff=1.0um 0.10-1000000.00um],CRISM_Wolff[reff=2.0um 0.31-99.57um]
# Aerosols opacities: 1,1
# Aerosols opacity units: scl,scl
# Aerosols sizes: 10,65.427
# Aerosols size units: um,um
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Wave/freq Total N2 CO2 H2O Cloud WaterIce CIA
5.000000000e+00  0.00000  1.00000  0.00731  0.00000  0.00000  0.00996  0.99879
5.002083333e+00  0.00000  1.00000  0.01260  0.00000  0.00000  0.01002  0.99887
5.004167535e+00  0.00000  1.00000  0.01242  0.00000  0.00000  0.01008  0.99904
5.006252605e+00  0.00000  1.00000  0.01960  0.00000  0.00000  0.01015  0.99914
5.008338543e+00  0.00000  1.00000  0.01015  0.00000  0.00000  0.01021  0.99920
5.010425351e+00  0.00000  1.00000  0.00571  0.00000  0.00000  0.01027  0.99902
5.012513028e+00  0.00000  1.00000  0.00352  0.00000  0.00000  0.01034  0.99909
5.014601575e+00 -0.00000  1.00000  0.03371 -0.00000  0.00000  0.01040  0.99905
5.016690992e+00 -0.00000  1.00000  0.00675 -0.00000  0.00000  0.01047  0.99887
5.018781280e+00 -0.00000  1.00000  0.04067 -0.00000  0.00000  0.01053  0.99875
5.020872439e+00  0.00000  1.00000  0.00746  0.00000  0.00000  0.01060  0.99902
5.022964469e+00  0.00000  1.00000  0.04920  0.00000  0.00000  0.01067  0.99902
5.025057371e+00  0.00000  1.00000  0.01604  0.00000  0.00000  0.01073  0.99900
5.027151145e+00  0.00000  1.00000  0.05116  0.00000  0.00000  0.01080  0.99899
5.029245792e+00  0.00000  1.00000  0.01254  0.00000  0.00000  0.01087  0.99925
5.031341311e+00  0.00000  1.00000  0.04806  0.00000  0.00000  0.01094  0.99919
5.033437703e+00  0.00000  1.00000  0.00642  0.00000  0.00000  0.01100  0.99921
5.035534969e+00  0.00000  1.00000  0.03765  0.00000  0.00000  0.01107  0.99956
5.037633108e+00  0.00000  1.00000  0.00122  0.00000  0.00000  0.01114  0.99946
5.039732122e+00  0.00000  1.00000  0.03565  0.00000  0.00000  0.01121  0.99931
5.041832010e+00  0.00000  1.00000 -0.00116  0.00000  0.00000  0.01128  0.99928
5.043932774e+00  0.00000  1.00000  0.03768  0.00000  0.00000  0.01136  0.99949
5.046034412e+00 -0.00000  1.00000 -0.00231 -0.00000  0.00000  0.01143  0.99949
5.048136927e+00 -0.00000  1.00000  0.02815 -0.00000  0.00000  0.01150  0.99949
5.050240317e+00  0.00000  1.00000  0.00378  0.00000  0.00000  0.01157  0.99956
5.052344584e+00  0.00000  1.00000  0.01010  0.00000  0.00000  0.01164  0.99956
5.054449727e+00  0.00000  1.00000  0.00227  0.00000  0.00000  0.01172  0.99956
5.056555748e+00  0.00000  1.00000  0.00764  0.00000  0.00000  0.01179  0.99970
5.058662646e+00  0.00000  1.00000  0.00086  0.00000  0.00000  0.01186  0.99951
5.060770422e+00  0.00000  1.00000  0.00532  0.00000  0.00000  0.01193  0.99959
5.062879077e+00  0.00000  1.00000  0.00007  0.00000  0.00000  0.01200  0.99942
5.064988610e+00  0.00000  1.00000  0.00165  0.00000  0.00000  0.01206  0.99962
5.067099022e+00 -0.00000  1.00000 -0.00009  0.00000  0.00000  0.01213  0.99951
5.069210313e+00 -0.00000  1.00000  0.00069 -0.00000  0.00000  0.01220  0.99978
5.071322484e+00 -0.00000  1.00000 -0.00004 -0.00000  0.00000  0.01227  0.99964
5.073435535e+00 -0.00000  1.00000  0.00027 -0.00000  0.00000  0.01234  0.99961
5.075549466e+00  0.00000  1.00000  0.00001  0.00000  0.00000  0.01241  0.99959
5.077664279e+00  0.00000  1.00000  0.00006  0.00000  0.00000  0.01248  0.99964
5.079779972e+00  0.00000  1.00000  0.00001  0.00000  0.00000  0.01256  0.99957
5.081896547e+00  0.00000  1.00000  0.00005  0.00000  0.00000  0.01263  0.99958
5.084014004e+00  0.00000  1.00000  0.00001  0.00000  0.00000  0.01270  0.99934
5.086132343e+00  0.00000  1.00000  0.00001  0.00000  0.00000  0.01277  0.99967
5.088251565e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01285  0.99965
5.090371670e+00  0.00000  1.00000  0.00001  0.00000  0.00000  0.01292  0.99956
5.092492658e+00  0.00000  1.00000 -0.00000  0.00000  0.00000  0.01299  0.99980
5.094614530e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01307  0.99978
5.096737286e+00 -0.00000  1.00000 -0.00000 -0.00000  0.00000  0.01314  0.99977
5.098860926e+00 -0.00000  1.00000  0.00000 -0.00000  0.00000  0.01322  0.99977
5.100985452e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01329  0.99975
5.103110862e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01337  0.99980
5.105237159e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01345  0.99984
5.107364341e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01352  0.99980
5.109492409e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01360  0.99968
5.111621364e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01368  0.99981
5.113751207e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01376  0.99974
5.115881936e+00 -0.00000  1.00000  0.00001 -0.00000  0.00000  0.01384  0.99987
5.118013554e+00  0.00000  1.00000 -0.00000  0.00000  0.00000  0.01392  0.99980
5.120146060e+00  0.00000  1.00000  0.00004  0.00000  0.00000  0.01400  0.99992
5.122279454e+00 -0.00000  1.00000 -0.00000  0.00000  0.00000  0.01408  0.99986
5.124413737e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.01416  1.00000
5.126548909e+00  0.00000  1.00000  0.00074  0.00000  0.00000  0.01424  0.99996
5.128684971e+00  0.00000  1.00000  0.00285  0.00000  0.00000  0.01432  0.99978
5.130821923e+00  0.00000  1.00000  0.00324  0.00000  0.00000  0.01441  0.99987
