results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e
5.000000000e+00  3.14967e-11
5.002083333e+00  3.83101e-11
5.004167535e+00  3.14661e-11
5.006252605e+00  3.11026e-11
5.008338543e+00  3.07716e-11
5.010425351e+00  3.09943e-11
5.012513028e+00  2.93814e-11
5.014601575e+00  2.97628e-11
5.016690992e+00  3.78759e-11
5.018781280e+00  4.63926e-11
5.020872439e+00  4.94852e-11
5.022964469e+00  2.63633e-11
5.025057371e+00  2.98552e-11
5.027151145e+00  2.89455e-11
5.029245792e+00  4.00891e-11
5.031341311e+00  3.14426e-11
5.033437703e+00  3.16147e-11
5.035534969e+00  2.87939e-11
5.037633108e+00  3.24151e-11
5.039732122e+00  2.74166e-11
5.041832010e+00  3.27311e-11
5.043932774e+00  2.76135e-11
5.046034412e+00  3.33068e-11
5.048136927e+00  2.77802e-11
5.050240317e+00  3.23618e-11
5.052344584e+00  2.93686e-11
5.054449727e+00  3.31683e-11
5.056555748e+00  2.91307e-11
5.058662646e+00  3.44439e-11
5.060770422e+00  3.30132e-11
5.062879077e+00  3.46784e-11
5.064988610e+00  2.78662e-11
5.067099022e+00  3.59620e-11
5.069210313e+00  2.83438e-11
5.071322484e+00  3.85812e-11
5.073435535e+00  2.81076e-11
5.075549466e+00  3.56857e-11
5.077664279e+00  3.05364e-11
5.079779972e+00  3.85486e-11
5.081896547e+00  5.01614e-11
5.084014004e+00  4.45708e-11
5.086132343e+00  4.52760e-11
5.088251565e+00  4.20633e-11
5.090371670e+00  3.04455e-11
5.092492658e+00  4.29558e-11
5.094614530e+00  2.91943e-11
5.096737286e+00  4.53822e-11
5.098860926e+00  4.23230e-11
5.100985452e+00  4.14921e-11
5.103110862e+00  3.45646e-11
5.105237159e+00  4.17997e-11
5.107364341e+00  3.49840e-11
5.109492409e+00  4.32950e-11
5.111621364e+00  3.78433e-11
5.113751207e+00  4.55973e-11
5.115881936e+00  4.42819e-11
5.118013554e+00  4.49370e-11
5.120146060e+00  2.99005e-11
5.122279454e+00  4.73375e-11
5.124413737e+00  3.24440e-11
5.126548909e+00  3.93319e-11
5.128684971e+00  3.20734e-11
5.130821923e+00  3.69235e-11
5.132959766e+00  3.08187e-11
5.135098499e+00  3.53300e-11
5.137238123e+00  5.09457e-11
5.139378639e+00  4.45463e-11
5.141520047e+00  4.33055e-11
5.143662347e+00  3.92517e-11
5.145805540e+00  3.59348e-11
5.147949625e+00  7.69659e-11
5.150094604e+00  4.48444e-11
5.152240477e+00  4.33331e-11
5.154387244e+00  4.09552e-11
5.156534905e+00  4.36052e-11
5.158683462e+00  4.35883e-11
5.160832913e+00  4.67288e-11
5.162983260e+00  5.19804e-11
5.165134503e+00  5.64976e-11
5.167286642e+00  6.39754e-11
5.169439679e+00  4.96269e-11
5.171593612e+00  3.29921e-11
5.173748442e+00  1.72197e-11
5.175904171e+00  6.15777e-11
5.178060798e+00  5.80316e-11
5.180218323e+00  4.62047e-11
5.182376747e+00  5.25369e-11
5.184536071e+00  4.58262e-11
5.186696294e+00  5.41624e-11
5.188857418e+00  5.03317e-11
5.191019442e+00  5.56155e-11
5.193182366e+00  5.55135e-11
5.195346192e+00  5.60907e-11
5.197510920e+00  6.17036e-11
5.199676550e+00  5.63453e-11
5.201843081e+00  7.75461e-11
5.204010516e+00  6.02558e-11
5.206178854e+00  6.62667e-11
5.208348095e+00  5.86589e-11
5.210518240e+00  6.74431e-11
5.212689289e+00  5.01606e-11
5.214861243e+00  5.86340e-11
5.217034102e+00  5.62084e-11
5.219207866e+00  6.88789e-11
5.221382536e+00  5.79349e-11
5.223558112e+00  6.89910e-11
5.225734595e+00  5.81005e-11
5.227911984e+00  6.81257e-11
5.230090281e+00  6.26683e-11
5.232269485e+00  6.06635e-11
5.234449597e+00  7.20968e-11
5.236630618e+00  6.36213e-11
5.238812547e+00  6.49513e-11
5.240995386e+00  6.36880e-11
5.243179134e+00  6.31661e-11
5.245363792e+00  6.39146e-11
5.247549360e+00  6.37457e-11
5.249735839e+00  6.48179e-11
5.251923229e+00  6.99385e-11
5.254111531e+00  6.37928e-11
5.256300744e+00  5.88909e-11
5.258490869e+00  5.44621e-11
5.260681907e+00  6.20065e-11
5.262873858e+00  5.61865e-11
5.265066722e+00  6.31331e-11
5.267260500e+00  5.55097e-11
5.269455191e+00  6.39535e-11
5.271650798e+00  6.28949e-11
5.273847319e+00  6.44094e-11
5.276044755e+00  7.13049e-11
5.278243107e+00  6.11805e-11
5.280442375e+00  4.19817e-11
5.282642560e+00  5.20372e-11
5.284843661e+00  5.55829e-11
5.287045679e+00  4.71119e-11
5.289248615e+00  5.95179e-11
5.291452468e+00  8.36600e-11
5.293657240e+00  7.21955e-11
5.295862930e+00  4.73844e-11
5.298069540e+00  5.91541e-11
5.300277069e+00  4.47931e-11
5.302485518e+00  5.36364e-11
5.304694887e+00  5.19016e-11
5.306905176e+00  7.16671e-11
5.309116387e+00  4.27310e-11
5.311328519e+00  4.85851e-11
5.313541572e+00  4.68931e-11
5.315755548e+00  5.92692e-11
5.317970446e+00  4.85964e-11
5.320186267e+00  5.04840e-11
5.322403011e+00  4.67123e-11
5.324620679e+00  4.74461e-11
5.326839271e+00  4.48344e-11
5.329058787e+00  4.91439e-11
5.331279229e+00  4.60867e-11
5.333500595e+00  4.72343e-11
5.335722887e+00  4.55514e-11
5.337946105e+00  4.60699e-11
5.340170249e+00  5.19373e-11
5.342395320e+00  4.58802e-11
5.344621318e+00  5.92455e-11
5.346848244e+00  6.28758e-11
5.349076097e+00  9.92551e-11
5.351304879e+00  8.67608e-11
5.353534589e+00  9.93106e-11
5.355765228e+00  6.33316e-11
5.357996797e+00  8.83592e-11
5.360229296e+00  4.56769e-11
5.362462725e+00  5.41277e-11
5.364697084e+00  4.43269e-11
5.366932375e+00  4.92202e-11
5.369168597e+00  4.31230e-11
5.371405750e+00  5.38483e-11
5.373643836e+00  4.54565e-11
5.375882854e+00  5.47768e-11
5.378122805e+00  4.50868e-11
5.380363690e+00  6.90679e-11
5.382605508e+00  4.16869e-11
5.384848260e+00  4.85638e-11
5.387091947e+00  4.65769e-11
5.389336569e+00  4.74789e-11
5.391582126e+00  4.02274e-11
5.393828618e+00  4.60286e-11
5.396076047e+00  4.23505e-11
5.398324412e+00  5.31651e-11
5.400573714e+00  4.16949e-11
5.402823953e+00  4.61901e-11
5.405075129e+00  4.10701e-11
5.407327244e+00  4.83095e-11
5.409580297e+00  5.01446e-11
5.411834289e+00  9.63933e-11
5.414089220e+00  5.00910e-11
5.416345090e+00  5.64649e-11
5.418601901e+00  9.25080e-11
5.420859652e+00  1.05083e-10
5.423118343e+00  1.08496e-10
5.425377976e+00  8.22002e-11
5.427638550e+00  7.21230e-11
5.429900066e+00  5.12056e-11
5.432162524e+00  4.74353e-11
5.434425925e+00  4.59255e-11
5.436690269e+00  5.11931e-11
5.438955557e+00  4.70463e-11
5.441221789e+00  5.14459e-11
5.443488964e+00  1.10136e-10
5.445757085e+00  5.60342e-11
5.448026150e+00  4.79130e-11
5.450296161e+00  5.96343e-11
5.452567118e+00  4.83757e-11
5.454839021e+00  5.47806e-11
5.457111870e+00  5.12634e-11
5.459385667e+00  5.89814e-11
5.461660411e+00  8.34801e-11
5.463936103e+00  1.20076e-10
5.466212743e+00  1.25631e-10
5.468490331e+00  9.72844e-11
5.470768869e+00  5.81963e-11
5.473048356e+00  5.73309e-11
5.475328793e+00  6.53182e-11
5.477610180e+00  1.00823e-10
5.479892518e+00  1.07094e-10
5.482175806e+00  6.56918e-11
5.484460046e+00  5.41284e-11
5.486745238e+00  6.71194e-11
