# Simulation:  C:\Users\dgatl_000\OneDrive\College\Senior_1\Wolf\ModelFiles\trappist1e_1barN2_1barCO2_aqua
# TRAPPIST-1 e, 0.50% N2, 0.50% CO2, 0.00% CH4
# Mean Vertical Profile
# Mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
# Pressure are total pressure (i.e P_dry + P_h2o)
# Surf Press (mb)    Surf Temp (K)        Surf Albedo          Dry Molar Weight     Phase
#2.0344908           #332.3932811         #0.0523863           #36.0000000          #300.0000000         
# Lev          Height (m)      Pressure (bar)     Temperature (K)            N2 (vmr)           CO2 (vmr)           CH4 (vmr)           H2O (vmr)       Liquid Clouds          Ice Clouds         Liquid Size            Ice Size
    0       57105.8801090           0.0009559         187.0576129           0.4999970       4.9999699E-01       0.0000000E+00       6.0195759E-06       1.5023964E-40       1.5650285E-10              14.000               9.228
    1       55531.0559610           0.0012448         187.0479116           0.4999970       4.9999700E-01       0.0000000E+00       6.0069418E-06       4.1597748E-34       2.8393981E-09              14.000               9.171
    2       53981.6939788           0.0016128         188.1561350           0.4999970       4.9999697E-01       0.0000000E+00       6.0671385E-06       6.5730840E-17       7.2175962E-09              14.000               9.795
    3       52450.0144092           0.0020793         190.0802646           0.4999968       4.9999684E-01       0.0000000E+00       6.3166672E-06       7.6872200E-31       1.0710652E-08              14.000              10.940
    4       50933.7268640           0.0026674         191.8312850           0.4999967       4.9999667E-01       0.0000000E+00       6.6630667E-06       2.6993959E-19       1.4157585E-08              14.000              12.096
    5       49436.1351658           0.0034049         192.9911355           0.4999965       4.9999647E-01       0.0000000E+00       7.0506877E-06       5.2860709E-20       1.7862716E-08              14.000              12.903
    6       47961.6172686           0.0043246         193.5951199           0.4999962       4.9999624E-01       0.0000000E+00       7.5163530E-06       8.0264756E-33       2.1473316E-08              14.000              13.296
    7       46513.1356101           0.0054654         193.9055641           0.4999959       4.9999592E-01       0.0000000E+00       8.1628153E-06       1.2915157E-24       2.5358511E-08              14.000              13.450
    8       45091.6610226           0.0068729         194.2769347           0.4999955       4.9999551E-01       0.0000000E+00       8.9842239E-06       5.9909376E-32       3.0445012E-08              14.000              13.638
    9       43696.1655216           0.0085997         195.0118272           0.4999950       4.9999500E-01       0.0000000E+00       1.0001871E-05       1.3070241E-24       3.8031299E-08              14.000              14.117
