# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e
5.000000000e+00  5.03535e-10
5.002083333e+00  4.97493e-10
5.004167535e+00  5.37565e-10
5.006252605e+00  5.50411e-10
5.008338543e+00  5.27342e-10
5.010425351e+00  5.16734e-10
5.012513028e+00  4.97127e-10
5.014601575e+00  5.19935e-10
5.016690992e+00  5.08303e-10
5.018781280e+00  4.81487e-10
5.020872439e+00  4.67467e-10
5.022964469e+00  5.31132e-10
5.025057371e+00  4.90814e-10
5.027151145e+00  5.00720e-10
5.029245792e+00  4.90008e-10
5.031341311e+00  5.26988e-10
5.033437703e+00  5.05530e-10
5.035534969e+00  5.42510e-10
5.037633108e+00  5.20731e-10
5.039732122e+00  4.93334e-10
5.041832010e+00  5.04361e-10
5.043932774e+00  5.05150e-10
5.046034412e+00  4.89730e-10
5.048136927e+00  4.95984e-10
5.050240317e+00  5.13686e-10
5.052344584e+00  5.31816e-10
5.054449727e+00  4.91869e-10
5.056555748e+00  5.08220e-10
5.058662646e+00  4.72149e-10
5.060770422e+00  5.01013e-10
5.062879077e+00  4.57414e-10
5.064988610e+00  4.95982e-10
5.067099022e+00  4.51491e-10
5.069210313e+00  5.24304e-10
5.071322484e+00  4.62362e-10
5.073435535e+00  5.28152e-10
5.075549466e+00  4.64885e-10
5.077664279e+00  4.83462e-10
5.079779972e+00  4.35354e-10
5.081896547e+00  4.53839e-10
5.084014004e+00  4.28100e-10
5.086132343e+00  4.70653e-10
5.088251565e+00  4.19558e-10
5.090371670e+00  4.92158e-10
5.092492658e+00  3.71959e-10
5.094614530e+00  4.78387e-10
5.096737286e+00  3.94967e-10
5.098860926e+00  4.98498e-10
5.100985452e+00  4.34941e-10
5.103110862e+00  4.75087e-10
5.105237159e+00  3.89458e-10
5.107364341e+00  4.47737e-10
5.109492409e+00  3.67047e-10
5.111621364e+00  4.43341e-10
5.113751207e+00  3.63503e-10
5.115881936e+00  4.69690e-10
5.118013554e+00  3.72701e-10
5.120146060e+00  4.83059e-10
5.122279454e+00  3.62070e-10
5.124413737e+00  4.61312e-10
5.126548909e+00  4.11842e-10
5.128684971e+00  4.37532e-10
5.130821923e+00  3.95161e-10
5.132959766e+00  4.49606e-10
5.135098499e+00  4.42434e-10
5.137238123e+00  4.40826e-10
5.139378639e+00  4.29434e-10
5.141520047e+00  4.47656e-10
5.143662347e+00  4.09517e-10
5.145805540e+00  4.18653e-10
5.147949625e+00  3.19478e-10
5.150094604e+00  4.51464e-10
5.152240477e+00  4.10703e-10
5.154387244e+00  4.16492e-10
5.156534905e+00  3.94322e-10
5.158683462e+00  3.84775e-10
5.160832913e+00  3.35376e-10
5.162983260e+00  3.57649e-10
5.165134503e+00  2.75660e-10
5.167286642e+00  2.45494e-10
5.169439679e+00  9.88077e-11
5.171593612e+00  4.45959e-11
5.173748442e+00  1.75581e-11
5.175904171e+00  1.91715e-10
5.178060798e+00  3.28527e-10
5.180218323e+00  3.85064e-10
5.182376747e+00  2.94636e-10
5.184536071e+00  3.73340e-10
5.186696294e+00  2.51653e-10
5.188857418e+00  3.91054e-10
5.191019442e+00  2.24148e-10
5.193182366e+00  3.66811e-10
5.195346192e+00  1.74195e-10
5.197510920e+00  3.41298e-10
5.199676550e+00  1.43560e-10
5.201843081e+00  3.17566e-10
5.204010516e+00  2.10486e-10
5.206178854e+00  2.69024e-10
5.208348095e+00  1.97191e-10
5.210518240e+00  2.18534e-10
5.212689289e+00  1.02908e-10
5.214861243e+00  1.47796e-10
5.217034102e+00  1.72435e-10
5.219207866e+00  2.74642e-10
5.221382536e+00  1.80947e-10
5.223558112e+00  2.56328e-10
5.225734595e+00  1.93278e-10
5.227911984e+00  2.52661e-10
5.230090281e+00  2.54057e-10
5.232269485e+00  1.61359e-10
5.234449597e+00  2.86444e-10
5.236630618e+00  1.74228e-10
5.238812547e+00  3.09128e-10
5.240995386e+00  1.58025e-10
5.243179134e+00  3.39257e-10
5.245363792e+00  1.56231e-10
5.247549360e+00  3.63568e-10
5.249735839e+00  1.65254e-10
5.251923229e+00  3.56614e-10
5.254111531e+00  1.53776e-10
5.256300744e+00  2.14415e-10
5.258490869e+00  2.81913e-10
